player,market,bookmaker,side,line,price,home_team,away_team,game_id,commence_time
Nikola Jokic,player_assists,Underdog,Over,8.5,-137,Denver Nuggets,Los Angeles Clippers,cfb19547e4e15469539403ef660d3a4e,2024-10-26T21:10:00Z
Nikola Jokic,player_assists,Underdog,Under,8.5,-137,Denver Nuggets,Los Angeles Clippers,cfb19547e4e15469539403ef660d3a4e,2024-10-26T21:10:00Z
Russell Westbrook,player_assists,Underdog,Over,4.0,-137,Denver Nuggets,Los Angeles Clippers,cfb19547e4e15469539403ef660d3a4e,2024-10-26T21:10:00Z
Russell Westbrook,player_assists,Underdog,Under,4.0,-137,Denver Nuggets,Los Angeles Clippers,cfb19547e4e15469539403ef660d3a4e,2024-10-26T21:10:00Z
Nikola Jokic,player_points,Underdog,Over,26.0,-137,Denver Nuggets,Los Angeles Clippers,cfb19547e4e15469539403ef660d3a4e,2024-10-26T21:10:00Z
Nikola Jokic,player_points,Underdog,Under,26.0,-137,Denver Nuggets,Los Angeles Clippers,cfb19547e4e15469539403ef660d3a4e,2024-10-26T21:10:00Z
Jamal Murray,player_points,Underdog,Over,19.5,-137,Denver Nuggets,Los Angeles Clippers,cfb19547e4e15469539403ef660d3a4e,2024-10-26T21:10:00Z
Jamal Murray,player_points,Underdog,Under,19.5,-137,Denver Nuggets,Los Angeles Clippers,cfb19547e4e15469539403ef660d3a4e,2024-10-26T21:10:00Z
James Harden,player_points,Underdog,Over,23.5,-137,Denver Nuggets,Los Angeles Clippers,cfb19547e4e15469539403ef660d3a4e,2024-10-26T21:10:00Z
James Harden,player_points,Underdog,Under,23.5,-137,Denver Nuggets,Los Angeles Clippers,cfb19547e4e15469539403ef660d3a4e,2024-10-26T21:10:00Z
Michael Porter Jr,player_points,Underdog,Over,15.5,-137,Denver Nuggets,Los Angeles Clippers,cfb19547e4e15469539403ef660d3a4e,2024-10-26T21:10:00Z
Michael Porter Jr,player_points,Underdog,Under,15.5,-137,Denver Nuggets,Los Angeles Clippers,cfb19547e4e15469539403ef660d3a4e,2024-10-26T21:10:00Z
Ivica Zubac,player_points,Underdog,Over,14.5,-137,Denver Nuggets,Los Angeles Clippers,cfb19547e4e15469539403ef660d3a4e,2024-10-26T21:10:00Z
Ivica Zubac,player_points,Underdog,Under,14.5,-137,Denver Nuggets,Los Angeles Clippers,cfb19547e4e15469539403ef660d3a4e,2024-10-26T21:10:00Z
Aaron Gordon,player_points,Underdog,Over,13.5,-137,Denver Nuggets,Los Angeles Clippers,cfb19547e4e15469539403ef660d3a4e,2024-10-26T21:10:00Z
Aaron Gordon,player_points,Underdog,Under,13.5,-137,Denver Nuggets,Los Angeles Clippers,cfb19547e4e15469539403ef660d3a4e,2024-10-26T21:10:00Z
