player,market,bookmaker,side,line,price,home_team,away_team,game_id,commence_time
Cam Thomas,player_assists,Underdog,Over,3.0,-137,Brooklyn Nets,Milwaukee Bucks,cfd6ffdc9bdbbb7be1a69e17b936efbe,2024-10-27T22:10:00Z
Cam Thomas,player_assists,Underdog,Under,3.0,-137,Brooklyn Nets,Milwaukee Bucks,cfd6ffdc9bdbbb7be1a69e17b936efbe,2024-10-27T22:10:00Z
Dennis Schroder,player_assists,Underdog,Over,6.0,-137,Brooklyn Nets,Milwaukee Bucks,cfd6ffdc9bdbbb7be1a69e17b936efbe,2024-10-27T22:10:00Z
Dennis Schroder,player_assists,Underdog,Under,6.0,-137,Brooklyn Nets,Milwaukee Bucks,cfd6ffdc9bdbbb7be1a69e17b936efbe,2024-10-27T22:10:00Z
Ben Simmons,player_assists,Underdog,Over,5.5,-137,Brooklyn Nets,Milwaukee Bucks,cfd6ffdc9bdbbb7be1a69e17b936efbe,2024-10-27T22:10:00Z
Ben Simmons,player_assists,Underdog,Under,5.5,-137,Brooklyn Nets,Milwaukee Bucks,cfd6ffdc9bdbbb7be1a69e17b936efbe,2024-10-27T22:10:00Z
Giannis Antetokounmpo,player_points,Underdog,Over,30.5,-137,Brooklyn Nets,Milwaukee Bucks,cfd6ffdc9bdbbb7be1a69e17b936efbe,2024-10-27T22:10:00Z
Giannis Antetokounmpo,player_points,Underdog,Under,30.5,-137,Brooklyn Nets,Milwaukee Bucks,cfd6ffdc9bdbbb7be1a69e17b936efbe,2024-10-27T22:10:00Z
Damian Lillard,player_points,Underdog,Over,26.5,-137,Brooklyn Nets,Milwaukee Bucks,cfd6ffdc9bdbbb7be1a69e17b936efbe,2024-10-27T22:10:00Z
Damian Lillard,player_points,Underdog,Under,26.5,-137,Brooklyn Nets,Milwaukee Bucks,cfd6ffdc9bdbbb7be1a69e17b936efbe,2024-10-27T22:10:00Z
Cam Thomas,player_points,Underdog,Over,25.5,-137,Brooklyn Nets,Milwaukee Bucks,cfd6ffdc9bdbbb7be1a69e17b936efbe,2024-10-27T22:10:00Z
Cam Thomas,player_points,Underdog,Under,25.5,-137,Brooklyn Nets,Milwaukee Bucks,cfd6ffdc9bdbbb7be1a69e17b936efbe,2024-10-27T22:10:00Z
Nicolas Claxton,player_points,Underdog,Over,10.0,-137,Brooklyn Nets,Milwaukee Bucks,cfd6ffdc9bdbbb7be1a69e17b936efbe,2024-10-27T22:10:00Z
Nicolas Claxton,player_points,Underdog,Under,10.0,-137,Brooklyn Nets,Milwaukee Bucks,cfd6ffdc9bdbbb7be1a69e17b936efbe,2024-10-27T22:10:00Z
Brook Lopez,player_points,Underdog,Over,11.5,-137,Brooklyn Nets,Milwaukee Bucks,cfd6ffdc9bdbbb7be1a69e17b936efbe,2024-10-27T22:10:00Z
Brook Lopez,player_points,Underdog,Under,11.5,-137,Brooklyn Nets,Milwaukee Bucks,cfd6ffdc9bdbbb7be1a69e17b936efbe,2024-10-27T22:10:00Z
Dorian Finney-Smith,player_points,Underdog,Over,8.5,-137,Brooklyn Nets,Milwaukee Bucks,cfd6ffdc9bdbbb7be1a69e17b936efbe,2024-10-27T22:10:00Z
Dorian Finney-Smith,player_points,Underdog,Under,8.5,-137,Brooklyn Nets,Milwaukee Bucks,cfd6ffdc9bdbbb7be1a69e17b936efbe,2024-10-27T22:10:00Z
Cameron Johnson,player_points,Underdog,Over,14.5,-137,Brooklyn Nets,Milwaukee Bucks,cfd6ffdc9bdbbb7be1a69e17b936efbe,2024-10-27T22:10:00Z
Cameron Johnson,player_points,Underdog,Under,14.5,-137,Brooklyn Nets,Milwaukee Bucks,cfd6ffdc9bdbbb7be1a69e17b936efbe,2024-10-27T22:10:00Z
Dennis Schroder,player_points,Underdog,Over,16.5,-137,Brooklyn Nets,Milwaukee Bucks,cfd6ffdc9bdbbb7be1a69e17b936efbe,2024-10-27T22:10:00Z
Dennis Schroder,player_points,Underdog,Under,16.5,-137,Brooklyn Nets,Milwaukee Bucks,cfd6ffdc9bdbbb7be1a69e17b936efbe,2024-10-27T22:10:00Z
Gary Trent Jr,player_points,Underdog,Over,12.0,-137,Brooklyn Nets,Milwaukee Bucks,cfd6ffdc9bdbbb7be1a69e17b936efbe,2024-10-27T22:10:00Z
Gary Trent Jr,player_points,Underdog,Under,12.0,-137,Brooklyn Nets,Milwaukee Bucks,cfd6ffdc9bdbbb7be1a69e17b936efbe,2024-10-27T22:10:00Z
Ben Simmons,player_points,Underdog,Over,6.5,-137,Brooklyn Nets,Milwaukee Bucks,cfd6ffdc9bdbbb7be1a69e17b936efbe,2024-10-27T22:10:00Z
Ben Simmons,player_points,Underdog,Under,6.5,-137,Brooklyn Nets,Milwaukee Bucks,cfd6ffdc9bdbbb7be1a69e17b936efbe,2024-10-27T22:10:00Z
