player,prop,line,proj,side,diff
Jordan Poole,Points,19.5,15.6,under,-4.9
Jonas Valanciunas,Points,13.5,18,over,4.5
Reed Sheppard,Points,11.5,15.3,over,3.8
Javon Small,Points,16.5,13,under,-3.5
Joan Beringer,Points,9.5,12.9,over,3.4
De'Anthony Melton,Points,14.5,12.1,under,-3.4
LeBron James,Points,24.5,21.3,under,-3.2
Julian Champagnie,Points,8.5,11.6,over,3.1
Donte DiVincenzo,Points,8.5,11.5,over,3
Derrick White,Points,15.5,18.4,over,2.9
Tim Hardaway Jr.,Points,17.5,15.6,under,-2.9
Jaden McDaniels,Points,14.5,11.7,under,-2.8
Blake Hinson,Points,13.5,10.8,under,-2.7
Tari Eason,Points,9.5,12.1,over,2.6
Kevon Looney,Points,9.5,7,under,-2.5
Andrew Wiggins,Points,15.5,17.9,over,2.4
Cormac Ryan,Points,15.5,17.9,over,2.4
Walter Clayton Jr.,Points,13.5,11.1,under,-2.4
Victor Wembanyama,Points,19.5,21.8,over,2.3
Julian Strawther,Points,11.5,13.8,over,2.3
Branden Carlson,Points,15.5,13.2,under,-2.3
Jrue Holiday,Points,17.5,15.3,under,-2.2
Duncan Robinson,Points,9.5,11.6,over,2.1
Kenrich Williams,Points,11.5,13.6,over,2.1
Deni Avdija,Points,25.5,23.4,under,-2.1
Jalen Green,Points,16.5,18.6,over,2.1
Dean Wade,Points,4.5,6.5,over,2
Sandro Mamukelashvili,Points,11.5,10.5,under,-2
Oscar Tshiebwe,Points,14.5,12.5,under,-2
CJ McCollum,Points,18.5,20.4,over,1.9
Jay Huff,Points,11.5,9.6,under,-1.9
John Konchar,Points,9.5,7.6,under,-1.9
Stephen Curry,Points,29.5,21.6,under,-1.9
Kris Dunn,Points,5.5,7.4,over,1.9
Luke Kennard,Points,13.5,11.6,under,-1.9
Neemias Queta,Points,10.5,12.3,over,1.8
Baylor Scheierman,Points,8.5,7.7,under,-1.8
Bennedict Mathurin,Points,13.5,15.3,over,1.8
Taurean Prince,Points,11.5,9.8,under,-1.7
AJ Green,Points,14.5,10.8,under,-1.7
Draymond Green,Points,9.5,7.8,under,-1.7
Keon Ellis,Points,8.5,10.1,over,1.6
Jaylon Tyson,Points,11.5,9.9,under,-1.6
Jakob Poeltl,Points,11.5,10.9,under,-1.6
Mikal Bridges,Points,12.5,14.1,over,1.6
Nikola Vucevic,Points,10.5,12.1,over,1.6
Gui Santos,Points,16.5,13.9,under,-1.6
Payton Pritchard,Points,17.5,19,over,1.5
Tobias Harris,Points,11.5,12.9,over,1.4
Jonathan Kuminga,Points,12.5,13.9,over,1.4
Kyle Kuzma,Points,14.5,15.9,over,1.4
Al Horford,Points,5.5,4.1,under,-1.4
Brandon Ingram,Points,21.5,20.2,under,-1.3
Luguentz Dort,Points,9.5,7.2,under,-1.3
Derrick Jones Jr.,Points,8.5,9.8,over,1.3
Rui Hachimura,Points,19.5,11.3,under,-1.2
Landry Shamet,Points,7.5,8.6,over,1.1
Scottie Barnes,Points,16.5,17.6,over,1.1
Tristan da Silva,Points,9.5,10.6,over,1.1
Jaime Jaquez Jr.,Points,24.5,15.5,under,-1
Kevin Huerter,Points,6.5,7.5,over,1
Dennis Schroder,Points,10.5,9.5,under,-1
Dylan Cardwell,Points,9.5,6.5,under,-1
Brook Lopez,Points,12.5,10.5,under,-1
Pelle Larsson,Points,14.5,13.6,under,-0.9
Miles Bridges,Points,15.5,16.4,over,0.9
Moussa Diabate,Points,7.5,8.4,over,0.9
Andre Drummond,Points,9.5,6.6,under,-0.9
Quentin Grimes,Points,11.5,12.4,over,0.9
Sam Hauser,Points,8.5,9.4,over,0.9
Jordan Walsh,Points,6.5,7.4,over,0.9
Paolo Banchero,Points,23.5,22.6,under,-0.9
Anthony Black,Points,10.5,9.6,under,-0.9
Rob Dillingham,Points,10.5,9.6,under,-0.9
Toumani Camara,Points,13.5,14.4,over,0.9
Grant Williams,Points,5.5,6.3,over,0.8
Nickeil Alexander-Walker,Points,21.5,22.3,over,0.8
Karl-Anthony Towns,Points,18.5,19.3,over,0.8
Miles McBride,Points,7.5,8.3,over,0.8
Jaylen Brown,Points,27.5,28.3,over,0.8
Keldon Johnson,Points,14.5,13.7,under,-0.8
Jalen Suggs,Points,14.5,15.3,over,0.8
Daeqwon Plowden,Points,12.5,13.3,over,0.8
Devin Carter,Points,14.5,13.7,under,-0.8
Darius Garland,Points,19.5,20.3,over,0.8
Scoot Henderson,Points,14.5,12.7,under,-0.8
Bub Carrington,Points,14.5,10.8,under,-0.7
Franz Wagner,Points,16.5,17.2,over,0.7
Alperen Sengun,Points,19.5,20.2,over,0.7
Cade Cunningham,Points,18.5,19.1,over,0.6
James Harden,Points,22.5,23.1,over,0.6
Dominick Barlow,Points,7.5,8.1,over,0.6
Adem Bona,Points,9.5,5.9,under,-0.6
VJ Edgecombe,Points,16.5,17.1,over,0.6
Jalen Brunson,Points,24.5,25.1,over,0.6
Myles Turner,Points,10.5,11.1,over,0.6
Luke Kornet,Points,7.5,8.1,over,0.6
Ryan Nembhard,Points,9.5,10.1,over,0.6
Wendell Carter Jr.,Points,11.5,12.1,over,0.6
Goga Bitadze,Points,8.5,7.9,under,-0.6
Ryan Nembhard,Assists,6.5,8,over,1.5
Jamir Watkins,Assists,2.5,1.1,under,-1.4
Devin Carter,Assists,5.5,4.1,under,-1.4
Evan Mobley,Assists,2.5,3.8,over,1.3
Ben Sheppard,Assists,2.5,1.4,under,-1.1
Royce O'Neale,Assists,3.5,2.4,under,-1.1
Tobias Harris,Assists,1.5,2.5,over,1
Aaron Wiggins,Assists,3.5,2.5,under,-1
Cade Cunningham,Assists,8.5,7.6,under,-0.9
Jonathan Kuminga,Assists,1.5,2.4,over,0.9
Scottie Barnes,Assists,6.5,5.6,under,-0.9
Kevin Durant,Assists,5.5,4.6,under,-0.9
Branden Carlson,Assists,2.5,1.6,under,-0.9
Bam Adebayo,Assists,4.5,3.7,under,-0.8
Julian Reese,Assists,2.5,1.7,under,-0.8
Ethan Thompson,Assists,2.5,1.7,under,-0.8
Ben Saraf,Assists,4.5,3.7,under,-0.8
Jalen Suggs,Assists,6.5,5.7,under,-0.8
De'Anthony Melton,Assists,3.5,2.7,under,-0.8
Maxime Raynaud,Assists,0.5,1.3,over,0.8
Scoot Henderson,Assists,3.5,4.3,over,0.8
Marcus Smart,Assists,3.5,2.7,under,-0.8
Anthony Gill,Assists,2.5,1.8,under,-0.7
Dennis Schroder,Assists,3.5,4.2,over,0.7
E.J. Liddell,Assists,1.5,0.8,under,-0.7
Franz Wagner,Assists,2.5,3.2,over,0.7
Andrew Wiggins,Assists,2.5,3.1,over,0.6
Jaime Jaquez Jr.,Assists,5.5,4.9,under,-0.6
Pelle Larsson,Assists,3.5,4.1,over,0.6
Jakob Poeltl,Assists,1.5,2.1,over,0.6
Cormac Ryan,Assists,2.5,1.9,under,-0.6
Devin Vassell,Assists,3.5,2.9,under,-0.6
Wendell Carter Jr.,Assists,1.5,2.1,over,0.6
Goga Bitadze,Assists,2.5,1.9,under,-0.6
Patrick Williams,Assists,2.5,1.9,under,-0.6
Jaden McDaniels,Assists,1.5,2.1,over,0.6
Kenrich Williams,Assists,3.5,2.9,under,-0.6
Donovan Clingan,Assists,1.5,2.1,over,0.6
Duncan Robinson,Assists,1.5,2,over,0.5
LaMelo Ball,Assists,7.5,7,under,-0.5
Ausar Thompson,Assists,2.5,3,over,0.5
Kon Knueppel,Assists,2.5,3,over,0.5
Nickeil Alexander-Walker,Assists,3.5,4,over,0.5
Jarace Walker,Assists,3.5,3,under,-0.5
Derrick White,Assists,5.5,6,over,0.5
Nolan Traore,Assists,3.5,4,over,0.5
Max Christie,Assists,2.5,2,under,-0.5
Collin Sexton,Assists,3.5,4,over,0.5
Desmond Bane,Assists,4.5,4,under,-0.5
Matas Buzelis,Assists,1.5,2,over,0.5
Oscar Tshiebwe,Assists,2.5,2,under,-0.5
Jared McCain,Assists,4.5,3,under,-0.5
Dillon Brooks,Assists,2.5,2,under,-0.5
Collin Gillespie,Assists,5,5.5,over,0.5
Jalen Duren,Assists,1.5,1.9,over,0.4
Moussa Diabate,Assists,1.5,1.9,over,0.4
James Harden,Assists,7.5,7.9,over,0.4
Paul George,Assists,4.5,4.1,under,-0.4
Andre Drummond,Assists,1.5,1.1,under,-0.4
VJ Edgecombe,Assists,4.5,4.1,under,-0.4
OG Anunoby,Assists,1.5,1.9,over,0.4
