player,prop,line,proj,side,diff
Ajay Mitchell,Points,14.5,17.6,over,3.1
Paolo Banchero,Points,26.5,24,under,-2.5
Will Richard,Points,1.5,3.8,over,2.3
Myles Turner,Points,12.5,14.7,over,2.2
Kyle Kuzma,Points,8.5,10.5,over,2
Ryan Rollins,Points,12.5,14.4,over,1.9
Miles Bridges,Points,20.5,17.7,under,-1.8
LaMelo Ball,Points,27.5,24.8,under,-1.7
Kon Knueppel,Points,12.5,14.2,over,1.7
Tre Johnson,Points,12.5,14.1,over,1.6
CJ McCollum,Points,14.5,16,over,1.5
Nikola Jovic,Points,10.5,12,over,1.5
Tyus Jones,Points,5.5,6.9,over,1.4
Franz Wagner,Points,21.5,22.8,over,1.3
Tristan da Silva,Points,9.5,7.2,under,-1.3
Giannis Antetokounmpo,Points,31.5,29.3,under,-1.2
Isaiah Hartenstein,Points,12.5,10.3,under,-1.2
Buddy Hield,Points,6.5,7.6,over,1.1
Taurean Prince,Points,5.5,6.6,over,1.1
Alex Caruso,Points,9.5,7.4,under,-1.1
Kel'el Ware,Points,10.5,11.6,over,1.1
Brandin Podziemski,Points,10.5,11.5,over,1
Marvin Bagley III,Points,6.5,4.6,under,-0.9
Devin Vassell,Points,16.5,15.6,under,-0.9
Davion Mitchell,Points,10.5,9.6,under,-0.9
Desmond Bane,Points,19.5,18.7,under,-0.8
Jaime Jaquez Jr.,Points,13.5,14.2,over,0.7
Wendell Carter Jr.,Points,11.5,10.9,under,-0.6
Stephen Curry,Points,26.5,24.9,under,-0.6
Gary Trent Jr.,Points,11.5,12.1,over,0.6
Harrison Barnes,Points,9.5,10.1,over,0.6
Keldon Johnson,Points,11.5,10.9,under,-0.6
Bobby Portis Jr.,Points,9.5,10,over,0.5
Shai Gilgeous-Alexander,Points,33.5,33,under,-0.5
Luguentz Dort,Points,10.5,10,under,-0.5
Alex Sarr,Points,14.5,13,under,-0.5
Andrew Wiggins,Points,17.5,18,over,0.5
Dylan Harper,Points,13.5,14,over,0.5
Collin Sexton,Points,17.5,17.9,over,0.4
Goga Bitadze,Points,5.5,5.9,over,0.4
Bilal Coulibaly,Points,8.5,8.1,under,-0.4
Bub Carrington,Points,8.5,8.9,over,0.4
Dru Smith,Points,5.5,5.9,over,0.4
Tre Mann,Points,9.5,9.2,under,-0.3
Sion James,Points,6.5,6.8,over,0.3
Julian Champagnie,Points,9.5,8.2,under,-0.3
Moussa Diabate,Points,7.5,6.3,under,-0.2
Ryan Kalkbrenner,Points,8.5,8.7,over,0.2
Draymond Green,Points,8.5,8.7,over,0.2
Corey Kispert,Points,7.5,7.7,over,0.2
Aaron Wiggins,Points,15.5,15.7,over,0.2
Victor Wembanyama,Points,27.5,27.7,over,0.2
Tidjane Salaun,Points,4.5,4.6,over,0.1
Al Horford,Points,6.5,6.4,under,-0.1
Jonathan Kuminga,Points,16.5,16.6,over,0.1
Khris Middleton,Points,12.5,11.4,under,-0.1
Jaylin Williams,Points,5.5,5.6,over,0.1
Stephon Castle,Points,17.5,17.6,over,0.1
Desmond Bane,Assists,3.5,4.8,over,1.3
Khris Middleton,Assists,2.5,3.6,over,1.1
