player,prop,line,proj,side,diff
Tim Hardaway Jr.,Points,14.5,17.3,over,2.8
Will Richard,Points,4.5,7.2,over,2.7
Ajay Mitchell,Points,12.5,15.1,over,2.6
Aaron Wiggins,Points,8.5,10.8,over,2.3
Shaedon Sharpe,Points,24.5,22.2,under,-2.3
Anfernee Simons,Points,17.5,19.7,over,2.2
Collin Gillespie,Points,11.5,13.7,over,2.2
Norman Powell,Points,22.5,20.3,under,-2.2
De'Aaron Fox,Points,18.5,20.7,over,2.2
Donte DiVincenzo,Points,12.5,14.7,over,2.2
LaMelo Ball,Points,18.5,20.6,over,2.1
Karl-Anthony Towns,Points,22.5,19.5,under,-2
Ben Sheppard,Points,10.5,8.5,under,-2
Rudy Gobert,Points,9.5,11.5,over,2
Moussa Diabate,Points,7.5,9.5,over,2
Luke Kennard,Points,7.5,5.6,under,-1.9
Tyler Kolek,Points,5.5,7.4,over,1.9
Jordan Walsh,Points,5.5,7.3,over,1.8
Kel'el Ware,Points,8.5,6.7,under,-1.8
Isaiah Collier,Points,10.5,8.8,under,-1.7
Jordan Clarkson,Points,11.5,13.2,over,1.7
Caris LeVert,Points,5.5,7.2,over,1.7
Jalen Williams,Points,18.5,20.2,over,1.7
Kasparas Jakucionis,Points,8.5,5.8,under,-1.7
Julius Randle,Points,20.5,22.2,over,1.7
Rui Hachimura,Points,10.5,8.9,under,-1.6
Miles Bridges,Points,17.5,19,over,1.5
Aaron Gordon,Points,20.5,18,under,-1.5
Jalen Johnson,Points,21.5,20.1,under,-1.4
Jarace Walker,Points,15.5,13.1,under,-1.4
Cody Williams,Points,8.5,9.8,over,1.3
CJ McCollum,Points,18.5,16.2,under,-1.3
Miles McBride,Points,15.5,14.2,under,-1.3
Shai Gilgeous-Alexander,Points,31.5,32.8,over,1.3
De'Anthony Melton,Points,11.5,9.2,under,-1.3
Walter Clayton Jr.,Points,9.5,10.7,over,1.2
Bruce Brown Jr.,Points,7.5,8.7,over,1.2
Deandre Ayton,Points,16.5,15.3,under,-1.2
Corey Kispert,Points,8.5,6.4,under,-1.1
Ronald Holland II,Points,7.5,8.6,over,1.1
Anthony Edwards,Points,26.5,27.6,over,1.1
Al Horford,Points,6.5,7.6,over,1.1
Robert Williams III,Points,5.5,6.6,over,1.1
Ausar Thompson,Points,10.5,9.5,under,-1
Jaden McDaniels,Points,13.5,14.5,over,1
Bones Hyland,Points,7.5,6.5,under,-1
Justin Champagnie,Points,10.5,11.5,over,1
Bub Carrington,Points,11.5,10.5,under,-1
Mitchell Robinson,Points,5.5,4.6,under,-0.9
Cade Cunningham,Points,26.5,27.4,over,0.9
Alex Caruso,Points,5.5,6.4,over,0.9
Dylan Harper,Points,10.5,11.4,over,0.9
Stephen Curry,Points,28.5,26.6,under,-0.9
Tre Johnson,Points,14.5,15.4,over,0.9
Klay Thompson,Points,15.5,14.7,under,-0.8
Vit Krejci,Points,8.5,9.3,over,0.8
Sam Hauser,Points,10.5,11.3,over,0.8
Mouhamed Gueye,Points,5.5,6.3,over,0.8
Duncan Robinson,Points,10.5,11.3,over,0.8
Javonte Green,Points,5.5,6.3,over,0.8
Jay Huff,Points,13.5,12.7,under,-0.8
Jalen Duren,Points,17.5,15.7,under,-0.8
Rayan Rupert,Points,4.5,3.7,under,-0.8
Donovan Clingan,Points,10.5,11.3,over,0.8
Jaylen Brown,Points,30.5,29.8,under,-0.7
Hugo Gonzalez,Points,4.5,5.2,over,0.7
Devin Booker,Points,24.5,25.2,over,0.7
Mikal Bridges,Points,17.5,15.8,under,-0.7
Mark Williams,Points,11.5,12.2,over,0.7
Tobias Harris,Points,12.5,13.2,over,0.7
Naz Reid,Points,16.5,14.8,under,-0.7
Victor Wembanyama,Points,24.5,25.2,over,0.7
Collin Sexton,Points,11.5,9.8,under,-0.7
Ryan Kalkbrenner,Points,7.5,6.8,under,-0.7
Sion James,Points,5.5,4.8,under,-0.7
Spencer Jones,Points,7.5,8.2,over,0.7
Ryan Nembhard,Points,8.5,9.1,over,0.6
Dillon Brooks,Points,19.5,17.9,under,-0.6
Simone Fontecchio,Points,7.5,6.9,under,-0.6
Harrison Barnes,Points,9.5,10.1,over,0.6
Alex Sarr,Points,17.5,15.9,under,-0.6
Dwight Powell,Points,7.5,6,under,-0.5
Grayson Allen,Points,14.5,14,under,-0.5
Quenton Jackson,Points,13.5,14,over,0.5
Chet Holmgren,Points,17.5,18,over,0.5
Pelle Larsson,Points,10.5,11,over,0.5
Jamal Murray,Points,27.5,27,under,-0.5
Dyson Daniels,Points,10.5,10.9,over,0.4
Landry Shamet,Points,8.5,8.9,over,0.4
Ryan Dunn,Points,4.5,4.9,over,0.4
Bam Adebayo,Points,16.5,16.1,under,-0.4
Khris Middleton,Points,10.5,10.9,over,0.4
Toumani Camara,Points,14.5,13.1,under,-0.4
Ace Bailey,Points,13.5,13.8,over,0.3
Derrick White,Points,20.5,20.2,under,-0.3
OG Anunoby,Points,18.5,17.2,under,-0.3
Royce O'Neale,Points,9.5,9.8,over,0.3
Oso Ighodaro,Points,5.5,5.8,over,0.3
Andrew Wiggins,Points,15.5,15.8,over,0.3
Luke Kornet,Points,6.5,6.8,over,0.3
Jamal Murray,Assists,9.5,7.9,under,-1.6
Ryan Nembhard,Assists,5.5,6.6,over,1.1
Cody Williams,Assists,0.5,1.5,over,1
Karl-Anthony Towns,Assists,3.5,2.5,under,-1
Mark Williams,Assists,0.5,1.5,over,1
Jarace Walker,Assists,3.5,2.5,under,-1
Anthony Edwards,Assists,3.5,4.5,over,1
Collin Sexton,Assists,3.5,2.5,under,-1
Donte DiVincenzo,Assists,3.5,4.4,over,0.9
Keldon Johnson,Assists,0.5,1.4,over,0.9
Victor Wembanyama,Assists,2.5,3.4,over,0.9
Brandin Podziemski,Assists,2.5,3.4,over,0.9
Anfernee Simons,Assists,3.5,4.3,over,0.8
Jordan Clarkson,Assists,1.5,2.3,over,0.8
Jay Huff,Assists,2.5,1.7,under,-0.8
Gary Payton II,Assists,1.5,2.3,over,0.8
De'Anthony Melton,Assists,1.5,2.3,over,0.8
Aaron Gordon,Assists,2.5,3.3,over,0.8
Jalen Pickett,Assists,3.5,4.3,over,0.8
Luke Kennard,Assists,2.5,1.8,under,-0.7
Tyler Kolek,Assists,3.5,4.2,over,0.7
Isaiah Stewart,Assists,0.5,1.2,over,0.7
Alex Caruso,Assists,1.5,2.2,over,0.7
Al Horford,Assists,1.5,2.2,over,0.7
Robert Williams III,Assists,0.5,1.2,over,0.7
Brice Sensabaugh,Assists,1.5,2.1,over,0.6
Dyson Daniels,Assists,5.5,4.9,under,-0.6
Mouhamed Gueye,Assists,0.5,1.1,over,0.6
Grayson Allen,Assists,2.5,3.1,over,0.6
Jordan Goodwin,Assists,1.5,2.1,over,0.6
Ryan Dunn,Assists,1.5,0.9,under,-0.6
Tobias Harris,Assists,1.5,2.1,over,0.6
Jalen Duren,Assists,1.5,2.1,over,0.6
Luguentz Dort,Assists,0.5,1.1,over,0.6
LaMelo Ball,Assists,6.5,7.1,over,0.6
Will Richard,Assists,0.5,1.1,over,0.6
Zeke Nnaji,Assists,1.5,0.9,under,-0.6
Will Riley,Assists,1.5,2.1,over,0.6
Rayan Rupert,Assists,1.5,0.9,under,-0.6
Klay Thompson,Assists,1.5,2,over,0.5
Dwight Powell,Assists,1.5,2,over,0.5
Ace Bailey,Assists,1.5,2,over,0.5
Walter Clayton Jr.,Assists,4.5,4,under,-0.5
Nickeil Alexander-Walker,Assists,3.5,3,under,-0.5
Onyeka Okongwu,Assists,3.5,3,under,-0.5
Jordan Walsh,Assists,0.5,1,over,0.5
OG Anunoby,Assists,2.5,2,under,-0.5
Landry Shamet,Assists,1.5,1,under,-0.5
Cade Cunningham,Assists,9.5,9,under,-0.5
Ausar Thompson,Assists,2.5,2,under,-0.5
Grant Williams,Assists,1.5,1,under,-0.5
Bub Carrington,Assists,6.5,5,under,-0.5
Alex Sarr,Assists,2.5,3,over,0.5
Jerami Grant,Assists,2.5,2,under,-0.5
Donovan Clingan,Assists,1.5,2,over,0.5
Naji Marshall,Assists,3.5,3.9,over,0.4
Brandon Williams,Assists,4.5,4.9,over,0.4
Derrick White,Assists,6.5,6.1,under,-0.4
Dillon Brooks,Assists,1.5,1.9,over,0.4
Caris LeVert,Assists,2.5,2.1,under,-0.4
Duncan Robinson,Assists,1.5,1.9,over,0.4
Chet Holmgren,Assists,1.5,1.9,over,0.4
Cason Wallace,Assists,1.5,1.9,over,0.4
Kon Knueppel,Assists,3.5,3.1,under,-0.4
Shaedon Sharpe,Assists,3.5,3.1,under,-0.4
Caleb Martin,Assists,3.5,3.2,under,-0.3
Jaylen Brown,Assists,5.5,5.2,under,-0.3
Hugo Gonzalez,Assists,0.5,0.8,over,0.3
Collin Gillespie,Assists,4.5,4.8,over,0.3
Bam Adebayo,Assists,3.5,3.2,under,-0.3
Tyler Herro,Assists,4.5,4.2,under,-0.3
Jaylin Williams,Assists,1.5,1.8,over,0.3
Ajay Mitchell,Assists,3.5,3.8,over,0.3
De'Aaron Fox,Assists,5.5,5.2,under,-0.3
Khris Middleton,Assists,3.5,3.8,over,0.3
Tim Hardaway Jr.,Assists,1.5,1.8,over,0.3
Marvin Bagley III,Assists,1.5,1.2,under,-0.3
