player,prop,line,proj,side,diff
Jalen Suggs,Points,14.5,17.2,over,2.7
Collin Gillespie,Points,6.5,9,over,2.5
Jalen Green,Points,20.5,22.7,over,2.2
Franz Wagner,Points,17.5,19.3,over,1.8
De'Anthony Melton,Points,9.5,11.3,over,1.8
Royce O'Neale,Points,6.5,8.2,over,1.7
Kon Knueppel,Points,17.5,19.1,over,1.6
Grant Williams,Points,5.5,7,over,1.5
Moussa Diabate,Points,7.5,9,over,1.5
Brandon Miller,Points,19.5,21,over,1.5
LaMelo Ball,Points,23.5,24.9,over,1.4
Jamal Cain,Points,3.5,4.8,over,1.3
Jordan Goodwin,Points,7.5,8.8,over,1.3
Gui Santos,Points,12.5,13.7,over,1.2
Sion James,Points,2.5,3.5,over,1
Coby White,Points,13.5,14.4,over,0.9
Brandin Podziemski,Points,14.5,15.3,over,0.8
Devin Booker,Points,28.5,29,over,0.5
Grayson Allen,Points,10.5,11,over,0.5
Al Horford,Points,7.5,7.9,over,0.4
Kristaps Porzingis,Points,18.5,18.9,over,0.4
Anthony Black,Points,10.5,10.2,under,-0.3
Draymond Green,Points,9.5,9.8,over,0.3
Desmond Bane,Points,20.5,20.6,over,0.1
Paolo Banchero,Points,22.5,22.6,over,0.1
Stephen Curry,Points,27.5,27.6,over,0.1
Oso Ighodaro,Points,6.5,6.4,under,-0.1
Franz Wagner,Assists,2.5,3.6,over,1.1
LaMelo Ball,Assists,7.5,8.5,over,1
Brandon Miller,Assists,2.5,3.4,over,0.9
Miles Bridges,Assists,2.5,3.3,over,0.8
Jalen Suggs,Assists,5.5,6.3,over,0.8
Royce O'Neale,Assists,1.5,2.3,over,0.8
Gui Santos,Assists,2.5,3.3,over,0.8
Coby White,Assists,2.5,3.2,over,0.7
Desmond Bane,Assists,3.5,4.2,over,0.7
Kon Knueppel,Assists,2.5,3.2,over,0.7
Stephen Curry,Assists,4.5,5.2,over,0.7
Dillon Brooks,Assists,1.5,2.2,over,0.7
Jordan Goodwin,Assists,1.5,2.2,over,0.7
Jalen Green,Assists,3.5,4.2,over,0.7
Brandin Podziemski,Assists,3.5,4.2,over,0.7
Paolo Banchero,Assists,4.5,5.1,over,0.6
Wendell Carter Jr.,Assists,1.5,2,over,0.5
Moussa Diabate,Assists,1.5,2,over,0.5
Devin Booker,Assists,6.5,7,over,0.5
Draymond Green,Assists,6.5,6.1,under,-0.4
Jamal Cain,Assists,0.5,0.7,over,0.2
Al Horford,Assists,2.5,2.3,under,-0.2
Kristaps Porzingis,Assists,2.5,2.3,under,-0.2
Oso Ighodaro,Assists,2.5,2.3,under,-0.2
Anthony Black,Assists,2.5,2.6,over,0.1
De'Anthony Melton,Assists,2.5,2.6,over,0.1
Grayson Allen,Assists,2.5,2.6,over,0.1
Grant Williams,Rebounds,2.5,3.5,over,1
Jalen Suggs,Rebounds,3.5,4.5,over,1
Gary Payton II,Rebounds,4.5,5.4,over,0.9
Ryan Kalkbrenner,Rebounds,3.5,4.3,over,0.8
Al Horford,Rebounds,4.5,5.3,over,0.8
Stephen Curry,Rebounds,3.5,4.3,over,0.8
Paolo Banchero,Rebounds,8.5,7.8,under,-0.7
Brandin Podziemski,Rebounds,5.5,6.2,over,0.7
Desmond Bane,Rebounds,4.5,3.9,under,-0.6
Wendell Carter Jr.,Rebounds,6.5,7,over,0.5
LaMelo Ball,Rebounds,5.5,6,over,0.5
Royce O'Neale,Rebounds,4.5,4,under,-0.5
Jalen Green,Rebounds,4.5,5,over,0.5
Goga Bitadze,Rebounds,4.5,4.9,over,0.4
Kon Knueppel,Rebounds,5,5.4,over,0.4
Dillon Brooks,Rebounds,4.5,4.1,under,-0.4
Jordan Goodwin,Rebounds,5.5,5.1,under,-0.4
Collin Gillespie,Rebounds,2.5,2.9,over,0.4
Coby White,Rebounds,2.5,2.8,over,0.3
Moussa Diabate,Rebounds,9.5,9.8,over,0.3
Brandon Miller,Rebounds,5.5,5.2,under,-0.3
Sion James,Rebounds,2.5,2.2,under,-0.3
Miles Bridges,Rebounds,6.5,6.3,under,-0.2
Grayson Allen,Rebounds,2.5,2.3,under,-0.2
Franz Wagner,Rebounds,4.5,4.6,over,0.1
Jamal Cain,Rebounds,1.5,1.6,over,0.1
Anthony Black,Rebounds,2.5,2.6,over,0.1
Tristan da Silva,Rebounds,2.5,2.6,over,0.1
Kristaps Porzingis,Rebounds,6.5,6.4,under,-0.1
Devin Booker,Rebounds,4.5,4.4,under,-0.1
De'Anthony Melton,Rebounds,3.5,3.4,under,-0.1
Dillon Brooks,Pts+Ast,20,23.3,over,3.3
Jalen Suggs,Pts+Ast,20.5,23.5,over,3
Kon Knueppel,Pts+Ast,19.5,22.3,over,2.8
Grant Williams,Pts+Ast,6,8.5,over,2.5
Franz Wagner,Pts+Ast,20.5,22.9,over,2.4
Jalen Green,Pts+Ast,24.5,26.9,over,2.4
Goga Bitadze,Pts+Ast,5.5,7.5,over,2
LaMelo Ball,Pts+Ast,31.5,33.4,over,1.9
Brandon Miller,Pts+Ast,22.5,24.4,over,1.9
Moussa Diabate,Pts+Ast,9.5,11,over,1.5
De'Anthony Melton,Pts+Ast,12.5,13.8,over,1.3
Coby White,Pts+Ast,16.5,17.6,over,1.1
Grayson Allen,Pts+Ast,12.5,13.6,over,1.1
Royce O'Neale,Pts+Ast,9.5,10.5,over,1
Brandin Podziemski,Pts+Ast,18.5,19.5,over,1
Paolo Banchero,Pts+Ast,28.5,27.7,under,-0.8
Oso Ighodaro,Pts+Ast,9.5,8.7,under,-0.8
Al Horford,Pts+Ast,9.5,10.2,over,0.7
Kristaps Porzingis,Pts+Ast,20.5,21.2,over,0.7
Devin Booker,Pts+Ast,35.5,36,over,0.5
Jordan Goodwin,Pts+Ast,10.5,11,over,0.5
Gui Santos,Pts+Ast,16.5,17,over,0.5
