player,prop,line,proj,side,diff
Collin Sexton,Points,12.5,15.5,over,3
Landry Shamet,Points,5.5,8.2,over,2.7
LaMelo Ball,Points,19.5,22.1,over,2.6
Kelly Oubre Jr.,Points,12.5,15,over,2.5
Naji Marshall,Points,18.5,15,under,-2.5
Andrew Wiggins,Points,15.5,18,over,2.5
Paul George,Points,14.5,16.6,over,2.1
Miles Bridges,Points,17.5,19.6,over,2.1
Jarrett Allen,Points,13.5,15.6,over,2.1
Desmond Bane,Points,18.5,20.3,over,1.8
Derrick White,Points,17.5,19.3,over,1.8
Walter Clayton Jr.,Points,7.5,5.7,under,-1.8
Karl-Anthony Towns,Points,19.5,21.1,over,1.6
VJ Edgecombe,Points,14.5,16,over,1.5
Luka Garza,Points,6.5,8,over,1.5
Tyus Jones,Points,3.5,2.1,under,-1.4
Alex Sarr,Points,19.5,17.2,under,-1.3
Will Riley,Points,12.5,9.2,under,-1.3
Wendell Carter Jr.,Points,10.5,11.8,over,1.3
Jordan Walsh,Points,3.5,4.8,over,1.3
Lauri Markkanen,Points,26.5,25.2,under,-1.3
Jaime Jaquez Jr.,Points,14.5,15.8,over,1.3
Marcus Smart,Points,9.5,10.7,over,1.2
Jalen Suggs,Points,12.5,11.4,under,-1.1
LeBron James,Points,22.5,23.6,over,1.1
OG Anunoby,Points,15.5,16.5,over,1
Brandon Miller,Points,20.5,19.5,under,-1
Ryan Kalkbrenner,Points,7.5,8.5,over,1
Donovan Mitchell,Points,29.5,27.5,under,-1
Anthony Black,Points,15.5,14.5,under,-1
Dwight Powell,Points,4.5,5.5,over,1
Cooper Flagg,Points,19.5,18.5,under,-1
Pelle Larsson,Points,12.5,10.5,under,-1
Nikola Vucevic,Points,16.5,15.6,under,-0.9
Jake LaRavia,Points,7.5,8.4,over,0.9
Nikola Jovic,Points,7.5,8.4,over,0.9
Mikal Bridges,Points,15.5,16.3,over,0.8
Kon Knueppel,Points,18.5,19.3,over,0.8
Tre Johnson,Points,15.5,16.3,over,0.8
Paolo Banchero,Points,23.5,24.3,over,0.8
Tristan da Silva,Points,7.5,8.3,over,0.8
Nae'Qwan Tomlin,Points,6.5,5.7,under,-0.8
Jaylen Brown,Points,29.5,30.3,over,0.8
Coby White,Points,18.5,17.7,under,-0.8
Josh Giddey,Points,13.5,14.3,over,0.8
P.J. Washington Jr.,Points,13.5,11.7,under,-0.8
Caleb Martin,Points,4.5,3.7,under,-0.8
Kyle Filipowski,Points,10.5,9.7,under,-0.8
Moritz Wagner,Points,7.5,8.2,over,0.7
Jaylon Tyson,Points,15.5,16.2,over,0.7
Deandre Ayton,Points,12.5,13.2,over,0.7
Grant Williams,Points,5.5,6.1,over,0.6
Moussa Diabate,Points,8.5,7.9,under,-0.6
Anfernee Simons,Points,13.5,14.1,over,0.6
Isaac Okoro,Points,8.5,7.9,under,-0.6
Sam Hauser,Points,10.5,11.1,over,0.6
Craig Porter Jr.,Points,6.5,6,under,-0.5
Payton Pritchard,Points,16.5,17,over,0.5
Matas Buzelis,Points,14.5,14,under,-0.5
Gabe Vincent,Points,4.5,5,over,0.5
Isaiah Collier,Points,8.5,8,under,-0.5
Mitchell Robinson,Points,5.5,5.1,under,-0.4
Klay Thompson,Points,11.5,11.1,under,-0.4
Rui Hachimura,Points,10.5,10.9,over,0.4
Norman Powell,Points,23.5,23.9,over,0.4
Josh Hart,Points,11.5,11.2,under,-0.3
Justin Champagnie,Points,11.5,11.8,over,0.3
Brandon Williams,Points,13.5,12.2,under,-0.3
Simone Fontecchio,Points,10.5,10.8,over,0.3
Jalen Brunson,Points,26.5,26.3,under,-0.2
Tyrese Maxey,Points,28.5,28.7,over,0.2
Sion James,Points,4.5,4.7,over,0.2
Kevin Huerter,Points,8.5,8.3,under,-0.2
Ayo Dosunmu,Points,12.5,12.7,over,0.2
Jarred Vanderbilt,Points,4.5,4.7,over,0.2
Jaxson Hayes,Points,5.5,5.7,over,0.2
Bam Adebayo,Points,20.5,20.7,over,0.2
Ace Bailey,Points,14.5,14.3,under,-0.2
Miles McBride,Points,10.5,10.6,over,0.1
Goga Bitadze,Points,4.5,4.6,over,0.1
Dean Wade,Points,6.5,6.6,over,0.1
Evan Mobley,Points,18.5,18.6,over,0.1
Patrick Williams,Points,5.5,5.6,over,0.1
Cody Williams,Points,7.5,7.4,under,-0.1
Walter Clayton Jr.,Assists,3.5,2.3,under,-1.2
Tyus Jones,Assists,2.5,1.4,under,-1.1
LeBron James,Assists,6.5,7.5,over,1
Paolo Banchero,Assists,4.5,5.4,over,0.9
Tristan da Silva,Assists,0.5,1.3,over,0.8
Matas Buzelis,Assists,2.5,1.7,under,-0.8
Gabe Vincent,Assists,0.5,1.3,over,0.8
Alex Sarr,Assists,2.5,3.2,over,0.7
Jarrett Allen,Assists,1.5,2.2,over,0.7
Wendell Carter Jr.,Assists,1.5,2.2,over,0.7
Jaylen Brown,Assists,4.5,5.2,over,0.7
Bam Adebayo,Assists,3.5,4.2,over,0.7
Pelle Larsson,Assists,4.5,3.8,under,-0.7
Goga Bitadze,Assists,0.5,1.1,over,0.6
Patrick Williams,Assists,0.5,1.1,over,0.6
Marcus Smart,Assists,2.5,3.1,over,0.6
Deandre Ayton,Assists,0.5,1.1,over,0.6
Daniel Gafford,Assists,0.5,1.1,over,0.6
Andrew Wiggins,Assists,2.5,3.1,over,0.6
Kyle Filipowski,Assists,1.5,2.1,over,0.6
Ace Bailey,Assists,1.5,2.1,over,0.6
Josh Hart,Assists,5.5,5,under,-0.5
Mikal Bridges,Assists,4.5,4,under,-0.5
Landry Shamet,Assists,0.5,1,over,0.5
Collin Sexton,Assists,3.5,4,over,0.5
Desmond Bane,Assists,4.5,5,over,0.5
Jalen Suggs,Assists,4.5,3,under,-0.5
Derrick White,Assists,5.5,6,over,0.5
Anfernee Simons,Assists,2.5,3,over,0.5
Luka Garza,Assists,0.5,1,over,0.5
Rui Hachimura,Assists,0.5,1,over,0.5
Jake LaRavia,Assists,1.5,2,over,0.5
Cooper Flagg,Assists,3.5,4,over,0.5
Lauri Markkanen,Assists,1.5,2,over,0.5
Karl-Anthony Towns,Assists,2.5,2.9,over,0.4
Mitchell Robinson,Assists,0.5,0.9,over,0.4
Justin Champagnie,Assists,1.5,1.9,over,0.4
Will Riley,Assists,2.5,2.1,under,-0.4
Moritz Wagner,Assists,0.5,0.9,over,0.4
Anthony Black,Assists,4.5,4.1,under,-0.4
Kevin Huerter,Assists,1.5,1.9,over,0.4
Simone Fontecchio,Assists,1.5,1.9,over,0.4
Isaiah Collier,Assists,5.5,5.9,over,0.4
Cody Williams,Assists,1.5,1.1,under,-0.4
Tyrese Maxey,Assists,6.5,6.2,under,-0.3
LaMelo Ball,Assists,7.5,7.8,over,0.3
Brandon Miller,Assists,3.5,3.2,under,-0.3
Bub Carrington,Assists,6.5,5.2,under,-0.3
Dean Wade,Assists,1.5,1.8,over,0.3
Coby White,Assists,4.5,4.2,under,-0.3
Josh Giddey,Assists,6.5,6.8,over,0.3
