player,prop,line,proj,side,diff
Deni Avdija,Points,24.5,21.1,under,-3.4
Dillon Brooks,Points,19.5,16.3,under,-3.2
Jerami Grant,Points,19.5,16.4,under,-3.1
Quentin Grimes,Points,16.5,13.9,under,-2.6
Devin Booker,Points,29.5,26.9,under,-2.6
Norman Powell,Points,24.5,21,under,-2.5
Desmond Bane,Points,20.5,18.1,under,-2.4
Sam Hauser,Points,6.5,8.8,over,2.3
LeBron James,Points,18.5,20.8,over,2.3
John Collins,Points,11.5,13.5,over,2
Zaccharie Risacher,Points,11.5,13.4,over,1.9
Rui Hachimura,Points,11.5,13.3,over,1.8
Payton Pritchard,Points,16.5,14.8,under,-1.7
Tyrese Maxey,Points,32.5,29.9,under,-1.6
Liam McNeeley,Points,5.5,3.9,under,-1.6
Isaiah Joe,Points,13.5,15.1,over,1.6
Kris Murray,Points,6.5,4.9,under,-1.6
Toumani Camara,Points,14.5,11.9,under,-1.6
De'Aaron Fox,Points,25.5,23.9,under,-1.6
Brandon Ingram,Points,21.5,20,under,-1.5
Jordan Goodwin,Points,8.5,7,under,-1.5
Jalen Johnson,Points,23.5,21.1,under,-1.4
Luguentz Dort,Points,8.5,9.9,over,1.4
Lauri Markkanen,Points,26.5,24.1,under,-1.4
Julian Champagnie,Points,11.5,10.1,under,-1.4
Brook Lopez,Points,7.5,8.8,over,1.3
Donovan Mitchell,Points,28.5,26.2,under,-1.3
Anfernee Simons,Points,13.5,14.8,over,1.3
Franz Wagner,Points,25.5,23.2,under,-1.3
Ajay Mitchell,Points,14.5,15.8,over,1.3
Deandre Ayton,Points,14.5,15.8,over,1.3
Davion Mitchell,Points,10.5,8.3,under,-1.2
Dyson Daniels,Points,12.5,11.3,under,-1.2
Tyus Jones,Points,4.5,5.7,over,1.2
Ziaire Williams,Points,11.5,9.3,under,-1.2
James Harden,Points,24.5,22.4,under,-1.1
Vit Krejci,Points,10.5,11.6,over,1.1
Collin Murray-Boyles,Points,9.5,8.4,under,-1.1
Bam Adebayo,Points,21.5,19.5,under,-1
Trendon Watford,Points,7.5,8.5,over,1
Dru Smith,Points,5.5,6.5,over,1
LaMelo Ball,Points,19.5,20.5,over,1
Oso Ighodaro,Points,5.5,4.5,under,-1
Darius Garland,Points,19.5,17.6,under,-0.9
Derrick White,Points,16.5,17.4,over,0.9
Svi Mykhailiuk,Points,8.5,9.4,over,0.9
Collin Gillespie,Points,13.5,10.6,under,-0.9
Jeremy Sochan,Points,8.5,7.6,under,-0.9
Kawhi Leonard,Points,20.5,18.7,under,-0.8
Sion James,Points,7.5,6.7,under,-0.8
Sidy Cissoko,Points,5.5,6.3,over,0.8
Marcus Smart,Points,7.5,8.3,over,0.8
Simone Fontecchio,Points,10.5,11.2,over,0.7
Jaylon Tyson,Points,10.5,11.2,over,0.7
Kyle Filipowski,Points,8.5,9.2,over,0.7
Miles Bridges,Points,19.5,20.1,over,0.6
Scottie Barnes,Points,17.5,18.1,over,0.6
Isaiah Hartenstein,Points,12.5,10.9,under,-0.6
Alex Caruso,Points,6.5,7.1,over,0.6
Donovan Clingan,Points,9.5,8.9,under,-0.6
Kevin Love,Points,4.5,5.1,over,0.6
Harrison Barnes,Points,13.5,12.9,under,-0.6
Nic Claxton,Points,14.5,13,under,-0.5
Jamal Shead,Points,6.5,6,under,-0.5
Devin Vassell,Points,15.5,16,over,0.5
Mark Williams,Points,13.5,12,under,-0.5
Paul George,Points,15.5,15.9,over,0.4
Kris Dunn,Points,6.5,6.9,over,0.4
Keaton Wallace,Points,5.5,5.1,under,-0.4
Jaylen Brown,Points,27.5,26.1,under,-0.4
Luka Garza,Points,6.5,6.9,over,0.4
Cason Wallace,Points,8.5,8.9,over,0.4
Jake LaRavia,Points,7.5,7.9,over,0.4
Luke Kornet,Points,9.5,8.1,under,-0.4
Keldon Johnson,Points,14.5,14.9,over,0.4
Dominick Barlow,Points,6.5,6.8,over,0.3
Dean Wade,Points,6.5,5.2,under,-0.3
RJ Barrett,Points,19.5,19.2,under,-0.3
Royce O'Neale,Points,11.5,10.2,under,-0.3
Neemias Queta,Points,10.5,9.3,under,-0.2
Sandro Mamukelashvili,Points,10.5,10.3,under,-0.2
Chet Holmgren,Points,18.5,17.3,under,-0.2
Gabe Vincent,Points,4.5,4.7,over,0.2
Brice Sensabaugh,Points,8.5,8.3,under,-0.2
Pelle Larsson,Points,11.5,10.4,under,-0.1
Evan Mobley,Points,18.5,18.6,over,0.1
Terance Mann,Points,9.5,8.4,under,-0.1
Immanuel Quickley,Points,15.5,15.6,over,0.1
Tyrese Martin,Points,8.5,7.4,under,-0.1
Shai Gilgeous-Alexander,Points,32.5,32.6,over,0.1
Ace Bailey,Points,11.5,11.4,under,-0.1
Jamal Shead,Assists,4.5,5.7,over,1.2
Kon Knueppel,Assists,3.5,2.4,under,-1.1
Jett Howard,Assists,1.5,0.4,under,-1.1
Luguentz Dort,Assists,0.5,1.5,over,1
Immanuel Quickley,Assists,6.5,5.6,under,-0.9
LaMelo Ball,Assists,7.5,6.7,under,-0.8
Vit Krejci,Assists,2.5,1.7,under,-0.8
Anfernee Simons,Assists,2.5,3.3,over,0.8
Gradey Dick,Assists,0.5,1.3,over,0.8
Sidy Cissoko,Assists,2.5,1.7,under,-0.8
LeBron James,Assists,6.5,7.3,over,0.8
Rui Hachimura,Assists,0.5,1.3,over,0.8
Jake LaRavia,Assists,1.5,2.3,over,0.8
Dillon Brooks,Assists,1.5,2.3,over,0.8
Bam Adebayo,Assists,3.5,4.2,over,0.7
Tyrese Maxey,Assists,7.5,6.8,under,-0.7
Moussa Diabate,Assists,1.5,0.8,under,-0.7
Tyus Jones,Assists,2.5,3.2,over,0.7
Isaiah Collier,Assists,5.5,4.8,under,-0.7
Kyle Filipowski,Assists,1.5,2.2,over,0.7
Harrison Barnes,Assists,2.5,1.8,under,-0.7
Jaylon Tyson,Assists,2.5,1.9,under,-0.6
Keaton Wallace,Assists,2.5,3.1,over,0.6
Quentin Grimes,Assists,3.5,3,under,-0.5
Jaylen Brown,Assists,4.5,4,under,-0.5
Payton Pritchard,Assists,4.5,4,under,-0.5
Sandro Mamukelashvili,Assists,1.5,2,over,0.5
Noah Clowney,Assists,1.5,1,under,-0.5
Chet Holmgren,Assists,1.5,2,over,0.5
Jaylin Williams,Assists,2.5,2,under,-0.5
Kris Murray,Assists,1.5,1,under,-0.5
Lauri Markkanen,Assists,1.5,2,over,0.5
Svi Mykhailiuk,Assists,1.5,2,over,0.5
Luke Kornet,Assists,1.5,2,over,0.5
Royce O'Neale,Assists,3.5,3,under,-0.5
Devin Vassell,Assists,3.5,3,under,-0.5
Jordan Goodwin,Assists,2.5,2,under,-0.5
Collin Gillespie,Assists,5.5,5,under,-0.5
