player,prop,line,proj,side,diff
Kyle Filipowski,Points,6.5,10.5,over,4
Dorian Finney-Smith,Points,5.5,8.6,over,3.1
Khris Middleton,Points,12.5,15.4,over,2.9
Gary Trent Jr.,Points,10.5,13.3,over,2.8
Taurean Prince,Points,7.5,10.2,over,2.7
Dillon Brooks,Points,13.5,15.6,over,2.1
Rui Hachimura,Points,11.5,13.4,over,1.9
Max Christie,Points,9.5,11.3,over,1.8
Brook Lopez,Points,12.5,14.2,over,1.7
Clint Capela,Points,6.5,8.1,over,1.6
Alperen Sengun,Points,20.5,22,over,1.5
Kyle Lowry,Points,3.5,4.9,over,1.4
Jerami Grant,Points,13.5,14.9,over,1.4
Deandre Ayton,Points,13.5,14.9,over,1.4
Collin Sexton,Points,19.5,20.9,over,1.4
Giannis Antetokounmpo,Points,31.5,32.8,over,1.3
Andrew Wiggins,Points,18.5,19.8,over,1.3
Isaiah Collier,Points,10.5,8.3,under,-1.2
Justin Edwards,Points,8.5,9.6,over,1.1
Jaxson Hayes,Points,4.5,5.3,over,0.8
Deni Avdija,Points,15.5,16.3,over,0.8
Scoot Henderson,Points,11.5,12.3,over,0.8
Shaedon Sharpe,Points,14.5,12.7,under,-0.8
Trayce Jackson-Davis,Points,8.5,7.7,under,-0.8
LeBron James,Points,22.5,23.2,over,0.7
Adem Bona,Points,4.5,3.8,under,-0.7
Gui Santos,Points,8.5,7.8,under,-0.7
Jalen Green,Points,22.5,23.2,over,0.7
Andre Jackson Jr.,Points,4.5,5.1,over,0.6
Gary Payton II,Points,5.5,6.1,over,0.6
Brice Sensabaugh,Points,15.5,14.9,under,-0.6
Amen Thompson,Points,17.5,18.1,over,0.6
Toumani Camara,Points,10.5,11,over,0.5
Tari Eason,Points,10.5,10,under,-0.5
Tyrese Maxey,Points,29.5,29.1,under,-0.4
Stephen Curry,Points,24.5,24.9,over,0.4
Buddy Hield,Points,14.5,13.1,under,-0.4
Guerschon Yabusele,Points,12.5,12.7,over,0.2
Brandin Podziemski,Points,9.5,9.7,over,0.2
Kelly Oubre Jr.,Points,18.5,17.4,under,-0.1
Anfernee Simons,Points,20.5,20.6,over,0.1
Donovan Clingan,Points,5.5,5.4,under,-0.1
Vit Krejci,Points,9.5,9.6,over,0.1
Isaiah Collier,Assists,6.5,7.8,over,1.3
Dorian Finney-Smith,Assists,0.5,1.5,over,1
Giannis Antetokounmpo,Assists,5.5,6.4,over,0.9
Dalton Knecht,Assists,0.5,1.3,over,0.8
Khris Middleton,Assists,4.5,5.3,over,0.8
Gary Trent Jr.,Assists,0.5,1.3,over,0.8
Trayce Jackson-Davis,Assists,2.5,1.7,under,-0.8
Collin Sexton,Assists,4.5,5.2,over,0.7
Deni Avdija,Assists,4.5,3.9,under,-0.6
Tyrese Maxey,Assists,6.5,7,over,0.5
