player,prop,line,proj,side,diff
Alperen Sengun,Pts+Reb,26.5,29.2,over,2.7
Clint Capela,Pts+Reb,8.5,10.6,over,2.1
Aaron Holiday,Pts+Reb,5.5,7.6,over,2.1
Isaiah Hartenstein,Pts+Reb,17.5,19.5,over,2
Luguentz Dort,Pts+Reb,12.5,14.5,over,2
Jabari Smith Jr.,Pts+Reb,18.5,20.4,over,1.9
Jarred Vanderbilt,Pts+Reb,9.5,11.4,over,1.9
Reed Sheppard,Pts+Reb,11.5,13.2,over,1.7
Deandre Ayton,Pts+Reb,23.5,24.9,over,1.4
Al Horford,Pts+Reb,14.5,12.3,under,-1.2
Amen Thompson,Pts+Reb,23.5,24.6,over,1.1
Stephen Curry,Pts+Reb,30.5,28.5,under,-1
Jonathan Kuminga,Pts+Reb,19.5,20.5,over,1
Jake LaRavia,Pts+Reb,9.5,10.5,over,1
Kevin Durant,Pts+Reb,28.5,29.4,over,0.9
Draymond Green,Pts+Reb,14.5,15.4,over,0.9
Marcus Smart,Pts+Reb,9.5,10.4,over,0.9
Alex Caruso,Pts+Reb,11.5,12.3,over,0.8
Chet Holmgren,Pts+Reb,23.5,24.2,over,0.7
Brandin Podziemski,Pts+Reb,17.5,17,under,-0.5
Aaron Wiggins,Pts+Reb,15.5,15.1,under,-0.4
Shai Gilgeous-Alexander,Pts+Reb,36.5,36.2,under,-0.3
Rui Hachimura,Pts+Reb,17.5,17.2,under,-0.3
Jaylin Williams,Pts+Reb,8.5,8.7,over,0.2
Cason Wallace,Pts+Reb,11.5,11.6,over,0.1
Jake LaRavia,Reb+Ast,4.5,5.9,over,1.4
Jabari Smith Jr.,Reb+Ast,7.5,8.8,over,1.3
Alex Caruso,Reb+Ast,5.5,6.6,over,1.1
Marcus Smart,Reb+Ast,4.5,5.5,over,1
Jarred Vanderbilt,Reb+Ast,6.5,7.4,over,0.9
Brandin Podziemski,Reb+Ast,8.5,9.4,over,0.9
Luguentz Dort,Reb+Ast,4.5,5.3,over,0.8
Amen Thompson,Reb+Ast,12.5,13.3,over,0.8
Jaylin Williams,Reb+Ast,6.5,5.8,under,-0.7
Rui Hachimura,Reb+Ast,6.5,5.8,under,-0.7
Jonathan Kuminga,Reb+Ast,6.5,7.2,over,0.7
Chet Holmgren,Reb+Ast,9.5,10.1,over,0.6
Alperen Sengun,Reb+Ast,15.5,15,under,-0.5
Clint Capela,Reb+Ast,5.5,5.9,over,0.4
