player,prop,line,proj,side,diff
Jaylen Brown,Points,29.5,25.7,under,-3.8
Ryan Nembhard,Points,10.5,13.7,over,3.2
Jordan Walsh,Points,7.5,9.8,over,2.3
Cam Spencer,Points,10.5,12.7,over,2.2
Kevin Love,Points,7.5,9.4,over,1.9
Andrew Wiggins,Points,16.5,18.3,over,1.8
Ronald Holland II,Points,6.5,4.8,under,-1.7
Lauri Markkanen,Points,25.5,23.8,under,-1.7
Aaron Holiday,Points,9.5,6.9,under,-1.6
Sandro Mamukelashvili,Points,9.5,11.1,over,1.6
Jaime Jaquez Jr.,Points,14.5,12.9,under,-1.6
Derrick White,Points,18.5,17,under,-1.5
Brandon Williams,Points,10.5,11.8,over,1.3
Cooper Flagg,Points,18.5,19.8,over,1.3
Ace Bailey,Points,12.5,13.8,over,1.3
Tim Hardaway Jr.,Points,11.5,12.8,over,1.3
Payton Pritchard,Points,17.5,15.3,under,-1.2
Cade Cunningham,Points,27.5,25.3,under,-1.2
Sam Hauser,Points,7.5,8.7,over,1.2
Isaiah Collier,Points,5.5,6.6,over,1.1
Cameron Johnson,Points,14.5,15.5,over,1
Tari Eason,Points,7.5,8.5,over,1
Kel'el Ware,Points,8.5,7.6,under,-0.9
Tobias Harris,Points,14.5,12.7,under,-0.8
Jamal Murray,Points,23.5,22.7,under,-0.8
Amen Thompson,Points,16.5,17.3,over,0.8
Immanuel Quickley,Points,17.5,16.7,under,-0.8
Ja'Kobe Walter,Points,6.5,5.7,under,-0.8
Jamal Shead,Points,7.5,8.3,over,0.8
Kyle Filipowski,Points,12.5,13.2,over,0.7
John Collins,Points,13.5,14.2,over,0.7
Jakob Poeltl,Points,10.5,11.2,over,0.7
Davion Mitchell,Points,9.5,10.2,over,0.7
Josh Minott,Points,6.5,7.1,over,0.6
Klay Thompson,Points,12.5,10.9,under,-0.6
Kevin Durant,Points,24.5,25.1,over,0.6
Brook Lopez,Points,6.5,4.9,under,-0.6
James Harden,Points,24.5,23.9,under,-0.6
Naji Marshall,Points,13.5,12,under,-0.5
Jonas Valanciunas,Points,7.5,8,over,0.5
Reed Sheppard,Points,10.5,11,over,0.5
Svi Mykhailiuk,Points,7.5,7.9,over,0.4
Alperen Sengun,Points,21.5,21.9,over,0.4
Spencer Jones,Points,5.5,5.9,over,0.4
Caris LeVert,Points,8.5,8.8,over,0.3
Anfernee Simons,Points,12.5,12.2,under,-0.3
Neemias Queta,Points,10.5,10.8,over,0.3
Kawhi Leonard,Points,26.5,25.2,under,-0.3
Scottie Barnes,Points,20.5,20.8,over,0.3
Duncan Robinson,Points,11.5,10.3,under,-0.2
Brice Sensabaugh,Points,8.5,8.7,over,0.2
Walter Clayton Jr.,Points,6.5,6.7,over,0.2
Bruce Brown Jr.,Points,7.5,7.3,under,-0.2
Bogdan Bogdanovic,Points,10.5,9.3,under,-0.2
Cedric Coward,Points,13.5,13.3,under,-0.2
Norman Powell,Points,24.5,23.3,under,-0.2
Brandon Ingram,Points,23.5,23.7,over,0.2
Bam Adebayo,Points,19.5,19.3,under,-0.2
Dru Smith,Points,6.5,6.7,over,0.2
Isaiah Stewart,Points,7.5,7.4,under,-0.1
Ausar Thompson,Points,10.5,10.6,over,0.1
P.J. Washington Jr.,Points,14.5,14.6,over,0.1
Max Christie,Points,9.5,9.6,over,0.1
Jabari Smith Jr.,Points,15.5,15.6,over,0.1
Nicolas Batum,Points,5.5,5.4,under,-0.1
Kris Dunn,Points,8.5,8.6,over,0.1
Nikola Jovic,Points,6.5,6.4,under,-0.1
Brandon Ingram,Assists,4,5.4,over,1.4
Simone Fontecchio,Assists,2.5,1.2,under,-1.3
Reed Sheppard,Assists,2.5,3.7,over,1.2
Jaime Jaquez Jr.,Assists,4.5,3.6,under,-0.9
Isaiah Stewart,Assists,0.5,1.3,over,0.8
Josh Okogie,Assists,1.5,0.7,under,-0.8
Cam Spencer,Assists,3.5,4.3,over,0.8
Jakob Poeltl,Assists,1.5,2.3,over,0.8
Nikola Jovic,Assists,2.5,1.7,under,-0.8
Jalen Duren,Assists,1.5,2.2,over,0.7
Ronald Holland II,Assists,1.5,0.8,under,-0.7
Svi Mykhailiuk,Assists,2.5,1.8,under,-0.7
P.J. Washington Jr.,Assists,1.5,2.2,over,0.7
Naji Marshall,Assists,3.5,2.8,under,-0.7
Ryan Nembhard,Assists,7.5,8.2,over,0.7
Aaron Holiday,Assists,1.5,0.8,under,-0.7
John Collins,Assists,0.5,1.2,over,0.7
Tobias Harris,Assists,1.5,2.1,over,0.6
Kevin Love,Assists,1.5,2.1,over,0.6
Cooper Flagg,Assists,3.5,4.1,over,0.6
Tari Eason,Assists,0.5,1.1,over,0.6
Norman Powell,Assists,1.5,2.1,over,0.6
Immanuel Quickley,Assists,6.5,5.9,under,-0.6
Dru Smith,Assists,2.5,3.1,over,0.6
Kyle Filipowski,Assists,2.5,3,over,0.5
Ace Bailey,Assists,2.5,2,under,-0.5
Kevin Durant,Assists,4.5,4,under,-0.5
Alperen Sengun,Assists,6.5,6,under,-0.5
Amen Thompson,Assists,4.5,5,over,0.5
Ochai Agbaji,Assists,0.5,1,over,0.5
Duncan Robinson,Assists,1.5,1.9,over,0.4
Payton Pritchard,Assists,4.5,4.1,under,-0.4
Sam Hauser,Assists,1.5,1.1,under,-0.4
Lauri Markkanen,Assists,1.5,1.9,over,0.4
Jamal Murray,Assists,6.5,6.1,under,-0.4
Bruce Brown Jr.,Assists,1.5,1.9,over,0.4
Cameron Johnson,Assists,2.5,2.9,over,0.4
Spencer Jones,Assists,0.5,0.9,over,0.4
Bogdan Bogdanovic,Assists,3.5,3.1,under,-0.4
Derrick White,Assists,4.5,4.8,over,0.3
Jordan Walsh,Assists,1.5,1.2,under,-0.3
Max Christie,Assists,1.5,1.8,over,0.3
Kris Dunn,Assists,3.5,3.2,under,-0.3
Cedric Coward,Assists,2.5,2.8,over,0.3
Andrew Wiggins,Assists,2.5,2.8,over,0.3
Ja'Kobe Walter,Assists,0.5,0.8,over,0.3
Isaiah Collier,Assists,4.5,4.7,over,0.2
Jonas Valanciunas,Assists,1.5,1.3,under,-0.2
Jabari Smith Jr.,Assists,1.5,1.7,over,0.2
Caris LeVert,Assists,2.5,2.6,over,0.1
Anfernee Simons,Assists,2.5,2.6,over,0.1
Cade Cunningham,Assists,8.5,8.4,under,-0.1
Neemias Queta,Assists,1.5,1.4,under,-0.1
Ausar Thompson,Assists,2.5,2.4,under,-0.1
Klay Thompson,Assists,1.5,1.6,over,0.1
Daniel Gafford,Assists,1.5,1.4,under,-0.1
Tim Hardaway Jr.,Assists,1.5,1.6,over,0.1
Brook Lopez,Assists,0.5,0.6,over,0.1
Kawhi Leonard,Assists,3.5,3.6,over,0.1
Amen Thompson,Rebounds,6.5,7.8,over,1.3
Kel'el Ware,Rebounds,7.5,6.4,under,-1.1
Jamal Shead,Rebounds,1.5,2.6,over,1.1
Isaiah Collier,Rebounds,1.5,2.5,over,1
Jaime Jaquez Jr.,Rebounds,4.5,5.5,over,1
Tobias Harris,Rebounds,4.5,5.4,over,0.9
Caris LeVert,Rebounds,1.5,2.4,over,0.9
Walter Clayton Jr.,Rebounds,2.5,1.6,under,-0.9
Alperen Sengun,Rebounds,8.5,9.4,over,0.9
Bogdan Bogdanovic,Rebounds,2.5,3.4,over,0.9
Josh Minott,Rebounds,3.5,4.3,over,0.8
Brice Sensabaugh,Rebounds,3.5,2.7,under,-0.8
Aaron Holiday,Rebounds,1.5,0.7,under,-0.8
Jabari Smith Jr.,Rebounds,6.5,7.3,over,0.8
Tari Eason,Rebounds,3.5,4.2,over,0.7
Brook Lopez,Rebounds,2.5,1.8,under,-0.7
Andrew Wiggins,Rebounds,4.5,5.2,over,0.7
Ochai Agbaji,Rebounds,2.5,3.2,over,0.7
Jaylen Brown,Rebounds,6.5,5.9,under,-0.6
Jordan Walsh,Rebounds,5.5,6.1,over,0.6
Max Christie,Rebounds,3.5,2.9,under,-0.6
Kyle Filipowski,Rebounds,8.5,9.1,over,0.6
Ace Bailey,Rebounds,4.5,5.1,over,0.6
Kevin Durant,Rebounds,4.5,5.1,over,0.6
Tim Hardaway Jr.,Rebounds,1.5,2.1,over,0.6
Kris Dunn,Rebounds,2.5,3.1,over,0.6
Scottie Barnes,Rebounds,8.5,9.1,over,0.6
Anfernee Simons,Rebounds,2.5,2,under,-0.5
Cade Cunningham,Rebounds,6.5,6,under,-0.5
Daniel Gafford,Rebounds,5.5,6,over,0.5
Cameron Johnson,Rebounds,4.5,4,under,-0.5
Bam Adebayo,Rebounds,9.5,10,over,0.5
Immanuel Quickley,Rebounds,3.5,4,over,0.5
Neemias Queta,Rebounds,8.5,8.1,under,-0.4
Ausar Thompson,Rebounds,5.5,5.9,over,0.4
Bruce Brown Jr.,Rebounds,3.5,3.1,under,-0.4
Reed Sheppard,Rebounds,2.5,2.9,over,0.4
Norman Powell,Rebounds,3.5,3.9,over,0.4
Davion Mitchell,Rebounds,2.5,2.9,over,0.4
Dru Smith,Rebounds,2.5,2.9,over,0.4
Derrick White,Rebounds,4.5,4.2,under,-0.3
Payton Pritchard,Rebounds,4.5,4.2,under,-0.3
Jalen Duren,Rebounds,11.5,11.2,under,-0.3
Jonas Valanciunas,Rebounds,4.5,4.8,over,0.3
Cedric Coward,Rebounds,6.5,6.2,under,-0.3
Jakob Poeltl,Rebounds,8.5,8.8,over,0.3
Nikola Jovic,Rebounds,2.5,2.8,over,0.3
Duncan Robinson,Rebounds,2.5,2.3,under,-0.2
P.J. Washington Jr.,Rebounds,7.5,6.3,under,-0.2
Naji Marshall,Rebounds,4.5,4.3,under,-0.2
Jamal Murray,Rebounds,3.5,3.7,over,0.2
Cam Spencer,Rebounds,2.5,2.3,under,-0.2
Ja'Kobe Walter,Rebounds,2.5,2.3,under,-0.2
Isaiah Stewart,Rebounds,5.5,5.6,over,0.1
Sam Hauser,Rebounds,3.5,3.6,over,0.1
Lauri Markkanen,Rebounds,7.5,7.4,under,-0.1
Svi Mykhailiuk,Rebounds,2.5,2.6,over,0.1
Brandon Williams,Rebounds,2.5,2.6,over,0.1
Cooper Flagg,Rebounds,6.5,6.6,over,0.1
Ryan Nembhard,Rebounds,2.5,2.6,over,0.1
Spencer Jones,Rebounds,2.5,2.6,over,0.1
Nicolas Batum,Rebounds,3.5,3.4,under,-0.1
Kawhi Leonard,Rebounds,6.5,6.6,over,0.1
Ryan Nembhard,Pts+Ast,17.5,21.9,over,4.4
Brice Sensabaugh,Pts+Ast,13.5,9.8,under,-3.7
Simone Fontecchio,Pts+Ast,12.5,9.3,under,-3.2
Cameron Johnson,Pts+Ast,15.5,18.4,over,2.9
Andrew Wiggins,Pts+Ast,18.5,21.1,over,2.6
Sandro Mamukelashvili,Pts+Ast,10.5,13.1,over,2.6
Daniel Gafford,Pts+Ast,9.5,12,over,2.5
Aaron Holiday,Pts+Ast,10,7.7,under,-2.3
Payton Pritchard,Pts+Ast,22.5,19.4,under,-2.1
Klay Thompson,Pts+Ast,14.5,12.4,under,-2.1
Kevin Love,Pts+Ast,9.5,11.5,over,2
Jaime Jaquez Jr.,Pts+Ast,19.5,16.5,under,-2
Cade Cunningham,Pts+Ast,36.5,33.7,under,-1.8
Lauri Markkanen,Pts+Ast,27.5,25.7,under,-1.8
Isaiah Collier,Pts+Ast,9.5,11.3,over,1.8
Derrick White,Pts+Ast,23.5,21.8,under,-1.7
Naji Marshall,Pts+Ast,19.5,14.8,under,-1.7
Ausar Thompson,Pts+Ast,13.5,12.9,under,-1.6
Bam Adebayo,Pts+Ast,21.5,23.1,over,1.6
Cooper Flagg,Pts+Ast,22.5,23.9,over,1.4
Ace Bailey,Pts+Ast,14.5,15.8,over,1.3
Kris Dunn,Pts+Ast,10.5,11.8,over,1.3
Reed Sheppard,Pts+Ast,13.5,14.7,over,1.2
Davion Mitchell,Pts+Ast,15.5,16.7,over,1.2
Tari Eason,Pts+Ast,8.5,9.6,over,1.1
Jakob Poeltl,Pts+Ast,12.5,13.5,over,1
Caris LeVert,Pts+Ast,10.5,11.4,over,0.9
John Collins,Pts+Ast,14.5,15.4,over,0.9
Immanuel Quickley,Pts+Ast,24.5,22.6,under,-0.9
Jonas Valanciunas,Pts+Ast,8.5,9.3,over,0.8
Tim Hardaway Jr.,Pts+Ast,13.5,14.3,over,0.8
Tobias Harris,Pts+Ast,15.5,14.8,under,-0.7
Neemias Queta,Pts+Ast,11.5,12.2,over,0.7
