player,prop,line,proj,side,diff
Andrew Nembhard,Points,14.5,11.8,under,-2.7
Ryan Rollins,Points,13.5,16.1,over,2.6
Giannis Antetokounmpo,Points,30.5,32.7,over,2.2
Landry Shamet,Points,4.5,6.7,over,2.2
Jalen Duren,Points,18.5,16.3,under,-2.2
VJ Edgecombe,Points,15.5,17.7,over,2.2
Naz Reid,Points,11.5,13.5,over,2
AJ Green,Points,9.5,11.2,over,1.7
Cedric Coward,Points,12.5,14.2,over,1.7
Nic Claxton,Points,13.5,11.9,under,-1.6
Paolo Banchero,Points,23.5,22,under,-1.5
Pascal Siakam,Points,25.5,24,under,-1.5
Al Horford,Points,6.5,6.1,under,-1.4
Draymond Green,Points,9.5,10.9,over,1.4
Alex Caruso,Points,6.5,7.8,over,1.3
Aaron Nesmith,Points,17.5,15.3,under,-1.2
Myles Turner,Points,12.5,13.6,over,1.1
Gary Trent Jr.,Points,11.5,12.6,over,1.1
Luka Garza,Points,5.5,4.4,under,-1.1
Josh Hart,Points,9.5,8.4,under,-1.1
Goga Bitadze,Points,4.5,5.5,over,1
Rudy Gobert,Points,11.5,12.5,over,1
Donte DiVincenzo,Points,12.5,13.5,over,1
OG Anunoby,Points,16.5,15.6,under,-0.9
Duncan Robinson,Points,11.5,10.6,under,-0.9
Buddy Hield,Points,8.5,7.6,under,-0.9
Brandin Podziemski,Points,13.5,12.6,under,-0.9
Ben Sheppard,Points,6.5,5.6,under,-0.9
Sam Hauser,Points,7.5,8.3,over,0.8
Ziaire Williams,Points,8.5,9.3,over,0.8
Alperen Sengun,Points,21.5,22.2,over,0.7
Mikal Bridges,Points,15.5,16.2,over,0.7
Caris LeVert,Points,10.5,11.2,over,0.7
Russell Westbrook III,Points,14.5,15.2,over,0.7
Malik Monk,Points,12.5,13.2,over,0.7
Kyle Kuzma,Points,11.5,12.1,over,0.6
Isaiah Hartenstein,Points,10.5,11.1,over,0.6
Desmond Bane,Points,16.5,15.9,under,-0.6
Tristan da Silva,Points,8.5,6.9,under,-0.6
Karl-Anthony Towns,Points,21.5,20.9,under,-0.6
Ausar Thompson,Points,15.5,13.9,under,-0.6
Mike Conley,Points,6.5,7.1,over,0.6
Dennis Schroder,Points,12.5,13.1,over,0.6
Ajay Mitchell,Points,16.5,16,under,-0.5
Wendell Carter Jr.,Points,11.5,10,under,-0.5
Anfernee Simons,Points,13.5,14,over,0.5
Jordan Clarkson,Points,9.5,9,under,-0.5
Mitchell Robinson,Points,4.5,4,under,-0.5
Tyrese Maxey,Points,27.5,28,over,0.5
Jabari Smith Jr.,Points,13.5,13.1,under,-0.4
Cam Spencer,Points,8.5,8.9,over,0.4
Kelly Oubre Jr.,Points,16.5,16.1,under,-0.4
Jarace Walker,Points,12.5,10.1,under,-0.4
DeMar DeRozan,Points,21.5,20.1,under,-0.4
Jaden McDaniels,Points,15.5,14.1,under,-0.4
Jaylen Clark,Points,4.5,4.9,over,0.4
Tari Eason,Points,11.5,11.2,under,-0.3
Jalen Suggs,Points,10.5,10.8,over,0.3
Jalen Brunson,Points,25.5,25.8,over,0.3
Cade Cunningham,Points,27.5,27.2,under,-0.3
Shai Gilgeous-Alexander,Points,32.5,32.3,under,-0.2
Chet Holmgren,Points,16.5,16.7,over,0.2
Jaylin Williams,Points,6.5,6.7,over,0.2
