player,prop,line,proj,side,diff
VJ Edgecombe,Points,14.5,17.4,over,2.9
Deandre Ayton,Points,12.5,15.3,over,2.8
Malik Monk,Points,6.5,8.9,over,2.4
Paul George,Points,16.5,18.8,over,2.3
John Collins,Points,12.5,14.7,over,2.2
Luka Garza,Points,7.5,9.6,over,2.1
Kris Dunn,Points,7.5,9.6,over,2.1
Payton Pritchard,Points,17.5,19.5,over,2
Walter Clayton Jr.,Points,6.5,8.3,over,1.8
Nick Smith Jr.,Points,10.5,12.3,over,1.8
Dennis Schroder,Points,11.5,8.7,under,-1.8
Derrick White,Points,19.5,21.1,over,1.6
Russell Westbrook III,Points,14.5,12.9,under,-1.6
Maxime Raynaud,Points,13.5,15.1,over,1.6
Javonte Green,Points,6.5,5,under,-1.5
Brook Lopez,Points,12.5,13.8,over,1.3
Brice Sensabaugh,Points,14.5,15.7,over,1.2
Duncan Robinson,Points,10.5,11.7,over,1.2
Nicolas Batum,Points,5.5,6.7,over,1.2
Nique Clifford,Points,7.5,8.7,over,1.2
Anfernee Simons,Points,13.5,12.4,under,-1.1
Taylor Hendricks,Points,7.5,6.4,under,-1.1
Neemias Queta,Points,10.5,11.5,over,1
Kyle Filipowski,Points,10.5,9.5,under,-1
Marcus Smart,Points,9.5,10.5,over,1
Quentin Grimes,Points,10.5,11.4,over,0.9
Cedric Coward,Points,12.5,13.4,over,0.9
Jalen Duren,Points,17.5,15.6,under,-0.9
Kawhi Leonard,Points,30.5,28.6,under,-0.9
Tobias Harris,Points,13.5,12.7,under,-0.8
Jake LaRavia,Points,10.5,9.7,under,-0.8
Jaylen Brown,Points,31.5,30.8,under,-0.7
Svi Mykhailiuk,Points,7.5,5.8,under,-0.7
Jordan Walsh,Points,6.5,7.2,over,0.7
Dominick Barlow,Points,7.5,8.1,over,0.6
LeBron James,Points,22.5,20.9,under,-0.6
Ausar Thompson,Points,11.5,11,under,-0.5
Derrick Jones Jr.,Points,7.5,8,over,0.5
Keon Ellis,Points,5.5,6,over,0.5
Sam Hauser,Points,7.5,7.9,over,0.4
Jaxson Hayes,Points,5.5,5.9,over,0.4
James Harden,Points,26.5,26.1,under,-0.4
DeMar DeRozan,Points,19.5,19.9,over,0.4
Jarred Vanderbilt,Points,5.5,5.8,over,0.3
Isaiah Stewart,Points,8.5,8.8,over,0.3
Cade Cunningham,Points,25.5,25.2,under,-0.3
Tyrese Maxey,Points,27.5,27.3,under,-0.2
Hugo Gonzalez,Points,6.5,6.3,under,-0.2
Precious Achiuwa,Points,7.5,7.7,over,0.2
Ronald Holland II,Points,7.5,7.6,over,0.1
James Harden,Assists,8.5,9.6,over,1.1
Isaiah Stewart,Assists,0.5,1.5,over,1
Ausar Thompson,Assists,1.5,2.5,over,1
GG Jackson II,Assists,1.5,0.6,under,-0.9
Jalen Duren,Assists,1.5,2.4,over,0.9
Quentin Grimes,Assists,3.5,2.7,under,-0.8
Cam Spencer,Assists,5.5,6.3,over,0.8
Brice Sensabaugh,Assists,1.5,2.3,over,0.8
Duncan Robinson,Assists,1.5,2.3,over,0.8
Jake LaRavia,Assists,1.5,2.3,over,0.8
John Collins,Assists,0.5,1.3,over,0.8
Jared McCain,Assists,1.5,2.2,over,0.7
Sam Hauser,Assists,0.5,1.2,over,0.7
Deandre Ayton,Assists,0.5,1.2,over,0.7
Payton Pritchard,Assists,5.5,6.1,over,0.6
Jordan Walsh,Assists,0.5,1.1,over,0.6
Kyle Filipowski,Assists,1.5,2.1,over,0.6
DeMar DeRozan,Assists,3.5,4.1,over,0.6
Precious Achiuwa,Assists,0.5,1.1,over,0.6
Cedric Coward,Assists,2.5,3,over,0.5
Jaylen Brown,Assists,5,5.5,over,0.5
Cade Cunningham,Assists,9.5,9,under,-0.5
Kawhi Leonard,Assists,3.5,4,over,0.5
Keegan Murray,Assists,1.5,1,under,-0.5
Tyrese Maxey,Assists,6.5,6.1,under,-0.4
Anfernee Simons,Assists,2.5,2.9,over,0.4
Hugo Gonzalez,Assists,0.5,0.9,over,0.4
Walter Clayton Jr.,Assists,3.5,3.1,under,-0.4
Nicolas Batum,Assists,1.5,1.1,under,-0.4
Paul George,Assists,3.5,3.8,over,0.3
Lauri Markkanen,Assists,1.5,1.8,over,0.3
Svi Mykhailiuk,Assists,1.5,1.2,under,-0.3
Neemias Queta,Assists,1.5,1.8,over,0.3
LeBron James,Assists,6.5,6.2,under,-0.3
Jaxson Hayes,Assists,0.5,0.8,over,0.3
Derrick Jones Jr.,Assists,0.5,0.8,over,0.3
Dominick Barlow,Assists,1.5,1.7,over,0.2
Taylor Hendricks,Assists,0.5,0.7,over,0.2
Tobias Harris,Assists,2.5,2.3,under,-0.2
Marcus Smart,Assists,2.5,2.7,over,0.2
Nick Smith Jr.,Assists,1.5,1.7,over,0.2
Ronald Holland II,Assists,1.5,1.3,under,-0.2
Brook Lopez,Assists,1.5,1.7,over,0.2
VJ Edgecombe,Assists,3.5,3.6,over,0.1
Luka Garza,Assists,1.5,1.4,under,-0.1
Jarred Vanderbilt,Assists,1.5,1.4,under,-0.1
Javonte Green,Assists,0.5,0.6,over,0.1
Kris Dunn,Assists,3.5,3.6,over,0.1
Maxime Raynaud,Assists,1.5,1.6,over,0.1
Jarred Vanderbilt,Rebounds,5.5,6.6,over,1.1
Russell Westbrook III,Rebounds,6.5,5.4,under,-1.1
Luka Garza,Rebounds,4.5,5.4,over,0.9
