player,prop,line,proj,side,diff
Jalen Johnson,Points,23.5,20.4,under,-4.1
Jose Alvarado,Points,8.5,12.1,over,3.6
Jordan Poole,Points,17.5,20.8,over,3.3
Myles Turner,Points,12.5,15.6,over,3.1
Anthony Black,Points,16.5,14.6,under,-2.9
Andrew Nembhard,Points,16.5,13.8,under,-2.7
Ziaire Williams,Points,12.5,9.8,under,-2.7
Bub Carrington,Points,10.5,8.1,under,-2.4
Dylan Harper,Points,13.5,11.2,under,-2.3
Mikal Bridges,Points,15.5,17.7,over,2.2
LaMelo Ball,Points,20.5,22.6,over,2.1
Dillon Brooks,Points,20.5,18.4,under,-2.1
Gary Trent Jr.,Points,5.5,7.5,over,2
Josh Green,Points,3.5,5.5,over,2
Caleb Love,Points,15.5,13.5,under,-2
Pascal Siakam,Points,24.5,21.6,under,-1.9
Jamal Murray,Points,27.5,25.6,under,-1.9
Isaac Okoro,Points,9.5,11.4,over,1.9
Paolo Banchero,Points,23.5,25.4,over,1.9
Collin Sexton,Points,12.5,14.4,over,1.9
Kevin Porter Jr.,Points,18.5,20.4,over,1.9
Ryan Rollins,Points,15.5,17.4,over,1.9
Bryce McGowens,Points,9.5,11.4,over,1.9
Aaron Wiggins,Points,7.5,9.4,over,1.9
Will Richard,Points,10.5,8.6,under,-1.9
Kyle Kuzma,Points,10.5,12.3,over,1.8
Toumani Camara,Points,14.5,12.7,under,-1.8
Jalen Williams,Points,17.5,19.3,over,1.8
Deandre Ayton,Points,13.5,15.3,over,1.8
Nikola Vucevic,Points,18.5,17.8,under,-1.7
Tre Jones,Points,13.5,11.9,under,-1.6
Deni Avdija,Points,26.5,24.9,under,-1.6
Keegan Murray,Points,14.5,12.9,under,-1.6
AJ Green,Points,9.5,11,over,1.5
Keldon Johnson,Points,14.5,15.9,over,1.4
Alex Sarr,Points,16.5,14.1,under,-1.4
Cedric Coward,Points,12.5,13.9,over,1.4
Aaron Nesmith,Points,12.5,13.8,over,1.3
Micah Potter,Points,5.5,6.8,over,1.3
Khris Middleton,Points,9.5,10.8,over,1.3
Donovan Mitchell,Points,29.5,27.2,under,-1.3
DaRon Holmes II,Points,12.5,13.8,over,1.3
