player,prop,line,proj,side,diff
Norman Powell,Points,15.5,18.7,over,3.2
Miles Bridges,Points,15.5,18.5,over,3
Brandon Miller,Points,20.5,23.4,over,2.9
Grayson Allen,Points,10.5,13.3,over,2.8
LaMelo Ball,Points,23.5,25.7,over,2.2
Coby White,Points,13.5,11.5,under,-2
Shaedon Sharpe,Points,9.5,11.3,over,1.8
Grant Williams,Points,5.5,7.3,over,1.8
Jalen Green,Points,19.5,21,over,1.5
Collin Gillespie,Points,8.5,10,over,1.5
Kon Knueppel,Points,19.5,20.6,over,1.1
Robert Williams III,Points,5.5,6.5,over,1
Jordan Goodwin,Points,7.5,8.5,over,1
Sion James,Points,3.5,4.3,over,0.8
Toumani Camara,Points,12.5,13.2,over,0.7
Pelle Larsson,Points,9.5,10.2,over,0.7
Tyler Herro,Points,21.5,22.1,over,0.6
Devin Booker,Points,27.5,27,under,-0.5
Deni Avdija,Points,24.5,23,under,-0.5
Jaime Jaquez Jr.,Points,11.5,12,over,0.5
Oso Ighodaro,Points,5.5,5.9,over,0.4
Jrue Holiday,Points,16.5,16.2,under,-0.3
Bam Adebayo,Points,22.5,21.2,under,-0.3
Royce O'Neale,Points,7.5,7.7,over,0.2
Donovan Clingan,Points,11.5,11.7,over,0.2
Davion Mitchell,Points,8.5,8.6,over,0.1
Toumani Camara,Assists,1.5,2.4,over,0.9
Miles Bridges,Assists,2.5,3.4,over,0.9
Royce O'Neale,Assists,1.5,2.1,over,0.6
Grayson Allen,Assists,2.5,3.1,over,0.6
Norman Powell,Assists,1.5,2.1,over,0.6
Pelle Larsson,Assists,2.5,3.1,over,0.6
Dillon Brooks,Assists,1.5,2,over,0.5
Donovan Clingan,Assists,1.5,2,over,0.5
Oso Ighodaro,Assists,1.5,2,over,0.5
Davion Mitchell,Assists,5.5,6,over,0.5
Moussa Diabate,Assists,2.5,2,under,-0.5
Brandon Miller,Assists,3.5,4,over,0.5
Jrue Holiday,Assists,5.5,5.9,over,0.4
Deni Avdija,Assists,6.5,6.1,under,-0.4
Jordan Goodwin,Assists,2.5,2.1,under,-0.4
Devin Booker,Assists,6,6.3,over,0.3
Jalen Green,Assists,3.5,3.8,over,0.3
Andrew Wiggins,Assists,2.5,2.7,over,0.2
Bam Adebayo,Assists,3.5,3.3,under,-0.2
Coby White,Assists,2.5,2.7,over,0.2
Tyler Herro,Assists,4.5,4.7,over,0.2
Jaime Jaquez Jr.,Assists,3.5,3.7,over,0.2
Kon Knueppel,Assists,3.5,3.7,over,0.2
Collin Gillespie,Assists,3.5,3.6,over,0.1
Shaedon Sharpe,Assists,1.5,1.6,over,0.1
Kel'el Ware,Assists,0.5,0.4,under,-0.1
LaMelo Ball,Rebounds,5.5,6.5,over,1
Toumani Camara,Rebounds,4.5,5.4,over,0.9
Miles Bridges,Rebounds,5.5,6.4,over,0.9
Jordan Goodwin,Rebounds,5.5,4.7,under,-0.8
Scoot Henderson,Rebounds,2.5,3.3,over,0.8
Bam Adebayo,Rebounds,10.5,9.8,under,-0.7
Moussa Diabate,Rebounds,10.5,9.8,under,-0.7
Jrue Holiday,Rebounds,4.5,5.1,over,0.6
Collin Gillespie,Rebounds,2.5,3.1,over,0.6
Kon Knueppel,Rebounds,5.5,6.1,over,0.6
Devin Booker,Rebounds,3.5,4,over,0.5
Robert Williams III,Rebounds,6.5,7,over,0.5
Dillon Brooks,Rebounds,3.5,3.9,over,0.4
Norman Powell,Rebounds,2.5,2.9,over,0.4
Jaime Jaquez Jr.,Rebounds,3.5,3.9,over,0.4
Brandon Miller,Rebounds,5.5,5.9,over,0.4
Pelle Larsson,Rebounds,2.5,2.9,over,0.4
Donovan Clingan,Rebounds,11.5,11.8,over,0.3
Grant Williams,Rebounds,3.5,3.8,over,0.3
Sion James,Rebounds,2.5,2.8,over,0.3
Andrew Wiggins,Rebounds,4.5,4.7,over,0.2
Davion Mitchell,Rebounds,3.5,2.3,under,-0.2
Jerami Grant,Rebounds,2.5,2.4,under,-0.1
Royce O'Neale,Rebounds,3.5,3.6,over,0.1
Grayson Allen,Rebounds,2.5,2.6,over,0.1
Deni Avdija,Rebounds,7.5,7.6,over,0.1
Jalen Green,Rebounds,4.5,4.6,over,0.1
Shaedon Sharpe,Rebounds,2.5,2.6,over,0.1
Oso Ighodaro,Rebounds,4.5,4.6,over,0.1
Coby White,Rebounds,3.5,2.4,under,-0.1
Tyler Herro,Rebounds,4.5,4.6,over,0.1
Grayson Allen,Pts+Ast,12.5,16.4,over,3.9
LaMelo Ball,Pts+Ast,31.5,35.1,over,3.6
Dillon Brooks,Pts+Ast,19.5,22.8,over,3.3
Andrew Wiggins,Pts+Ast,15.5,18.8,over,3.3
Norman Powell,Pts+Ast,17.5,20.8,over,3.3
Jerami Grant,Pts+Ast,10.5,13.5,over,3
Brandon Miller,Pts+Ast,24.5,27.4,over,2.9
Shaedon Sharpe,Pts+Ast,10.5,12.8,over,2.3
Coby White,Pts+Ast,16.5,14.2,under,-2.3
Collin Gillespie,Pts+Ast,11.5,13.6,over,2.1
Ryan Kalkbrenner,Pts+Ast,5.5,7.4,over,1.9
Pelle Larsson,Pts+Ast,11.5,13.3,over,1.8
Kon Knueppel,Pts+Ast,22.5,24.3,over,1.8
Grant Williams,Pts+Ast,7.5,9,over,1.5
Tyler Herro,Pts+Ast,25.5,26.8,over,1.3
Robert Williams III,Pts+Ast,6.5,7.5,over,1
Jrue Holiday,Pts+Ast,22.5,22.1,under,-0.4
Deni Avdija,Pts+Ast,31.5,29.1,under,-0.4
Oso Ighodaro,Pts+Ast,7.5,7.9,over,0.4
Royce O'Neale,Pts+Ast,9.5,9.8,over,0.3
Devin Booker,Pts+Ast,34.5,33.3,under,-0.2
Donovan Clingan,Pts+Ast,13.5,13.7,over,0.2
Jaime Jaquez Jr.,Pts+Ast,15.5,15.7,over,0.2
Moussa Diabate,Pts+Ast,10.5,10.7,over,0.2
Jordan Goodwin,Pts+Ast,10.5,10.6,over,0.1
Toumani Camara,Pts+Ast,15.5,15.6,over,0.1
Bam Adebayo,Pts+Ast,24.5,24.6,over,0.1
Davion Mitchell,Pts+Ast,14.5,14.6,over,0.1
LaMelo Ball,Pts+Reb,28.5,32.2,over,3.7
Grayson Allen,Pts+Reb,12.5,15.9,over,3.4
Dillon Brooks,Pts+Reb,21.5,24.7,over,3.2
Norman Powell,Pts+Reb,18.5,21.6,over,3.1
Brandon Miller,Pts+Reb,26.5,29.3,over,2.8
Coby White,Pts+Reb,16.5,13.9,under,-2.6
Kon Knueppel,Pts+Reb,24.5,26.7,over,2.2
Deni Avdija,Pts+Reb,31.5,30.5,under,-2
Collin Gillespie,Pts+Reb,11.5,13.1,over,1.6
Grant Williams,Pts+Reb,9.5,11.1,over,1.6
Shaedon Sharpe,Pts+Reb,12.5,13.9,over,1.4
Tyler Herro,Pts+Reb,25.5,26.7,over,1.2
Robert Williams III,Pts+Reb,12.5,13.5,over,1
Jalen Green,Pts+Reb,24.5,25.5,over,1
Oso Ighodaro,Pts+Reb,9.5,10.5,over,1
Pelle Larsson,Pts+Reb,12.5,13.1,over,0.6
Sion James,Pts+Reb,6.5,7.1,over,0.6
Devin Booker,Pts+Reb,32.5,31,under,-0.5
Bam Adebayo,Pts+Reb,31.5,31,under,-0.5
Jaime Jaquez Jr.,Pts+Reb,15.5,15.9,over,0.4
Jordan Goodwin,Pts+Reb,13.5,13.2,under,-0.3
Davion Mitchell,Pts+Reb,10.5,10.8,over,0.3
Jrue Holiday,Pts+Reb,22.5,21.3,under,-0.2
Royce O'Neale,Pts+Reb,11.5,11.3,under,-0.2
Toumani Camara,Pts+Reb,18.5,18.6,over,0.1
Donovan Clingan,Pts+Reb,23.5,23.6,over,0.1
Moussa Diabate,Pts+Reb,18.5,18.6,over,0.1
