NAME,LINE,L-5,L-10,L-15,BASELINE_LAMBDA,ADJUSTED_LAMBDA,COMBINED_FACTOR,OVER%,UNDER%,IMPLIED_ODDS
Jonathan Kuminga,14.5,0.4,0.5,0.4,15.09,10.96,0.73,0.143,0.857,6.981
Gradey Dick,7.5,0.6,0.5,0.33,7.8,5.08,0.65,0.142,0.858,7.051
Saddiq Bey,13.5,0.6,0.3,0.2,11.4,10.01,0.88,0.137,0.863,7.323
Tre Johnson,10.5,0.2,0.3,0.27,11.91,7.46,0.63,0.134,0.866,7.45
Lonzo Ball,9.5,0.0,0.1,0.07,5.11,6.58,1.29,0.129,0.871,7.734
Immanuel Quickley,15.5,0.4,0.3,0.2,14.4,11.52,0.8,0.123,0.877,8.148
Javonte Green,9.5,0.2,0.1,0.07,5.73,6.49,1.13,0.122,0.878,8.194
Pascal Siakam,25.5,0.4,0.5,0.33,24.33,19.85,0.82,0.106,0.894,9.472
Trey Murphy III,21.5,0.2,0.2,0.13,18.1,16.14,0.89,0.095,0.905,10.494
Ja Morant,21.5,0.0,0.3,0.2,19.2,15.46,0.81,0.068,0.932,14.656
Derrick White,17.5,0.2,0.2,0.2,14.91,11.95,0.8,0.061,0.939,16.362
VJ Edgecombe,15.5,0.2,0.4,0.27,16.3,10.29,0.63,0.059,0.941,16.815
