NAME,CATEGORY,LINE,LAST 5,HIT RATE % LAST 5,LAST 10,HIT RATE % LAST 10,LAST 15,HIT RATE % LAST 15
LaMelo Ball,player_threes,3.5,4,0.8,6,0.6,9,0.6
Kon Knueppel,player_threes,2.5,4,0.8,4,0.4,4,0.27
Franz Wagner,player_threes,1.5,3,0.6,7,0.7,9,0.6
Paolo Banchero,player_threes,1.5,0,0.0,3,0.3,6,0.4
Stephen Curry,player_threes,4.5,3,0.6,5,0.5,7,0.47
Brandin Podziemski,player_threes,1.5,4,0.8,8,0.8,11,0.73
Ryan Rollins,player_threes,1.5,1,0.2,3,0.3,7,0.47
Moses Moody,player_threes,1.5,3,0.6,5,0.5,8,0.53
Victor Wembanyama,player_threes,1.5,1,0.2,4,0.4,9,0.6
