,PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ABBREVIATION,TEAM_ID,OPP_ABBREVIATION,HOME_GAME,GAME_ID,GAME_DATE,WL,MIN,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PF,PLUS_MINUS,FANTASY_PTS,PointsPerShot,eFG,START_POSITION,COMMENT,OFF_RATING,E_OFF_RATING,DEF_RATING,E_DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,EFG_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,POSS,PACE_PER40,E_USG_PCT,TEAM_GAME_DATE,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_DEF_RATING,OPP_STL,OPP_BLK,OPP_REB,OPP_FG_PCT,OPP_TEAM_ID,TEAM_OFF_RATING,TEAM_PACE,GAME_PACE,OPP_PACE
0,Darius Garland,1629636,CLE vs. NYK,CLE,1610612739,NYK,1,0042200131,2023-04-15,L,43,17,1,0,7,13,0.538,2,4,0.5,1,3,0.333,0,0,4,1,5,3,-3,28.5,1.187,0.6153846153846154,G,,103.5,102.9,105.7,106.0,-2.3,0.0,0.0,0.0,0.037,0.615,0.2,0.194,0.594,96.21,96.06,0.043,86,80.05,0.197,"APR 15, 2023",240,36,83,0.434,10,31,0.323,15,21,0.714,11,27,38,20,9,2,14,17,97,101.8479630407392,11.0,1.0,51.0,0.42045454545454547,1610612752.0,101.8479630407392,95.24,94.46000000000001,93.68
1,Robert Williams III,1629057,BOS vs. ATL,BOS,1610612738,ATL,1,0042200111,2023-04-15,W,22,12,2,8,6,6,1.0,0,0,,0,0,,2,6,1,1,2,2,-7,28.6,2.0,1.0,,,95.8,100.3,112.8,110.8,-16.9,0.091,0.25,0.174,0.182,1.0,1.0,0.145,1.0,103.77,105.23,0.197,48,87.69,0.151,"APR 15, 2023",240,42,88,0.477,13,33,0.394,15,18,0.833,12,46,58,25,6,7,16,15,112,112.0896717373899,13.0,4.0,45.0,0.3877551020408163,1610612737.0,112.0896717373899,99.92,102.30000000000001,104.68
2,Onyeka Okongwu,1630168,ATL @ BOS,ATL,1610612737,BOS,0,0042200111,2023-04-15,L,19,3,0,5,0,4,0.0,0,0,,3,4,0.75,5,0,0,0,0,3,-7,9.0,0.521,0.0,,,102.6,97.9,114.6,128.7,-12.1,0.152,0.0,0.104,0.0,0.0,0.0,0.115,0.26,97.12,100.44,-0.033,39,83.7,0.116,"APR 15, 2023",240,38,98,0.388,5,29,0.172,18,22,0.818,14,31,45,23,13,4,11,17,99,94.57393962552541,6.0,7.0,58.0,0.4772727272727273,1610612738.0,94.57393962552541,104.68,102.30000000000001,99.92
3,Saddiq Bey,1630180,ATL @ BOS,ATL,1610612737,BOS,0,0042200111,2023-04-15,L,24,6,3,4,2,6,0.333,1,4,0.25,1,2,0.5,1,3,2,0,1,0,-12,20.3,0.872,0.4166666666666667,,,103.9,105.0,127.5,135.9,-23.5,0.028,0.158,0.073,0.2,0.417,3.0,0.125,0.436,98.94,102.64,0.079,51,85.53,0.13,"APR 15, 2023",240,38,98,0.388,5,29,0.172,18,22,0.818,14,31,45,23,13,4,11,17,99,94.57393962552541,6.0,7.0,58.0,0.4772727272727273,1610612738.0,94.57393962552541,104.68,102.30000000000001,99.92
4,Jalen Johnson,1630552,ATL @ BOS,ATL,1610612737,BOS,0,0042200111,2023-04-15,L,13,6,1,6,3,10,0.3,0,2,0.0,0,0,,2,4,1,0,1,3,1,16.7,0.6,0.3,,,96.4,96.2,89.7,101.4,6.8,0.091,0.286,0.167,0.167,0.3,1.0,0.306,0.3,96.21,102.09,0.045,28,85.07,0.314,"APR 15, 2023",240,38,98,0.388,5,29,0.172,18,22,0.818,14,31,45,23,13,4,11,17,99,94.57393962552541,6.0,7.0,58.0,0.4772727272727273,1610612738.0,94.57393962552541,104.68,102.30000000000001,99.92
5,Ricky Rubio,201937,CLE vs. NYK,CLE,1610612739,NYK,1,0042200131,2023-04-15,L,6,0,0,2,0,1,0.0,0,0,,0,0,,0,2,1,0,2,2,-9,3.4,0.0,0.0,,,50.0,50.5,115.4,117.6,-65.4,0.0,0.5,0.222,0.0,0.0,0.0,0.25,0.0,107.2,108.76,-0.111,12,90.63,0.253,"APR 15, 2023",240,36,83,0.434,10,31,0.323,15,21,0.714,11,27,38,20,9,2,14,17,97,101.8479630407392,11.0,1.0,51.0,0.42045454545454547,1610612752.0,101.8479630407392,95.24,94.46000000000001,93.68
6,Cedi Osman,1626224,CLE vs. NYK,CLE,1610612739,NYK,1,0042200131,2023-04-15,L,19,9,2,1,3,4,0.75,2,3,0.667,1,2,0.5,0,1,0,0,1,3,1,12.2,1.844,1.0,,,124.2,125.6,121.2,119.3,3.0,0.0,0.053,0.028,0.167,1.0,2.0,0.158,0.922,84.68,84.48,0.096,33,70.4,0.164,"APR 15, 2023",240,36,83,0.434,10,31,0.323,15,21,0.714,11,27,38,20,9,2,14,17,97,101.8479630407392,11.0,1.0,51.0,0.42045454545454547,1610612752.0,101.8479630407392,95.24,94.46000000000001,93.68
7,Caris LeVert,1627747,CLE vs. NYK,CLE,1610612739,NYK,1,0042200131,2023-04-15,L,18,3,1,1,1,7,0.143,0,3,0.0,1,2,0.5,0,1,0,0,1,1,-14,4.7,0.381,0.14285714285714285,,,82.1,85.8,115.0,120.2,-32.9,0.0,0.067,0.03,0.111,0.143,1.0,0.22,0.19,99.67,104.2,-0.066,39,86.84,0.229,"APR 15, 2023",240,36,83,0.434,10,31,0.323,15,21,0.714,11,27,38,20,9,2,14,17,97,101.8479630407392,11.0,1.0,51.0,0.42045454545454547,1610612752.0,101.8479630407392,95.24,94.46000000000001,93.68
8,Isaiah Hartenstein,1628392,NYK @ CLE,NYK,1610612752,CLE,0,0042200131,2023-04-15,W,22,8,0,5,2,3,0.667,0,0,,4,4,1.0,2,3,0,0,0,3,19,14.0,1.681,0.6666666666666666,,,132.6,137.4,91.3,93.0,41.3,0.105,0.136,0.122,0.0,0.667,0.0,0.091,0.84,98.16,100.84,0.087,46,84.03,0.095,"APR 15, 2023",240,37,88,0.42,8,29,0.276,19,22,0.864,17,34,51,18,11,1,13,20,101,107.81383432963278,9.0,2.0,38.0,0.43373493975903615,1610612739.0,107.81383432963278,93.68,94.46000000000001,95.24
9,Jalen Brunson,1628973,NYK @ CLE,NYK,1610612752,CLE,0,0042200131,2023-04-15,W,29,27,2,2,11,24,0.458,1,4,0.25,4,4,1.0,1,1,2,0,1,3,2,37.4,1.048,0.4791666666666667,G,,123.2,120.7,117.5,116.1,5.7,0.033,0.04,0.036,0.143,0.479,2.0,0.397,0.524,93.48,91.95,0.126,56,76.63,0.408,"APR 15, 2023",240,37,88,0.42,8,29,0.276,19,22,0.864,17,34,51,18,11,1,13,20,101,107.81383432963278,9.0,2.0,38.0,0.43373493975903615,1610612739.0,107.81383432963278,93.68,94.46000000000001,95.24
