,Unnamed: 0,PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ABBREVIATION,TEAM_ID,OPP_ABBREVIATION,HOME_GAME,GAME_ID,GAME_DATE,WL,MIN,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PF,PLUS_MINUS,FANTASY_PTS,PointsPerShot,eFG,START_POSITION,COMMENT,OFF_RATING,E_OFF_RATING,DEF_RATING,E_DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,EFG_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,POSS,PACE_PER40,E_USG_PCT,TEAM_GAME_DATE,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_DEF_RATING,OPP_STL,OPP_BLK,OPP_REB,OPP_FG_PCT,OPP_TEAM_ID,TEAM_OFF_RATING,TEAM_PACE,GAME_PACE,OPP_PACE,STARTING,MIN_ROLL_REB_2,REB_ROLL_REB_2,REB_STD_AVG_2,OREB_ROLL_REB_2,DREB_ROLL_REB_2,OREB_PCT_ROLL_REB_2,DREB_PCT_ROLL_REB_2,REB_PCT_ROLL_REB_2,USG_PCT_ROLL_REB_2,GAME_PACE_ROLL_REB_2,MIN_ROLL_REB_4,REB_ROLL_REB_4,REB_STD_AVG_4,OREB_ROLL_REB_4,DREB_ROLL_REB_4,OREB_PCT_ROLL_REB_4,DREB_PCT_ROLL_REB_4,REB_PCT_ROLL_REB_4,USG_PCT_ROLL_REB_4,GAME_PACE_ROLL_REB_4,MIN_ROLL_REB_6,REB_ROLL_REB_6,REB_STD_AVG_6,OREB_ROLL_REB_6,DREB_ROLL_REB_6,OREB_PCT_ROLL_REB_6,DREB_PCT_ROLL_REB_6,REB_PCT_ROLL_REB_6,USG_PCT_ROLL_REB_6,GAME_PACE_ROLL_REB_6,PLAYER_HOME_AVG_REB,PLAYER_AWAY_AVG_REB,DAYS_OF_REST,DAYS_AGO,REB_LAG_1,REB_LAG_2,REB_LAG_3,REB_LAG_4,OPP_ROLL_OPP_DEF_RATING_5,OPP_ROLL_OPP_STL_5,OPP_ROLL_OPP_BLK_5,NORMALIZED_DEF_RATING,OPP_DEF_STRENGTH,DEF_CATEGORY,REB_VS_DEF,OREB_PCT_VS_DEF,DREB_PCT_VS_DEF,REB_PCT_VS_DEF,USG_PCT_VS_DEF,GAME_PACE_VS_DEF,GUARD,FORWARD,CENTER
42,42,LeBron James,2544,LAL vs. MIN,LAL,1610612747,MIN,1,42400161,2025-04-19,L,36,19,3,5,8,18,0.444,1,5,0.2,2,2,1.0,1,4,2,3,4,0,-22,40.5,1.006,0.4722222222222222,F,,108.7,108.3,142.6,143.4,-34.0,0.029,0.138,0.078,0.158,0.472,0.75,0.278,0.503,90.65,90.7,0.099,69,75.59,0.285,"APR 19, 2025",240,33,83,0.398,15,41,0.366,14,16,0.875,13,25,38,15,5,4,13,10,95,105.50866281652598,8.0,4.0,44.0,0.5116279069767442,1610612750,105.50866281652598,90.04,89.72,89.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,64,,,,,105.51,8.0,4.0,0.47254947287486965,0.7629453149978763,1,-0.318,-0.42,-0.014,-0.22,-0.041,-0.051,0,1,0
53,53,OG Anunoby,1628384,NYK vs. DET,NYK,1610612752,DET,1,42400121,2025-04-19,W,44,23,0,7,8,18,0.444,3,8,0.375,4,4,1.0,3,4,5,2,2,3,10,50.4,1.164,0.5277777777777778,F,,119.6,118.1,109.9,102.1,9.7,0.071,0.091,0.081,0.0,0.528,0.0,0.214,0.582,103.97,99.57,0.107,92,82.98,0.217,"APR 19, 2025",240,49,93,0.527,10,26,0.385,15,17,0.882,8,28,36,26,12,9,9,21,123,121.20614899487585,6.0,9.0,37.0,0.4767441860465116,1610612765,121.20614899487585,101.48,102.14,102.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,64,,,,,121.21,6.0,9.0,-0.8241609549143603,0.5795761451436776,0,0.679,1.367,0.3,0.62,0.126,0.026,1,1,0
60,60,Tobias Harris,202699,DET @ NYK,DET,1610612765,NYK,0,42400121,2025-04-19,L,40,25,0,6,8,13,0.615,4,5,0.8,5,5,1.0,0,6,0,2,1,0,-16,37.2,1.645,0.7692307692307693,F,,112.7,104.8,128.0,123.5,-15.4,0.0,0.162,0.078,0.0,0.769,0.0,0.17,0.822,102.53,97.12,0.148,79,80.94,0.17,"APR 19, 2025",240,41,86,0.477,15,32,0.469,15,20,0.75,11,26,37,23,6,9,19,21,112,108.94941634241246,12.0,9.0,36.0,0.5268817204301075,1610612752,108.94941634241246,102.8,102.14,101.48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,64,,,,,108.95,12.0,9.0,0.18842948105353516,1.1710654857866116,1,-0.091,-1.0,0.157,-0.025,0.063,0.018,0,1,0
10,10,Jarace Walker,1641716,IND vs. MIL,IND,1610612754,MIL,1,42400131,2025-04-19,W,17,3,0,5,1,2,0.5,1,1,1.0,0,0,,0,5,1,1,0,2,4,15.0,1.5,0.75,,,116.7,121.7,100.0,104.7,16.7,0.0,0.294,0.161,0.0,0.75,0.0,0.056,0.75,97.59,102.0,0.096,36,85.0,0.058,"APR 19, 2025",240,42,81,0.519,13,34,0.382,20,26,0.769,5,38,43,28,6,6,5,22,117,126.56858502812636,4.0,3.0,41.0,0.4166666666666667,1610612749,126.56858502812636,92.44,95.38,98.32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,64,,,,,126.57,4.0,3.0,-1.2668595468220212,-0.0528679626844181,0,2.185,-1.0,1.94,1.3,-0.533,-0.045,0,1,0
25,25,Kyle Kuzma,1628398,MIL @ IND,MIL,1610612749,IND,0,42400131,2025-04-19,L,22,0,0,0,0,5,0.0,0,2,0.0,0,2,0.0,0,0,0,0,0,2,-24,0.0,0.0,0.0,F,,87.2,88.8,144.4,144.3,-57.2,0.0,0.0,0.0,0.0,0.0,0.0,0.115,0.0,101.46,102.35,-0.095,47,85.29,0.12,"APR 19, 2025",240,35,84,0.417,9,37,0.243,19,28,0.679,8,33,41,15,4,3,10,20,98,99.67453213995118,6.0,6.0,43.0,0.5185185185185185,1610612754,99.67453213995118,98.32,95.38,92.44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,64,,,,,99.67,6.0,6.0,0.9548927148041124,0.9724816123404478,1,,,,,-0.042,0.0,0,1,0
44,44,Ausar Thompson,1641709,DET @ NYK,DET,1610612765,NYK,0,42400121,2025-04-19,L,23,10,1,6,4,8,0.5,0,0,,2,3,0.667,0,6,0,0,3,5,0,15.7,1.073,0.5,F,,119.6,110.4,112.2,115.4,7.3,0.0,0.286,0.14,0.063,0.5,0.33,0.222,0.536,102.41,99.8,0.043,46,83.17,0.223,"APR 19, 2025",240,41,86,0.477,15,32,0.469,15,20,0.75,11,26,37,23,6,9,19,21,112,108.94941634241246,12.0,9.0,36.0,0.5268817204301075,1610612752,108.94941634241246,102.8,102.14,101.48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,64,,,,,108.95,12.0,9.0,0.18842948105353516,1.1710654857866116,1,0.161,-1.0,0.787,0.273,0.057,0.028,1,1,0
34,34,Kawhi Leonard,202695,LAC @ DEN,LAC,1610612746,DEN,0,42400171,2025-04-19,L,41,22,2,6,9,15,0.6,1,3,0.333,3,3,1.0,1,5,3,0,7,3,-2,34.2,1.348,0.6333333333333333,F,,111.5,112.6,112.7,109.7,-1.1,0.029,0.119,0.079,0.08,0.633,0.29,0.261,0.674,92.38,91.57,0.111,78,76.31,0.267,"APR 19, 2025",265,43,86,0.5,12,33,0.364,12,16,0.75,11,33,44,25,7,6,20,25,110,107.80086240689926,11.0,1.0,45.0,0.4361702127659574,1610612743,107.80086240689926,102.04,103.46,104.88,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,64,,,,,107.8,11.0,1.0,0.28341145506357485,0.626766484011542,0,-0.25,-0.42,-0.3,-0.282,-0.033,0.096,0,1,0
49,49,Josh Hart,1628404,NYK vs. DET,NYK,1610612752,DET,1,42400121,2025-04-19,W,30,13,6,7,6,10,0.6,1,1,1.0,0,0,,2,5,0,1,2,3,20,31.4,1.3,0.65,F,,136.7,131.2,103.3,96.8,33.3,0.087,0.167,0.132,0.214,0.65,3.0,0.185,0.65,102.79,97.46,0.132,60,81.22,0.183,"APR 19, 2025",240,49,93,0.527,10,26,0.385,15,17,0.882,8,28,36,26,12,9,9,21,123,121.20614899487585,6.0,9.0,37.0,0.4767441860465116,1610612765,121.20614899487585,101.48,102.14,102.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,64,,,,,121.21,6.0,9.0,-0.8241609549143603,0.5795761451436776,0,-0.292,-0.033,-0.165,-0.057,0.542,0.015,1,0,0
15,15,Thomas Bryant,1628418,IND vs. MIL,IND,1610612754,MIL,1,42400131,2025-04-19,W,12,6,0,1,1,2,0.5,1,2,0.5,3,4,0.75,1,0,0,0,0,0,-6,7.2,1.596,0.75,,,100.0,110.0,128.0,129.9,-28.0,0.091,0.0,0.05,0.0,0.75,0.0,0.148,0.798,95.24,100.6,0.088,26,83.84,0.162,"APR 19, 2025",240,42,81,0.519,13,34,0.382,20,26,0.769,5,38,43,28,6,6,5,22,117,126.56858502812636,4.0,3.0,41.0,0.4166666666666667,1610612749,126.56858502812636,92.44,95.38,98.32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,64,,,,,126.57,4.0,3.0,-1.2668595468220212,-0.0528679626844181,0,-0.429,0.517,-1.0,-0.375,0.057,-0.044,0,1,1
16,16,AJ Green,1631260,MIL @ IND,MIL,1610612749,IND,0,42400131,2025-04-19,L,27,15,1,3,5,13,0.385,5,11,0.455,0,0,,0,3,0,0,0,5,-5,20.1,1.154,0.5769230769230769,,,100.0,101.6,107.3,113.1,-7.3,0.0,0.111,0.054,0.071,0.577,0.0,0.22,0.577,94.06,97.35,0.065,54,81.12,0.227,"APR 19, 2025",240,35,84,0.417,9,37,0.243,19,28,0.679,8,33,41,15,4,3,10,20,98,99.67453213995118,6.0,6.0,43.0,0.5185185185185185,1610612754,99.67453213995118,98.32,95.38,92.44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,64,,,,,99.67,6.0,6.0,0.9548927148041124,0.9724816123404478,1,0.0,,0.009,0.08,0.0,0.0,1,0,0
59,59,Mikal Bridges,1628969,NYK vs. DET,NYK,1610612752,DET,1,42400121,2025-04-19,W,29,8,2,2,4,9,0.444,0,2,0.0,0,0,,0,2,0,2,0,3,-16,19.4,0.889,0.4444444444444444,G,,103.3,102.6,133.9,126.6,-30.6,0.0,0.083,0.037,0.095,0.444,0.0,0.129,0.444,103.42,100.24,0.042,61,83.54,0.134,"APR 19, 2025",240,49,93,0.527,10,26,0.385,15,17,0.882,8,28,36,26,12,9,9,21,123,121.20614899487585,6.0,9.0,37.0,0.4767441860465116,1610612765,121.20614899487585,101.48,102.14,102.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,64,,,,,121.21,6.0,9.0,-0.8241609549143603,0.5795761451436776,0,-0.6,-1.0,-0.078,-0.383,-0.321,0.02,1,1,0
58,58,Jalen Brunson,1628973,NYK vs. DET,NYK,1610612752,DET,1,42400121,2025-04-19,W,40,34,8,2,12,27,0.444,2,5,0.4,8,10,0.8,0,2,0,0,1,3,2,47.4,1.083,0.4814814814814814,G,,119.0,116.1,119.5,110.8,-0.5,0.0,0.053,0.025,0.286,0.481,8.0,0.333,0.541,103.58,98.45,0.134,84,82.04,0.34,"APR 19, 2025",240,49,93,0.527,10,26,0.385,15,17,0.882,8,28,36,26,12,9,9,21,123,121.20614899487585,6.0,9.0,37.0,0.4767441860465116,1610612765,121.20614899487585,101.48,102.14,102.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,64,,,,,121.21,6.0,9.0,-0.8241609549143603,0.5795761451436776,0,-0.438,-1.0,-0.338,-0.5,0.009,0.013,1,0,0
81,81,Donte DiVincenzo,1628978,MIN @ LAL,MIN,1610612750,LAL,0,42400161,2025-04-19,W,25,9,4,5,4,9,0.444,1,5,0.2,0,0,,1,4,2,0,1,2,0,26.0,1.0,0.5,,,118.8,119.6,114.0,116.7,4.8,0.043,0.2,0.116,0.235,0.5,4.0,0.185,0.5,94.32,95.8,0.112,48,79.84,0.194,"APR 19, 2025",240,44,86,0.512,21,42,0.5,8,10,0.8,11,33,44,29,8,4,10,21,117,130.8724832214765,5.0,4.0,38.0,0.3975903614457831,1610612747,130.8724832214765,89.4,89.72,90.04,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,64,,,,,130.87,5.0,4.0,-1.6220095365986904,-0.0622206191534617,0,0.786,0.075,1.222,0.933,0.156,-0.067,1,0,0
75,75,Jaylen Clark,1641740,MIN @ LAL,MIN,1610612750,LAL,0,42400161,2025-04-19,W,3,2,0,0,0,0,,0,0,,2,2,1.0,0,0,1,0,0,1,-4,5.0,0.0,,,,66.7,103.1,160.0,160.0,-93.3,0.0,0.0,0.0,0.0,0.0,0.0,0.143,1.136,67.94,84.17,0.25,6,70.14,0.205,"APR 19, 2025",240,44,86,0.512,21,42,0.5,8,10,0.8,11,33,44,29,8,4,10,21,117,130.8724832214765,5.0,4.0,38.0,0.3975903614457831,1610612747,130.8724832214765,89.4,89.72,90.04,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,64,,,,,130.87,5.0,4.0,-1.6220095365986904,-0.0622206191534617,0,-1.0,,-1.0,-1.0,0.43,-0.066,1,0,0
77,77,Bronny James,1642355,LAL vs. MIN,LAL,1610612747,MIN,1,42400161,2025-04-19,L,3,0,0,0,0,2,0.0,0,2,0.0,0,0,,0,0,0,0,0,0,1,0.0,0.0,0.0,,,125.0,125.0,80.0,103.1,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.0,62.35,71.21,-0.4,4,59.34,0.222,"APR 19, 2025",240,33,83,0.398,15,41,0.366,14,16,0.875,13,25,38,15,5,4,13,10,95,105.50866281652598,8.0,4.0,44.0,0.5116279069767442,1610612750,105.50866281652598,90.04,89.72,89.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,64,,,,,105.51,8.0,4.0,0.47254947287486965,0.7629453149978763,1,,,,,1.018,-0.042,1,0,0
