,PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ABBREVIATION,TEAM_ID,OPP_ABBREVIATION,HOME_GAME,AWAY_GAME,GAME_ID,GAME_DATE,WL,MIN,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PF,PLUS_MINUS,FANTASY_PTS,PointsPerShot,START_POSITION,OFF_RATING,DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,PACE_PER40,TEAM_GAME_DATE,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_DEF_RATING,OPP_STL,OPP_BLK,OPP_REB,OPP_FG_PCT,OPP_TEAM_ID,TEAM_OFF_RATING,TEAM_PACE,GAME_PACE,OPP_PACE
0,Russell Westbrook,201566,LAL vs. GSW,LAL,1610612747,GSW,1,0,0022100002,2021-10-19,L,35,8,4,5,4,13,0.308,0,4,0.0,0,0,,1,4,0,0,4,4,-23,16.0,0.615,G,91.7,117.6,-26.0,0.023,0.103,0.06,0.148,1.0,0.185,0.308,117.6,115.45,-0.003,96.2,"OCT 19, 2021",240,45,95,0.474,15,42,0.357,9,19,0.474,5,40,45,21,7,4,17,25,114,98.82108183079058,9.0,2.0,50.0,0.44086021505376344,1610612744,98.82108183079058,115.36,114.78000000000002,114.2
1,Kevon Looney,1626172,GSW @ LAL,GSW,1610612744,LAL,0,1,0022100002,2021-10-19,W,15,7,1,4,3,5,0.6,0,0,,1,2,0.5,2,2,1,1,1,0,-8,18.3,1.19,C,70.0,87.8,-17.8,0.095,0.105,0.1,0.125,1.0,0.156,0.595,125.63,125.69,0.153,104.74,"OCT 19, 2021",240,41,93,0.441,14,39,0.359,25,30,0.833,9,41,50,30,9,2,17,18,121,105.95446584938703,7.0,4.0,45.0,0.47368421052631576,1610612747,105.95446584938703,114.2,114.78000000000002,115.36
2,Otto Porter Jr.,203490,GSW @ LAL,GSW,1610612744,LAL,0,1,0022100002,2021-10-19,W,12,5,0,1,1,3,0.333,1,2,0.5,2,2,1.0,0,1,1,0,1,2,1,8.2,1.289,,100.0,96.2,3.8,0.0,0.091,0.043,0.0,0.0,0.192,0.644,107.66,107.74,0.047,89.78,"OCT 19, 2021",240,41,93,0.441,14,39,0.359,25,30,0.833,9,41,50,30,9,2,17,18,121,105.95446584938703,7.0,4.0,45.0,0.47368421052631576,1610612747,105.95446584938703,114.2,114.78000000000002,115.36
3,Gary Payton II,1627780,GSW @ LAL,GSW,1610612744,LAL,0,1,0022100002,2021-10-19,W,0,0,0,0,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,394.52,394.52,1.0,328.77,"OCT 19, 2021",240,41,93,0.441,14,39,0.359,25,30,0.833,9,41,50,30,9,2,17,18,121,105.95446584938703,7.0,4.0,45.0,0.47368421052631576,1610612747,105.95446584938703,114.2,114.78000000000002,115.36
4,Kent Bazemore,203145,LAL vs. GSW,LAL,1610612747,GSW,1,0,0022100002,2021-10-19,L,31,8,0,2,3,9,0.333,2,8,0.25,0,0,,0,2,0,1,1,4,10,12.4,0.889,G,113.5,100.0,13.5,0.0,0.057,0.03,0.0,0.0,0.128,0.444,114.79,116.02,-0.003,96.68,"OCT 19, 2021",240,45,95,0.474,15,42,0.357,9,19,0.474,5,40,45,21,7,4,17,25,114,98.82108183079058,9.0,2.0,50.0,0.44086021505376344,1610612744,98.82108183079058,115.36,114.78000000000002,114.2
5,Jordan Poole,1629673,GSW @ LAL,GSW,1610612744,LAL,0,1,0022100002,2021-10-19,W,25,20,3,2,8,18,0.444,4,11,0.364,0,1,0.0,0,2,1,0,2,2,2,27.9,1.085,G,98.3,93.2,5.1,0.0,0.08,0.036,0.25,1.5,0.313,0.542,111.71,112.02,0.12,93.35,"OCT 19, 2021",240,41,93,0.441,14,39,0.359,25,30,0.833,9,41,50,30,9,2,17,18,121,105.95446584938703,7.0,4.0,45.0,0.47368421052631576,1610612747,105.95446584938703,114.2,114.78000000000002,115.36
6,Malik Monk,1628370,LAL vs. GSW,LAL,1610612747,GSW,1,0,0022100002,2021-10-19,L,19,6,1,3,2,5,0.4,2,4,0.5,0,0,,0,3,2,0,1,1,-10,16.1,1.2,,91.1,113.3,-22.2,0.0,0.13,0.067,0.071,1.0,0.12,0.6,119.29,115.29,0.089,96.08,"OCT 19, 2021",240,45,95,0.474,15,42,0.357,9,19,0.474,5,40,45,21,7,4,17,25,114,98.82108183079058,9.0,2.0,50.0,0.44086021505376344,1610612744,98.82108183079058,115.36,114.78000000000002,114.2
7,Damion Lee,1627814,GSW @ LAL,GSW,1610612744,LAL,0,1,0022100002,2021-10-19,W,29,15,2,1,4,10,0.4,1,5,0.2,6,6,1.0,0,1,0,0,0,3,9,19.2,1.187,,128.1,114.1,14.1,0.0,0.031,0.017,0.083,0.0,0.188,0.593,108.98,105.71,0.069,88.09,"OCT 19, 2021",240,41,93,0.441,14,39,0.359,25,30,0.833,9,41,50,30,9,2,17,18,121,105.95446584938703,7.0,4.0,45.0,0.47368421052631576,1610612747,105.95446584938703,114.2,114.78000000000002,115.36
8,Nemanja Bjelica,202357,GSW @ LAL,GSW,1610612744,LAL,0,1,0022100002,2021-10-19,W,26,15,4,11,6,7,0.857,1,1,1.0,2,2,1.0,2,9,1,0,1,2,20,36.2,1.904,,132.1,98.2,34.0,0.087,0.3,0.208,0.211,4.0,0.148,0.952,107.47,102.76,0.264,85.64,"OCT 19, 2021",240,41,93,0.441,14,39,0.359,25,30,0.833,9,41,50,30,9,2,17,18,121,105.95446584938703,7.0,4.0,45.0,0.47368421052631576,1610612747,105.95446584938703,114.2,114.78000000000002,115.36
9,Andre Iguodala,2738,GSW @ LAL,GSW,1610612744,LAL,0,1,0022100002,2021-10-19,W,23,12,2,1,4,7,0.571,2,5,0.4,2,2,1.0,0,1,0,1,0,1,8,19.2,1.523,,123.1,109.8,13.3,0.0,0.042,0.023,0.118,0.0,0.143,0.761,111.41,107.61,0.12,89.68,"OCT 19, 2021",240,41,93,0.441,14,39,0.359,25,30,0.833,9,41,50,30,9,2,17,18,121,105.95446584938703,7.0,4.0,45.0,0.47368421052631576,1610612747,105.95446584938703,114.2,114.78000000000002,115.36
10,Dwight Howard,2730,LAL vs. GSW,LAL,1610612747,GSW,1,0,0022100002,2021-10-19,L,13,5,0,6,1,2,0.5,0,0,,3,4,0.75,0,6,0,0,2,2,-7,10.2,1.33,,65.6,87.5,-21.9,0.0,0.4,0.188,0.0,0.0,0.171,0.665,123.74,119.84,0.116,99.87,"OCT 19, 2021",240,45,95,0.474,15,42,0.357,9,19,0.474,5,40,45,21,7,4,17,25,114,98.82108183079058,9.0,2.0,50.0,0.44086021505376344,1610612744,98.82108183079058,115.36,114.78000000000002,114.2
11,Carmelo Anthony,2546,LAL vs. GSW,LAL,1610612747,GSW,1,0,0022100002,2021-10-19,L,26,9,2,4,3,9,0.333,2,4,0.5,1,2,0.5,0,4,0,0,1,2,-5,15.8,0.911,,103.3,109.8,-6.5,0.0,0.138,0.069,0.095,2.0,0.162,0.455,114.98,111.41,0.047,92.84,"OCT 19, 2021",240,45,95,0.474,15,42,0.357,9,19,0.474,5,40,45,21,7,4,17,25,114,98.82108183079058,9.0,2.0,50.0,0.44086021505376344,1610612744,98.82108183079058,115.36,114.78000000000002,114.2
12,LeBron James,2544,LAL vs. GSW,LAL,1610612747,GSW,1,0,0022100002,2021-10-19,L,37,34,5,11,13,23,0.565,5,11,0.455,3,6,0.5,1,10,1,1,4,5,-2,56.7,1.326,F,102.4,104.8,-2.4,0.028,0.238,0.141,0.25,1.25,0.322,0.663,110.06,109.72,0.204,91.43,"OCT 19, 2021",240,45,95,0.474,15,42,0.357,9,19,0.474,5,40,45,21,7,4,17,25,114,98.82108183079058,9.0,2.0,50.0,0.44086021505376344,1610612744,98.82108183079058,115.36,114.78000000000002,114.2
13,Moses Moody,1630541,GSW @ LAL,GSW,1610612744,LAL,0,1,0022100002,2021-10-19,W,6,2,0,2,1,3,0.333,0,0,,0,0,,0,2,0,0,0,0,-1,4.4,0.667,,47.1,56.3,-9.2,0.0,0.25,0.118,0.0,0.0,0.158,0.333,146.07,142.28,0.129,118.56,"OCT 19, 2021",240,41,93,0.441,14,39,0.359,25,30,0.833,9,41,50,30,9,2,17,18,121,105.95446584938703,7.0,4.0,45.0,0.47368421052631576,1610612747,105.95446584938703,114.2,114.78000000000002,115.36
