,Unnamed: 0,PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ABBREVIATION,TEAM_ID,OPP_ABBREVIATION,HOME_GAME,AWAY_GAME,GAME_ID,GAME_DATE,WL,MIN,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PF,PLUS_MINUS,FANTASY_PTS,PointsPerShot,START_POSITION,OFF_RATING,DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,PACE_PER40,TEAM_GAME_DATE,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_DEF_RATING,OPP_STL,OPP_BLK,OPP_REB,OPP_FG_PCT,OPP_TEAM_ID,TEAM_OFF_RATING,TEAM_PACE,GAME_PACE,OPP_PACE,POSITION
0,0,Jaylen Brown,1627759,BOS vs. PHI,BOS,1610612738,PHI,1,0,22200001,2022-10-18,W,39,35,2,3,14,24,0.583,4,12,0.333,3,3,1.0,0,3,2,1,4,1,7,46.6,1.382,F,131.6,119.2,12.3,0.0,0.091,0.047,0.087,0.5,0.354,0.691,98.85,95.83,0.157,79.86,"OCT 18, 2022",240,46,82,0.561,12,35,0.343,22,28,0.786,6,30,36,24,8,3,10,24,126,128.15296989422296,8.0,3.0,31.0,0.5,1610612755,128.15296989422296,98.32,100.32,102.32,Guard-Forward
1,1,Noah Vonleh,203943,BOS vs. PHI,BOS,1610612738,PHI,1,0,22200001,2022-10-18,W,20,2,0,2,1,2,0.5,0,0,,0,0,,0,2,1,1,0,4,7,10.4,1.0,,139.0,122.0,17.1,0.0,0.133,0.071,0.0,0.0,0.048,0.5,96.97,97.59,0.005,81.32,"OCT 18, 2022",240,46,82,0.561,12,35,0.343,22,28,0.786,6,30,36,24,8,3,10,24,126,128.15296989422296,8.0,3.0,31.0,0.5,1610612755,128.15296989422296,98.32,100.32,102.32,Forward
2,2,P.J. Tucker,200782,PHI @ BOS,PHI,1610612755,BOS,0,1,22200001,2022-10-18,L,33,6,0,4,3,5,0.6,0,2,0.0,0,0,,2,2,0,1,2,2,-6,11.8,1.2,F,116.2,130.8,-14.6,0.069,0.077,0.073,0.0,0.0,0.095,0.6,98.83,96.68,0.024,80.57,"OCT 18, 2022",240,40,80,0.5,13,34,0.382,24,28,0.857,4,27,31,16,8,3,14,25,117,114.347146207975,8.0,3.0,36.0,0.5609756097560976,1610612738,114.347146207975,102.32,100.32,98.32,Forward
3,3,Al Horford,201143,BOS vs. PHI,BOS,1610612738,PHI,1,0,22200001,2022-10-18,W,23,6,1,5,2,7,0.286,2,5,0.4,0,0,,1,4,0,0,0,4,8,13.5,0.857,C,143.5,126.1,17.4,0.053,0.222,0.135,0.045,0.0,0.14,0.429,99.16,95.58,0.023,79.65,"OCT 18, 2022",240,46,82,0.561,12,35,0.343,22,28,0.786,6,30,36,24,8,3,10,24,126,128.15296989422296,8.0,3.0,31.0,0.5,1610612755,128.15296989422296,98.32,100.32,102.32,Center-Forward
4,4,Tobias Harris,202699,PHI @ BOS,PHI,1610612755,BOS,0,1,22200001,2022-10-18,L,34,18,0,2,7,14,0.5,3,6,0.5,1,2,0.5,1,1,3,0,0,3,-1,29.4,1.21,F,121.4,126.5,-5.0,0.033,0.034,0.034,0.0,0.0,0.195,0.605,100.53,96.75,0.078,80.62,"OCT 18, 2022",240,40,80,0.5,13,34,0.382,24,28,0.857,4,27,31,16,8,3,14,25,117,114.347146207975,8.0,3.0,36.0,0.5609756097560976,1610612738,114.347146207975,102.32,100.32,98.32,Forward
5,5,Marcus Smart,203935,BOS vs. PHI,BOS,1610612738,PHI,1,0,22200001,2022-10-18,W,36,14,7,3,3,8,0.375,1,4,0.25,7,8,0.875,1,2,1,0,1,3,0,30.1,1.215,G,123.0,121.3,1.6,0.03,0.063,0.046,0.241,7.0,0.16,0.608,101.49,99.09,0.094,82.58,"OCT 18, 2022",240,46,82,0.561,12,35,0.343,22,28,0.786,6,30,36,24,8,3,10,24,126,128.15296989422296,8.0,3.0,31.0,0.5,1610612755,128.15296989422296,98.32,100.32,102.32,Guard
6,6,Montrezl Harrell,1626149,PHI @ BOS,PHI,1610612755,BOS,0,1,22200001,2022-10-18,L,11,2,0,0,1,3,0.333,0,0,,0,0,,0,0,0,1,1,3,4,4.0,0.667,,117.4,100.0,17.4,0.0,0.0,0.0,0.0,0.0,0.16,0.333,105.9,102.86,-0.106,85.71,"OCT 18, 2022",240,40,80,0.5,13,34,0.382,24,28,0.857,4,27,31,16,8,3,14,25,117,114.347146207975,8.0,3.0,36.0,0.5609756097560976,1610612738,114.347146207975,102.32,100.32,98.32,Forward-Center
7,7,Jayson Tatum,1628369,BOS vs. PHI,BOS,1610612738,PHI,1,0,22200001,2022-10-18,W,39,35,4,12,13,20,0.65,2,7,0.286,7,9,0.778,0,12,1,1,3,1,10,58.4,1.461,F,125.6,111.4,14.2,0.0,0.333,0.182,0.174,1.33,0.321,0.73,98.41,97.56,0.25,81.3,"OCT 18, 2022",240,46,82,0.561,12,35,0.343,22,28,0.786,6,30,36,24,8,3,10,24,126,128.15296989422296,8.0,3.0,31.0,0.5,1610612755,128.15296989422296,98.32,100.32,102.32,Forward-Guard
8,8,Matisse Thybulle,1629680,PHI @ BOS,PHI,1610612755,BOS,0,1,22200001,2022-10-18,L,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,-1,0.0,0.0,,0.0,50.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.87,178.51,0.0,148.76,"OCT 18, 2022",240,40,80,0.5,13,34,0.382,24,28,0.857,4,27,31,16,8,3,14,25,117,114.347146207975,8.0,3.0,36.0,0.5609756097560976,1610612738,114.347146207975,102.32,100.32,98.32,Guard-Forward
9,9,James Harden,201935,PHI @ BOS,PHI,1610612755,BOS,0,1,22200001,2022-10-18,L,37,35,7,8,9,14,0.643,5,9,0.556,12,12,1.0,0,8,0,0,3,3,1,52.1,1.815,G,116.9,118.7,-1.8,0.0,0.242,0.118,0.333,2.33,0.226,0.908,100.4,97.88,0.257,81.56,"OCT 18, 2022",240,40,80,0.5,13,34,0.382,24,28,0.857,4,27,31,16,8,3,14,25,117,114.347146207975,8.0,3.0,36.0,0.5609756097560976,1610612738,114.347146207975,102.32,100.32,98.32,Guard
10,10,Blake Griffin,201933,BOS vs. PHI,BOS,1610612738,PHI,1,0,22200001,2022-10-18,W,8,1,1,5,0,2,0.0,0,1,0.0,1,2,0.5,2,3,0,0,0,3,-5,8.5,0.347,,105.6,141.2,-35.6,0.286,0.375,0.333,0.167,0.0,0.143,0.174,108.57,101.39,0.0,84.49,"OCT 18, 2022",240,46,82,0.561,12,35,0.343,22,28,0.786,6,30,36,24,8,3,10,24,126,128.15296989422296,8.0,3.0,31.0,0.5,1610612755,128.15296989422296,98.32,100.32,102.32,Forward
11,11,Malcolm Brogdon,1627763,BOS vs. PHI,BOS,1610612738,PHI,1,0,22200001,2022-10-18,W,24,16,4,2,7,11,0.636,0,2,0.0,2,2,1.0,1,1,2,0,1,2,9,29.4,1.347,,135.4,114.3,21.1,0.056,0.05,0.053,0.222,4.0,0.236,0.673,100.2,97.54,0.176,81.28,"OCT 18, 2022",240,46,82,0.561,12,35,0.343,22,28,0.786,6,30,36,24,8,3,10,24,126,128.15296989422296,8.0,3.0,31.0,0.5,1610612755,128.15296989422296,98.32,100.32,102.32,Guard
12,12,Derrick White,1628401,BOS vs. PHI,BOS,1610612738,PHI,1,0,22200001,2022-10-18,W,24,2,4,3,1,3,0.333,0,1,0.0,0,1,0.0,1,2,1,0,1,2,9,13.6,0.581,G,124.5,107.5,17.0,0.043,0.08,0.063,0.182,4.0,0.069,0.291,107.98,105.82,0.038,88.19,"OCT 18, 2022",240,46,82,0.561,12,35,0.343,22,28,0.786,6,30,36,24,8,3,10,24,126,128.15296989422296,8.0,3.0,31.0,0.5,1610612755,128.15296989422296,98.32,100.32,102.32,Guard
13,13,Grant Williams,1629684,BOS vs. PHI,BOS,1610612738,PHI,1,0,22200001,2022-10-18,W,24,15,1,1,5,5,1.0,3,3,1.0,2,3,0.667,0,1,0,0,0,3,-3,17.7,2.373,,114.6,118.4,-3.8,0.0,0.048,0.024,0.063,0.0,0.111,1.187,101.21,97.2,0.144,81.0,"OCT 18, 2022",240,46,82,0.561,12,35,0.343,22,28,0.786,6,30,36,24,8,3,10,24,126,128.15296989422296,8.0,3.0,31.0,0.5,1610612755,128.15296989422296,98.32,100.32,102.32,Forward
14,14,Sam Hauser,1630573,BOS vs. PHI,BOS,1610612738,PHI,1,0,22200001,2022-10-18,W,3,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,1,3,0.0,0.0,,185.7,142.9,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.99,101.31,-0.056,84.42,"OCT 18, 2022",240,46,82,0.561,12,35,0.343,22,28,0.786,6,30,36,24,8,3,10,24,126,128.15296989422296,8.0,3.0,31.0,0.5,1610612755,128.15296989422296,98.32,100.32,102.32,Forward
15,15,Joel Embiid,203954,PHI @ BOS,PHI,1610612755,BOS,0,1,22200001,2022-10-18,L,37,26,5,15,9,18,0.5,1,6,0.167,7,9,0.778,1,14,0,1,6,4,-13,48.5,1.184,C,118.4,139.2,-20.8,0.032,0.5,0.254,0.217,0.83,0.329,0.592,99.36,96.6,0.146,80.5,"OCT 18, 2022",240,40,80,0.5,13,34,0.382,24,28,0.857,4,27,31,16,8,3,14,25,117,114.347146207975,8.0,3.0,36.0,0.5609756097560976,1610612738,114.347146207975,102.32,100.32,98.32,Center-Forward
16,16,Georges Niang,1627777,PHI @ BOS,PHI,1610612755,BOS,0,1,22200001,2022-10-18,L,12,3,1,0,1,4,0.25,1,3,0.333,0,0,,0,0,0,0,0,1,-5,4.5,0.75,,128.0,142.3,-14.3,0.0,0.0,0.0,0.111,0.0,0.154,0.375,105.61,100.93,0.0,84.11,"OCT 18, 2022",240,40,80,0.5,13,34,0.382,24,28,0.857,4,27,31,16,8,3,14,25,117,114.347146207975,8.0,3.0,36.0,0.5609756097560976,1610612738,114.347146207975,102.32,100.32,98.32,Forward
17,17,Danuel House Jr.,1627863,PHI @ BOS,PHI,1610612755,BOS,0,1,22200001,2022-10-18,L,16,1,1,1,0,2,0.0,0,1,0.0,1,2,0.5,0,1,2,0,1,2,-5,8.7,0.347,,118.8,126.5,-7.7,0.0,0.077,0.037,0.083,1.0,0.118,0.174,101.75,97.78,-0.017,81.48,"OCT 18, 2022",240,40,80,0.5,13,34,0.382,24,28,0.857,4,27,31,16,8,3,14,25,117,114.347146207975,8.0,3.0,36.0,0.5609756097560976,1610612738,114.347146207975,102.32,100.32,98.32,Forward-Guard
18,18,De'Anthony Melton,1629001,PHI @ BOS,PHI,1610612755,BOS,0,1,22200001,2022-10-18,L,21,5,0,0,2,4,0.5,1,2,0.5,0,0,,0,0,1,0,0,2,-13,8.0,1.25,,122.0,150.0,-28.0,0.0,0.0,0.0,0.0,0.0,0.093,0.625,101.19,96.93,0.022,80.78,"OCT 18, 2022",240,40,80,0.5,13,34,0.382,24,28,0.857,4,27,31,16,8,3,14,25,117,114.347146207975,8.0,3.0,36.0,0.5609756097560976,1610612738,114.347146207975,102.32,100.32,98.32,Guard
