NAME,LINE,L-5,L-10,L-15
Darius Garland,2.5,0.8,0.5,0.33
Jalen Johnson,3.5,0.6,0.7,0.6
Julius Randle,2.5,0.6,0.5,0.47
Amen Thompson,2.5,0.6,0.5,0.53
