NAME,LINE,L-5,L-10,L-15,OVER%,UNDER%,IMPLIED_ODDS
Kyshawn George,0.5,0.6,0.6,0.67,0.513,0.487,1.949
Anthony Edwards,0.5,0.6,0.6,0.53,0.52,0.48,1.924
