Game,Tipoff,Season,Score,Over_Under,Home_Line
HOU @ OKC,Oct 21 7:30 PM,2025,124-125,226.0,-6.5
GSW @ LAL,Oct 21 10:00 PM,2025,119-109,227.5,-1.0
BKN @ CHA,Oct 22 7:00 PM,2025,117-136,228.5,-5.0
CLE @ NYK,Oct 22 7:00 PM,2025,111-119,229.0,-1.0
MIA @ ORL,Oct 22 7:00 PM,2025,121-125,215.5,-8.0
TOR @ ATL,Oct 22 7:30 PM,2025,138-118,237.5,-5.5
PHI @ BOS,Oct 22 7:30 PM,2025,117-116,230.0,-5.5
DET @ CHI,Oct 22 8:00 PM,2025,111-115,236.5,3.0
NOP @ MEM,Oct 22 8:00 PM,2025,122-128,236.5,-4.0
WAS @ MIL,Oct 22 8:00 PM,2025,120-133,228.0,-10.0
LAC @ UTA,Oct 22 9:00 PM,2025,108-129,225.5,9.5
SAS @ DAL,Oct 22 9:30 PM,2025,125-92,224.0,-3.5
SAC @ PHX,Oct 22 10:00 PM,2025,116-120,228.5,-3.5
MIN @ POR,Oct 22 10:00 PM,2025,118-114,222.5,4.5
OKC @ IND,Oct 23 7:30 PM,2025,141-135,231.5,7.5
DEN @ GSW,Oct 23 10:00 PM,2025,131-137,233.0,-1.5
MIL @ TOR,Oct 24 6:30 PM,2025,122-116,235.5,-2.0
ATL @ ORL,Oct 24 7:00 PM,2025,111-107,235.5,-5.5
CLE @ BKN,Oct 24 7:30 PM,2025,131-124,230.0,11.5
BOS @ NYK,Oct 24 7:30 PM,2025,95-105,231.5,-3.5
DET @ HOU,Oct 24 8:00 PM,2025,115-111,226.5,-6.5
MIA @ MEM,Oct 24 8:00 PM,2025,146-114,232.5,-3.0
SAS @ NOP,Oct 24 8:00 PM,2025,120-116,233.5,4.0
WAS @ DAL,Oct 24 8:30 PM,2025,117-107,228.5,-9.0
MIN @ LAL,Oct 24 10:00 PM,2025,110-128,226.0,1.5
GSW @ POR,Oct 24 10:00 PM,2025,119-139,228.5,2.5
UTA @ SAC,Oct 24 10:00 PM,2025,104-105,235.0,-5.5
PHX @ LAC,Oct 24 10:30 PM,2025,102-129,223.5,-10.0
