Game,Tipoff,Season,Score,Over_Under,Home_Line
OKC @ MIN,May 24 8:30 PM,2024,101-143,217.0,3.0
NYK @ IND,May 25 8:00 PM,2024,106-100,223.5,-1.5
OKC @ MIN,May 26 8:30 PM,2024,128-126,219.0,3.0
NYK @ IND,May 27 8:00 PM,2024,121-130,219.5,-3.0
MIN @ OKC,May 28 8:30 PM,2024,94-124,222.0,-8.5
IND @ NYK,May 29 8:00 PM,2024,94-111,222.5,-4.5
NYK @ IND,May 31 8:00 PM,2024,108-125,222.5,-4.0
IND @ OKC,Jun 5 8:30 PM,2024,111-110,230.0,-10.0
IND @ OKC,Jun 8 8:00 PM,2024,107-123,228.0,-11.5
OKC @ IND,Jun 11 8:30 PM,2024,107-116,226.0,5.5
OKC @ IND,Jun 13 8:30 PM,2024,111-104,227.5,6.0
IND @ OKC,Jun 16 8:30 PM,2024,109-120,223.0,-9.0
OKC @ IND,Jun 19 8:30 PM,2024,91-108,222.5,5.5
IND @ OKC,Jun 22 8:00 PM,2024,91-103,215.5,-7.0
