Game,Tipoff,Season,Score,Over_Under,Home_Line
GSW @ BKN,Dec 22 7:00 PM,2020,99-125,235.0,-7.5
LAC @ LAL,Dec 22 10:00 PM,2020,116-109,219.5,-2.0
CHA @ CLE,Dec 23 7:00 PM,2020,114-121,217.0,3.0
NYK @ IND,Dec 23 7:00 PM,2020,107-121,215.5,-7.5
MIA @ ORL,Dec 23 7:00 PM,2020,107-113,219.0,4.5
WAS @ PHI,Dec 23 7:00 PM,2020,107-113,230.5,-7.5
MIL @ BOS,Dec 23 7:30 PM,2020,121-122,223.5,4.5
NOP @ TOR,Dec 23 7:30 PM,2020,113-99,228.5,-3.5
ATL @ CHI,Dec 23 8:00 PM,2020,124-104,234.5,2.0
SAS @ MEM,Dec 23 8:00 PM,2020,131-119,230.0,-2.0
DET @ MIN,Dec 23 8:00 PM,2020,101-111,224.5,-5.5
SAC @ DEN,Dec 23 9:00 PM,2020,124-122,227.5,-7.5
UTA @ POR,Dec 23 10:00 PM,2020,120-100,226.0,1.5
DAL @ PHX,Dec 23 10:30 PM,2020,102-106,232.5,1.0
NOP @ MIA,Dec 25 12:00 PM,2020,98-111,221.0,-3.0
GSW @ MIL,Dec 25 2:30 PM,2020,99-138,230.5,-10.0
BKN @ BOS,Dec 25 5:00 PM,2020,123-95,229.5,3.0
DAL @ LAL,Dec 25 8:00 PM,2020,115-138,226.0,-6.0
LAC @ DEN,Dec 25 10:30 PM,2020,121-108,226.5,3.5
ATL @ MEM,Dec 26 5:00 PM,2020,122-112,238.5,1.0
OKC @ CHA,Dec 26 7:00 PM,2020,109-107,219.5,-3.0
CLE @ DET,Dec 26 7:00 PM,2020,128-119,214.0,-1.0
ORL @ WAS,Dec 26 7:00 PM,2020,130-120,232.5,-1.5
PHI @ NYK,Dec 26 7:30 PM,2020,109-89,215.0,8.0
IND @ CHI,Dec 26 8:00 PM,2020,125-106,223.5,6.0
TOR @ SAS,Dec 26 8:30 PM,2020,114-119,228.5,2.5
MIN @ UTA,Dec 26 9:00 PM,2020,116-111,229.0,-9.5
HOU @ POR,Dec 26 10:00 PM,2020,126-128,225.5,-7.5
PHX @ SAC,Dec 26 10:00 PM,2020,103-106,227.0,3.5
DAL @ LAC,Dec 27 3:30 PM,2020,124-73,226.5,-3.0
BKN @ CHA,Dec 27 7:00 PM,2020,104-106,233.0,11.0
SAS @ NOP,Dec 27 7:00 PM,2020,95-98,227.5,-5.0
ORL @ WAS,Dec 27 7:00 PM,2020,120-113,230.5,2.0
PHI @ CLE,Dec 27 7:30 PM,2020,94-118,218.0,6.0
MIL @ NYK,Dec 27 7:30 PM,2020,110-130,222.0,13.0
GSW @ CHI,Dec 27 8:00 PM,2020,129-128,229.5,3.5
BOS @ IND,Dec 27 8:00 PM,2020,107-108,220.5,3.0
PHX @ SAC,Dec 27 9:00 PM,2020,116-100,226.0,3.5
MIN @ LAL,Dec 27 10:00 PM,2020,91-127,229.0,-10.5
DET @ ATL,Dec 28 7:30 PM,2020,120-128,223.5,-10.5
MEM @ BKN,Dec 28 7:30 PM,2020,116-111,227.5,1.5
UTA @ OKC,Dec 28 8:00 PM,2020,110-109,218.0,9.0
HOU @ DEN,Dec 28 9:00 PM,2020,111-124,222.0,-6.5
POR @ LAL,Dec 28 10:00 PM,2020,115-107,230.0,-6.0
NYK @ CLE,Dec 29 7:00 PM,2020,95-86,216.0,-3.5
GSW @ DET,Dec 29 7:00 PM,2020,116-106,227.0,4.5
BOS @ IND,Dec 29 7:00 PM,2020,116-111,219.0,1.0
TOR @ PHI,Dec 29 7:00 PM,2020,93-100,219.5,-1.5
CHI @ WAS,Dec 29 7:00 PM,2020,115-107,238.5,-6.0
MIL @ MIA,Dec 29 7:30 PM,2020,144-97,227.0,6.0
ORL @ OKC,Dec 29 8:00 PM,2020,118-107,219.0,6.5
MIN @ LAC,Dec 29 10:00 PM,2020,101-124,225.5,-10.5
NOP @ PHX,Dec 29 10:00 PM,2020,86-111,222.0,-1.5
DEN @ SAC,Dec 29 10:00 PM,2020,115-125,226.0,2.0
ATL @ BKN,Dec 30 7:30 PM,2020,141-145,240.0,-5.5
MEM @ BOS,Dec 30 7:30 PM,2020,107-126,218.0,-7.0
MIL @ MIA,Dec 30 7:30 PM,2020,108-119,228.5,6.5
CHA @ DAL,Dec 30 8:30 PM,2020,118-99,225.0,-8.0
LAL @ SAS,Dec 30 8:30 PM,2020,121-107,231.5,7.5
POR @ LAC,Dec 30 10:00 PM,2020,105-128,225.5,-5.5
CLE @ IND,Dec 31 3:00 PM,2020,99-119,219.5,-8.0
CHI @ WAS,Dec 31 5:00 PM,2020,133-130,235.5,-7.5
PHI @ ORL,Dec 31 6:30 PM,2020,116-92,219.5,4.0
SAC @ HOU,Dec 31 7:00 PM,2020,119-122,231.5,-5.5
NYK @ TOR,Dec 31 7:30 PM,2020,83-100,215.5,-8.0
NOP @ OKC,Dec 31 8:00 PM,2020,113-80,214.5,5.5
PHX @ UTA,Dec 31 9:00 PM,2020,106-95,219.5,-4.0
MEM @ CHA,Jan 1 7:00 PM,2020,108-93,220.0,-4.0
MIA @ DAL,Jan 1 7:00 PM,2020,83-93,225.0,1.5
BOS @ DET,Jan 1 7:00 PM,2020,93-96,213.5,8.5
ATL @ BKN,Jan 1 7:30 PM,2020,114-96,244.5,-6.0
CHI @ MIL,Jan 1 8:00 PM,2020,96-126,233.0,-14.5
WAS @ MIN,Jan 1 8:00 PM,2020,130-109,234.5,1.0
LAL @ SAS,Jan 1 8:00 PM,2020,109-103,229.0,7.5
PHX @ DEN,Jan 1 9:00 PM,2020,106-103,220.5,-3.5
LAC @ UTA,Jan 1 9:00 PM,2020,100-106,219.5,3.5
POR @ GSW,Jan 1 10:30 PM,2020,123-98,237.5,3.5
SAC @ HOU,Jan 2 5:00 PM,2020,94-102,229.0,2.0
NYK @ IND,Jan 2 7:00 PM,2020,106-102,215.0,-9.5
OKC @ ORL,Jan 2 7:00 PM,2020,108-99,216.5,-4.5
CHA @ PHI,Jan 2 7:00 PM,2020,112-127,217.0,-10.0
CLE @ ATL,Jan 2 7:30 PM,2020,96-91,229.0,-5.5
TOR @ NOP,Jan 2 7:30 PM,2020,116-120,215.5,1.0
BOS @ DET,Jan 3 3:00 PM,2020,122-120,212.0,8.0
WAS @ BKN,Jan 3 6:00 PM,2020,123-122,242.0,-7.5
LAL @ MEM,Jan 3 6:00 PM,2020,108-94,220.0,10.0
DEN @ MIN,Jan 3 7:00 PM,2020,124-109,226.0,8.5
UTA @ SAS,Jan 3 7:00 PM,2020,130-109,222.5,5.5
DAL @ CHI,Jan 3 8:00 PM,2020,108-118,222.0,4.0
LAC @ PHX,Jan 3 8:00 PM,2020,112-107,215.5,3.5
POR @ GSW,Jan 3 8:30 PM,2020,122-137,235.0,4.5
CLE @ ORL,Jan 4 7:00 PM,2020,83-103,214.5,-6.0
CHA @ PHI,Jan 4 7:00 PM,2020,101-118,221.5,-8.0
NYK @ ATL,Jan 4 7:30 PM,2020,113-108,224.5,-7.0
OKC @ MIA,Jan 4 7:30 PM,2020,90-118,214.5,-9.0
BOS @ TOR,Jan 4 7:30 PM,2020,126-114,217.0,-6.0
DAL @ HOU,Jan 4 8:00 PM,2020,113-100,229.5,-4.0
DET @ MIL,Jan 4 8:00 PM,2020,115-125,223.5,-16.0
IND @ NOP,Jan 4 8:00 PM,2020,118-116,216.0,-2.0
SAC @ GSW,Jan 4 10:00 PM,2020,106-137,235.0,1.5
UTA @ BKN,Jan 5 7:30 PM,2020,96-130,225.0,4.5
LAL @ MEM,Jan 5 8:00 PM,2020,94-92,218.5,9.5
MIN @ DEN,Jan 5 9:00 PM,2020,116-123,226.5,-10.5
SAS @ LAC,Jan 5 10:00 PM,2020,116-113,226.0,-7.0
CHI @ POR,Jan 5 10:30 PM,2020,111-108,232.5,-9.5
HOU @ IND,Jan 6 7:00 PM,2020,107-114,224.5,-3.0
CLE @ ORL,Jan 6 7:00 PM,2020,94-105,214.5,-5.0
WAS @ PHI,Jan 6 7:00 PM,2020,136-141,235.0,-6.5
CHA @ ATL,Jan 6 7:30 PM,2020,102-94,232.5,-6.0
BOS @ MIA,Jan 6 7:30 PM,2020,107-105,217.5,-2.5
UTA @ NYK,Jan 6 7:30 PM,2020,100-112,214.5,8.0
DET @ MIL,Jan 6 8:00 PM,2020,115-130,226.5,-11.5
OKC @ NOP,Jan 6 8:00 PM,2020,111-110,213.5,-8.0
TOR @ PHX,Jan 6 9:00 PM,2020,115-123,219.0,-3.0
LAC @ GSW,Jan 6 10:00 PM,2020,108-101,231.0,5.0
CHI @ SAC,Jan 6 10:00 PM,2020,124-128,228.5,-7.0
PHI @ BKN,Jan 7 7:30 PM,2020,109-122,222.5,4.0
CLE @ MEM,Jan 7 8:00 PM,2020,94-90,209.0,-6.0
DAL @ DEN,Jan 7 10:00 PM,2020,124-117,222.5,-2.5
SAS @ LAL,Jan 7 10:00 PM,2020,118-109,226.5,-8.5
MIN @ POR,Jan 7 10:00 PM,2020,117-135,233.0,-10.0
PHX @ DET,Jan 8 7:00 PM,2020,105-110,216.0,8.0
WAS @ BOS,Jan 8 7:30 PM,2020,107-116,237.5,-3.5
CHA @ NOP,Jan 8 7:30 PM,2020,118-110,218.0,-7.5
OKC @ NYK,Jan 8 7:30 PM,2020,101-89,212.0,-3.0
ORL @ HOU,Jan 8 8:00 PM,2020,90-132,222.0,-7.0
BKN @ MEM,Jan 8 8:00 PM,2020,110-115,218.0,1.0
UTA @ MIL,Jan 8 8:00 PM,2020,131-118,232.5,-6.0
LAC @ GSW,Jan 8 10:00 PM,2020,105-115,229.5,6.5
CHI @ LAL,Jan 8 10:00 PM,2020,115-117,221.5,-8.5
TOR @ SAC,Jan 8 10:00 PM,2020,144-123,227.5,1.0
DEN @ PHI,Jan 9 3:00 PM,2020,115-103,215.5,13.5
ATL @ CHA,Jan 9 7:00 PM,2020,105-113,229.0,5.0
PHX @ IND,Jan 9 7:00 PM,2020,125-117,217.0,-3.0
MIA @ WAS,Jan 9 7:00 PM,2020,128-124,226.5,10.5
CLE @ MIL,Jan 9 8:00 PM,2020,90-100,219.0,-8.5
SAS @ MIN,Jan 9 8:00 PM,2020,125-122,235.5,3.5
ORL @ DAL,Jan 9 8:30 PM,2020,98-112,218.0,-6.5
POR @ SAC,Jan 9 10:00 PM,2020,125-99,236.5,5.5
UTA @ DET,Jan 10 3:00 PM,2020,96-86,217.5,8.5
CHI @ LAC,Jan 10 4:00 PM,2020,127-130,221.0,-12.0
OKC @ BKN,Jan 10 6:00 PM,2020,129-116,225.0,-8.0
DEN @ NYK,Jan 10 6:00 PM,2020,114-89,213.5,5.5
LAL @ HOU,Jan 10 7:00 PM,2020,120-102,223.5,4.0
SAS @ MIN,Jan 10 8:00 PM,2020,88-96,229.0,4.5
TOR @ GSW,Jan 10 8:30 PM,2020,105-106,234.0,3.0
NYK @ CHA,Jan 11 7:00 PM,2020,88-109,212.0,-5.0
MEM @ CLE,Jan 11 7:00 PM,2020,101-91,206.5,2.0
MIL @ ORL,Jan 11 7:00 PM,2020,121-99,226.0,10.0
PHX @ WAS,Jan 11 7:00 PM,2020,107-128,232.0,6.0
PHI @ ATL,Jan 11 7:30 PM,2020,94-112,222.5,-6.0
TOR @ POR,Jan 11 10:00 PM,2020,111-112,231.0,-4.5
IND @ SAC,Jan 11 10:00 PM,2020,122-127,229.0,3.5
MIA @ PHI,Jan 12 7:00 PM,2020,134-137,213.0,-8.5
DEN @ BKN,Jan 12 7:30 PM,2020,116-122,230.5,-1.5
UTA @ CLE,Jan 12 7:30 PM,2020,117-87,208.5,12.5
LAL @ HOU,Jan 12 8:00 PM,2020,117-100,224.0,5.0
SAS @ OKC,Jan 12 8:00 PM,2020,112-102,218.5,2.5
IND @ GSW,Jan 12 10:30 PM,2020,104-95,227.0,1.0
DAL @ CHA,Jan 13 7:00 PM,2020,104-93,220.5,3.0
MIL @ DET,Jan 13 7:00 PM,2020,110-101,225.5,10.5
BKN @ NYK,Jan 13 7:30 PM,2020,116-109,217.0,2.5
MEM @ MIN,Jan 13 8:00 PM,2020,118-107,223.0,-2.5
LAL @ OKC,Jan 13 8:00 PM,2020,128-99,219.5,10.5
NOP @ LAC,Jan 13 10:00 PM,2020,106-111,216.0,-11.5
POR @ SAC,Jan 13 10:00 PM,2020,132-126,237.5,4.5
MIA @ PHI,Jan 14 7:00 PM,2020,108-125,222.0,-7.5
HOU @ SAS,Jan 14 7:30 PM,2020,109-105,219.5,-7.0
CHA @ TOR,Jan 14 7:30 PM,2020,108-111,217.5,-10.0
GSW @ DEN,Jan 14 10:00 PM,2020,104-114,225.5,-4.5
IND @ POR,Jan 14 10:00 PM,2020,111-87,228.0,-3.0
ORL @ BOS,Jan 15 7:30 PM,2020,97-124,213.5,-4.0
NYK @ CLE,Jan 15 7:30 PM,2020,103-106,195.5,2.0
DAL @ MIL,Jan 15 7:30 PM,2020,109-112,230.0,-8.0
CHI @ OKC,Jan 15 8:00 PM,2020,125-127,225.0,2.5
ATL @ UTA,Jan 15 9:00 PM,2020,92-116,229.0,-6.5
NOP @ LAL,Jan 15 10:00 PM,2020,95-112,218.5,-8.5
LAC @ SAC,Jan 15 10:00 PM,2020,138-100,227.5,7.0
HOU @ SAS,Jan 16 5:00 PM,2020,91-103,217.0,-7.0
ORL @ BKN,Jan 16 6:00 PM,2020,115-122,226.0,-9.0
CHA @ TOR,Jan 16 7:30 PM,2020,113-116,221.5,-6.5
PHI @ MEM,Jan 16 8:00 PM,2020,104-106,223.0,1.0
DET @ MIA,Jan 16 8:00 PM,2020,120-100,218.0,-5.5
ATL @ POR,Jan 16 10:00 PM,2020,106-112,234.5,-5.0
NYK @ BOS,Jan 17 1:00 PM,2020,105-75,209.5,-7.0
CHI @ DAL,Jan 17 3:00 PM,2020,117-101,226.0,-6.5
UTA @ DEN,Jan 17 8:00 PM,2020,109-105,219.5,1.5
NOP @ SAC,Jan 17 9:00 PM,2020,128-123,226.0,2.5
IND @ LAC,Jan 17 10:00 PM,2020,96-129,219.0,-8.0
ORL @ NYK,Jan 18 12:00 PM,2020,84-91,205.0,2.0
MIN @ ATL,Jan 18 2:30 PM,2020,97-108,229.0,-7.0
SAS @ POR,Jan 18 3:00 PM,2020,125-104,227.0,1.5
PHX @ MEM,Jan 18 5:00 PM,2020,104-108,217.0,5.5
MIL @ BKN,Jan 18 7:30 PM,2020,123-125,240.0,4.0
DAL @ TOR,Jan 18 7:30 PM,2020,93-116,222.5,-3.0
HOU @ CHI,Jan 18 8:00 PM,2020,120-125,224.5,2.0
