Game,Tipoff,Season,Score,Over_Under,Home_Line
NOP @ TOR,Oct 22 8:00 PM,2019,122-130,229.5,-6.5
LAL @ LAC,Oct 22 10:30 PM,2019,102-112,224.0,3.5
CHI @ CHA,Oct 23 7:00 PM,2019,125-126,216.5,3.5
DET @ IND,Oct 23 7:00 PM,2019,119-110,211.0,-7.0
CLE @ ORL,Oct 23 7:00 PM,2019,85-94,211.5,-9.5
MIN @ BKN,Oct 23 7:30 PM,2019,127-126,229.5,-3.5
MEM @ MIA,Oct 23 7:30 PM,2019,101-120,213.5,-6.5
BOS @ PHI,Oct 23 7:30 PM,2019,93-107,215.0,-5.5
WAS @ DAL,Oct 23 8:30 PM,2019,100-108,220.0,-9.0
NYK @ SAS,Oct 23 8:30 PM,2019,111-120,214.5,-10.5
OKC @ UTA,Oct 23 9:00 PM,2019,95-100,221.5,-9.0
SAC @ PHX,Oct 23 10:00 PM,2019,95-124,232.5,0.0
DEN @ POR,Oct 23 10:00 PM,2019,108-100,217.5,1.5
ATL @ DET,Oct 24 7:00 PM,2019,117-100,222.0,-1.5
MIL @ HOU,Oct 24 8:00 PM,2019,117-111,231.0,-1.5
LAC @ GSW,Oct 24 10:30 PM,2019,141-122,228.5,1.0
TOR @ BOS,Oct 25 7:00 PM,2019,106-112,213.0,-2.5
MIN @ CHA,Oct 25 7:00 PM,2019,121-99,225.0,5.0
NYK @ BKN,Oct 25 7:30 PM,2019,109-113,228.0,-8.0
CHI @ MEM,Oct 25 8:00 PM,2019,110-102,224.0,2.0
DAL @ NOP,Oct 25 8:00 PM,2019,123-116,227.0,-2.0
WAS @ OKC,Oct 25 8:00 PM,2019,97-85,218.5,-8.5
PHX @ DEN,Oct 25 9:00 PM,2019,107-108,219.0,-12.0
POR @ SAC,Oct 25 10:00 PM,2019,122-112,227.5,1.5
UTA @ LAL,Oct 25 10:30 PM,2019,86-95,215.5,-3.5
MIA @ MIL,Oct 26 5:00 PM,2019,131-126,223.0,-11.5
PHI @ DET,Oct 26 7:00 PM,2019,117-111,213.5,4.0
ORL @ ATL,Oct 26 7:30 PM,2019,99-103,216.5,2.5
BOS @ NYK,Oct 26 7:30 PM,2019,118-95,219.0,5.0
