GAME_ID,PLAYER_ID,START_POSITION,SPD,DIST,ORBC,DRBC,RBC,TCHS,SAST,FTAST,PASS,CFGM,CFGA,CFG_PCT,UFGM,UFGA,UFG_PCT,DFGM,DFGA,DFG_PCT
0042500172,1631222,,4.54,1.28,4,5,9,21,0,0,18,0,1,0.0,0,1,0.0,1,3,0.333
0042500172,1629637,,3.79,1.51,3,6,9,22,1,0,17,1,1,1.0,0,1,0.0,2,2,1.0
0042500172,1629020,,4.21,1.04,2,7,9,16,0,0,12,0,1,0.0,0,2,0.0,0,3,0.0
0042500172,1642355,,4.31,0.25,0,0,0,5,0,0,2,0,1,0.0,0,0,0.0,0,0,0.0
0042500172,1628467,,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0
0042500172,1642261,,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0
0042500172,1641733,,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0
0042500172,1642876,,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0
0042500112,1626162,F,3.94,2.26,3,8,10,32,0,0,22,2,2,1.0,3,8,0.375,1,2,0.5
0042500112,202331,F,3.84,2.41,2,10,12,59,0,1,39,2,3,0.667,5,10,0.5,1,2,0.5
0042500112,1641737,C,4.28,1.65,4,8,12,16,0,0,11,0,4,0.0,0,0,0.0,2,4,0.5
0042500112,1642845,G,4.01,2.53,4,11,15,78,0,1,54,2,5,0.4,10,15,0.667,1,2,0.5
0042500112,1630178,G,4.05,2.89,2,6,8,88,2,0,51,1,7,0.143,10,21,0.476,2,2,1.0
0042500112,203083,,3.92,1.84,6,9,13,24,0,0,19,3,3,1.0,1,1,1.0,4,4,1.0
0042500112,1629656,,3.94,1.48,1,5,6,22,0,0,14,0,3,0.0,2,3,0.667,0,0,0.0
0042500112,1642348,,4.08,1.61,1,6,7,20,0,0,15,0,2,0.0,2,3,0.667,2,2,1.0
0042500112,1631230,,4.15,0.52,1,2,2,1,0,0,1,0,0,0.0,0,0,0.0,1,2,0.5
0042500112,1641780,,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0
0042500112,200768,,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0
0042500112,1631207,,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0
0042500112,1631133,,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0
0042500112,1630570,,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0
0042500112,1630573,F,4.36,1.94,6,3,9,30,1,0,22,1,1,1.0,1,7,0.143,0,1,0.0
0042500112,1628369,F,3.69,2.57,5,15,20,96,2,1,70,4,10,0.4,4,9,0.444,3,4,0.75
0042500112,1629674,C,4.05,1.98,7,7,14,26,1,0,20,2,2,1.0,1,2,0.5,1,3,0.333
0042500112,1627759,G,3.95,2.71,6,4,10,71,0,1,34,5,11,0.455,6,13,0.462,2,2,1.0
0042500112,1628401,G,3.83,2.67,0,3,3,67,1,0,51,0,1,0.0,3,11,0.273,3,5,0.6
0042500112,202696,,3.93,1.31,4,5,9,35,0,0,25,1,2,0.5,2,5,0.4,1,4,0.25
0042500112,1630202,,4.08,1.97,6,3,9,49,1,1,40,1,4,0.25,1,4,0.25,0,0,0.0
0042500112,1641775,,3.76,0.61,5,2,7,7,0,0,5,0,1,0.0,0,0,0.0,1,1,1.0
0042500112,1631248,,3.88,0.79,2,1,3,10,0,0,7,0,0,0.0,2,2,1.0,1,2,0.5
0042500112,1631199,,3.24,0.11,1,0,1,6,0,0,5,0,0,0.0,0,1,0.0,0,0,0.0
0042500112,1630568,,3.48,0.12,3,1,3,6,0,0,4,0,0,0.0,1,2,0.5,0,0,0.0
0042500112,1642917,,3.23,0.11,0,0,0,1,0,0,0,0,0,0.0,0,1,0.0,0,0,0.0
0042500112,1630625,,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0
0042500112,1642864,,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0
0042500112,1642873,,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0
0042500152,1630166,F,4.16,2.23,0,8,8,60,0,0,39,3,6,0.5,2,7,0.286,1,4,0.25
0042500152,1641739,F,4.56,2.86,8,13,20,54,1,0,45,0,1,0.0,3,6,0.5,2,5,0.4
0042500152,1642270,C,4.06,1.74,8,8,16,41,0,1,28,3,5,0.6,1,7,0.143,4,6,0.667
0042500152,1630703,G,4.35,2.97,2,7,9,68,1,0,42,2,3,0.667,9,14,0.643,1,1,1.0
0042500152,201950,G,4.06,2.85,5,5,10,82,1,1,57,4,8,0.5,2,9,0.222,2,3,0.667
0042500152,203924,,4.16,1.51,2,2,4,31,0,0,21,0,5,0.0,1,3,0.333,0,0,0.0
0042500152,1629680,,4.24,0.79,0,1,1,17,0,0,15,0,1,0.0,0,2,0.0,0,0,0.0
0042500152,1629057,,3.95,1.65,6,11,17,32,1,0,26,4,4,1.0,1,2,0.5,0,2,0.0
0042500152,1631200,,4.19,0.6,3,3,6,9,0,0,5,0,0,0.0,0,1,0.0,0,1,0.0
0042500152,1631101,,4.54,1.02,1,1,2,16,0,0,10,1,1,1.0,2,4,0.5,1,2,0.5
0042500152,1631321,,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0
0042500152,1630249,,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0
0042500152,1631104,,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0
0042500152,1642905,,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0
0042500152,1630170,F,4.23,2.68,3,14,16,59,0,0,38,0,2,0.0,6,14,0.429,3,4,0.75
0042500152,1630577,F,4.32,1.96,2,8,10,29,0,0,24,0,0,0.0,3,4,0.75,4,4,1.0
0042500152,1641705,C,4.1,0.88,2,2,4,20,0,0,9,0,0,0.0,1,3,0.333,0,2,0.0
0042500152,1628368,G,4.18,2.52,4,3,7,63,0,1,39,0,4,0.0,6,12,0.5,1,1,1.0
0042500152,1642264,G,4.11,2.79,9,9,18,84,0,1,54,2,8,0.25,5,12,0.417,0,2,0.0
0042500152,1629640,,4.48,1.44,1,7,8,22,0,0,15,2,5,0.4,1,2,0.5,3,3,1.0
0042500152,1642844,,4.43,1.85,2,0,2,39,1,0,27,1,3,0.333,3,4,0.75,2,2,1.0
0042500152,1628436,,4.35,2.14,9,11,19,32,0,0,24,4,5,0.8,0,0,0.0,3,9,0.333
0042500152,203084,,3.9,1.06,0,4,4,15,0,0,11,1,1,1.0,0,2,0.0,0,0,0.0
0042500152,1642868,,4.4,0.98,3,3,5,19,0,0,13,1,2,0.5,2,3,0.667,2,3,0.667
0042500152,202687,,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0
0042500152,203482,,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0
0042500152,203486,,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0
