PLAYER 1,CATEGORY 1,STAT TYPE 1,PLAYER 1 LINE,PLAYER 1 PREDICTION,PLAYER 2,CATEGORY 2,STAT TYPE 2,PLAYER 2 LINE,PLAYER 2 PREDICTION,TYPE,EV,PROBABILITY,KELLY CRITERION
Al Horford,player_points,PTS,8.5,9,Rui Hachimura,player_points,PTS,12.0,12,OVER/UNDER,-17.34,0.2755,0.2719
Al Horford,player_points,PTS,8.5,9,Jaden McDaniels,player_points,PTS,9.0,10,OVER/OVER,-7.12,0.3096,0.3062
Al Horford,player_points,PTS,8.5,9,Austin Reaves,player_points,PTS,14.5,15,OVER/OVER,-13.18,0.2894,0.2858
Al Horford,player_points,PTS,8.5,9,Mike Conley,player_points,PTS,10.0,11,OVER/OVER,-8.49,0.305,0.3015
Al Horford,player_points,PTS,8.5,9,D'Angelo Russell,player_points,PTS,15.5,18,OVER/OVER,-0.83,0.3306,0.3272
Al Horford,player_points,PTS,8.5,9,Rudy Gobert,player_points,PTS,12.5,13,OVER/OVER,-13.62,0.2879,0.2844
Al Horford,player_points,PTS,8.5,9,D'Angelo Russell,player_points,PTS,16.0,18,OVER/OVER,-5.27,0.3158,0.3124
Al Horford,player_points,PTS,8.5,9,Rudy Gobert,player_points,PTS,13.0,13,OVER/OVER,-18.93,0.2702,0.2666
Al Horford,player_points,PTS,8.5,9,LeBron James,player_points,PTS,24.5,25,OVER/OVER,-15.94,0.2802,0.2766
Al Horford,player_points,PTS,8.5,9,Austin Reaves,player_points,PTS,15.5,15,OVER/UNDER,-14.97,0.2834,0.2798
Al Horford,player_points,PTS,8.5,9,Anthony Davis,player_points,PTS,25.0,23,OVER/UNDER,-3.99,0.32,0.3166
Al Horford,player_points,PTS,8.5,9,Jaxson Hayes,player_points,PTS,4.5,3,OVER/UNDER,3.73,0.3458,0.3425
Al Horford,player_points,PTS,8.5,9,Naz Reid,player_points,PTS,11.5,12,OVER/OVER,-15.14,0.2829,0.2793
Al Horford,player_points,PTS,8.5,9,Jaden McDaniels,player_points,PTS,9.5,10,OVER/OVER,-13.79,0.2874,0.2838
Al Horford,player_points,PTS,8.5,9,Gabe Vincent,player_points,PTS,3.5,2,OVER/UNDER,10.72,0.3691,0.3659
Payton Pritchard,player_points,PTS,8.5,9,Naz Reid,player_points,PTS,12.0,12,OVER/UNDER,-19.44,0.2685,0.2649
Payton Pritchard,player_points,PTS,8.5,9,Anthony Edwards,player_points,PTS,26.5,23,OVER/UNDER,1.96,0.3399,0.3366
Payton Pritchard,player_points,PTS,8.5,9,Anthony Edwards,player_points,PTS,0.5,23,OVER/OVER,57.64,0.5255,0.5231
Payton Pritchard,player_points,PTS,8.5,9,Anthony Davis,player_points,PTS,24.5,23,OVER/UNDER,-7.58,0.3081,0.3046
Payton Pritchard,player_points,PTS,8.5,9,Nickeil Alexander-Walker,player_points,PTS,5.5,8,OVER/OVER,9.28,0.3643,0.3611
Payton Pritchard,player_points,PTS,8.5,9,Rui Hachimura,player_points,PTS,12.0,12,OVER/UNDER,-20.34,0.2655,0.2619
Payton Pritchard,player_points,PTS,8.5,9,Austin Reaves,player_points,PTS,14.5,15,OVER/OVER,-15.04,0.2832,0.2796
Payton Pritchard,player_points,PTS,8.5,9,Jaden McDaniels,player_points,PTS,9.0,10,OVER/OVER,-9.2,0.3027,0.2992
