,PLAYER 1,CATEGORY 1,PLAYER 1 LINE,PLAYER 2,CATEGORY 2,PLAYER 2 LINE,TYPE,EV,PROBABILITY,KELLY CRITERION
0,Isaiah Joe,PTS,2.5,Myles Turner,PTS,13.5,OVER/OVER,33.09,0.4436,0.4408
1,Isaiah Joe,PTS,2.5,T.J. McConnell,PTS,7.5,OVER/OVER,29.97,0.4332,0.4304
2,Isaiah Joe,PTS,2.5,Luguentz Dort,PTS,8.5,OVER/UNDER,18.74,0.3958,0.3928
3,Isaiah Joe,PTS,2.5,Aaron Wiggins,PTS,5.5,OVER/OVER,20.58,0.4019,0.3989
4,Isaiah Joe,PTS,2.5,Jalen Williams,PTS,21.5,OVER/UNDER,22.22,0.4074,0.4044
5,Isaiah Joe,PTS,2.5,Andrew Nembhard,PTS,10.5,OVER/OVER,42.3,0.4743,0.4717
6,Isaiah Joe,PTS,2.5,Aaron Nesmith,PTS,11.5,OVER/OVER,35.85,0.4528,0.4501
7,Isaiah Joe,PTS,2.5,Bennedict Mathurin,PTS,10.5,OVER/OVER,16.85,0.3895,0.3864
8,Isaiah Joe,PTS,2.5,Chet Holmgren,PTS,15.5,OVER/OVER,17.54,0.3918,0.3888
9,Isaiah Joe,PTS,2.5,Obi Toppin,PTS,9.0,OVER/UNDER,13.37,0.3779,0.3748
10,Isaiah Joe,PTS,2.5,Cason Wallace,PTS,5.5,OVER/UNDER,11.84,0.3728,0.3697
11,Isaiah Joe,PTS,2.5,Pascal Siakam,PTS,19.5,OVER/OVER,21.34,0.4045,0.4015
12,Isaiah Joe,PTS,2.5,Tyrese Haliburton,PTS,18.5,OVER/OVER,12.29,0.3743,0.3712
13,Isaiah Joe,PTS,2.5,Shai Gilgeous-Alexander,PTS,33.5,OVER/UNDER,47.52,0.4917,0.4892
14,Isaiah Joe,PTS,2.5,Alex Caruso,PTS,9.5,OVER/UNDER,10.84,0.3695,0.3663
15,Isaiah Joe,PTS,2.5,Isaiah Hartenstein,PTS,6.0,OVER/OVER,62.06,0.5402,0.5379
16,Isaiah Joe,PTS,2.5,Ben Sheppard,PTS,2.5,OVER/OVER,31.03,0.4368,0.434
17,Myles Turner,PTS,13.5,T.J. McConnell,PTS,7.5,OVER/OVER,7.44,0.3581,0.3549
18,Myles Turner,PTS,13.5,Luguentz Dort,PTS,8.5,OVER/UNDER,-4.11,0.3196,0.3162
19,Myles Turner,PTS,13.5,Aaron Wiggins,PTS,5.5,OVER/OVER,0.41,0.3347,0.3314
20,Myles Turner,PTS,13.5,Jalen Williams,PTS,21.5,OVER/UNDER,2.64,0.3421,0.3388
21,Myles Turner,PTS,13.5,Andrew Nembhard,PTS,10.5,OVER/OVER,17.82,0.3927,0.3897
22,Myles Turner,PTS,13.5,Aaron Nesmith,PTS,11.5,OVER/OVER,13.5,0.3783,0.3752
23,Myles Turner,PTS,13.5,Bennedict Mathurin,PTS,10.5,OVER/OVER,-2.84,0.3239,0.3205
24,Myles Turner,PTS,13.5,Chet Holmgren,PTS,15.5,OVER/OVER,-3.86,0.3205,0.3171
25,Myles Turner,PTS,13.5,Obi Toppin,PTS,9.0,OVER/UNDER,-5.31,0.3156,0.3122
26,Myles Turner,PTS,13.5,Cason Wallace,PTS,5.5,OVER/UNDER,-5.25,0.3158,0.3124
27,Myles Turner,PTS,13.5,Pascal Siakam,PTS,19.5,OVER/OVER,1.53,0.3384,0.3351
28,Myles Turner,PTS,13.5,Tyrese Haliburton,PTS,18.5,OVER/OVER,-8.95,0.3035,0.3
29,Myles Turner,PTS,13.5,Shai Gilgeous-Alexander,PTS,33.5,OVER/UNDER,20.74,0.4025,0.3995
30,Myles Turner,PTS,13.5,Alex Caruso,PTS,9.5,OVER/OVER,-7.66,0.3078,0.3043
31,Myles Turner,PTS,13.5,Isaiah Hartenstein,PTS,6.0,OVER/OVER,37.05,0.4568,0.4541
32,Myles Turner,PTS,13.5,Ben Sheppard,PTS,2.5,OVER/OVER,6.34,0.3545,0.3513
33,T.J. McConnell,PTS,7.5,Luguentz Dort,PTS,8.5,OVER/UNDER,-4.16,0.3195,0.3161
34,T.J. McConnell,PTS,7.5,Aaron Wiggins,PTS,5.5,OVER/OVER,-0.84,0.3305,0.3272
35,T.J. McConnell,PTS,7.5,Jalen Williams,PTS,21.5,OVER/UNDER,-0.34,0.3322,0.3289
36,T.J. McConnell,PTS,7.5,Andrew Nembhard,PTS,10.5,OVER/OVER,16.96,0.3899,0.3868
37,T.J. McConnell,PTS,7.5,Aaron Nesmith,PTS,11.5,OVER/OVER,8.59,0.362,0.3588
38,T.J. McConnell,PTS,7.5,Bennedict Mathurin,PTS,10.5,OVER/OVER,-6.4,0.312,0.3086
39,T.J. McConnell,PTS,7.5,Chet Holmgren,PTS,15.5,OVER/OVER,-5.17,0.3161,0.3127
40,T.J. McConnell,PTS,7.5,Obi Toppin,PTS,9.0,OVER/UNDER,-9.53,0.3016,0.2981
41,T.J. McConnell,PTS,7.5,Cason Wallace,PTS,5.5,OVER/UNDER,-9.52,0.3016,0.2981
42,T.J. McConnell,PTS,7.5,Pascal Siakam,PTS,19.5,OVER/OVER,-1.14,0.3295,0.3261
43,T.J. McConnell,PTS,7.5,Tyrese Haliburton,PTS,18.5,OVER/OVER,-9.15,0.3028,0.2993
44,T.J. McConnell,PTS,7.5,Shai Gilgeous-Alexander,PTS,33.5,OVER/UNDER,19.96,0.3999,0.3969
45,T.J. McConnell,PTS,7.5,Alex Caruso,PTS,9.5,OVER/UNDER,-10.42,0.2986,0.2951
46,T.J. McConnell,PTS,7.5,Isaiah Hartenstein,PTS,6.0,OVER/OVER,35.33,0.4511,0.4484
47,T.J. McConnell,PTS,7.5,Ben Sheppard,PTS,2.5,OVER/OVER,5.06,0.3502,0.347
48,Luguentz Dort,PTS,8.5,Aaron Wiggins,PTS,5.5,UNDER/OVER,-13.78,0.2874,0.2838
49,Luguentz Dort,PTS,8.5,Jalen Williams,PTS,21.5,UNDER/UNDER,-10.38,0.2987,0.2952
50,Luguentz Dort,PTS,8.5,Andrew Nembhard,PTS,10.5,UNDER/OVER,4.89,0.3496,0.3463
51,Luguentz Dort,PTS,8.5,Aaron Nesmith,PTS,11.5,UNDER/OVER,-0.19,0.3327,0.3294
52,Luguentz Dort,PTS,8.5,Bennedict Mathurin,PTS,10.5,UNDER/OVER,-14.81,0.284,0.2804
53,Luguentz Dort,PTS,8.5,Chet Holmgren,PTS,15.5,UNDER/OVER,-15.54,0.2815,0.2779
54,Luguentz Dort,PTS,8.5,Obi Toppin,PTS,9.0,UNDER/UNDER,-18.88,0.2704,0.2668
55,Luguentz Dort,PTS,8.5,Cason Wallace,PTS,5.5,UNDER/UNDER,-15.9,0.2803,0.2767
56,Luguentz Dort,PTS,8.5,Pascal Siakam,PTS,19.5,UNDER/OVER,-13.0,0.29,0.2864
57,Luguentz Dort,PTS,8.5,Tyrese Haliburton,PTS,18.5,UNDER/OVER,-18.04,0.2732,0.2696
58,Luguentz Dort,PTS,8.5,Shai Gilgeous-Alexander,PTS,33.5,UNDER/UNDER,7.79,0.3593,0.3561
59,Luguentz Dort,PTS,8.5,Alex Caruso,PTS,9.5,UNDER/UNDER,-19.07,0.2698,0.2661
60,Luguentz Dort,PTS,8.5,Isaiah Hartenstein,PTS,6.0,UNDER/OVER,20.78,0.4026,0.3996
61,Luguentz Dort,PTS,8.5,Ben Sheppard,PTS,2.5,UNDER/OVER,-3.4,0.322,0.3186
62,Aaron Wiggins,PTS,5.5,Jalen Williams,PTS,21.5,OVER/UNDER,-8.62,0.3046,0.3011
63,Aaron Wiggins,PTS,5.5,Andrew Nembhard,PTS,10.5,OVER/OVER,7.59,0.3586,0.3554
64,Aaron Wiggins,PTS,5.5,Aaron Nesmith,PTS,11.5,OVER/OVER,2.08,0.3403,0.337
65,Aaron Wiggins,PTS,5.5,Bennedict Mathurin,PTS,10.5,OVER/OVER,-10.36,0.2988,0.2953
66,Aaron Wiggins,PTS,5.5,Chet Holmgren,PTS,15.5,OVER/OVER,-14.09,0.2864,0.2828
67,Aaron Wiggins,PTS,5.5,Obi Toppin,PTS,9.0,OVER/UNDER,-16.01,0.28,0.2764
68,Aaron Wiggins,PTS,5.5,Cason Wallace,PTS,5.5,OVER/UNDER,-14.4,0.2853,0.2817
69,Aaron Wiggins,PTS,5.5,Pascal Siakam,PTS,19.5,OVER/OVER,-7.91,0.307,0.3035
70,Aaron Wiggins,PTS,5.5,Tyrese Haliburton,PTS,18.5,OVER/OVER,-14.45,0.2852,0.2816
71,Aaron Wiggins,PTS,5.5,Shai Gilgeous-Alexander,PTS,33.5,OVER/UNDER,9.89,0.3663,0.3631
72,Aaron Wiggins,PTS,5.5,Alex Caruso,PTS,9.5,OVER/OVER,-18.15,0.2728,0.2692
73,Aaron Wiggins,PTS,5.5,Isaiah Hartenstein,PTS,6.0,OVER/OVER,21.63,0.4054,0.4024
74,Aaron Wiggins,PTS,5.5,Ben Sheppard,PTS,2.5,OVER/OVER,-2.47,0.3251,0.3217
75,Jalen Williams,PTS,21.5,Andrew Nembhard,PTS,10.5,UNDER/OVER,9.13,0.3638,0.3606
76,Jalen Williams,PTS,21.5,Aaron Nesmith,PTS,11.5,UNDER/OVER,4.08,0.3469,0.3436
77,Jalen Williams,PTS,21.5,Bennedict Mathurin,PTS,10.5,UNDER/OVER,-11.95,0.2935,0.29
78,Jalen Williams,PTS,21.5,Chet Holmgren,PTS,15.5,UNDER/OVER,-10.7,0.2977,0.2942
79,Jalen Williams,PTS,21.5,Obi Toppin,PTS,9.0,UNDER/UNDER,-11.48,0.2951,0.2916
80,Jalen Williams,PTS,21.5,Cason Wallace,PTS,5.5,UNDER/UNDER,-12.93,0.2902,0.2867
81,Jalen Williams,PTS,21.5,Pascal Siakam,PTS,19.5,UNDER/OVER,-6.93,0.3102,0.3068
