date,bet_time,player,player_id,team,opponent,prop_type,side,bookmaker,line_at_bet,odds_at_bet,opening_line,closing_line,closing_odds,projection,projection_std,predicted_prob,predicted_edge,actual_result,won,units_bet,units_won,mins_proj,mins_actual,fga_proj,fga_actual,opp_pace,opp_drtg,team_score,opp_score,edge_sources,notes
2025-12-15,2025-12-16 00:33:20.368124,P.J. Washington,1629023,DAL,UTA,points,UNDER,PrizePicks,18.5,-137,,,,18.3,5.1,0.762,0.3073,25,False,1.0,-1.0,32.66203703703704,39:12,14.183544779052403,20,,,133.0,140.0,,
2025-12-15,2025-12-16 00:33:20.394424,Kyle Filipowski,1642271,UTA,DAL,points,UNDER,PrizePicks,12.5,-137,,,,11.0,3.6,0.783,0.2819,25,False,1.0,-1.0,22.293333333333337,37:33,7.061671119136978,13,,,140.0,133.0,,
2025-12-15,2025-12-16 00:33:20.415345,Klay Thompson,202691,DAL,UTA,points,UNDER,PrizePicks,13.5,-137,,,,11.8,2.9,0.75,0.2753,12,True,1.0,0.7299270072992701,21.071428571428573,20:56,10.123927619198898,10,,,133.0,140.0,,
2025-12-15,2025-12-16 00:33:20.436004,Peyton Watson,1631212,DEN,HOU,points,UNDER,PrizePicks,12.5,-137,,,,7.9,3.6,0.708,0.2689,5,True,1.0,0.7299270072992701,26.31825396825397,5:51,7.837684783160056,4,,,128.0,125.0,,
2025-12-15,2025-12-16 00:33:20.454899,Cameron Johnson,1629661,DEN,HOU,points,UNDER,PrizePicks,14.0,-137,,,,13.6,4.3,0.652,0.236,13,True,1.0,0.7299270072992701,30.948333333333334,43:03,8.834594985360015,9,,,128.0,125.0,,
2025-12-15,2025-12-16 00:33:20.474161,Cooper Flagg,1642843,DAL,UTA,points,UNDER,PrizePicks,20.5,-137,,,,15.8,3.5,0.68,0.2119,42,False,1.0,-1.0,33.20833333333333,41:46,14.608074060956978,27,,,133.0,140.0,,
2025-12-15,2025-12-16 00:33:20.494059,Naji Marshall,1630230,DAL,UTA,points,UNDER,PrizePicks,15.5,-137,,,,12.4,3.6,0.654,0.1969,15,True,1.0,0.7299270072992701,26.87971014492753,36:17,8.083131264808095,12,,,133.0,140.0,,
2025-12-15,2025-12-16 00:33:20.515416,Ace Bailey,1642846,UTA,DAL,points,UNDER,PrizePicks,12.5,-137,,,,11.7,4.0,0.625,0.1651,7,True,1.0,0.7299270072992701,23.347619047619048,24:17,8.746243314545934,9,,,140.0,133.0,,
2025-12-15,2025-12-16 00:33:20.534546,Max Christie,1631108,DAL,UTA,points,OVER,PrizePicks,11.5,-137,,,,12.2,3.2,0.615,0.1633,8,False,1.0,-1.0,28.72826086956522,28:17,8.03355424417897,5,,,133.0,140.0,,
2025-12-15,2025-12-16 00:33:20.554001,Ja Morant,1629630,MEM,LAC,points,UNDER,PrizePicks,19.5,-137,,,,16.9,4.8,0.704,0.1625,12,True,1.0,0.7299270072992701,28.76388888888889,20:58,16.864982156421604,12,,,121.0,103.0,,
2025-12-15,2025-12-16 00:33:20.574721,Isaiah Collier,1642268,UTA,DAL,points,OVER,PrizePicks,5.5,-137,,,,9.3,3.9,0.647,0.1579,10,True,1.0,0.7299270072992701,20.801111111111116,31:15,4.942038620900737,8,,,140.0,133.0,,
2025-12-15,2025-12-16 00:33:20.596527,Josh Okogie,1629006,HOU,DEN,points,OVER,PrizePicks,6.5,-137,,,,7.9,3.2,0.591,0.1046,16,True,1.0,0.7299270072992701,21.123684210526314,27:40,5.003328961741228,9,,,125.0,128.0,,
2025-12-15,2025-12-16 00:33:20.620503,Cam Spencer,1642285,MEM,LAC,points,OVER,PrizePicks,10.5,-137,,,,14.5,3.6,0.6,0.098,27,True,1.0,0.7299270072992701,21.204545454545453,30:01,7.575814080960988,13,,,121.0,103.0,,
2025-12-15,2025-12-16 00:33:20.641820,Amen Thompson,1641708,HOU,DEN,points,OVER,PrizePicks,17.5,-137,,,,21.0,4.3,0.545,0.0972,14,False,1.0,-1.0,36.25350877192983,43:31,13.811061587607117,13,,,125.0,128.0,,
2025-12-15,2025-12-16 00:33:20.663371,Aaron Holiday,1628988,HOU,DEN,points,OVER,PrizePicks,7.0,-137,,,,11.0,5.0,0.64,0.0851,3,False,1.0,-1.0,16.209374999999998,10:14,6.3593561514276296,1,,,125.0,128.0,,
2025-12-15,2025-12-16 00:33:20.685623,Daniel Gafford,1629655,DAL,UTA,points,OVER,PrizePicks,8.5,-137,,,,11.9,3.4,0.533,0.0607,2,False,1.0,-1.0,21.89166666666667,12:53,5.243490964412447,1,,,133.0,140.0,,
2025-12-15,2025-12-16 00:33:20.706922,Alperen Sengun,1630578,HOU,DEN,points,OVER,PrizePicks,21.5,-137,,,,28.9,5.8,0.55,0.0579,33,True,1.0,0.7299270072992701,35.45294117647059,42:29,17.70530215902384,27,,,125.0,128.0,,
2025-12-15,2025-12-16 00:33:20.732354,Lauri Markkanen,1628374,UTA,DAL,points,OVER,PrizePicks,26.5,-137,,,,30.8,6.1,0.522,0.0197,33,True,1.0,0.7299270072992701,34.997499999999995,39:47,19.26876806073686,23,,,140.0,133.0,,
2025-12-15,2025-12-16 00:33:20.753246,Keyonte George,1641718,UTA,DAL,points,OVER,PrizePicks,23.5,-137,,,,26.6,5.5,0.542,0.019,37,True,1.0,0.7299270072992701,33.416666666666664,40:51,16.108793564961253,20,,,140.0,133.0,,
2025-12-15,2025-12-16 00:33:20.774044,Jock Landale,1629111,MEM,LAC,points,OVER,PrizePicks,10.5,-137,,,,14.3,3.9,0.48,-0.0014,8,False,1.0,-1.0,21.75227272727273,27:29,7.931488485085502,5,,,121.0,103.0,,
2025-12-15,2025-12-16 00:33:20.794840,Kevin Durant,201142,HOU,DEN,points,OVER,PrizePicks,24.5,-137,,,,30.2,6.0,0.5,-0.0093,25,True,1.0,0.7299270072992701,35.1421568627451,44:04,16.966071916500013,14,,,125.0,128.0,,
2025-12-15,2025-12-16 00:33:20.833984,Ryan Nembhard,1642948,DAL,UTA,points,UNDER,PrizePicks,10.5,-137,,,,9.8,5.0,0.555,-0.023,14,False,1.0,-1.0,19.636111111111113,38:04,6.4265109075703535,12,,,133.0,140.0,,
2025-12-15,2025-12-16 00:33:20.856534,Reed Sheppard,1642263,HOU,DEN,points,OVER,PrizePicks,10.0,-137,,,,14.5,3.9,0.545,-0.0289,14,True,1.0,0.7299270072992701,24.430701754385964,31:35,10.053046530988915,17,,,125.0,128.0,,
2025-12-15,2025-12-16 00:33:20.878887,Walter Clayton Jr.,1642383,UTA,DAL,points,OVER,PrizePicks,6.5,-137,,,,7.6,3.0,0.45,-0.0588,2,False,1.0,-1.0,15.918627450980392,13:29,5.487812770304437,3,,,140.0,133.0,,
2025-12-15,2025-12-16 00:33:20.901400,James Harden,201935,LAC,MEM,points,OVER,PrizePicks,25.0,-137,,,,31.9,6.4,0.5,-0.0741,13,False,1.0,-1.0,35.01190476190476,31:17,16.83410348206988,10,,,103.0,121.0,,
2025-12-15,2025-12-16 00:33:20.922572,Kawhi Leonard,202695,LAC,MEM,points,OVER,PrizePicks,26.5,-137,,,,29.2,5.6,0.434,-0.0788,21,False,1.0,-1.0,32.029761904761905,36:39,18.54910889797924,18,,,103.0,121.0,,
2025-12-15,2025-12-16 00:33:20.944513,John Collins,1628381,LAC,MEM,points,OVER,PrizePicks,13.5,-137,,,,14.0,3.3,0.4,-0.0861,10,False,1.0,-1.0,26.35909090909091,26:08,9.372558912071458,10,,,103.0,121.0,,
2025-12-15,2025-12-16 00:33:20.966760,Ivica Zubac,1627826,LAC,MEM,points,OVER,PrizePicks,17.5,-137,,,,21.2,4.5,0.4,-0.0873,6,False,1.0,-1.0,32.25606060606059,33:08,11.335321539143784,6,,,103.0,121.0,,
2025-12-15,2025-12-16 00:33:20.988272,Kentavious Caldwell-Pope,203484,MEM,LAC,points,OVER,PrizePicks,7.0,-137,,,,9.1,2.5,0.48,-0.0968,4,False,1.0,-1.0,21.599999999999998,23:22,6.248191906725151,5,,,121.0,103.0,,
2025-12-15,2025-12-16 00:33:21.008071,Jaylen Wells,1642377,MEM,LAC,points,OVER,PrizePicks,12.0,-137,,,,15.6,3.4,0.48,-0.0981,16,True,1.0,0.7299270072992701,26.506818181818186,29:40,9.396599034604842,10,,,121.0,103.0,,
2025-12-15,2025-12-16 00:33:21.027288,Jamal Murray,1627750,DEN,HOU,points,OVER,PrizePicks,23.5,-137,,,,28.7,5.6,0.391,-0.1262,35,True,1.0,0.7299270072992701,34.81666666666666,43:09,17.49088345100622,17,,,128.0,125.0,,
2025-12-15,2025-12-16 00:33:21.049041,Bruce Brown,1628971,DEN,HOU,points,OVER,PrizePicks,7.5,-137,,,,7.9,2.7,0.375,-0.1278,2,False,1.0,-1.0,23.315079365079367,27:02,5.676052978914379,3,,,128.0,125.0,,
2025-12-15,2025-12-16 00:33:21.069609,Kris Dunn,1627739,LAC,MEM,points,OVER,PrizePicks,8.0,-137,,,,8.9,3.0,0.44,-0.1351,17,True,1.0,0.7299270072992701,25.737121212121213,26:42,6.3166080130561255,10,,,103.0,121.0,,
2025-12-15,2025-12-16 00:33:21.091293,Cedric Coward,1642907,MEM,LAC,points,OVER,PrizePicks,13.0,-137,,,,16.3,3.3,0.4,-0.1781,12,False,1.0,-1.0,26.584090909090904,23:13,10.60342287988681,9,,,121.0,103.0,,
2025-12-15,2025-12-16 00:33:21.114155,Santi Aldama,1630583,MEM,LAC,points,OVER,PrizePicks,14.5,-137,,,,15.8,3.5,0.32,-0.1784,3,False,1.0,-1.0,25.92954545454545,30:48,9.97141911027395,5,,,121.0,103.0,,
2025-12-15,2025-12-16 00:33:21.136409,Steven Adams,203500,HOU,DEN,points,OVER,PrizePicks,5.5,-137,,,,8.6,3.2,0.239,-0.2873,3,False,1.0,-1.0,20.362745098039216,15:30,4.119953683728408,1,,,125.0,128.0,,
