PLAYER_ID,POSITION
203469,Forward-Center
203506,Guard
201609,Guard
1629002,Forward-Center
1628408,Guard-Forward
1630237,Forward
203496,Forward
1631116,Forward
201565,Guard
1629684,Forward
1630209,Center
2617,Forward
203488,Forward-Center
201933,Forward
1630551,Guard-Forward
203473,Center
1627854,Guard
1629680,Guard-Forward
1629634,Forward
1629717,Guard
202326,Center
1629067,Guard
1629308,Forward
202355,Center
202357,Forward
1627823,Forward
1630567,Forward-Guard
203493,Guard-Forward
1630625,Forward
203920,Center
203903,Guard
203115,Guard
203490,Forward
203083,Center
1629632,Guard
201942,Guard-Forward
203476,Center
1627789,Guard-Forward
1628984,Guard
202696,Center
203897,Guard
1630245,Guard
1630219,Guard
201580,Center-Forward
1630172,Forward
1630267,Guard
203504,Guard
1629633,Guard-Forward
201586,Forward
1629672,Forward
1628425,Guard-Forward
202328,Forward-Center
1629730,Guard
1629670,Forward
1630492,Guard
1626195,Center-Forward
202066,Guard-Forward
203901,Guard
1626246,Center
1627737,Forward
1630215,Guard
1630238,Forward
1628373,Guard
203917,Guard
1629646,Center-Forward
200794,Forward
201588,Guard
1629752,Forward
200765,Guard
202683,Center
1626161,Center
202689,Guard
1629682,Guard
203095,Guard-Forward
1630210,Guard
1629740,Forward
1626196,Guard
203953,Forward
1629134,Guard
1629014,Guard
2546,Forward
2772,Forward
1629671,Guard-Forward
202734,Guard
1629659,Guard
201959,Forward
202324,Forward
203967,Forward-Center
203457,Center-Forward
203503,Guard
101150,Guard
2730,Center-Forward
1629604,Forward-Guard
1629091,Guard
1626178,Forward
1628388,Forward
1626253,Guard-Forward
1628385,Forward-Center
1629644,Forward-Guard
1629035,Guard
1628455,Guard
204020,Guard
1628400,Forward
1628993,Forward
1629641,Guard-Forward
203118,Forward
201188,Center
1629617,Forward-Center
1628990,Forward-Guard
1629726,Guard
201229,Forward
1630216,Guard
1630264,Forward
201952,Guard
203463,Guard
203524,Forward
1627812,Guard
1626163,Forward-Center
1629833,Guard
1628382,Forward
1630187,Center
1629605,Center
1629185,Guard
1628035,Forward
204038,Guard
201162,Forward
1629714,Forward
1629744,Guard
1626159,Forward-Guard
1630235,Guard
1628981,Forward-Center
101141,Forward
1628962,Center-Forward
1630206,Guard
1629629,Forward-Guard
1627846,Forward
1630234,Guard
1641824,Forward
1629012,Guard
1631210,Forward
1642419,Forward
1641890,Forward
1641871,Center
1642258,Forward
1630163,Guard
1630231,Forward
1641763,Forward
1630249,Guard
1630288,Guard
1630534,Guard
1630539,Center-Forward
1630537,Guard
1630208,Center
1630164,Center
1641810,Guard
1630166,Forward
1642262,Forward
203924,Forward
1642346,Forward
1642347,Guard
203995,Guard
1642345,Forward
1642279,Center
1642377,Forward
1642402,Forward
1642367,Forward
1628366,Guard
1628998,Forward
1642358,Guard
1628374,Forward-Center
1628970,Forward
1642270,Center
1626179,Guard
1642272,Guard
1627751,Center
1627824,Forward
1642274,Center
1631200,Forward
1631093,Guard
1641729,Forward
1641718,Guard
1631255,Forward-Center
1630696,Guard
1641712,Guard-Forward
1641741,Guard
1630592,Forward
1630703,Guard
1631204,Guard
1641739,Forward
1631207,Forward
1641711,Guard-Forward
1631217,Forward
1631222,Forward
1641707,Forward
1641706,Forward
1641730,Forward-Center
1641737,Forward
1631133,Forward
1631311,Guard
1630544,Guard
1631117,Center
1631323,Forward
1631110,Forward
1628380,Forward-Center
1641725,Guard
1631165,Guard
1629640,Forward-Guard
1641809,Forward
1642273,Forward
1631098,Guard
1642267,Guard
1631103,Forward
1642505,Guard
1630557,Forward
1641745,Guard
1642264,Guard
1641731,Guard
1630200,Guard
1641705,Forward-Center
1630572,Forward-Center
1642259,Center
1631104,Guard
1630577,Forward
1642271,Center
1631245,Guard
1642450,Guard
1629627,Forward
1642530,Guard
1630618,Guard
1630256,Forward
1630553,Guard
1630644,Guard
1631221,Guard
1630243,Guard
1642275,Forward
1641798,Guard
1641789,Guard
1642385,Forward
1631243,Forward
1630811,Guard
1641727,Guard-Forward
1642024,Forward-Center
1641732,Guard
1630314,Guard
1642403,Forward
1630548,Guard
1631288,Forward
1641998,Center
1641736,Guard
1641766,Forward
1631213,Forward
1641857,Center
1631321,Guard
1630658,Center
1642266,Guard
1631247,Forward
1642502,Forward
1641733,Guard
1626158,Forward
1642461,Forward
1631230,Forward
1642354,Guard
1631197,Guard
1631132,Center
1631127,Forward
1629098,Guard-Forward
1642434,Forward
1642268,Guard
1630649,Guard
1631101,Guard
1641721,Forward
1641720,Guard
1630170,Guard-Forward
1630222,Guard
1631102,Guard
1641779,Forward
1642422,Forward
1630550,Forward
1630570,Guard-Forward
1641790,Center
1641803,Guard
1641723,Guard
1642285,Guard
1629650,Center
1631386,Guard
1631306,Forward
1631214,Guard
1642348,Forward
1642382,Center
1631303,Forward
1631131,Forward-Center
1630695,Center
1630227,Guard
1631109,Center
1642280,Forward
203482,Forward-Center
1631209,Guard
1642384,Forward
1642439,Guard
1631121,Guard
1641774,Forward
1630528,Guard
1631250,Forward
1642269,Guard
1641787,Forward
1641752,Forward
1642484,Guard
1641989,Guard
1631342,Guard-Forward
1641713,Forward
1641734,Forward
1630283,Center
1642389,Guard
1642050,Forward
1631232,Forward
1626143,Center-Forward
1641878,Guard
1641772,Forward
1642399,Center
1630165,Guard
1641879,Guard
1642443,Guard
1642368,Center
1627746,Forward-Center
1641801,Forward
1641817,Forward
1630585,Guard
1641936,Forward
1631123,Guard
1641755,Guard
1630678,Forward
1630542,Forward
1630762,Forward
1630623,Guard
1641815,Guard
1631301,Guard
1631166,Forward
1630600,Forward
1631199,Guard-Forward
1642449,Forward
1628372,Guard
1626174,Forward
1631257,Forward
1631100,Forward
1630197,Forward
1630259,Guard
1630184,Guard
1630177,Guard
1629677,Forward
1630846,Center
1628426,Forward
1630647,Forward
1629685,Guard-Forward
1628966,Forward
1630240,Guard
1630181,Guard
1641749,Forward
1629232,Forward
1630196,Center
1631367,Guard
1641788,Forward
1629010,Guard
1631220,Guard
1627853,Guard
