name,pos,age,name_s26
Andre Drummond,C,28.0,Andre Drummond
Josh Christopher,SG,20.0,Josh Christopher
Jordan Nwora,SF,23.0,Jordan Nwora
Zach Collins,C,24.0,Zach Collins
Grant Williams,PF,23.0,Grant Williams
Drew Eubanks,C,24.0,Drew Eubanks
Cody Martin,SF,26.0,Cody Martin
Kyle Anderson,PF,28.0,Kyle Anderson
Kris Dunn,PG,27.0,Kris Dunn
R.J. Hampton,SG,20.0,R.J. Hampton
Furkan Korkmaz,SG,24.0,Furkan Korkmaz
Markieff Morris,PF,32.0,Markieff Morris
Aleksej Pokusevski,PF,20.0,Aleksej Pokusevski
P.J. Tucker,PF,36.0,P.J. Tucker
Trendon Watford,SF,21.0,Trendon Watford
Goran Dragić,PG,35.0,Goran Dragic
Draymond Green,PF,31.0,Draymond Green
Raul Neto,PG,29.0,Raul Neto
Jeremiah Robinson-Earl,C,21.0,Jeremiah Robinson-Earl
D.J. Wilson,PF,25.0,D.J. Wilson
Thomas Bryant,C,24.0,Thomas Bryant
Alex Caruso,SG,27.0,Alex Caruso
Jared Harper,PG,24.0,Jared Harper
Damion Lee,SG,29.0,Damion Lee
Royce O'Neale,SF,28.0,Royce O'Neale
Kenrich Williams,SF,27.0,Kenrich Williams
Jeremy Lamb,SF,29.0,Jeremy Lamb
Wes Iwundu,SF,27.0,Wes Iwundu
Taurean Prince,PF,27.0,Taurean Prince
Austin Reaves,SG,23.0,Austin Reaves
Keon Johnson,SG,19.0,Keon Johnson
Braxton Key,SF,24.0,Braxton Key
Javonte Green,SF,28.0,Javonte Green
Joe Ingles,SF,34.0,Joe Ingles
Ty Jerome,SG,24.0,Ty Jerome
Robin Lopez,C,33.0,Robin Lopez
Théo Maledon,PG,20.0,Theo Maledon
Gary Payton II,SG,29.0,Gary Payton II
Larry Nance Jr.,PF,29.0,Larry Nance Jr.
Goga Bitadze,C,22.0,Goga Bitadze
Sekou Doumbouya,PF,21.0,Sekou Doumbouya
Maxi Kleber,PF,30.0,Maxi Kleber
Olivier Sarr,C,22.0,Olivier Sarr
Steven Adams,C,28.0,Steven Adams
Killian Hayes,PG,20.0,Killian Hayes
Jarred Vanderbilt,PF,22.0,Jarred Vanderbilt
Serge Ibaka,C,32.0,Serge Ibaka
Mason Jones,SG,23.0,Mason Jones
Brandon Boston Jr.,SG,20.0,Brandon Boston
