name,pos,age,name_s26
Shai Gilgeous-Alexander,PG,26.0,Shai Gilgeous-Alexander
Giannis Antetokounmpo,PF,30.0,Giannis Antetokounmpo
Nikola Jokić,C,29.0,Nikola Jokic
Luka Dončić,PG,25.0,Luka Doncic
Anthony Edwards,SG,23.0,Anthony Edwards
Jayson Tatum,PF,26.0,Jayson Tatum
Kevin Durant,PF,36.0,Kevin Durant
Tyrese Maxey,PG,24.0,Tyrese Maxey
Cade Cunningham,PG,23.0,Cade Cunningham
Jalen Brunson,PG,28.0,Jalen Brunson
Paolo Banchero,PF,22.0,Paolo Banchero
Devin Booker,SG,28.0,Devin Booker
LaMelo Ball,PG,23.0,LaMelo Ball
Damian Lillard,PG,34.0,Damian Lillard
Anthony Davis,C,31.0,Anthony Davis
Kyrie Irving,SG,32.0,Kyrie Irving
Zion Williamson,PF,24.0,Zion Williamson
Stephen Curry,PG,36.0,Stephen Curry
LeBron James,SF,40.0,LeBron James
Karl-Anthony Towns,C,29.0,Karl-Anthony Towns
Victor Wembanyama,C,21.0,Victor Wembanyama
Franz Wagner,SF,23.0,Franz Wagner
Trae Young,PG,26.0,Trae Young
Donovan Mitchell,SG,28.0,Donovan Mitchell
Cam Thomas,SG,23.0,Cam Thomas
Tyler Herro,SG,25.0,Tyler Herro
Joel Embiid,C,30.0,Joel Embiid
De'Aaron Fox,PG,27.0,De'Aaron Fox
Zach LaVine,SG,29.0,Zach LaVine
Ja Morant,PG,25.0,Ja Morant
James Harden,PG,35.0,James Harden
Jaylen Brown,SF,28.0,Jaylen Brown
DeMar DeRozan,SF,35.0,DeMar DeRozan
Brandon Ingram,SF,27.0,Brandon Ingram
Jaren Jackson Jr.,C,25.0,Jaren Jackson Jr
Norman Powell,SG,31.0,Norman Powell
Jalen Williams,SG,23.0,Jalen Williams
Kawhi Leonard,SF,33.0,Kawhi Leonard
Jamal Murray,PG,27.0,Jamal Murray
Trey Murphy III,SF,24.0,Trey Murphy III
RJ Barrett,SF,24.0,RJ Barrett
CJ McCollum,PG,33.0,C.J. McCollum
Jalen Green,SG,22.0,Jalen Green
Brandon Miller,SF,22.0,Brandon Miller
Darius Garland,PG,25.0,Darius Garland
Jordan Poole,SG,25.0,Jordan Poole
Coby White,SG,24.0,Coby White
Miles Bridges,PF,26.0,Miles Bridges
Austin Reaves,SG,26.0,Austin Reaves
Pascal Siakam,PF,30.0,Pascal Siakam
Kristaps Porziņģis,C,29.0,Kristaps Porzingis
Scottie Barnes,PF,23.0,Scottie Barnes
Anfernee Simons,SG,25.0,Anfernee Simons
Desmond Bane,SG,26.0,Desmond Bane
Domantas Sabonis,C,28.0,Domantas Sabonis
Alperen Şengün,C,22.0,Alperen Sengun
John Collins,PF,27.0,John Collins
Lauri Markkanen,PF,27.0,Lauri Markkanen
Jalen Johnson,SF,23.0,Jalen Johnson
Cameron Johnson,PF,28.0,Cameron Johnson
Julius Randle,PF,30.0,Julius Randle
Tyrese Haliburton,PG,24.0,Tyrese Haliburton
Evan Mobley,PF,23.0,Evan Mobley
Shaedon Sharpe,SG,21.0,Shaedon Sharpe
Nikola Vučević,C,34.0,Nikola Vucevic
Collin Sexton,SG,26.0,Collin Sexton
Michael Porter Jr.,SF,26.0,Michael Porter Jr
Bam Adebayo,C,27.0,Bam Adebayo
Andrew Wiggins,SF,29.0,Andrew Wiggins
OG Anunoby,PF,27.0,OG Anunoby
Mikal Bridges,SF,28.0,Mikal Bridges
Jaden Ivey,SG,22.0,Jaden Ivey
Jimmy Butler,SF,35.0,Jimmy Butler
Dejounte Murray,PG,28.0,Dejounte Murray
Malik Monk,SG,26.0,Malik Monk
Immanuel Quickley,PG,25.0,Immanuel Quickley
De'Andre Hunter,SF,27.0,De'Andre Hunter
Bradley Beal,SG,31.0,Bradley Beal
Deni Avdija,SF,24.0,Deni Avdija
Keyonte George,PG,21.0,Keyonte George
Ivica Zubac,C,27.0,Ivica Zubac
Derrick White,SG,30.0,Derrick White
Malik Beasley,SG,28.0,Malik Beasley
Devin Vassell,SG,24.0,Devin Vassell
Jordan Clarkson,SG,32.0,Jordan Clarkson
Paul George,PF,34.0,Paul George
Jalen Suggs,PG,23.0,Jalen Suggs
Bennedict Mathurin,SF,22.0,Bennedict Mathurin
Myles Turner,C,28.0,Myles Turner
Christian Braun,SG,23.0,Christian Braun
Jonathan Kuminga,PF,22.0,Jonathan Kuminga
Jared McCain,SG,20.0,Jared McCain
Mark Williams,C,23.0,Mark Williams
Kelly Oubre Jr.,SF,29.0,Kelly Oubre Jr.
Chet Holmgren,C,22.0,Chet Holmgren
Kyle Kuzma,PF,29.0,Kyle Kuzma
Stephon Castle,SG,20.0,Stephon Castle
Aaron Gordon,PF,29.0,Aaron Gordon
P.J. Washington,PF,26.0,P.J. Washington
Quentin Grimes,SG,24.0,Quentin Grimes
Josh Giddey,PG,22.0,Josh Giddey
Jakob Poeltl,C,29.0,Jakob Poeltl
Deandre Ayton,C,26.0,Deandre Ayton
Gradey Dick,SG,21.0,Gradey Dick
Jerami Grant,PF,30.0,Jerami Grant
Payton Pritchard,PG,27.0,Payton Pritchard
Naz Reid,C,25.0,Naz Reid
Dyson Daniels,SG,21.0,Dyson Daniels
Tre Mann,PG,23.0,Tre Mann
Amen Thompson,SF,22.0,Amen Thompson
Fred VanVleet,PG,30.0,Fred VanVleet
Dillon Brooks,SF,29.0,Dillon Brooks
Tolu Smith,PF,24.0,Tolu Smith
Klay Thompson,SF,34.0,Klay Thompson
Bobby Portis,PF,29.0,Bobby Portis
Tobias Harris,PF,32.0,Tobias Harris
Josh Hart,SG,29.0,Josh Hart
Jarrett Allen,C,26.0,Jarrett Allen
Onyeka Okongwu,C,24.0,Onyeka Okongwu
Russell Westbrook,PG,36.0,Russell Westbrook
Naji Marshall,SF,27.0,Naji Marshall
Dennis Schröder,PG,31.0,Dennis Schroder
Rui Hachimura,PF,26.0,Rui Hachimura
Brook Lopez,C,36.0,Brook Lopez
Alex Sarr,C,19.0,Alex Sarr
Moritz Wagner,C,27.0,Moritz Wagner
Malcolm Brogdon,PG,32.0,Malcolm Brogdon
Scoot Henderson,PG,20.0,Scoot Henderson
Keldon Johnson,SF,25.0,Keldon Johnson
D'Angelo Russell,PG,28.0,D'Angelo Russell
Zaccharie Risacher,SF,19.0,Zaccharie Risacher
Santi Aldama,PF,24.0,Santi Aldama
Ty Jerome,SG,27.0,Ty Jerome
Keegan Murray,PF,24.0,Keegan Murray
Lonnie Walker IV,SG,26.0,Lonnie Walker IV
Harrison Barnes,PF,32.0,Harrison Barnes
Bilal Coulibaly,SF,20.0,Bilal Coulibaly
Ayo Dosunmu,SG,25.0,Ayo Dosunmu
Daniel Gafford,C,26.0,Daniel Gafford
Jaden McDaniels,PF,24.0,Jaden McDaniels
Jabari Smith Jr.,PF,21.0,Jabari Smith Jr
Caris LeVert,SG,30.0,Caris LeVert
Drew Timme,PF,24.0,Drew Timme
Tari Eason,PF,23.0,Tari Eason
Rudy Gobert,C,32.0,Rudy Gobert
Aaron Nesmith,SF,25.0,Aaron Nesmith
Aaron Wiggins,SG,26.0,Aaron Wiggins
Khris Middleton,SF,33.0,Khris Middleton
Jalen Duren,C,21.0,Jalen Duren
Donte DiVincenzo,SG,28.0,Donte DiVincenzo
Brandin Podziemski,SG,21.0,Brandin Podziemski
Corey Kispert,SF,25.0,Corey Kispert
Jeremy Sochan,PF,21.0,Jeremy Sochan
Toumani Camara,PF,24.0,Toumani Camara
Isaiah Hartenstein,C,26.0,Isaiah Hartenstein
Buddy Hield,SG,32.0,Buddy Hield
Jrue Holiday,PG,34.0,Jrue Holiday
Walker Kessler,C,23.0,Walker Kessler
Gary Trent Jr.,SG,26.0,Gary Trent Jr
Spencer Dinwiddie,PG,31.0,Spencer Dinwiddie
Tim Hardaway Jr.,SG,32.0,Tim Hardaway Jr
Duncan Robinson,SF,30.0,Duncan Robinson
Guerschon Yabusele,C,29.0,Guerschon Yabusele
Brice Sensabaugh,SF,21.0,Brice Sensabaugh
Bogdan Bogdanović,SG,32.0,Bogdan Bogdanovic
Jordan Hawkins,SG,22.0,Jordan Hawkins
Brandon Boston Jr.,SG,23.0,Brandon Boston Jr.
Nikola Jović,PF,21.0,Nikola Jovic
Grayson Allen,SG,29.0,Grayson Allen
Keon Johnson,SG,22.0,Keon Johnson
Terry Rozier,PG,30.0,Terry Rozier
Obi Toppin,PF,26.0,Obi Toppin
Jonas Valančiūnas,C,32.0,Jonas Valanciunas
Ochai Agbaji,SG,24.0,Ochai Agbaji
Jaylen Wells,SG,21.0,Jaylen Wells
Grant Williams,PF,26.0,Grant Williams
Kevin Porter Jr.,SG,24.0,Kevin Porter Jr.
Jose Alvarado,PG,26.0,Jose Alvarado
Nic Claxton,C,25.0,Nicolas Claxton
Herbert Jones,SF,26.0,Herbert Jones
De'Anthony Melton,SG,26.0,De'Anthony Melton
Isaiah Joe,SG,25.0,Isaiah Joe
Tyus Jones,PG,28.0,Tyus Jones
Trendon Watford,PF,24.0,Trendon Watford
Keion Brooks Jr.,SF,24.0,Keion Brooks Jr.
Luguentz Dort,SF,25.0,Luguentz Dort
Justin Edwards,SF,21.0,Justin Edwards
Derrick Jones Jr.,SF,27.0,Derrick Jones Jr.
Ausar Thompson,SF,22.0,Ausar Thompson
Chris Boucher,PF,32.0,Chris Boucher
Andrew Nembhard,SG,25.0,Andrew Nembhard
Ziaire Williams,SF,23.0,Ziaire Williams
Kevin Huerter,SG,26.0,Kevin Huerter
Georges Niang,PF,31.0,Georges Niang
Julian Champagnie,SF,23.0,Julian Champagnie
Scotty Pippen Jr.,PG,24.0,Scotty Pippen Jr.
Nick Smith Jr.,SG,20.0,Nick Smith Jr.
Bub Carrington,PG,19.0,Carlton Carrington
Moses Moody,SG,22.0,Moses Moody
Amir Coffey,SG,27.0,Amir Coffey
Max Christie,SG,21.0,Max Christie
Kyle Filipowski,C,21.0,Kyle Filipowski
Tosan Evbuomwan,SF,23.0,Tosan Evbuomwan
Miles McBride,SG,24.0,Miles McBride
Jalen Wilson,PF,24.0,Jalen Wilson
Nickeil Alexander-Walker,SG,26.0,Nickeil Alexander-Walker
Cole Anthony,PG,24.0,Cole Anthony
Anthony Black,PG,21.0,Anthony Black
Max Strus,SF,28.0,Max Strus
Tristan Vukcevic,C,21.0,Tristan Vukcevic
Cam Whitmore,SF,20.0,Cam Whitmore
Nick Richards,C,27.0,Nick Richards
Kel'el Ware,C,20.0,Kel'el Ware
Zach Edey,C,22.0,Zach Edey
Wendell Carter Jr.,C,25.0,Wendell Carter Jr.
Noah Clowney,PF,20.0,Noah Clowney
Dalton Knecht,SF,23.0,Dalton Knecht
A.J. Lawson,SG,24.0,A.J. Lawson
T.J. McConnell,PG,32.0,T.J. McConnell
Yves Missi,C,20.0,Yves Missi
Royce O'Neale,SF,31.0,Royce O'Neale
Jared Butler,SG,24.0,Jared Butler
Marcus Smart,PG,30.0,Marcus Smart
Draymond Green,PF,34.0,Draymond Green
Killian Hayes,PG,23.0,Killian Hayes
Al Horford,C,38.0,Al Horford
Julian Strawther,SG,22.0,Julian Strawther
Patrick Williams,PF,23.0,Patrick Williams
Jusuf Nurkić,C,30.0,Jusuf Nurkic
Clint Capela,C,30.0,Clint Capela
Johnny Juzang,SG,23.0,Johnny Juzang
Luke Kennard,SG,28.0,Luke Kennard
Justin Champagnie,SF,23.0,Justin Champagnie
Svi Mykhailiuk,SF,27.0,Svi Mykhailiuk
Chris Paul,PG,39.0,Chris Paul
Kelly Olynyk,C,33.0,Kelly Olynyk
Dorian Finney-Smith,PF,31.0,Dorian Finney-Smith
Oshae Brissett,SF,26.0,Oshae Brissett
Kentavious Caldwell-Pope,SG,31.0,Kentavious Caldwell-Pope
Isaiah Collier,PG,20.0,Isaiah Collier
Danté Exum,PG,29.0,Dante Exum
Kyshawn George,SG,21.0,Kyshawn George
Jaden Hardy,SG,22.0,Jaden Hardy
Dereck Lively II,C,20.0,Dereck Lively II
Tyrese Martin,SG,25.0,Tyrese Martin
Matas Buzelis,SF,20.0,Matas Buzelis
Jaime Jaquez Jr.,SF,23.0,Jaime Jaquez Jr
Ja'Kobe Walter,SG,20.0,Ja'Kobe Walter
Sam Hauser,PF,27.0,Sam Hauser
Larry Nance Jr.,PF,32.0,Larry Nance Jr.
Jared Rhoden,SG,25.0,Jared Rhoden
Jaylen Nowell,SG,25.0,Jaylen Nowell
Cason Wallace,SG,21.0,Cason Wallace
Bruce Brown,PG,28.0,Bruce Brown
Dalano Banton,PG,25.0,Dalano Banton
Brandon Clarke,PF,28.0,Brandon Clarke
Keon Ellis,SG,25.0,Keon Ellis
Brandon Williams,PG,25.0,Brandon Williams
Mike Conley,PG,37.0,Mike Conley
Taurean Prince,SF,30.0,Taurean Prince
Jalen Smith,C,24.0,Jalen Smith
Quinten Post,PF,24.0,Quinten Post
Peyton Watson,SF,22.0,Peyton Watson
Davion Mitchell,PG,26.0,Davion Mitchell
Caleb Martin,SF,29.0,Caleb Martin
Tyson Etienne,PG,25.0,Tyson Etienne
Day'Ron Sharpe,C,23.0,Day'Ron Sharpe
KJ Simpson,PG,22.0,KJ Simpson
Terance Mann,SG,28.0,Terance Mann
Karlo Matković,PF,23.0,Karlo Matković
AJ Johnson,SG,20.0,AJ Johnson
Lonzo Ball,PG,27.0,Lonzo Ball
Oscar Tshiebwe,C,25.0,Oscar Tshiebwe
Garrison Mathews,SG,28.0,Garrison Mathews
Matisse Thybulle,SG,27.0,Matisse Thybulle
A.J. Green,SG,25.0,AJ Green
Josh Green,SG,24.0,Josh Green
Richaun Holmes,PF,31.0,Richaun Holmes
Damion Baugh,SG,24.0,Damion Baugh
Alec Burks,SG,33.0,Alec Burks
Ricky Council IV,SF,23.0,Ricky Council IV
Andre Drummond,C,31.0,Andre Drummond
Tre Jones,PG,25.0,Tre Jones
Goga Bitadze,C,25.0,Goga Bitadze
Tristan Da Silva,SF,23.0,Tristan da Silva
GG Jackson II,PF,20.0,GG Jackson
Vít Krejčí,PG,24.0,Vit Krejci
Sam Merrill,SG,28.0,Sam Merrill
Daeqwon Plowden,SG,26.0,Daeqwon Plowden
Nae'Qwan Tomlin,PF,24.0,Nae'Qwan Tomlin
Josh Okogie,SG,26.0,Josh Okogie
Jalen Hood-Schifino,SG,21.0,Jalen Hood-Schifino
Jamison Battle,SF,23.0,Jamison Battle
Alex Caruso,SG,30.0,Alex Caruso
Jamal Shead,PG,22.0,Jamal Shead
Jeff Dowtin Jr.,PG,27.0,Jeff Dowtin Jr.
Marcus Garrett,SG,26.0,Marcus Garrett
Isaiah Jackson,C,23.0,Isaiah Jackson
Jaylen Sims,SG,26.0,Jaylen Sims
Orlando Robinson,C,24.0,Orlando Robinson
Jake LaRavia,PF,23.0,Jake LaRavia
Ryan Dunn,SF,22.0,Ryan Dunn
Jay Huff,C,26.0,Jay Huff
Cameron Payne,PG,30.0,Cameron Payne
Antonio Reeves,SG,24.0,Antonio Reeves
Cody Martin,SF,29.0,Cody Martin
Bol Bol,PF,25.0,Bol Bol
Eric Gordon,SG,36.0,Eric Gordon
Jaxson Hayes,C,24.0,Jaxson Hayes
Marcus Bagley,SF,23.0,Marcus Bagley
DaQuan Jeffries,SG,27.0,DaQuan Jeffries
Lester Quiñones,SG,24.0,Lester Quinones
Vasilije Micić,PG,31.0,Vasilije Micic
Precious Achiuwa,C,25.0,Precious Achiuwa
Trayce Jackson-Davis,C,24.0,Trayce Jackson-Davis
