name,pos,age,name_s26
Luka Dončić,PG,26.0,Luka Doncic
Shai Gilgeous-Alexander,PG,27.0,Shai Gilgeous-Alexander
Anthony Edwards,SG,24.0,Anthony Edwards
Tyrese Maxey,PG,25.0,Tyrese Maxey
Jaylen Brown,SF,29.0,Jaylen Brown
Kawhi Leonard,SF,34.0,Kawhi Leonard
Nikola Jokić,C,30.0,Nikola Jokic
Donovan Mitchell,SG,29.0,Donovan Mitchell
Giannis Antetokounmpo,PF,31.0,Giannis Antetokounmpo
Stephen Curry,PG,37.0,Stephen Curry
Joel Embiid,C,31.0,Joel Embiid
Lauri Markkanen,PF,28.0,Lauri Markkanen
Jalen Brunson,PG,29.0,Jalen Brunson
Kevin Durant,SF,37.0,Kevin Durant
Devin Booker,SG,29.0,Devin Booker
Jamal Murray,PG,28.0,Jamal Murray
Cade Cunningham,PG,24.0,Cade Cunningham
Michael Porter Jr.,SF,27.0,Michael Porter Jr
Victor Wembanyama,C,22.0,Victor Wembanyama
James Harden,PG,36.0,James Harden
Deni Avdija,SF,25.0,Deni Avdija
Pascal Siakam,PF,31.0,Pascal Siakam
Keyonte George,PG,22.0,Keyonte George
Austin Reaves,SG,27.0,Austin Reaves
Jalen Johnson,SF,24.0,Jalen Johnson
Paolo Banchero,PF,23.0,Paolo Banchero
Norman Powell,SG,32.0,Norman Powell
Trey Murphy III,SF,25.0,Trey Murphy III
Brandon Ingram,SF,28.0,Brandon Ingram
Shaedon Sharpe,SG,22.0,Shaedon Sharpe
Zion Williamson,PF,25.0,Zion Williamson
Franz Wagner,SF,24.0,Franz Wagner
Dillon Brooks,SF,30.0,Dillon Brooks
Tyler Herro,SG,26.0,Tyler Herro
LeBron James,SF,41.0,LeBron James
Julius Randle,PF,31.0,Julius Randle
Nickeil Alexander-Walker,SG,27.0,Nickeil Alexander-Walker
Brandon Miller,SF,23.0,Brandon Miller
Desmond Bane,SG,27.0,Desmond Bane
Anthony Davis,PF,32.0,Anthony Davis
Cooper Flagg,SF,19.0,Cooper Flagg
Alperen Sengun,C,23.0,Alperen Sengun
Bam Adebayo,C,28.0,Bam Adebayo
Karl-Anthony Towns,C,30.0,Karl-Anthony Towns
Jimmy Butler,SF,36.0,Jimmy Butler
Jayson Tatum,PF,27.0,Jayson Tatum
LaMelo Ball,PG,24.0,LaMelo Ball
Ty Jerome,SG,28.0,Ty Jerome
Ja Morant,PG,26.0,Ja Morant
Jaren Jackson Jr.,C,26.0,Jaren Jackson Jr
Jalen Duren,C,22.0,Jalen Duren
Darius Garland,PG,26.0,Darius Garland
Zach LaVine,SG,30.0,Zach LaVine
