name,pos,age
Monique Akoa Makani,G,N/A
Kayla Alexander,C,N/A
Julie Allemand,G,N/A
Rebecca Allen,F-G,N/A
Laeticia Amihere,F,N/A
Georgia Amoore,G,N/A
Nell Angloma,F,N/A
Pauline Astier,G,N/A
Ariel Atkins,G,N/A
Shakira Austin,C,N/A
Valeriane Ayayi,F,N/A
Rachel Banham,G,N/A
Ornella Bankole,F,N/A
Sarah Ashlee Barker,G,N/A
Raegan Beers,F,N/A
Kierstan Bell,F,N/A
Lauren Betts,C,N/A
Chloe Bibby,F,N/A
Monique Billings,F,N/A
DeWanna Bonner,F-G,N/A
Isobel Borlase,G,N/A
Aliyah Boston,C-F,N/A
Cameron Brink,F,N/A
Noémie Brochant,F-G,N/A
Lexie Brown,G,N/A
Paige Bueckers,G,N/A
Frieda Bühner,F-C,N/A
Kennedy Burke,G-F,N/A
Rae Burrell,G-F,N/A
Veronica Burton,G,N/A
Maya Caldwell,G,N/A
Jordin Canada,G,N/A
Emma Cannon,F,N/A
Kamilla Cardoso,C,N/A
Bridget Carleton,F,N/A
Raquel Carrera Quintana,C,N/A
Chennedy Carter,G,N/A
Sha Carter,F,N/A
Emma Čechová,C,N/A
Kaila Charles,G-F,N/A
Kaitlyn Chen,G,N/A
Shay Ciezki,G,N/A
Sonia Citron,G,N/A
Alysha Clark,F,N/A
Caitlin Clark,G,N/A
Natasha Cloud,G,N/A
Nia Coffey,F,N/A
Maria Conde,F,N/A
Zia Cooke,G,N/A
Kahleah Copper,G-F,N/A
Aicha Coulibaly,G,N/A
Sophie Cunningham,G,N/A
Damiris Dantas,C-F,N/A
Antonia Delaere,G,N/A
Skylar Diggins,G,N/A
Stefanie Dolson,C,N/A
Angela Dugalić,F,N/A
Aaliyah Edwards,F,N/A
Emily Engstler,F,N/A
Dana Evans,G,N/A
Temi Fagbenle,C,N/A
Awa Fam,C,N/A
Mariella Fasoula,C,N/A
Marine Fauthoux,G,N/A
Sania Feagin,F,N/A
Leonie Fiebich,F,N/A
Nadia Fingall,C,N/A
Alicia Flórez,G,N/A
Alex Fowler,F,N/A
Azzi Fudd,G,N/A
Rebekah Gardner,G,N/A
Luisa Geiselsöder,C,N/A
Allisha Gray,G,N/A
Chelsea Gray,G,N/A
Chance Gray,G,N/A
Aubrey Griffin,G-F,N/A
Brittney Griner,C,N/A
Megan Gustafson,C,N/A
Bree Hall,G,N/A
Dearica Hamby,F,N/A
Eliška Hamzová,G,N/A
Rori Harmon,G,N/A
Isabelle Harrison,F,N/A
Jordan Harrison,G,N/A
Tyasha Harris,G,N/A
Tiffany Hayes,G,N/A
Natisha Hiedeman,G,N/A
Naz Hillmon,F,N/A
Myisha Hines-Allen,F,N/A
Emese Hof,C,N/A
Joyner Holmes,F,N/A
Mackenzie Holmes,F,N/A
Jordan Horston,F,N/A
Natasha Howard,F,N/A
Rhyne Howard,G,N/A
Lexie Hull,G,N/A
Sabrina Ionescu,G,N/A
Kiki Iriafen,F,N/A
Ashlon Jackson,G,N/A
Rickea Jackson,F,N/A
Aziaha James,G,N/A
Gabriela Jaquez,G,N/A
Justė Jocytė,G-F,N/A
Marine Johannes,G,N/A
Flau'jae Johnson,G,N/A
Raven Johnson,G,N/A
Brionna Jones,F,N/A
Haley Jones,F-G,N/A
Jonquel Jones,C,N/A
Dorka Juhász,F,N/A
Laura Juškaitė,F,N/A
Teonni Key,F,N/A
Liatu King,F,N/A
Gianna Kneepkens,G,N/A
Sika Koné,F,N/A
