name,pos,age,name_s26
Joel Embiid,C,28.0,Joel Embiid
Luka Dončić,PG,23.0,Luka Doncic
Damian Lillard,PG,32.0,Damian Lillard
Shai Gilgeous-Alexander,PG,24.0,Shai Gilgeous-Alexander
Giannis Antetokounmpo,PF,28.0,Giannis Antetokounmpo
Jayson Tatum,SF,24.0,Jayson Tatum
Stephen Curry,PG,34.0,Stephen Curry
Kevin Durant,PF,34.0,Kevin Durant
LeBron James,PF,38.0,LeBron James
Donovan Mitchell,SG,26.0,Donovan Mitchell
Devin Booker,SG,26.0,Devin Booker
Kyrie Irving,SG,30.0,Kyrie Irving
Jaylen Brown,SF,26.0,Jaylen Brown
Ja Morant,PG,23.0,Ja Morant
Trae Young,PG,24.0,Trae Young
Zion Williamson,PF,22.0,Zion Williamson
Anthony Davis,C,29.0,Anthony Davis
Lauri Markkanen,PF,25.0,Lauri Markkanen
Julius Randle,PF,28.0,Julius Randle
De'Aaron Fox,PG,25.0,De'Aaron Fox
Zach LaVine,SG,27.0,Zach LaVine
Brandon Ingram,SF,25.0,Brandon Ingram
Anthony Edwards,SG,21.0,Anthony Edwards
DeMar DeRozan,SF,33.0,DeMar DeRozan
Nikola Jokić,C,27.0,Nikola Jokic
Pascal Siakam,PF,28.0,Pascal Siakam
Jalen Brunson,PG,26.0,Jalen Brunson
Paul George,SF,32.0,Paul George
Kawhi Leonard,SF,31.0,Kawhi Leonard
LaMelo Ball,PG,21.0,LaMelo Ball
Bradley Beal,SG,29.0,Bradley Beal
Kristaps Porziņģis,C,27.0,Kristaps Porzingis
Jimmy Butler,PF,33.0,Jimmy Butler
Jalen Green,SG,20.0,Jalen Green
Keldon Johnson,SF,23.0,Keldon Johnson
Klay Thompson,SF,32.0,Klay Thompson
Bojan Bogdanović,PF,33.0,Bojan Bogdanovic
Darius Garland,PG,23.0,Darius Garland
Desmond Bane,SG,24.0,Desmond Bane
Kyle Kuzma,PF,27.0,Kyle Kuzma
Terry Rozier,SG,28.0,Terry Rozier
Anfernee Simons,SG,23.0,Anfernee Simons
James Harden,PG,33.0,James Harden
