BOOKMAKER,CATEGORY,NAME,OVER/UNDER,LINE,ODDS,COMMENCE_TIME,LAST_UPDATE,DATA_PULLED_AT
FanDuel,player_points,Victor Wembanyama,Over,10.5,-140,2026-05-05,2026-05-05T04:10:04Z,2026-05-04 21:25:01
FanDuel,player_points,Victor Wembanyama,Under,10.5,106,2026-05-05,2026-05-05T04:10:04Z,2026-05-04 21:25:01
FanDuel,player_points,Anthony Edwards,Over,19.5,-106,2026-05-05,2026-05-05T04:10:04Z,2026-05-04 21:25:01
FanDuel,player_points,Anthony Edwards,Under,19.5,-125,2026-05-05,2026-05-05T04:10:04Z,2026-05-04 21:25:01
FanDuel,player_points,Tobias Harris,Over,16.5,-132,2026-05-05,2026-05-05T04:24:55Z,2026-05-04 21:25:01
FanDuel,player_points,Tobias Harris,Under,16.5,100,2026-05-05,2026-05-05T04:24:55Z,2026-05-04 21:25:01
FanDuel,player_points,Isaiah Stewart II,Over,5.5,-112,2026-05-05,2026-05-05T04:24:55Z,2026-05-04 21:25:01
FanDuel,player_points,Isaiah Stewart II,Under,5.5,-118,2026-05-05,2026-05-05T04:24:55Z,2026-05-04 21:25:01
FanDuel,player_points,Jaylon Tyson,Over,6.5,100,2026-05-05,2026-05-05T04:24:55Z,2026-05-04 21:25:01
FanDuel,player_points,Jaylon Tyson,Under,6.5,-132,2026-05-05,2026-05-05T04:24:55Z,2026-05-04 21:25:01
FanDuel,player_points,Duncan Robinson,Over,10.5,-130,2026-05-05,2026-05-05T04:24:55Z,2026-05-04 21:25:01
FanDuel,player_points,Duncan Robinson,Under,10.5,-102,2026-05-05,2026-05-05T04:24:55Z,2026-05-04 21:25:01
FanDuel,player_points,Jalen Duren,Over,15.5,-122,2026-05-05,2026-05-05T04:24:55Z,2026-05-04 21:25:01
FanDuel,player_points,Jalen Duren,Under,15.5,-108,2026-05-05,2026-05-05T04:24:55Z,2026-05-04 21:25:01
FanDuel,player_points,Cade Cunningham,Over,28.5,-114,2026-05-05,2026-05-05T04:24:55Z,2026-05-04 21:25:01
FanDuel,player_points,Cade Cunningham,Under,28.5,-114,2026-05-05,2026-05-05T04:24:55Z,2026-05-04 21:25:01
FanDuel,player_points,Jarrett Allen,Over,12.5,102,2026-05-05,2026-05-05T04:24:55Z,2026-05-04 21:25:01
FanDuel,player_points,Jarrett Allen,Under,12.5,-136,2026-05-05,2026-05-05T04:24:55Z,2026-05-04 21:25:01
FanDuel,player_points,Ausar Thompson,Over,8.5,-125,2026-05-05,2026-05-05T04:24:55Z,2026-05-04 21:25:01
FanDuel,player_points,Ausar Thompson,Under,8.5,-106,2026-05-05,2026-05-05T04:24:55Z,2026-05-04 21:25:01
FanDuel,player_points,Daniss Jenkins,Over,7.5,-136,2026-05-05,2026-05-05T04:24:55Z,2026-05-04 21:25:01
FanDuel,player_points,Daniss Jenkins,Under,7.5,102,2026-05-05,2026-05-05T04:24:55Z,2026-05-04 21:25:01
FanDuel,player_points,Max Strus,Over,8.5,-104,2026-05-05,2026-05-05T04:24:55Z,2026-05-04 21:25:01
FanDuel,player_points,Max Strus,Under,8.5,-128,2026-05-05,2026-05-05T04:24:55Z,2026-05-04 21:25:01
FanDuel,player_points,Sam Merrill,Over,6.5,-102,2026-05-05,2026-05-05T04:24:55Z,2026-05-04 21:25:01
FanDuel,player_points,Sam Merrill,Under,6.5,-130,2026-05-05,2026-05-05T04:24:55Z,2026-05-04 21:25:01
FanDuel,player_points,Evan Mobley,Over,15.5,-122,2026-05-05,2026-05-05T04:24:55Z,2026-05-04 21:25:01
FanDuel,player_points,Evan Mobley,Under,15.5,-108,2026-05-05,2026-05-05T04:24:55Z,2026-05-04 21:25:01
FanDuel,player_points,Dean Wade,Over,4.5,-114,2026-05-05,2026-05-05T04:24:55Z,2026-05-04 21:25:01
FanDuel,player_points,Dean Wade,Under,4.5,-114,2026-05-05,2026-05-05T04:24:55Z,2026-05-04 21:25:01
FanDuel,player_points,James Harden,Over,18.5,-122,2026-05-05,2026-05-05T04:24:55Z,2026-05-04 21:25:01
FanDuel,player_points,James Harden,Under,18.5,-108,2026-05-05,2026-05-05T04:24:55Z,2026-05-04 21:25:01
FanDuel,player_points,Donovan Mitchell,Over,25.5,-104,2026-05-05,2026-05-05T04:24:55Z,2026-05-04 21:25:01
FanDuel,player_points,Donovan Mitchell,Under,25.5,-128,2026-05-05,2026-05-05T04:24:55Z,2026-05-04 21:25:01
FanDuel,player_points,Ajay Mitchell,Over,15.5,-122,2026-05-06,2026-05-05T04:24:51Z,2026-05-04 21:25:01
FanDuel,player_points,Ajay Mitchell,Under,15.5,-110,2026-05-06,2026-05-05T04:24:51Z,2026-05-04 21:25:01
FanDuel,player_points,Chet Holmgren,Over,16.5,-114,2026-05-06,2026-05-05T04:24:51Z,2026-05-04 21:25:01
FanDuel,player_points,Chet Holmgren,Under,16.5,-114,2026-05-06,2026-05-05T04:24:51Z,2026-05-04 21:25:01
FanDuel,player_points,Jaxson Hayes,Over,4.5,104,2026-05-06,2026-05-05T04:24:51Z,2026-05-04 21:25:01
FanDuel,player_points,Jaxson Hayes,Under,4.5,-138,2026-05-06,2026-05-05T04:24:51Z,2026-05-04 21:25:01
FanDuel,player_points,Cason Wallace,Over,6.5,-128,2026-05-06,2026-05-05T04:24:51Z,2026-05-04 21:25:01
FanDuel,player_points,Cason Wallace,Under,6.5,-104,2026-05-06,2026-05-05T04:24:51Z,2026-05-04 21:25:01
FanDuel,player_points,Deandre Ayton,Over,9.5,-120,2026-05-06,2026-05-05T04:24:51Z,2026-05-04 21:25:01
FanDuel,player_points,Deandre Ayton,Under,9.5,-110,2026-05-06,2026-05-05T04:24:51Z,2026-05-04 21:25:01
FanDuel,player_points,Alex Caruso,Over,7.5,-106,2026-05-06,2026-05-05T04:24:51Z,2026-05-04 21:25:01
FanDuel,player_points,Alex Caruso,Under,7.5,-125,2026-05-06,2026-05-05T04:24:51Z,2026-05-04 21:25:01
FanDuel,player_points,LeBron James,Over,20.5,100,2026-05-06,2026-05-05T04:24:51Z,2026-05-04 21:25:01
FanDuel,player_points,LeBron James,Under,20.5,-132,2026-05-06,2026-05-05T04:24:51Z,2026-05-04 21:25:01
FanDuel,player_points,Shai Gilgeous-Alexander,Over,31.5,-114,2026-05-06,2026-05-05T04:24:51Z,2026-05-04 21:25:01
FanDuel,player_points,Shai Gilgeous-Alexander,Under,31.5,-114,2026-05-06,2026-05-05T04:24:51Z,2026-05-04 21:25:01
FanDuel,player_points,Jake LaRavia,Over,3.5,-110,2026-05-06,2026-05-05T04:24:51Z,2026-05-04 21:25:01
