BOOKMAKER,CATEGORY,NAME,OVER/UNDER,LINE,ODDS,COMMENCE_TIME,LAST_UPDATE,DATA_PULLED_AT
FanDuel,player_points,Draymond Green,Over,8.5,-111,2025-12-28,2025-12-28T17:23:03Z,2025-12-28 11:23:55
FanDuel,player_points,Draymond Green,Under,8.5,-115,2025-12-28,2025-12-28T17:23:03Z,2025-12-28 11:23:55
FanDuel,player_points,Immanuel Quickley,Over,15.5,-111,2025-12-28,2025-12-28T17:23:03Z,2025-12-28 11:23:55
FanDuel,player_points,Immanuel Quickley,Under,15.5,-115,2025-12-28,2025-12-28T17:23:03Z,2025-12-28 11:23:55
FanDuel,player_points,Sandro Mamukelashvili,Over,12.5,-115,2025-12-28,2025-12-28T17:23:03Z,2025-12-28 11:23:55
FanDuel,player_points,Sandro Mamukelashvili,Under,12.5,-111,2025-12-28,2025-12-28T17:23:03Z,2025-12-28 11:23:55
FanDuel,player_points,R.J. Barrett,Over,13.5,-113,2025-12-28,2025-12-28T17:23:03Z,2025-12-28 11:23:55
FanDuel,player_points,R.J. Barrett,Under,13.5,-115,2025-12-28,2025-12-28T17:23:03Z,2025-12-28 11:23:55
FanDuel,player_points,Brandin Podziemski,Over,11.5,-104,2025-12-28,2025-12-28T17:23:03Z,2025-12-28 11:23:55
FanDuel,player_points,Brandin Podziemski,Under,11.5,-122,2025-12-28,2025-12-28T17:23:03Z,2025-12-28 11:23:55
FanDuel,player_points,Jimmy Butler,Over,19.5,-113,2025-12-28,2025-12-28T17:23:03Z,2025-12-28 11:23:55
FanDuel,player_points,Jimmy Butler,Under,19.5,-113,2025-12-28,2025-12-28T17:23:03Z,2025-12-28 11:23:55
FanDuel,player_points,Brandon Ingram,Over,21.5,-113,2025-12-28,2025-12-28T17:23:03Z,2025-12-28 11:23:55
FanDuel,player_points,Brandon Ingram,Under,21.5,-113,2025-12-28,2025-12-28T17:23:03Z,2025-12-28 11:23:55
FanDuel,player_points,Moses Moody,Over,10.5,-115,2025-12-28,2025-12-28T17:23:03Z,2025-12-28 11:23:55
FanDuel,player_points,Moses Moody,Under,10.5,-111,2025-12-28,2025-12-28T17:23:03Z,2025-12-28 11:23:55
FanDuel,player_points,Quinten Post,Over,8.5,102,2025-12-28,2025-12-28T17:23:03Z,2025-12-28 11:23:55
FanDuel,player_points,Quinten Post,Under,8.5,-130,2025-12-28,2025-12-28T17:23:03Z,2025-12-28 11:23:55
FanDuel,player_points,Stephen Curry,Over,28.5,-113,2025-12-28,2025-12-28T17:23:03Z,2025-12-28 11:23:55
FanDuel,player_points,Stephen Curry,Under,28.5,-113,2025-12-28,2025-12-28T17:23:03Z,2025-12-28 11:23:55
FanDuel,player_points,Scottie Barnes,Over,18.5,-108,2025-12-28,2025-12-28T17:23:03Z,2025-12-28 11:23:55
FanDuel,player_points,Scottie Barnes,Under,18.5,-118,2025-12-28,2025-12-28T17:23:03Z,2025-12-28 11:23:55
FanDuel,player_points,Isaiah Hartenstein,Over,10.5,102,2025-12-28,2025-12-28T17:21:47Z,2025-12-28 11:23:55
FanDuel,player_points,Isaiah Hartenstein,Under,10.5,-130,2025-12-28,2025-12-28T17:21:47Z,2025-12-28 11:23:55
