BOOKMAKER,CATEGORY,NAME,OVER_UNDER,LINE,ODDS,COMMENCE_TIME,LAST_UPDATE,DATA_PULLED_AT
DraftKings,player_points,Sonia Citron,Over,16.5,-117,2026-07-16,2026-07-16T18:23:10Z,2026-07-16 11:23:28
DraftKings,player_points,Sonia Citron,Under,16.5,-113,2026-07-16,2026-07-16T18:23:10Z,2026-07-16 11:23:28
DraftKings,player_points,Kiki Iriafen,Over,16.5,-115,2026-07-16,2026-07-16T18:23:10Z,2026-07-16 11:23:28
DraftKings,player_points,Kiki Iriafen,Under,16.5,-115,2026-07-16,2026-07-16T18:23:10Z,2026-07-16 11:23:28
DraftKings,player_points,Shakira Austin,Over,15.5,-102,2026-07-16,2026-07-16T18:23:10Z,2026-07-16 11:23:28
DraftKings,player_points,Shakira Austin,Under,15.5,-130,2026-07-16,2026-07-16T18:23:10Z,2026-07-16 11:23:28
DraftKings,player_points,Carla Leite,Over,14.5,-129,2026-07-16,2026-07-16T18:23:10Z,2026-07-16 11:23:28
DraftKings,player_points,Carla Leite,Under,14.5,-103,2026-07-16,2026-07-16T18:23:10Z,2026-07-16 11:23:28
DraftKings,player_points,Bridget Carleton,Over,12.5,-119,2026-07-16,2026-07-16T18:23:10Z,2026-07-16 11:23:28
DraftKings,player_points,Bridget Carleton,Under,12.5,-112,2026-07-16,2026-07-16T18:23:10Z,2026-07-16 11:23:28
DraftKings,player_points,Emily Engstler,Over,10.5,-108,2026-07-16,2026-07-16T18:23:10Z,2026-07-16 11:23:28
DraftKings,player_points,Emily Engstler,Under,10.5,-123,2026-07-16,2026-07-16T18:23:10Z,2026-07-16 11:23:28
DraftKings,player_points,Sarah Ashlee Barker,Over,9.5,-110,2026-07-16,2026-07-16T18:23:10Z,2026-07-16 11:23:28
DraftKings,player_points,Sarah Ashlee Barker,Under,9.5,-121,2026-07-16,2026-07-16T18:23:10Z,2026-07-16 11:23:28
DraftKings,player_points,Michaela Onyenwere,Over,8.5,-135,2026-07-16,2026-07-16T18:23:10Z,2026-07-16 11:23:28
DraftKings,player_points,Michaela Onyenwere,Under,8.5,102,2026-07-16,2026-07-16T18:23:10Z,2026-07-16 11:23:28
DraftKings,player_points,Georgia Amoore,Over,6.5,-107,2026-07-16,2026-07-16T18:23:10Z,2026-07-16 11:23:28
DraftKings,player_points,Georgia Amoore,Under,6.5,-124,2026-07-16,2026-07-16T18:23:10Z,2026-07-16 11:23:28
DraftKings,player_points,Marina Mabrey,Over,23.5,-117,2026-07-17,2026-07-16T18:22:40Z,2026-07-16 11:23:28
DraftKings,player_points,Marina Mabrey,Under,23.5,-113,2026-07-17,2026-07-16T18:22:40Z,2026-07-16 11:23:28
DraftKings,player_points,Allisha Gray,Over,19.5,-116,2026-07-17,2026-07-16T18:22:40Z,2026-07-16 11:23:28
DraftKings,player_points,Allisha Gray,Under,19.5,-114,2026-07-17,2026-07-16T18:22:40Z,2026-07-16 11:23:28
DraftKings,player_points,Rhyne Howard,Over,18.5,-113,2026-07-17,2026-07-16T18:22:40Z,2026-07-16 11:23:28
DraftKings,player_points,Rhyne Howard,Under,18.5,-117,2026-07-17,2026-07-16T18:22:40Z,2026-07-16 11:23:28
DraftKings,player_points,Angel Reese,Over,16.5,-106,2026-07-17,2026-07-16T18:22:40Z,2026-07-16 11:23:28
DraftKings,player_points,Angel Reese,Under,16.5,-125,2026-07-17,2026-07-16T18:22:40Z,2026-07-16 11:23:28
DraftKings,player_points,Isabelle Harrison,Over,12.5,-104,2026-07-17,2026-07-16T18:22:40Z,2026-07-16 11:23:28
DraftKings,player_points,Isabelle Harrison,Under,12.5,-128,2026-07-17,2026-07-16T18:22:40Z,2026-07-16 11:23:28
DraftKings,player_points,Jordin Canada,Over,11.5,-121,2026-07-17,2026-07-16T18:22:40Z,2026-07-16 11:23:28
DraftKings,player_points,Jordin Canada,Under,11.5,-110,2026-07-17,2026-07-16T18:22:40Z,2026-07-16 11:23:28
DraftKings,player_points,Laura Juskaite,Over,11.5,-101,2026-07-17,2026-07-16T18:22:40Z,2026-07-16 11:23:28
DraftKings,player_points,Laura Juskaite,Under,11.5,-131,2026-07-17,2026-07-16T18:22:40Z,2026-07-16 11:23:28
DraftKings,player_points,Maria Conde,Over,9.5,-116,2026-07-17,2026-07-16T18:22:40Z,2026-07-16 11:23:28
DraftKings,player_points,Maria Conde,Under,9.5,-114,2026-07-17,2026-07-16T18:22:40Z,2026-07-16 11:23:28
DraftKings,player_points,Naz Hillmon,Over,9.5,-106,2026-07-17,2026-07-16T18:22:40Z,2026-07-16 11:23:28
DraftKings,player_points,Naz Hillmon,Under,9.5,-125,2026-07-17,2026-07-16T18:22:40Z,2026-07-16 11:23:28
DraftKings,player_points,Julie Allemand,Over,8.5,-108,2026-07-17,2026-07-16T18:22:40Z,2026-07-16 11:23:28
DraftKings,player_points,Julie Allemand,Under,8.5,-122,2026-07-17,2026-07-16T18:22:40Z,2026-07-16 11:23:28
DraftKings,player_points,Sydney Taylor,Over,16.5,-129,2026-07-17,2026-07-16T18:23:21Z,2026-07-16 11:23:28
DraftKings,player_points,Sydney Taylor,Under,16.5,-103,2026-07-17,2026-07-16T18:23:21Z,2026-07-16 11:23:28
DraftKings,player_points,Nneka Ogwumike,Over,16.5,-113,2026-07-17,2026-07-16T18:23:21Z,2026-07-16 11:23:28
DraftKings,player_points,Nneka Ogwumike,Under,16.5,-117,2026-07-17,2026-07-16T18:23:21Z,2026-07-16 11:23:28
DraftKings,player_points,Rae Burrell,Over,15.5,-107,2026-07-17,2026-07-16T18:23:21Z,2026-07-16 11:23:28
DraftKings,player_points,Rae Burrell,Under,15.5,-124,2026-07-17,2026-07-16T18:23:21Z,2026-07-16 11:23:28
DraftKings,player_points,Kamilla Cardoso,Over,14.5,-129,2026-07-17,2026-07-16T18:23:21Z,2026-07-16 11:23:28
DraftKings,player_points,Kamilla Cardoso,Under,14.5,-102,2026-07-17,2026-07-16T18:23:21Z,2026-07-16 11:23:28
DraftKings,player_points,Dearica Hamby,Over,14.5,-105,2026-07-17,2026-07-16T18:23:21Z,2026-07-16 11:23:28
DraftKings,player_points,Dearica Hamby,Under,14.5,-127,2026-07-17,2026-07-16T18:23:21Z,2026-07-16 11:23:28
DraftKings,player_points,Natasha Cloud,Over,11.5,-119,2026-07-17,2026-07-16T18:23:21Z,2026-07-16 11:23:28
DraftKings,player_points,Natasha Cloud,Under,11.5,-112,2026-07-17,2026-07-16T18:23:21Z,2026-07-16 11:23:28
DraftKings,player_points,Ariel Atkins,Over,10.5,-129,2026-07-17,2026-07-16T18:23:21Z,2026-07-16 11:23:28
DraftKings,player_points,Ariel Atkins,Under,10.5,-103,2026-07-17,2026-07-16T18:23:21Z,2026-07-16 11:23:28
DraftKings,player_points,Erica Wheeler,Over,8.5,-131,2026-07-17,2026-07-16T18:23:21Z,2026-07-16 11:23:28
DraftKings,player_points,Erica Wheeler,Under,8.5,-101,2026-07-17,2026-07-16T18:23:21Z,2026-07-16 11:23:28
DraftKings,player_points,Courtney Vandersloot,Over,8.5,-124,2026-07-17,2026-07-16T18:23:21Z,2026-07-16 11:23:28
DraftKings,player_points,Courtney Vandersloot,Under,8.5,-107,2026-07-17,2026-07-16T18:23:21Z,2026-07-16 11:23:28
DraftKings,player_points,Kelsey Mitchell,Over,21.5,-122,2026-07-17,2026-07-16T18:23:27Z,2026-07-16 11:23:28
