BOOKMAKER,CATEGORY,NAME,OVER_UNDER,LINE,ODDS,COMMENCE_TIME,LAST_UPDATE,DATA_PULLED_AT
PrizePicks,player_points,Megan DiLeo,Over,14.5,-137,2026-08-02,2026-08-02T19:41:24Z,2026-08-02 12:41:49
Underdog,player_points_rebounds,Kayla Thornton,Over,14.5,-137,2026-08-03,2026-08-02T19:41:00Z,2026-08-02 12:41:49
DraftKings Pick6,player_threes,Ariel Atkins,Over,1.5,-137,2026-08-02,2026-08-02T19:41:13Z,2026-08-02 12:41:49
DraftKings Pick6,player_threes,Paige Bueckers,Over,1.5,-137,2026-08-02,2026-08-02T19:41:24Z,2026-08-02 12:41:49
DraftKings Pick6,player_threes,Gabby Williams,Over,1.5,-137,2026-08-03,2026-08-02T19:41:46Z,2026-08-02 12:41:49
Underdog,player_points_rebounds,Veronica Burton,Over,15.5,-137,2026-08-03,2026-08-02T19:41:00Z,2026-08-02 12:41:49
PrizePicks,player_blocks,Nneka Ogwumike,Over,0.5,-137,2026-08-02,2026-08-02T19:41:24Z,2026-08-02 12:41:49
PrizePicks,player_blocks,Paige Bueckers,Over,0.5,-137,2026-08-02,2026-08-02T19:40:50Z,2026-08-02 12:41:49
Underdog,player_points_rebounds,Gabby Williams,Over,17.5,-137,2026-08-03,2026-08-02T19:41:00Z,2026-08-02 12:41:49
Betr DFS,player_blocks,Nneka Ogwumike,Over,0.5,-137,2026-08-02,2026-08-02T19:30:23Z,2026-08-02 12:41:49
Betr DFS,player_blocks,Paige Bueckers,Over,0.5,-137,2026-08-02,2026-08-02T19:41:53Z,2026-08-02 12:41:49
Underdog,player_points_rebounds,Jessica Shepard,Over,25.5,-137,2026-08-02,2026-08-02T19:41:19Z,2026-08-02 12:41:49
PrizePicks,player_steals,Ariel Atkins,Over,1.5,-137,2026-08-02,2026-08-02T19:41:24Z,2026-08-02 12:41:49
Underdog,player_steals,Ariel Atkins,Over,1.5,-137,2026-08-02,2026-08-02T19:41:51Z,2026-08-02 12:41:49
PrizePicks,player_field_goals,Nneka Ogwumike,Over,7.5,-137,2026-08-02,2026-08-02T19:41:24Z,2026-08-02 12:41:49
Underdog,player_points_rebounds,Olivia Nelson-Ododa,Over,20.5,-137,2026-08-02,2026-08-02T19:41:19Z,2026-08-02 12:41:49
PrizePicks,player_field_goals,Dearica Hamby,Over,6.0,-137,2026-08-02,2026-08-02T19:41:24Z,2026-08-02 12:41:49
PrizePicks,player_field_goals,Megan DiLeo,Over,5.5,-137,2026-08-02,2026-08-02T19:41:24Z,2026-08-02 12:41:49
Underdog,player_points_rebounds,Brittney Griner,Over,20.5,-137,2026-08-02,2026-08-02T19:41:19Z,2026-08-02 12:41:49
