BOOKMAKER,CATEGORY,NAME,OVER/UNDER,LINE,ODDS,COMMENCE_TIME,LAST_UPDATE,DATA_PULLED_AT
FanDuel,player_points,Gary Trent Jr,Over,10.5,-104,2025-12-12,2025-12-12T00:43:17Z,2025-12-11 16:44:02
FanDuel,player_points,Gary Trent Jr,Under,10.5,-122,2025-12-12,2025-12-12T00:43:17Z,2025-12-11 16:44:02
FanDuel,player_points,Myles Turner,Over,12.5,-102,2025-12-12,2025-12-12T00:43:17Z,2025-12-11 16:44:02
FanDuel,player_points,Myles Turner,Under,12.5,-125,2025-12-12,2025-12-12T00:43:17Z,2025-12-11 16:44:02
FanDuel,player_points,Jordan Walsh,Over,7.5,102,2025-12-12,2025-12-12T00:43:17Z,2025-12-11 16:44:02
FanDuel,player_points,Jordan Walsh,Under,7.5,-130,2025-12-12,2025-12-12T00:43:17Z,2025-12-11 16:44:02
FanDuel,player_points,Anfernee Simons,Over,11.5,-122,2025-12-12,2025-12-12T00:43:17Z,2025-12-11 16:44:02
FanDuel,player_points,Anfernee Simons,Under,11.5,-104,2025-12-12,2025-12-12T00:43:17Z,2025-12-11 16:44:02
FanDuel,player_points,Derrick White,Over,18.5,-113,2025-12-12,2025-12-12T00:43:17Z,2025-12-11 16:44:02
FanDuel,player_points,Derrick White,Under,18.5,-113,2025-12-12,2025-12-12T00:43:17Z,2025-12-11 16:44:02
FanDuel,player_points,Payton Pritchard,Over,17.5,102,2025-12-12,2025-12-12T00:43:17Z,2025-12-11 16:44:02
FanDuel,player_points,Payton Pritchard,Under,17.5,-130,2025-12-12,2025-12-12T00:43:17Z,2025-12-11 16:44:02
FanDuel,player_points,Kyle Kuzma,Over,14.5,-108,2025-12-12,2025-12-12T00:43:17Z,2025-12-11 16:44:02
FanDuel,player_points,Kyle Kuzma,Under,14.5,-118,2025-12-12,2025-12-12T00:43:17Z,2025-12-11 16:44:02
FanDuel,player_points,Jaylen Brown,Over,29.5,-102,2025-12-12,2025-12-12T00:43:17Z,2025-12-11 16:44:02
FanDuel,player_points,Jaylen Brown,Under,29.5,-125,2025-12-12,2025-12-12T00:43:17Z,2025-12-11 16:44:02
FanDuel,player_points,Josh Minott,Over,6.5,-108,2025-12-12,2025-12-12T00:43:17Z,2025-12-11 16:44:02
FanDuel,player_points,Josh Minott,Under,6.5,-118,2025-12-12,2025-12-12T00:43:17Z,2025-12-11 16:44:02
FanDuel,player_points,Kevin Porter Jr.,Over,21.5,-113,2025-12-12,2025-12-12T00:43:17Z,2025-12-11 16:44:02
FanDuel,player_points,Kevin Porter Jr.,Under,21.5,-115,2025-12-12,2025-12-12T00:43:17Z,2025-12-11 16:44:02
