BOOKMAKER,CATEGORY,NAME,OVER_UNDER,LINE,ODDS,COMMENCE_TIME,LAST_UPDATE,DATA_PULLED_AT
PrizePicks,player_points,Kayla McBride,Over,26.5,-137,2026-07-22,2026-07-22T19:24:34Z,2026-07-22 12:33:45
PrizePicks,player_points_rebounds_assists,Arike Ogunbowale,Over,23.0,-137,2026-07-23,2026-07-22T19:24:52Z,2026-07-22 12:33:45
PrizePicks,player_points_rebounds_assists,Azzi Fudd,Over,20.0,-137,2026-07-23,2026-07-22T19:24:52Z,2026-07-22 12:33:45
PrizePicks,player_points_rebounds_assists,Bridget Carleton,Over,19.0,-137,2026-07-23,2026-07-22T19:24:52Z,2026-07-22 12:33:45
PrizePicks,player_points_rebounds_assists,Sarah Ashlee Barker,Over,17.0,-137,2026-07-23,2026-07-22T19:24:52Z,2026-07-22 12:33:45
PrizePicks,player_points_rebounds_assists,Emily Engstler,Over,17.0,-137,2026-07-23,2026-07-22T19:24:52Z,2026-07-22 12:33:45
DraftKings Pick6,player_points_rebounds_assists,Natisha Hiedeman,Over,25.5,-137,2026-07-22,2026-07-22T19:32:47Z,2026-07-22 12:33:45
DraftKings Pick6,player_points_rebounds_assists,Napheesa Collier,Over,19.5,-137,2026-07-22,2026-07-22T19:32:47Z,2026-07-22 12:33:45
DraftKings Pick6,player_points_rebounds_assists,Olivia Miles,Over,25.5,-137,2026-07-22,2026-07-22T19:32:47Z,2026-07-22 12:33:45
DraftKings Pick6,player_points_rebounds_assists,Courtney Williams,Over,19.5,-137,2026-07-22,2026-07-22T19:32:47Z,2026-07-22 12:33:45
DraftKings Pick6,player_points_rebounds_assists,Awa Fam,Over,19.5,-137,2026-07-22,2026-07-22T19:32:47Z,2026-07-22 12:33:45
DraftKings Pick6,player_points_rebounds_assists,Dominique Malonga,Over,36.5,-137,2026-07-22,2026-07-22T19:32:47Z,2026-07-22 12:33:45
DraftKings Pick6,player_points_rebounds_assists,Olivia Miles,Over,26.5,-137,2026-07-22,2026-07-22T19:32:47Z,2026-07-22 12:33:45
DraftKings Pick6,player_points_rebounds_assists,Nia Coffey,Over,11.5,-137,2026-07-22,2026-07-22T19:32:47Z,2026-07-22 12:33:45
DraftKings Pick6,player_points_rebounds_assists,Dearica Hamby,Over,28.5,-137,2026-07-22,2026-07-22T19:33:38Z,2026-07-22 12:33:45
DraftKings Pick6,player_points_rebounds_assists,Nneka Ogwumike,Over,30.5,-137,2026-07-22,2026-07-22T19:33:38Z,2026-07-22 12:33:45
DraftKings Pick6,player_points_rebounds_assists,Monique Akoa Makani,Over,16.5,-137,2026-07-22,2026-07-22T19:33:38Z,2026-07-22 12:33:45
DraftKings Pick6,player_points_rebounds_assists,Kiki Iriafen,Over,25.5,-137,2026-07-22,2026-07-22T19:32:59Z,2026-07-22 12:33:45
DraftKings Pick6,player_points_rebounds_assists,Sydney Taylor,Over,19.5,-137,2026-07-22,2026-07-22T19:33:43Z,2026-07-22 12:33:45
DraftKings Pick6,player_points_rebounds_assists,Pauline Astier,Over,14.5,-137,2026-07-22,2026-07-22T19:33:43Z,2026-07-22 12:33:45
DraftKings Pick6,player_points_rebounds_assists,Natasha Cloud,Over,20.5,-137,2026-07-22,2026-07-22T19:33:43Z,2026-07-22 12:33:45
DraftKings Pick6,player_points_rebounds_assists,Kamilla Cardoso,Over,22.5,-137,2026-07-22,2026-07-22T19:33:43Z,2026-07-22 12:33:45
DraftKings Pick6,player_points_rebounds_assists,Azura Stevens,Over,22.5,-137,2026-07-22,2026-07-22T19:33:43Z,2026-07-22 12:33:45
PrizePicks,player_points_rebounds_assists,Carla Leite,Over,23.5,-137,2026-07-23,2026-07-22T19:24:52Z,2026-07-22 12:33:45
DraftKings Pick6,player_points_rebounds_assists,Sabrina Ionescu,Over,26.5,-137,2026-07-22,2026-07-22T19:33:43Z,2026-07-22 12:33:45
DraftKings Pick6,player_points_rebounds_assists,Jonquel Jones,Over,26.5,-137,2026-07-22,2026-07-22T19:33:43Z,2026-07-22 12:33:45
DraftKings Pick6,player_points_rebounds_assists,Rae Burrell,Over,18.5,-137,2026-07-22,2026-07-22T19:33:38Z,2026-07-22 12:33:45
DraftKings Pick6,player_points_rebounds_assists,Erica Wheeler,Over,15.5,-137,2026-07-22,2026-07-22T19:33:38Z,2026-07-22 12:33:45
DraftKings Pick6,player_points_rebounds_assists,DeWanna Bonner,Over,18.5,-137,2026-07-22,2026-07-22T19:33:38Z,2026-07-22 12:33:45
DraftKings Pick6,player_points_rebounds_assists,Kahleah Copper,Over,25.5,-137,2026-07-22,2026-07-22T19:33:38Z,2026-07-22 12:33:45
DraftKings Pick6,player_points_rebounds_assists,Alyssa Thomas,Over,36.5,-137,2026-07-22,2026-07-22T19:33:38Z,2026-07-22 12:33:45
DraftKings Pick6,player_points_rebounds_assists,Breanna Stewart,Over,33.5,-137,2026-07-22,2026-07-22T19:33:43Z,2026-07-22 12:33:45
DraftKings Pick6,player_points_rebounds_assists,Sonia Citron,Over,22.5,-137,2026-07-22,2026-07-22T19:32:59Z,2026-07-22 12:33:45
PrizePicks,player_points_rebounds_assists,Paige Bueckers,Over,31.0,-137,2026-07-23,2026-07-22T19:24:52Z,2026-07-22 12:33:45
PrizePicks,player_points_rebounds_assists,Lexie Hull,Over,9.5,-137,2026-07-23,2026-07-22T19:33:08Z,2026-07-22 12:33:45
PrizePicks,player_points_rebounds_assists,Ariel Atkins,Over,14.5,-137,2026-07-22,2026-07-22T19:33:23Z,2026-07-22 12:33:45
PrizePicks,player_points_rebounds_assists,Natasha Mack,Over,11.5,-137,2026-07-22,2026-07-22T19:33:23Z,2026-07-22 12:33:45
PrizePicks,player_points_rebounds_assists,Cameron Brink,Over,9.5,-137,2026-07-22,2026-07-22T19:33:23Z,2026-07-22 12:33:45
PrizePicks,player_points_rebounds_assists,Breanna Stewart,Over,33.5,-137,2026-07-22,2026-07-22T19:24:45Z,2026-07-22 12:33:45
PrizePicks,player_points_rebounds_assists,Sabrina Ionescu,Over,26.5,-137,2026-07-22,2026-07-22T19:24:45Z,2026-07-22 12:33:45
PrizePicks,player_points_rebounds_assists,Jonquel Jones,Over,25.5,-137,2026-07-22,2026-07-22T19:24:45Z,2026-07-22 12:33:45
PrizePicks,player_points_rebounds_assists,Kamilla Cardoso,Over,23.0,-137,2026-07-22,2026-07-22T19:24:45Z,2026-07-22 12:33:45
PrizePicks,player_points_rebounds_assists,Azura Stevens,Over,22.5,-137,2026-07-22,2026-07-22T19:24:45Z,2026-07-22 12:33:45
PrizePicks,player_points_rebounds_assists,Natasha Cloud,Over,20.0,-137,2026-07-22,2026-07-22T19:24:45Z,2026-07-22 12:33:45
PrizePicks,player_points_rebounds_assists,Sydney Taylor,Over,20.0,-137,2026-07-22,2026-07-22T19:24:45Z,2026-07-22 12:33:45
PrizePicks,player_points_rebounds_assists,Pauline Astier,Over,14.5,-137,2026-07-22,2026-07-22T19:24:45Z,2026-07-22 12:33:45
PrizePicks,player_points_rebounds_assists,Courtney Vandersloot,Over,14.5,-137,2026-07-22,2026-07-22T19:24:45Z,2026-07-22 12:33:45
PrizePicks,player_points_rebounds_assists,A'ja Wilson,Over,36.0,-137,2026-07-22,2026-07-22T19:25:07Z,2026-07-22 12:33:45
PrizePicks,player_points_rebounds_assists,Shakira Austin,Over,27.5,-137,2026-07-22,2026-07-22T19:25:07Z,2026-07-22 12:33:45
PrizePicks,player_points_rebounds_assists,Jackie Young,Over,26.5,-137,2026-07-22,2026-07-22T19:25:07Z,2026-07-22 12:33:45
PrizePicks,player_points_rebounds_assists,Kiki Iriafen,Over,25.5,-137,2026-07-22,2026-07-22T19:25:07Z,2026-07-22 12:33:45
PrizePicks,player_points_rebounds_assists,Sonia Citron,Over,22.0,-137,2026-07-22,2026-07-22T19:25:07Z,2026-07-22 12:33:45
PrizePicks,player_points_rebounds_assists,Sophie Cunningham,Over,13.0,-137,2026-07-23,2026-07-22T19:33:08Z,2026-07-22 12:33:45
PrizePicks,player_points_rebounds_assists,Monique Billings,Over,14.5,-137,2026-07-23,2026-07-22T19:33:08Z,2026-07-22 12:33:45
PrizePicks,player_points_rebounds_assists,Charlisse Leger-Walker,Over,15.5,-137,2026-07-23,2026-07-22T19:33:08Z,2026-07-22 12:33:45
PrizePicks,player_points_rebounds_assists,Leïla Lacan,Over,20.0,-137,2026-07-23,2026-07-22T19:33:08Z,2026-07-22 12:33:45
PrizePicks,player_points_rebounds_assists,Olivia Nelson-Ododa,Over,21.0,-137,2026-07-23,2026-07-22T19:33:08Z,2026-07-22 12:33:45
PrizePicks,player_points_rebounds_assists,Brittney Griner,Over,22.0,-137,2026-07-23,2026-07-22T19:33:08Z,2026-07-22 12:33:45
PrizePicks,player_points_rebounds_assists,Jessica Shepard,Over,33.5,-137,2026-07-23,2026-07-22T19:24:52Z,2026-07-22 12:33:45
PrizePicks,player_points_rebounds_assists,Aliyah Boston,Over,25.0,-137,2026-07-23,2026-07-22T19:33:08Z,2026-07-22 12:33:45
PrizePicks,player_points_rebounds_assists,Caitlin Clark,Over,30.0,-137,2026-07-23,2026-07-22T19:33:08Z,2026-07-22 12:33:45
PrizePicks,player_points_rebounds_assists,Kelsey Mitchell,Over,20.5,-137,2026-07-23,2026-07-22T19:33:08Z,2026-07-22 12:33:45
PrizePicks,player_points_rebounds_assists,Georgia Amoore,Over,11.5,-137,2026-07-22,2026-07-22T19:25:07Z,2026-07-22 12:33:45
PrizePicks,player_points_rebounds_assists,Michaela Onyenwere,Over,13.0,-137,2026-07-22,2026-07-22T19:25:07Z,2026-07-22 12:33:45
PrizePicks,player_points_rebounds_assists,NaLyssa Smith,Over,16.5,-137,2026-07-22,2026-07-22T19:25:07Z,2026-07-22 12:33:45
PrizePicks,player_points_rebounds_assists,Chelsea Gray,Over,21.5,-137,2026-07-22,2026-07-22T19:25:07Z,2026-07-22 12:33:45
PrizePicks,player_points_rebounds_assists,Kelsey Mitchell,Over,26.5,-137,2026-07-23,2026-07-22T19:33:08Z,2026-07-22 12:33:45
PrizePicks,player_points_rebounds_assists,Erica Wheeler,Over,15.5,-137,2026-07-22,2026-07-22T19:33:23Z,2026-07-22 12:33:45
DraftKings Pick6,player_points_rebounds_assists,Jackie Young,Over,27.5,-137,2026-07-22,2026-07-22T19:32:59Z,2026-07-22 12:33:45
DraftKings Pick6,player_points_rebounds_assists,Shakira Austin,Over,27.5,-137,2026-07-22,2026-07-22T19:32:59Z,2026-07-22 12:33:45
Betr DFS,player_points_rebounds_assists,Chelsea Gray,Over,21.5,-137,2026-07-22,2026-07-22T19:32:48Z,2026-07-22 12:33:45
Betr DFS,player_points_rebounds_assists,Shakira Austin,Over,27.5,-137,2026-07-22,2026-07-22T19:32:48Z,2026-07-22 12:33:45
Betr DFS,player_points_rebounds_assists,Kiki Iriafen,Over,25.5,-137,2026-07-22,2026-07-22T19:32:48Z,2026-07-22 12:33:45
Betr DFS,player_points_rebounds_assists,Brittney Griner,Over,22.5,-137,2026-07-23,2026-07-22T19:33:51Z,2026-07-22 12:33:45
Betr DFS,player_points_rebounds_assists,Olivia Nelson-Ododa,Over,20.5,-137,2026-07-23,2026-07-22T19:33:51Z,2026-07-22 12:33:45
Betr DFS,player_points_rebounds_assists,Leïla Lacan,Over,19.5,-137,2026-07-23,2026-07-22T19:33:51Z,2026-07-22 12:33:45
Betr DFS,player_points_rebounds_assists,Charlisse Leger-Walker,Over,15.5,-137,2026-07-23,2026-07-22T19:33:51Z,2026-07-22 12:33:45
Betr DFS,player_points_rebounds_assists,Aliyah Boston,Over,25.5,-137,2026-07-23,2026-07-22T19:33:51Z,2026-07-22 12:33:45
