,NAME,BOOKMAKER,CATEGORY,LINE,OVER/UNDER,ODDS,FAIR ODDS,SIM PROB,EV,KELLY CRITERION
0,Aaron Nesmith,Bovada,player_threes,2.5,Over,185,217,0.551,57.06,0.5487
1,Tyrese Haliburton,Bovada,player_rebounds_assists,11.5,Over,110,115,0.746,56.71,0.7439
2,Tyrese Haliburton,FanDuel,player_rebounds,4.5,Over,132,131,0.672,55.81,0.6691
3,Aaron Nesmith,Bovada,player_threes,2.5,Over,185,217,0.545,55.19,0.5421
4,Cason Wallace,BetRivers,player_assists,1.5,Over,125,141,0.689,54.97,0.6863
5,Tyrese Haliburton,FanDuel,player_rebounds_assists,11.5,Over,108,115,0.74,53.82,0.7371
6,Tyrese Haliburton,Bovada,player_assists,7.5,Over,125,147,0.683,53.69,0.6805
7,Cason Wallace,FanDuel,player_assists,1.5,Over,126,141,0.677,53.07,0.6747
8,Cason Wallace,BetOnline.ag,player_assists,1.5,Over,120,141,0.688,51.42,0.6857
9,Cason Wallace,DraftKings,player_blocks,0.5,Over,210,251,0.485,50.43,0.4828
10,Bennedict Mathurin,Bovada,player_points,9.5,Over,165,190,0.563,49.29,0.5607
11,Cason Wallace,DraftKings,player_assists,1.5,Over,120,141,0.674,48.18,0.6708
12,Aaron Nesmith,Bovada,player_points,13.5,Over,210,251,0.477,47.98,0.4749
13,Tyrese Haliburton,BetMGM,player_rebounds_assists,11.5,Over,100,115,0.74,47.92,0.737
14,Andrew Nembhard,FanDuel,player_steals,1.5,Over,194,217,0.503,47.86,0.5004
15,Cason Wallace,DraftKings,player_blocks_steals,1.5,Over,140,160,0.613,47.03,0.6098
16,Tyrese Haliburton,BetOnline.ag,player_rebounds,4.5,Over,118,131,0.674,46.86,0.6709
17,Cason Wallace,BetRivers,player_rebounds_assists,3.5,Over,-105,108,0.752,46.84,0.7495
18,T.J. McConnell,BetMGM,player_threes,0.5,Over,260,285,0.407,46.36,0.4043
19,T.J. McConnell,BetMGM,player_threes,0.5,Over,260,285,0.405,45.67,0.4023
20,Cason Wallace,BetMGM,player_assists,1.5,Over,115,141,0.677,45.6,0.6744
21,Alex Caruso,FanDuel,player_rebounds,3.5,Under,114,120,0.679,45.22,0.6758
22,Isaiah Hartenstein,Bovada,player_rebounds,7.5,Over,180,208,0.517,44.73,0.5142
23,Tyrese Haliburton,DraftKings,player_rebounds_assists,11.5,Over,-105,115,0.741,44.59,0.7378
24,Isaiah Hartenstein,FanDuel,player_points,5.5,Over,-106,101,0.74,43.86,0.7375
25,Isaiah Hartenstein,BetRivers,player_points,5.5,Over,-106,101,0.74,43.73,0.7368
26,Cason Wallace,Bovada,player_rebounds_assists,3.5,Over,-110,108,0.753,43.73,0.7502
27,Isaiah Hartenstein,BetOnline.ag,player_points_rebounds_assists,14.5,Over,100,111,0.716,43.29,0.7136
28,Isaiah Hartenstein,BetRivers,player_points_assists,7.5,Over,-105,104,0.731,42.68,0.728
29,Andrew Nembhard,BetRivers,player_threes,1.5,Over,160,170,0.546,42.08,0.5436
30,Isaiah Hartenstein,DraftKings,player_points_rebounds,12.5,Over,-105,111,0.727,42.0,0.7245
31,Isaiah Hartenstein,BetRivers,player_points_rebounds,11.5,Over,-124,-113,0.784,41.7,0.7817
32,Ben Sheppard,BetMGM,player_threes,0.5,Over,125,137,0.629,41.61,0.6264
33,Ben Sheppard,BetMGM,player_threes,0.5,Over,125,137,0.629,41.54,0.6261
34,Tyrese Haliburton,Bovada,player_points,18.5,Over,200,239,0.471,41.27,0.4682
35,Cason Wallace,FanDuel,player_points_rebounds_assists,8.5,Over,102,114,0.699,41.21,0.6961
36,Isaiah Hartenstein,FanDuel,player_points_assists,7.5,Over,-108,104,0.731,40.74,0.7278
