,name1,name2,overEV,over_prob,underEV,under_prob,over_underEV,over_under_prob,under_overEV,under_over_prob
82,Aaron Wiggins,Myles Turner,10.1,0.367,-53.41,0.155,-25.9,0.247,-30.79,0.231
81,Andrew Nembhard,Myles Turner,10.5,0.368,-53.67,0.154,-26.3,0.246,-30.53,0.232
80,Chet Holmgren,Myles Turner,10.7,0.369,-53.8,0.154,-26.5,0.245,-30.4,0.232
71,Ben Sheppard,Pascal Siakam,10.74,0.369,-53.97,0.153,-22.85,0.257,-33.92,0.22
70,Pascal Siakam,Tyrese Haliburton,11.89,0.373,-54.65,0.151,-24.0,0.253,-33.24,0.223
69,Aaron Wiggins,Pascal Siakam,12.3,0.374,-54.9,0.15,-24.41,0.252,-32.99,0.223
68,Andrew Nembhard,Pascal Siakam,12.72,0.376,-55.14,0.15,-24.83,0.251,-32.75,0.224
67,Chet Holmgren,Pascal Siakam,12.92,0.376,-55.27,0.149,-25.03,0.25,-32.62,0.225
11,Alex Caruso,Isaiah Hartenstein,9.46,0.365,-55.67,0.148,-4.74,0.318,-49.05,0.17
57,Aaron Nesmith,Ben Sheppard,13.77,0.379,-56.07,0.146,-20.75,0.264,-36.95,0.21
42,Ben Sheppard,T.J. McConnell,13.89,0.38,-56.16,0.146,-20.66,0.264,-37.07,0.21
56,Aaron Nesmith,Tyrese Haliburton,14.94,0.383,-56.73,0.144,-21.92,0.26,-36.29,0.212
66,Myles Turner,Pascal Siakam,15.36,0.385,-56.73,0.144,-27.47,0.242,-31.16,0.229
26,Ben Sheppard,Bennedict Mathurin,14.76,0.383,-56.76,0.144,-20.06,0.266,-37.94,0.207
41,T.J. McConnell,Tyrese Haliburton,15.07,0.384,-56.81,0.144,-21.84,0.261,-36.42,0.212
55,Aaron Nesmith,Aaron Wiggins,15.37,0.385,-56.96,0.143,-22.35,0.259,-36.06,0.213
40,Aaron Wiggins,T.J. McConnell,15.49,0.385,-57.05,0.143,-22.26,0.259,-36.18,0.213
54,Aaron Nesmith,Andrew Nembhard,15.79,0.386,-57.2,0.143,-22.77,0.257,-35.82,0.214
10,Isaiah Hartenstein,Isaiah Joe,12.86,0.376,-57.25,0.143,-8.14,0.306,-47.47,0.175
39,Andrew Nembhard,T.J. McConnell,15.92,0.386,-57.28,0.142,-22.69,0.258,-35.95,0.214
