,PLAYER 1,PLAYER 1 LINE,PLAYER 2,PLAYER 2 LINE,TYPE,EV,PROBABILITY,KELLY CRITERION
124,Aaron Wiggins,6.5,Chet Holmgren,15.0,OVER/UNDER,-6.4,0.312,0.3086
125,Jalen Williams,21.0,Thomas Bryant,2.5,OVER/UNDER,-6.7,0.311,0.3076
126,Andrew Nembhard,12.0,Jalen Williams,21.0,OVER/UNDER,-6.72,0.3109,0.3075
127,Andrew Nembhard,12.0,Tyrese Haliburton,17.5,OVER,-7.11,0.3096,0.3061
128,Aaron Wiggins,6.5,Pascal Siakam,19.5,OVER/UNDER,-7.17,0.3094,0.3059
129,Luguentz Dort,8.5,Myles Turner,14.0,OVER/UNDER,-7.21,0.3093,0.3058
130,Luguentz Dort,8.5,Pascal Siakam,19.5,OVER/UNDER,-7.57,0.3081,0.3046
131,Cason Wallace,6.0,Luguentz Dort,8.5,UNDER,-7.6,0.308,0.3045
132,Ben Sheppard,2.5,Obi Toppin,9.5,OVER/UNDER,-7.77,0.3074,0.3039
133,Bennedict Mathurin,8.5,Jalen Williams,21.0,OVER/UNDER,-8.08,0.3064,0.3029
134,Alex Caruso,9.0,T.J. McConnell,7.0,OVER/UNDER,-8.26,0.3058,0.3023
135,Cason Wallace,6.0,Obi Toppin,9.5,UNDER,-8.41,0.3053,0.3018
136,Ben Sheppard,2.5,Luguentz Dort,8.5,OVER/UNDER,-8.56,0.3048,0.3013
137,Aaron Nesmith,12.0,Alex Caruso,9.0,OVER,-9.02,0.3033,0.2998
138,Chet Holmgren,15.0,Jalen Williams,21.0,OVER/UNDER,-9.14,0.3029,0.2994
139,Bennedict Mathurin,8.5,Obi Toppin,9.5,OVER/UNDER,-9.39,0.302,0.2985
140,Luguentz Dort,8.5,Thomas Bryant,2.5,OVER/UNDER,-9.4,0.302,0.2985
141,Jalen Williams,21.0,Tyrese Haliburton,17.5,OVER/UNDER,-9.76,0.3008,0.2973
142,Chet Holmgren,15.0,Tyrese Haliburton,17.5,OVER,-9.89,0.3004,0.2969
143,Aaron Wiggins,6.5,Jalen Williams,21.0,UNDER,-10.25,0.2992,0.2957
144,Obi Toppin,9.5,Thomas Bryant,2.5,OVER/UNDER,-10.26,0.2991,0.2956
145,Alex Caruso,9.0,Myles Turner,14.0,OVER/UNDER,-10.58,0.2981,0.2946
146,Andrew Nembhard,12.0,Luguentz Dort,8.5,OVER/UNDER,-10.68,0.2977,0.2942
147,Obi Toppin,9.5,Pascal Siakam,19.5,OVER/UNDER,-11.09,0.2964,0.2929
148,Aaron Wiggins,6.5,Tyrese Haliburton,17.5,OVER/UNDER,-11.23,0.2959,0.2924
149,Alex Caruso,9.0,Ben Sheppard,2.5,OVER/UNDER,-11.26,0.2958,0.2923
150,Alex Caruso,9.0,Cason Wallace,6.0,UNDER,-11.64,0.2945,0.291
151,Alex Caruso,9.0,Bennedict Mathurin,8.5,OVER/UNDER,-11.69,0.2944,0.2909
152,Chet Holmgren,15.0,Obi Toppin,9.5,OVER/UNDER,-11.73,0.2942,0.2907
153,Chet Holmgren,15.0,Luguentz Dort,8.5,OVER/UNDER,-11.92,0.2936,0.2901
154,Andrew Nembhard,12.0,Obi Toppin,9.5,OVER/UNDER,-12.62,0.2913,0.2878
155,Alex Caruso,9.0,Thomas Bryant,2.5,OVER/UNDER,-12.87,0.2904,0.2869
156,Luguentz Dort,8.5,Tyrese Haliburton,17.5,OVER/UNDER,-13.11,0.2896,0.286
157,Aaron Wiggins,6.5,Obi Toppin,9.5,UNDER,-13.35,0.2888,0.2852
158,Obi Toppin,9.5,Tyrese Haliburton,17.5,OVER/UNDER,-13.92,0.2869,0.2833
159,Jalen Williams,21.0,Luguentz Dort,8.5,UNDER,-13.99,0.2867,0.2831
160,Alex Caruso,9.0,Pascal Siakam,19.5,OVER/UNDER,-14.11,0.2863,0.2827
161,Jalen Williams,21.0,Obi Toppin,9.5,UNDER,-14.26,0.2858,0.2822
162,Alex Caruso,9.0,Chet Holmgren,15.0,OVER/UNDER,-14.52,0.2849,0.2813
163,Alex Caruso,9.0,Andrew Nembhard,12.0,OVER,-14.84,0.2839,0.2803
164,Alex Caruso,9.0,Tyrese Haliburton,17.5,OVER/UNDER,-14.9,0.2837,0.2801
165,Aaron Wiggins,6.5,Luguentz Dort,8.5,UNDER,-16.83,0.2772,0.2736
166,Luguentz Dort,8.5,Obi Toppin,9.5,UNDER,-17.24,0.2759,0.2723
167,Alex Caruso,9.0,Jalen Williams,21.0,UNDER,-17.5,0.275,0.2714
168,Aaron Wiggins,6.5,Alex Caruso,9.0,UNDER,-18.42,0.2719,0.2683
169,Alex Caruso,9.0,Obi Toppin,9.5,UNDER,-19.17,0.2694,0.2657
170,Alex Caruso,9.0,Luguentz Dort,8.5,UNDER/OVER,-20.38,0.2654,0.2617
