,NAME,BOOKMAKER,CATEGORY,LINE,OVER/UNDER,ODDS,FAIR ODDS,SIM PROB,EV,KELLY CRITERION
0,Aaron Wiggins,Bovada,player_blocks,0.5,Over,600,852,0.26,82.26,0.2591
1,Obi Toppin,Bovada,player_rebounds_assists,6.5,Under,110,117,0.746,56.56,0.7432
2,T.J. McConnell,BetMGM,player_threes,0.5,Over,290,344,0.401,56.45,0.3991
3,T.J. McConnell,BetMGM,player_threes,0.5,Over,290,344,0.395,54.11,0.3931
4,Cason Wallace,DraftKings,player_blocks,0.5,Over,220,257,0.479,53.29,0.4767
5,Obi Toppin,Bovada,player_rebounds,4.5,Under,135,153,0.65,52.67,0.6471
6,T.J. McConnell,DraftKings,player_threes,0.5,Over,280,344,0.401,52.41,0.3989
7,Isaiah Hartenstein,DraftKings,player_points,6.5,Over,114,124,0.707,51.23,0.7041
8,T.J. McConnell,BetOnline.ag,player_threes,0.5,Over,279,344,0.397,50.34,0.3945
9,Pascal Siakam,DraftKings,player_turnovers,1.5,Under,120,141,0.681,49.82,0.6783
10,Isaiah Hartenstein,BetMGM,player_points,6.5,Over,110,124,0.711,49.26,0.7081
11,Isaiah Hartenstein,BetRivers,player_points,6.5,Over,112,124,0.704,49.22,0.7012
12,T.J. McConnell,DraftKings,player_threes,0.5,Over,280,344,0.392,49.04,0.39
13,T.J. McConnell,BetOnline.ag,player_threes,0.5,Over,279,344,0.391,48.16,0.3887
14,Cason Wallace,Bovada,player_blocks,0.5,Over,210,257,0.474,47.01,0.4717
15,Alex Caruso,BetMGM,player_rebounds,3.5,Under,120,132,0.668,46.91,0.665
16,Bennedict Mathurin,Bovada,player_points,11.5,Over,200,239,0.489,46.69,0.4864
17,Alex Caruso,DraftKings,player_rebounds,3.5,Under,120,132,0.663,45.95,0.6606
18,Aaron Nesmith,DraftKings,player_blocks,0.5,Over,130,149,0.634,45.93,0.6317
19,Obi Toppin,FanDuel,player_rebounds,5.5,Under,-120,-117,0.792,45.13,0.7891
20,Andrew Nembhard,Bovada,player_steals,1.5,Over,185,217,0.509,45.13,0.5066
21,Aaron Nesmith,Bovada,player_blocks,0.5,Over,130,149,0.63,44.79,0.6267
22,Isaiah Hartenstein,BetOnline.ag,player_points,6.5,Over,103,124,0.713,44.67,0.7099
23,Obi Toppin,DraftKings,player_rebounds_assists,6.5,Under,-105,117,0.738,44.05,0.7351
24,Kenrich Williams,Bovada,player_steals,0.5,Over,165,190,0.544,44.04,0.5408
25,Andrew Nembhard,FanDuel,player_threes,1.5,Over,152,162,0.57,43.54,0.5668
26,Andrew Nembhard,BetRivers,player_threes,1.5,Over,148,162,0.578,43.26,0.5748
27,Aaron Nesmith,Bovada,player_threes,2.5,Over,165,190,0.541,43.25,0.5378
28,Andrew Nembhard,FanDuel,player_threes,1.5,Over,152,162,0.567,42.91,0.5643
29,Isaiah Hartenstein,FanDuel,player_points,6.5,Over,102,124,0.706,42.54,0.7027
30,Aaron Nesmith,Bovada,player_threes,2.5,Over,165,190,0.535,41.87,0.5325
31,Alex Caruso,BetOnline.ag,player_rebounds,3.5,Under,115,132,0.66,41.84,0.6567
32,Tyrese Haliburton,Bovada,player_assists,9.5,Over,190,228,0.489,41.78,0.4862
33,Alex Caruso,FanDuel,player_rebounds,3.5,Under,114,132,0.662,41.74,0.6594
34,Obi Toppin,DraftKings,player_points_rebounds_assists,17.5,Under,-110,-103,0.742,41.61,0.7389
35,Luguentz Dort,BetMGM,player_blocks,0.5,Over,195,217,0.478,41.1,0.4756
36,Andrew Nembhard,BetRivers,player_threes,1.5,Over,148,162,0.569,41.08,0.566
37,Obi Toppin,DraftKings,player_rebounds,5.5,Under,-130,-117,0.796,40.84,0.7934
38,Isaiah Hartenstein,BetRivers,player_points_rebounds,13.5,Over,100,108,0.702,40.38,0.6989
39,Isaiah Hartenstein,BetMGM,player_points_assists,8.5,Over,105,119,0.682,39.78,0.6788
40,Isaiah Hartenstein,DraftKings,player_points_assists,8.5,Over,105,119,0.682,39.76,0.6787
41,Isaiah Joe,Bovada,player_steals,0.5,Over,300,365,0.349,39.73,0.3472
42,Aaron Nesmith,BetMGM,player_blocks,0.5,Over,120,149,0.634,39.46,0.6309
43,Isaiah Hartenstein,Bovada,player_points_assists,8.5,Over,105,119,0.678,38.99,0.6749
44,Obi Toppin,BetRivers,player_points_rebounds_assists,17.5,Under,-115,-103,0.742,38.77,0.7393
45,Pascal Siakam,Bovada,player_rebounds_assists,10.5,Under,105,109,0.676,38.53,0.6726
46,Obi Toppin,Bovada,player_rebounds,5.5,Under,-135,-117,0.796,38.48,0.7928
47,Isaiah Hartenstein,BetRivers,player_points_rebounds_assists,16.5,Over,123,141,0.62,38.29,0.617
48,Obi Toppin,BetRivers,player_points_rebounds_assists,16.5,Under,104,120,0.677,38.14,0.674
49,Obi Toppin,BetOnline.ag,player_points_rebounds_assists,17.5,Under,-116,-103,0.742,38.08,0.7386
50,Alex Caruso,BetRivers,player_rebounds,3.5,Under,106,132,0.67,37.96,0.6666
51,Isaiah Hartenstein,BetMGM,player_points_rebounds,13.5,Over,-105,108,0.705,37.57,0.7015
52,Obi Toppin,DraftKings,player_points_rebounds,16.5,Under,-120,-111,0.75,37.55,0.7473
53,Obi Toppin,BetRivers,player_rebounds,5.5,Under,-136,-117,0.793,37.52,0.7897
54,Obi Toppin,BetRivers,player_points_rebounds_assists,18.5,Under,-136,-120,0.789,36.95,0.7863
55,Isaiah Hartenstein,FanDuel,player_points_assists,8.5,Over,100,119,0.684,36.7,0.6804
56,Obi Toppin,BetMGM,player_rebounds,5.5,Under,-140,-117,0.797,36.67,0.7944
57,Andrew Nembhard,DraftKings,player_threes,1.5,Over,140,162,0.569,36.65,0.5663
58,Andrew Nembhard,Bovada,player_points_assists,14.5,Over,105,109,0.666,36.57,0.663
59,Andrew Nembhard,Bovada,player_points,12.5,Over,170,199,0.505,36.42,0.5023
60,Obi Toppin,Bovada,player_points_rebounds_assists,17.5,Under,-120,-103,0.743,36.21,0.7399
61,Shai Gilgeous-Alexander,Bovada,player_points,29.5,Under,190,228,0.469,36.05,0.4664
62,Isaiah Hartenstein,FanDuel,player_points_rebounds,13.5,Over,-108,108,0.706,35.97,0.7028
63,T.J. McConnell,BetRivers,player_rebounds,2.5,Over,128,137,0.596,35.87,0.5927
64,Shai Gilgeous-Alexander,Bovada,player_points,30.5,Under,160,190,0.522,35.77,0.5192
65,Aaron Wiggins,BetMGM,player_threes,0.5,Over,105,118,0.662,35.68,0.6586
66,Aaron Nesmith,Bovada,player_points,13.5,Over,175,208,0.493,35.46,0.4897
67,Andrew Nembhard,BetOnline.ag,player_threes,1.5,Over,136,162,0.574,35.41,0.5706
68,Isaiah Hartenstein,BetRivers,player_points,5.5,Over,-139,-120,0.787,35.39,0.7845
69,Andrew Nembhard,DraftKings,player_threes,1.5,Over,140,162,0.563,35.07,0.5597
70,Aaron Wiggins,BetMGM,player_threes,0.5,Over,105,118,0.659,35.06,0.6556
71,Obi Toppin,BetOnline.ag,player_rebounds,5.5,Under,-143,-117,0.795,35.02,0.7916
72,Aaron Wiggins,BetOnline.ag,player_threes,0.5,Over,105,118,0.659,34.99,0.6553
73,Aaron Wiggins,BetOnline.ag,player_threes,0.5,Over,105,118,0.658,34.91,0.6549
74,Cason Wallace,BetRivers,player_assists,1.5,Over,-113,-104,0.715,34.84,0.7121
75,Obi Toppin,BetRivers,player_points_rebounds_assists,15.5,Under,120,141,0.612,34.54,0.6083
76,Shai Gilgeous-Alexander,FanDuel,player_points,34.5,Under,-113,-108,0.714,34.53,0.7105
77,Tyrese Haliburton,Bovada,player_rebounds_assists,13.5,Over,110,115,0.64,34.43,0.6369
78,Alex Caruso,DraftKings,player_rebounds_assists,6.5,Under,-105,111,0.688,34.32,0.6847
79,Luguentz Dort,Bovada,player_blocks,0.5,Over,185,217,0.471,34.27,0.4683
80,Shai Gilgeous-Alexander,BetMGM,player_points_rebounds,40.5,Under,-118,-105,0.726,34.15,0.7229
81,Ben Sheppard,Bovada,player_steals,0.5,Over,225,264,0.412,34.0,0.4097
82,Shai Gilgeous-Alexander,BetRivers,player_points,33.5,Under,100,113,0.67,33.96,0.6665
83,Shai Gilgeous-Alexander,Bovada,player_points,31.5,Under,135,153,0.57,33.92,0.5667
84,Isaiah Hartenstein,Bovada,player_points_rebounds,13.5,Over,-110,108,0.701,33.77,0.6974
85,Bennedict Mathurin,Bovada,player_points,10.5,Over,150,174,0.535,33.74,0.5319
86,T.J. McConnell,FanDuel,player_rebounds_assists,5.5,Over,-115,-106,0.715,33.65,0.7116
87,Isaiah Hartenstein,BetRivers,player_points_rebounds_assists,15.5,Over,-104,104,0.681,33.65,0.678
88,Andrew Nembhard,BetOnline.ag,player_threes,1.5,Over,136,162,0.566,33.59,0.5629
89,Tyrese Haliburton,DraftKings,player_assists,8.5,Over,120,133,0.607,33.55,0.6038
90,Obi Toppin,BetRivers,player_points_rebounds_assists,19.5,Under,-167,-147,0.834,33.3,0.831
91,Shai Gilgeous-Alexander,BetRivers,player_points,32.5,Under,115,127,0.62,33.26,0.6165
92,Andrew Nembhard,Bovada,player_points,11.5,Over,130,153,0.579,33.19,0.5759
93,Andrew Nembhard,Bovada,player_threes,1.5,Over,135,162,0.565,32.88,0.5622
94,Obi Toppin,FanDuel,player_points_rebounds,16.5,Under,-128,-111,0.746,32.82,0.7424
95,Shai Gilgeous-Alexander,BetMGM,player_points,34.5,Under,-118,-108,0.718,32.64,0.7146
96,Shai Gilgeous-Alexander,Bovada,player_points_rebounds,40.5,Under,-120,-105,0.723,32.63,0.7201
97,Cason Wallace,DraftKings,player_assists,1.5,Over,-115,-104,0.709,32.62,0.706
98,Isaiah Hartenstein,DraftKings,player_points_rebounds,13.5,Over,-115,108,0.709,32.59,0.7059
99,Shai Gilgeous-Alexander,Bovada,player_points_rebounds_assists,46.5,Under,-105,105,0.678,32.3,0.6743
