,NAME,BOOKMAKER,CATEGORY,LINE,OVER/UNDER,ODDS,FAIR ODDS,SIM PROB,EV,KELLY CRITERION
1193,Pascal Siakam,BetRivers,player_assists,3.5,Under,-152,-132,0.525,-12.95,0.5179
1194,Pascal Siakam,Bovada,player_points,22.5,Under,-230,-199,0.607,-12.97,0.5975
1195,Chet Holmgren,DraftKings,player_threes,1.5,Under,-210,-190,0.589,-13.03,0.5805
1196,Chet Holmgren,Bovada,player_points,12.5,Under,175,208,0.316,-13.08,0.3122
1197,Alex Caruso,BetRivers,player_points,8.5,Under,-108,113,0.451,-13.1,0.4453
1198,T.J. McConnell,BetRivers,player_points_rebounds_assists,16.5,Over,-136,-120,0.501,-13.11,0.4939
1199,Jalen Williams,Bovada,player_threes,1.5,Under,-135,-121,0.499,-13.12,0.4924
1200,Aaron Nesmith,Bovada,player_rebounds,3.5,Under,215,251,0.276,-13.13,0.2724
1201,Shai Gilgeous-Alexander,DraftKings,player_blocks,0.5,Under,124,145,0.388,-13.13,0.3829
1202,T.J. McConnell,Bovada,player_points,10.5,Over,120,127,0.395,-13.16,0.3897
1203,Chet Holmgren,Bovada,player_threes,0.5,Under,190,217,0.299,-13.18,0.2957
1204,Pascal Siakam,BetRivers,player_points_rebounds_assists,30.5,Over,-141,-115,0.508,-13.23,0.5007
1205,Jalen Williams,Bovada,player_points,19.5,Over,-220,-190,0.596,-13.31,0.5871
1206,Luguentz Dort,BetMGM,player_points_rebounds_assists,12.5,Over,-135,-109,0.498,-13.34,0.4911
1207,Jalen Williams,BetMGM,player_threes,1.5,Under,-135,-121,0.497,-13.45,0.4904
1208,Pascal Siakam,Bovada,player_points_rebounds_assists,31.5,Over,-110,104,0.453,-13.49,0.4471
1209,Tyrese Haliburton,BetMGM,player_threes,2.5,Under,-175,-149,0.55,-13.54,0.5423
1210,Bennedict Mathurin,DraftKings,player_steals,0.5,Under,-210,-194,0.585,-13.57,0.5768
1211,Myles Turner,DraftKings,player_turnovers,1.5,Under,-115,102,0.462,-13.63,0.4558
1212,Andrew Nembhard,BetMGM,player_blocks,0.5,Over,230,277,0.262,-13.63,0.2585
1213,Jalen Williams,BetMGM,player_points_rebounds,28.5,Over,100,115,0.432,-13.64,0.4261
1214,Andrew Nembhard,DraftKings,player_blocks,0.5,Over,220,277,0.27,-13.66,0.2665
1215,Chet Holmgren,BetRivers,player_points,16.5,Over,120,141,0.392,-13.69,0.3872
1216,Pascal Siakam,Bovada,player_assists,3.5,Under,-150,-132,0.518,-13.74,0.5103
1217,Shai Gilgeous-Alexander,FanDuel,player_rebounds_assists,11.5,Under,-130,-115,0.488,-13.74,0.4809
1218,Tyrese Haliburton,DraftKings,player_threes,2.5,Under,-175,-149,0.549,-13.76,0.5409
1219,Jalen Williams,BetOnline.ag,player_threes,1.5,Under,-139,-121,0.501,-13.79,0.4944
1220,Obi Toppin,Bovada,player_points,9.5,Over,-150,-117,0.517,-13.8,0.51
1221,Jalen Williams,BetRivers,player_points,23.5,Over,118,130,0.395,-13.82,0.3902
1222,Tyrese Haliburton,BetMGM,player_threes,2.5,Under,-175,-149,0.548,-13.86,0.5403
1223,Chet Holmgren,BetMGM,player_threes,0.5,Under,180,217,0.307,-13.91,0.3036
1224,Kenrich Williams,DraftKings,player_threes,0.5,Under,-315,-264,0.653,-13.93,0.6424
1225,Tyrese Haliburton,BetRivers,player_threes,2.5,Under,-175,-149,0.548,-13.93,0.5398
1226,Jalen Williams,DraftKings,player_threes,1.5,Under,-140,-121,0.502,-13.97,0.4949
1227,Jalen Williams,DraftKings,player_threes,1.5,Under,-140,-121,0.502,-13.98,0.4948
1228,Bennedict Mathurin,FanDuel,player_rebounds,2.5,Under,-102,112,0.434,-14.04,0.4283
1229,Luguentz Dort,Bovada,player_steals,1.5,Under,-240,-187,0.607,-14.05,0.5973
1230,Jalen Williams,BetMGM,player_points_assists,27.5,Over,-105,111,0.44,-14.1,0.4341
1231,Shai Gilgeous-Alexander,BetMGM,player_blocks,0.5,Under,120,145,0.39,-14.13,0.3852
1232,Jalen Williams,DraftKings,player_steals,1.5,Under,-175,-160,0.546,-14.16,0.5383
1233,Chet Holmgren,BetRivers,player_points,13.5,Under,120,147,0.39,-14.24,0.3847
1234,T.J. McConnell,FanDuel,player_rebounds_assists,7.5,Over,-118,100,0.464,-14.25,0.4578
1235,T.J. McConnell,DraftKings,player_points_rebounds,12.5,Over,-125,-111,0.476,-14.26,0.4698
1236,Obi Toppin,DraftKings,player_points_assists,11.5,Over,-120,101,0.468,-14.26,0.4613
1237,T.J. McConnell,Bovada,player_points_rebounds,13.5,Over,105,115,0.418,-14.32,0.4124
1238,Pascal Siakam,BetMGM,player_points_rebounds_assists,31.5,Over,-115,104,0.458,-14.32,0.452
1239,T.J. McConnell,Bovada,player_steals,0.5,Under,115,141,0.398,-14.37,0.3931
1240,Pascal Siakam,Bovada,player_points_assists,23.5,Under,-115,102,0.458,-14.38,0.4517
1241,T.J. McConnell,Bovada,player_rebounds_assists,7.5,Over,-120,100,0.467,-14.38,0.4606
1242,Alex Caruso,BetRivers,player_points,7.5,Under,118,153,0.393,-14.4,0.3875
1243,Jalen Williams,BetRivers,player_threes,1.5,Under,-137,-121,0.495,-14.43,0.4877
1244,Shai Gilgeous-Alexander,Bovada,player_steals,1.5,Under,-110,111,0.448,-14.49,0.4418
1245,Tyrese Haliburton,FanDuel,player_threes,2.5,Under,-170,-149,0.538,-14.51,0.5304
1246,Pascal Siakam,BetMGM,player_assists,3.5,Under,-155,-132,0.52,-14.52,0.5121
1247,Tyrese Haliburton,DraftKings,player_threes,2.5,Under,-175,-149,0.544,-14.54,0.5359
1248,Obi Toppin,BetMGM,player_points,10.5,Over,-110,112,0.448,-14.55,0.4415
1249,Obi Toppin,Bovada,player_points,10.5,Over,-110,112,0.448,-14.56,0.4414
1250,Luguentz Dort,DraftKings,player_threes,1.5,Under,145,149,0.349,-14.56,0.3442
1251,Andrew Nembhard,BetOnline.ag,player_rebounds,3.5,Over,107,126,0.413,-14.57,0.4072
1252,Tyrese Haliburton,FanDuel,player_threes,2.5,Under,-170,-149,0.538,-14.58,0.53
1253,Shai Gilgeous-Alexander,BetRivers,player_threes,1.5,Over,-104,114,0.435,-14.61,0.4295
1254,Luguentz Dort,DraftKings,player_threes,1.5,Under,145,149,0.348,-14.66,0.3438
1255,Jalen Williams,DraftKings,player_blocks,0.5,Under,-188,-174,0.556,-14.82,0.5477
1256,Jalen Williams,Bovada,player_points,20.5,Over,-180,-141,0.547,-14.84,0.5393
1257,Pascal Siakam,FanDuel,player_points_assists,23.5,Under,-118,102,0.461,-14.9,0.4542
1258,Jalen Williams,BetOnline.ag,player_threes,1.5,Under,-139,-121,0.495,-14.92,0.4878
1259,Kenrich Williams,DraftKings,player_threes,0.5,Under,-315,-264,0.646,-14.93,0.6345
1260,Andrew Nembhard,DraftKings,player_rebounds,3.5,Over,105,126,0.415,-14.99,0.4091
1261,Tyrese Haliburton,Bovada,player_threes,2.5,Under,-180,-149,0.546,-15.03,0.5381
1262,Jalen Williams,BetRivers,player_threes,1.5,Under,-137,-121,0.491,-15.04,0.4841
1263,Tyrese Haliburton,BetRivers,player_threes,2.5,Under,-175,-149,0.54,-15.08,0.5324
1264,Pascal Siakam,BetOnline.ag,player_assists,3.5,Under,-154,-132,0.515,-15.14,0.507
1265,Andrew Nembhard,BetMGM,player_rebounds,3.5,Over,110,126,0.404,-15.25,0.3982
1266,Chet Holmgren,Bovada,player_threes,1.5,Under,-245,-190,0.602,-15.25,0.5921
1267,Chet Holmgren,Bovada,player_points_rebounds,24.5,Over,-120,-106,0.462,-15.36,0.4552
1268,Jalen Williams,BetMGM,player_rebounds,5.5,Under,-135,-121,0.486,-15.39,0.4791
1269,Chet Holmgren,BetRivers,player_assists,1.5,Over,180,196,0.302,-15.41,0.2982
1270,T.J. McConnell,BetMGM,player_points,9.5,Over,-130,-105,0.478,-15.45,0.4711
1271,Luguentz Dort,Bovada,player_points,9.5,Over,145,167,0.345,-15.5,0.3404
1272,Shai Gilgeous-Alexander,BetMGM,player_threes,1.5,Over,-110,114,0.443,-15.52,0.4364
1273,T.J. McConnell,BetRivers,player_rebounds,2.5,Under,125,147,0.375,-15.53,0.3704
1274,Shai Gilgeous-Alexander,FanDuel,player_rebounds,4.5,Under,122,138,0.38,-15.6,0.3751
1275,Luguentz Dort,Bovada,player_threes,2.5,Under,-260,-217,0.609,-15.67,0.5989
1276,Shai Gilgeous-Alexander,BetOnline.ag,player_rebounds,4.5,Under,120,138,0.383,-15.7,0.378
1277,Shai Gilgeous-Alexander,Bovada,player_rebounds_assists,11.5,Under,-135,-115,0.484,-15.71,0.4772
1278,Shai Gilgeous-Alexander,Bovada,player_rebounds,4.5,Under,120,138,0.383,-15.76,0.3778
1279,Luguentz Dort,BetRivers,player_rebounds,3.5,Under,-121,104,0.461,-15.79,0.4545
1280,T.J. McConnell,BetRivers,player_points,9.5,Over,-125,-105,0.468,-15.81,0.4611
1281,Tyrese Haliburton,Bovada,player_threes,2.5,Under,-180,-149,0.541,-15.82,0.5329
1282,Bennedict Mathurin,DraftKings,player_rebounds,2.5,Under,-110,112,0.441,-15.85,0.4346
1283,Alex Caruso,BetRivers,player_points_rebounds,12.5,Over,-122,-109,0.462,-15.85,0.4559
1284,Pascal Siakam,Bovada,player_points,21.5,Under,-180,-135,0.541,-15.92,0.5322
1285,Bennedict Mathurin,Bovada,player_rebounds_assists,3.5,Under,-135,-115,0.483,-15.92,0.476
1286,Alex Caruso,BetOnline.ag,player_points_rebounds_assists,15.5,Over,100,104,0.42,-15.95,0.4145
1287,Jalen Williams,Bovada,player_points,23.5,Over,110,130,0.4,-15.99,0.3946
1288,Luguentz Dort,DraftKings,player_blocks_steals,1.5,Under,-125,-111,0.466,-16.04,0.4598
1289,Shai Gilgeous-Alexander,BetMGM,player_threes,1.5,Over,-110,114,0.44,-16.05,0.4336
1290,Jalen Williams,BetMGM,player_points,22.5,Over,-110,108,0.44,-16.06,0.4335
1291,Shai Gilgeous-Alexander,Bovada,player_rebounds,5.5,Under,-160,-133,0.517,-16.07,0.5088
1292,Pascal Siakam,DraftKings,player_blocks,0.5,Under,100,115,0.419,-16.11,0.4136
1293,Tyrese Haliburton,DraftKings,player_turnovers,2.5,Over,-125,-111,0.466,-16.18,0.459
1294,Shai Gilgeous-Alexander,Bovada,player_assists,5.5,Under,120,141,0.381,-16.25,0.3755
1295,Jalen Williams,BetOnline.ag,player_rebounds,5.5,Under,-137,-121,0.484,-16.26,0.477
1296,Chet Holmgren,BetRivers,player_threes,1.5,Under,-250,-190,0.598,-16.26,0.5881
1297,Chet Holmgren,BetMGM,player_blocks,1.5,Under,-115,121,0.448,-16.28,0.4415
1298,T.J. McConnell,FanDuel,player_assists,4.5,Over,104,117,0.41,-16.36,0.4043
1299,Myles Turner,Bovada,player_points,15.5,Under,-260,-217,0.604,-16.42,0.5933
1300,Luguentz Dort,Bovada,player_threes,2.5,Under,-260,-217,0.603,-16.46,0.593
1301,Chet Holmgren,BetRivers,player_points_rebounds_assists,24.5,Over,-159,-135,0.513,-16.48,0.505
1302,T.J. McConnell,BetRivers,player_assists,4.5,Over,104,117,0.409,-16.49,0.4037
1303,Chet Holmgren,FanDuel,player_points_rebounds,24.5,Over,-120,-106,0.455,-16.52,0.4488
1304,Chet Holmgren,Bovada,player_threes,1.5,Under,-245,-190,0.593,-16.53,0.5827
1305,Pascal Siakam,BetRivers,player_points_rebounds_assists,31.5,Over,-121,104,0.457,-16.53,0.4504
1306,Obi Toppin,DraftKings,player_blocks_steals,1.5,Over,165,190,0.315,-16.54,0.3108
1307,Chet Holmgren,BetMGM,player_threes,0.5,Under,180,217,0.298,-16.58,0.294
1308,Shai Gilgeous-Alexander,BetMGM,player_rebounds_assists,11.5,Under,-140,-115,0.486,-16.65,0.479
1309,Jalen Williams,Bovada,player_steals,1.5,Under,-180,-160,0.535,-16.72,0.527
1310,Jalen Williams,BetMGM,player_points_rebounds_assists,33.5,Over,100,117,0.416,-16.73,0.4105
1311,Pascal Siakam,Bovada,player_blocks,0.5,Under,100,115,0.416,-16.79,0.4102
1312,Obi Toppin,BetRivers,player_threes,1.5,Over,110,117,0.396,-16.91,0.3902
1313,T.J. McConnell,DraftKings,player_assists,4.5,Over,105,117,0.405,-17.05,0.399
1314,Alex Caruso,BetRivers,player_points_rebounds_assists,14.5,Over,-134,-115,0.475,-17.05,0.468
1315,Kenrich Williams,DraftKings,player_points,2.5,Under,-145,-125,0.491,-17.06,0.4835
1316,Andrew Nembhard,DraftKings,player_assists,4.5,Under,-145,-135,0.49,-17.13,0.4831
1317,Jalen Williams,Bovada,player_points,22.5,Over,-115,108,0.443,-17.14,0.4368
1318,Jalen Williams,Bovada,player_points,21.5,Over,-145,-114,0.489,-17.29,0.4821
1319,Isaiah Hartenstein,DraftKings,player_blocks_steals,1.5,Under,-200,-174,0.551,-17.31,0.5423
1320,Pascal Siakam,Bovada,player_steals,0.5,Under,180,196,0.295,-17.36,0.2912
1321,Shai Gilgeous-Alexander,BetRivers,player_rebounds,4.5,Under,116,138,0.383,-17.38,0.3772
1322,T.J. McConnell,BetMGM,player_points_rebounds_assists,17.5,Over,-110,101,0.433,-17.39,0.4265
1323,T.J. McConnell,BetMGM,player_assists,4.5,Over,100,117,0.413,-17.4,0.4072
1324,Chet Holmgren,BetRivers,player_threes,1.5,Under,-250,-190,0.59,-17.42,0.5796
1325,Pascal Siakam,DraftKings,player_blocks_steals,1.5,Under,105,120,0.402,-17.49,0.3968
1326,Pascal Siakam,BetMGM,player_blocks,0.5,Under,100,115,0.412,-17.51,0.4066
1327,Bennedict Mathurin,Bovada,player_steals,0.5,Under,-240,-194,0.582,-17.51,0.5722
1328,Chet Holmgren,BetMGM,player_assists,1.5,Over,180,196,0.294,-17.58,0.2904
1329,Jalen Williams,FanDuel,player_threes,1.5,Under,-154,-121,0.5,-17.6,0.4919
1330,Pascal Siakam,FanDuel,player_assists,3.5,Under,-166,-132,0.514,-17.6,0.5061
1331,T.J. McConnell,BetOnline.ag,player_assists,4.5,Over,100,117,0.412,-17.62,0.406
1332,T.J. McConnell,Bovada,player_assists,4.5,Over,100,117,0.412,-17.62,0.406
1333,Luguentz Dort,FanDuel,player_threes,1.5,Under,136,149,0.349,-17.66,0.3441
1334,Pascal Siakam,BetMGM,player_points_rebounds,28.5,Over,-110,106,0.431,-17.69,0.4249
1335,Tyrese Haliburton,Bovada,player_threes,1.5,Under,165,190,0.311,-17.72,0.3063
1336,Pascal Siakam,Bovada,player_points,20.5,Under,-145,-107,0.487,-17.72,0.4795
1337,Obi Toppin,Bovada,player_points,12.5,Over,160,190,0.316,-17.73,0.3122
1338,Jalen Williams,Bovada,player_blocks,0.5,Under,-210,-174,0.557,-17.75,0.5479
1339,Chet Holmgren,Bovada,player_points,17.5,Over,150,174,0.329,-17.81,0.3243
1340,Tyrese Haliburton,Bovada,player_threes,1.5,Under,165,190,0.31,-17.82,0.3059
1341,T.J. McConnell,FanDuel,player_points_assists,14.5,Over,-102,108,0.415,-17.83,0.409
1342,Jalen Williams,FanDuel,player_threes,1.5,Under,-154,-121,0.498,-17.86,0.4903
1343,Obi Toppin,Bovada,player_points,11.5,Over,120,141,0.373,-17.89,0.368
1344,Alex Caruso,Bovada,player_points_rebounds,12.5,Over,-125,-109,0.456,-17.92,0.4492
1345,Obi Toppin,BetRivers,player_points_rebounds,14.5,Over,-124,-106,0.454,-17.93,0.4476
1346,Pascal Siakam,Bovada,player_points,19.5,Under,-115,111,0.439,-18.0,0.4322
1347,Bennedict Mathurin,DraftKings,player_blocks,0.5,Under,-315,-270,0.622,-18.02,0.6104
1348,Pascal Siakam,BetRivers,player_points_rebounds,28.5,Over,-109,106,0.427,-18.04,0.4212
1349,Aaron Wiggins,Bovada,player_steals,0.5,Under,-165,-150,0.51,-18.06,0.5021
1350,Obi Toppin,BetRivers,player_threes,1.5,Over,110,117,0.39,-18.08,0.3845
1351,T.J. McConnell,FanDuel,player_points_rebounds_assists,17.5,Over,-113,101,0.435,-18.08,0.4282
1352,Alex Caruso,BetMGM,player_points_rebounds_assists,15.5,Over,-105,104,0.419,-18.17,0.413
1353,Jalen Williams,Bovada,player_points_rebounds_assists,33.5,Over,-105,117,0.419,-18.18,0.413
1354,T.J. McConnell,Bovada,player_points_rebounds_assists,17.5,Over,-115,101,0.437,-18.36,0.4302
1355,Alex Caruso,FanDuel,player_points_rebounds,12.5,Over,-128,-109,0.457,-18.54,0.4504
1356,Luguentz Dort,FanDuel,player_threes,1.5,Under,136,149,0.345,-18.55,0.3403
1357,Jalen Williams,FanDuel,player_rebounds,5.5,Under,-148,-121,0.486,-18.62,0.4781
1358,Andrew Nembhard,FanDuel,player_assists,4.5,Under,-154,-135,0.493,-18.71,0.4851
1359,T.J. McConnell,BetRivers,player_points_rebounds_assists,17.5,Over,-115,101,0.435,-18.74,0.4282
1360,T.J. McConnell,Bovada,player_points,11.5,Over,155,182,0.319,-18.75,0.3142
1361,Jalen Williams,FanDuel,player_steals,1.5,Under,-200,-160,0.542,-18.76,0.5324
1362,T.J. McConnell,BetRivers,player_points_rebounds,13.5,Over,-106,115,0.418,-18.78,0.4118
1363,Jalen Williams,BetMGM,player_blocks,0.5,Under,-210,-174,0.55,-18.86,0.5402
1364,Jalen Williams,Bovada,player_rebounds,5.5,Under,-145,-121,0.48,-18.87,0.4726
1365,T.J. McConnell,DraftKings,player_threes,0.5,Under,-315,-277,0.614,-19.14,0.6016
1366,Aaron Wiggins,Bovada,player_blocks,0.5,Under,-500,-413,0.673,-19.2,0.657
1367,Pascal Siakam,DraftKings,player_threes,1.5,Under,-166,-159,0.504,-19.29,0.4954
1368,Obi Toppin,BetMGM,player_threes,1.5,Over,100,117,0.403,-19.38,0.3972
1369,Chet Holmgren,DraftKings,player_turnovers,1.5,Over,100,115,0.402,-19.52,0.3964
1370,Bennedict Mathurin,Bovada,player_blocks,0.5,Under,-340,-270,0.622,-19.56,0.6088
1371,Obi Toppin,BetMGM,player_threes,1.5,Over,100,117,0.402,-19.6,0.396
1372,T.J. McConnell,DraftKings,player_points_rebounds_assists,17.5,Over,-115,101,0.43,-19.62,0.4234
