,NAME,BOOKMAKER,CATEGORY,LINE,OVER/UNDER,ODDS,SIM PROB,EV,KELLY CRITERION
59,Aaron Nesmith,BetRivers,player_points,11.5,Over,-141,0.647,10.63,0.1499
60,Pascal Siakam,BetRivers,player_points,20.5,Over,110,0.527,10.59,0.0963
61,Cason Wallace,BetRivers,player_points,6.5,Under,-143,0.65,10.51,0.1503
62,Thomas Bryant,FanDuel,player_points,2.5,Over,-106,0.568,10.41,0.1103
63,Tyrese Haliburton,BetRivers,player_points,17.5,Over,100,0.552,10.31,0.1031
64,Pascal Siakam,Bovada,player_points,19.5,Over,-110,0.577,10.06,0.1107
65,Aaron Nesmith,BetRivers,player_points,12.5,Over,-113,0.583,9.92,0.1121
66,Pascal Siakam,FanDuel,player_points,18.5,Over,-130,0.62,9.77,0.127
67,Bennedict Mathurin,Bovada,player_points,9.5,Over,110,0.522,9.53,0.0866
68,Pascal Siakam,DraftKings,player_points,19.5,Over,-110,0.573,9.3,0.1023
69,Aaron Nesmith,BetRivers,player_points,13.5,Over,110,0.52,9.23,0.0839
70,Thomas Bryant,DraftKings,player_points,2.5,Over,-110,0.572,9.12,0.1003
71,Pascal Siakam,BetRivers,player_points,19.5,Over,-112,0.576,9.1,0.1019
72,Andrew Nembhard,Bovada,player_points,11.5,Over,-125,0.605,8.86,0.1108
73,Andrew Nembhard,DraftKings,player_points,11.5,Over,-125,0.604,8.72,0.109
74,Pascal Siakam,Bovada,player_points,18.5,Over,-135,0.623,8.49,0.1146
75,Bennedict Mathurin,BetOnline.ag,player_points,8.5,Over,-115,0.58,8.43,0.097
76,T.J. McConnell,Bovada,player_points,6.5,Over,-150,0.65,8.29,0.1244
77,Andrew Nembhard,BetOnline.ag,player_points,11.5,Over,-123,0.597,8.29,0.1019
78,Myles Turner,BetRivers,player_points,13.5,Over,-136,0.624,8.25,0.1122
79,Tyrese Haliburton,BetRivers,player_points,16.5,Over,-125,0.601,8.16,0.102
80,Chet Holmgren,Bovada,player_points,13.5,Over,-165,0.673,8.1,0.1337
81,Pascal Siakam,BetRivers,player_points,18.5,Over,-137,0.625,8.03,0.1101
82,Ben Sheppard,DraftKings,player_points,2.5,Over,-120,0.589,8.01,0.0962
83,Tyrese Haliburton,FanDuel,player_points,17.5,Over,-106,0.554,7.7,0.0816
84,Andrew Nembhard,Bovada,player_points,12.5,Over,105,0.524,7.4,0.0704
85,Aaron Nesmith,Bovada,player_points,10.5,Over,-185,0.696,7.24,0.1339
86,Myles Turner,BetRivers,player_points,14.5,Over,-107,0.553,6.99,0.0748
87,Chet Holmgren,Bovada,player_points,14.5,Over,-125,0.593,6.68,0.0835
88,Chet Holmgren,Bovada,player_points,12.5,Over,-220,0.731,6.34,0.1394
89,Bennedict Mathurin,BetRivers,player_points,7.5,Over,-141,0.62,5.97,0.0842
90,Andrew Nembhard,FanDuel,player_points,11.5,Over,-130,0.599,5.94,0.0772
91,Andrew Nembhard,Bovada,player_points,13.5,Over,135,0.45,5.73,0.0424
92,Pascal Siakam,Bovada,player_points,17.5,Over,-180,0.677,5.28,0.0951
93,Andrew Nembhard,BetRivers,player_points,11.5,Over,-132,0.599,5.2,0.0686
94,Tyrese Haliburton,BetRivers,player_points,15.5,Over,-159,0.644,4.89,0.0778
95,Luguentz Dort,Bovada,player_points,11.5,Under,-300,0.787,4.89,0.1466
96,Andrew Nembhard,Bovada,player_points,10.5,Over,-180,0.673,4.62,0.0832
97,Andrew Nembhard,Bovada,player_points,14.5,Over,170,0.386,4.3,0.0253
98,Jalen Williams,BetRivers,player_points,21.5,Under,-125,0.579,4.26,0.0532
99,Chet Holmgren,FanDuel,player_points,15.5,Over,-102,0.526,4.26,0.0435
100,Myles Turner,Bovada,player_points,13.5,Over,-150,0.625,4.22,0.0634
101,Myles Turner,BetOnline.ag,player_points,14.5,Over,-111,0.548,4.16,0.0461
102,Chet Holmgren,Bovada,player_points,15.5,Over,100,0.519,3.79,0.0379
103,Tyrese Haliburton,Bovada,player_points,21.5,Over,190,0.358,3.76,0.0198
104,Luguentz Dort,Bovada,player_points,10.5,Under,-215,0.708,3.73,0.0803
105,Pascal Siakam,Bovada,player_points,16.5,Over,-230,0.722,3.66,0.0842
106,T.J. McConnell,Bovada,player_points,5.5,Over,-230,0.722,3.63,0.0835
107,Tyrese Haliburton,Bovada,player_points,20.5,Over,155,0.406,3.51,0.0227
108,Myles Turner,Bovada,player_points,12.5,Over,-200,0.69,3.44,0.0688
109,Chet Holmgren,Bovada,player_points,16.5,Over,130,0.449,3.37,0.0259
110,Alex Caruso,Bovada,player_points,11.5,Under,-220,0.71,3.21,0.0706
111,Chet Holmgren,BetRivers,player_points,14.5,Over,-134,0.591,3.19,0.0428
