,NAME,BOOKMAKER,CATEGORY,LINE,OVER/UNDER,ODDS,SIM PROB,EV,KELLY CRITERION
0,Isaiah Hartenstein,BetOnline.ag,player_points,6.5,Over,103,0.706,43.31,0.4205
1,Isaiah Hartenstein,BetRivers,player_points,5.5,Over,-127,0.796,42.35,0.5378
2,Isaiah Hartenstein,FanDuel,player_points,5.5,Over,-132,0.789,38.61,0.5096
3,Aaron Nesmith,Bovada,player_points,14.5,Over,215,0.44,38.5,0.1791
4,Isaiah Hartenstein,DraftKings,player_points,6.5,Over,-105,0.706,37.86,0.3975
5,Shai Gilgeous-Alexander,FanDuel,player_points,33.5,Under,-104,0.673,32.09,0.3338
6,Aaron Nesmith,Bovada,player_points,13.5,Over,165,0.494,30.81,0.1867
7,Shai Gilgeous-Alexander,Bovada,player_points,30.5,Under,150,0.523,30.63,0.2042
8,Andrew Nembhard,Bovada,player_points,13.5,Over,210,0.42,30.09,0.1433
9,Andrew Nembhard,Bovada,player_points,12.5,Over,160,0.499,29.76,0.186
10,Shai Gilgeous-Alexander,Bovada,player_points,31.5,Under,125,0.577,29.73,0.2379
11,Shai Gilgeous-Alexander,BetRivers,player_points,32.5,Under,108,0.621,29.27,0.271
12,Shai Gilgeous-Alexander,Bovada,player_points,29.5,Under,175,0.469,29.1,0.1663
13,Shai Gilgeous-Alexander,BetRivers,player_points,33.5,Under,-109,0.671,28.59,0.3116
14,Shai Gilgeous-Alexander,DraftKings,player_points,33.5,Under,-110,0.671,28.13,0.3095
15,Shai Gilgeous-Alexander,BetRivers,player_points,34.5,Under,-129,0.72,27.78,0.3583
16,Andrew Nembhard,Bovada,player_points,11.5,Over,120,0.577,26.94,0.2245
17,Shai Gilgeous-Alexander,Bovada,player_points,33.5,Under,-115,0.678,26.83,0.3085
18,Shai Gilgeous-Alexander,Bovada,player_points,32.5,Under,105,0.616,26.37,0.2511
19,Shai Gilgeous-Alexander,BetOnline.ag,player_points,33.5,Under,-112,0.667,26.17,0.2931
20,Aaron Nesmith,Bovada,player_points,12.5,Over,125,0.558,25.49,0.2039
21,Shai Gilgeous-Alexander,BetRivers,player_points,35.5,Under,-155,0.762,25.36,0.3931
22,Andrew Nembhard,FanDuel,player_points,10.5,Over,-110,0.655,24.98,0.2747
23,Shai Gilgeous-Alexander,Bovada,player_points,34.5,Under,-135,0.718,24.98,0.3372
24,Andrew Nembhard,BetOnline.ag,player_points,10.5,Over,-110,0.651,24.29,0.2672
25,Andrew Nembhard,Bovada,player_points,10.5,Over,-110,0.646,23.26,0.2559
26,Andrew Nembhard,DraftKings,player_points,10.5,Over,-115,0.656,22.58,0.2597
27,Aaron Nesmith,Bovada,player_points,11.5,Over,-105,0.627,22.34,0.2346
28,Shai Gilgeous-Alexander,Bovada,player_points,35.5,Under,-160,0.751,22.1,0.3535
29,Shai Gilgeous-Alexander,Bovada,player_points,36.5,Under,-190,0.797,21.66,0.4115
30,Aaron Nesmith,BetOnline.ag,player_points,11.5,Over,-106,0.621,20.78,0.2203
31,T.J. McConnell,FanDuel,player_points,7.5,Over,102,0.597,20.66,0.2025
32,Andrew Nembhard,Bovada,player_points,9.5,Over,-150,0.717,19.52,0.2929
33,Shai Gilgeous-Alexander,Bovada,player_points,37.5,Under,-230,0.833,19.49,0.4483
34,Aaron Nesmith,DraftKings,player_points,11.5,Over,-110,0.624,19.2,0.2112
35,Shai Gilgeous-Alexander,Bovada,player_points,38.5,Under,-275,0.861,17.46,0.48
36,T.J. McConnell,BetRivers,player_points,6.5,Over,-137,0.678,17.25,0.2363
37,Andrew Nembhard,BetRivers,player_points,10.5,Over,-127,0.655,17.08,0.2169
38,Aaron Nesmith,Bovada,player_points,10.5,Over,-135,0.672,17.04,0.23
