,NAME,BOOKMAKER,CATEGORY,LINE,OVER/UNDER,ODDS,FAIR ODDS,SIM PROB,EV,KELLY CRITERION
0,Obi Toppin,Bovada,player_rebounds,4.5,Under,165,190,0.65,72.38,0.6484
1,Pascal Siakam,DraftKings,player_turnovers,1.5,Under,150,174,0.685,71.33,0.6832
2,Aaron Nesmith,Bovada,player_threes,2.5,Over,190,228,0.548,58.97,0.5458
3,T.J. McConnell,BetMGM,player_threes,0.5,Over,290,338,0.404,57.7,0.4023
4,Obi Toppin,Bovada,player_rebounds_assists,6.5,Under,110,122,0.744,56.32,0.7421
5,T.J. McConnell,BetMGM,player_threes,0.5,Over,290,338,0.398,55.3,0.3961
6,Aaron Nesmith,Bovada,player_threes,2.5,Over,190,228,0.535,55.11,0.5324
7,Isaiah Hartenstein,BetRivers,player_points,6.5,Over,117,129,0.705,52.9,0.7021
8,Isaiah Hartenstein,DraftKings,player_points,6.5,Over,114,129,0.71,52.01,0.7078
9,Obi Toppin,DraftKings,player_rebounds_assists,6.5,Under,105,122,0.741,51.93,0.7386
10,T.J. McConnell,BetOnline.ag,player_threes,0.5,Over,279,338,0.397,50.56,0.3951
11,Shai Gilgeous-Alexander,Bovada,player_points,30.5,Under,190,228,0.518,50.13,0.5152
12,T.J. McConnell,DraftKings,player_threes,0.5,Over,270,338,0.403,49.23,0.4011
13,T.J. McConnell,BetOnline.ag,player_threes,0.5,Over,279,338,0.393,48.89,0.3907
14,Isaiah Hartenstein,BetMGM,player_points,6.5,Over,110,129,0.707,48.55,0.7047
15,Isaiah Joe,BetOnline.ag,player_threes,0.5,Over,115,130,0.686,47.5,0.6833
16,Isaiah Hartenstein,BetOnline.ag,player_points,6.5,Over,110,129,0.702,47.46,0.6995
17,Isaiah Joe,BetOnline.ag,player_threes,0.5,Over,115,130,0.686,47.41,0.6829
18,Alex Caruso,BetMGM,player_rebounds,3.5,Under,120,134,0.669,47.09,0.6658
19,Alex Caruso,DraftKings,player_rebounds,3.5,Under,120,134,0.665,46.35,0.6624
20,Shai Gilgeous-Alexander,Bovada,player_points,31.5,Under,155,182,0.572,45.87,0.5693
21,Andrew Nembhard,DraftKings,player_threes,1.5,Over,154,170,0.573,45.51,0.5701
22,Alex Caruso,BetOnline.ag,player_rebounds,3.5,Under,119,134,0.664,45.39,0.661
23,Andrew Nembhard,BetRivers,player_threes,1.5,Over,155,170,0.569,45.1,0.5663
24,T.J. McConnell,DraftKings,player_threes,0.5,Over,270,338,0.392,45.06,0.3898
25,Andrew Nembhard,DraftKings,player_threes,1.5,Over,154,170,0.569,44.56,0.5663
26,Isaiah Hartenstein,Bovada,player_points_rebounds,13.5,Over,105,112,0.703,44.11,0.7001
27,Andrew Nembhard,FanDuel,player_threes,1.5,Over,152,170,0.57,43.56,0.5668
28,Andrew Nembhard,BetRivers,player_threes,1.5,Over,155,170,0.562,43.43,0.5597
29,Obi Toppin,FanDuel,player_rebounds,5.5,Under,-125,-114,0.794,42.97,0.7917
30,Andrew Nembhard,FanDuel,player_threes,1.5,Over,152,170,0.565,42.41,0.5623
31,Shai Gilgeous-Alexander,Bovada,player_points,32.5,Under,130,135,0.618,42.08,0.6148
32,Isaiah Hartenstein,BetMGM,player_points_rebounds,13.5,Over,100,112,0.709,41.74,0.7058
33,Tyrese Haliburton,Bovada,player_assists,9.5,Over,190,228,0.488,41.52,0.4853
34,Obi Toppin,BetMGM,player_points_rebounds_assists,17.5,Under,-110,-101,0.741,41.4,0.7378
35,Obi Toppin,BetOnline.ag,player_rebounds,5.5,Under,-130,-114,0.797,40.96,0.7941
36,Andrew Nembhard,BetOnline.ag,player_threes,1.5,Over,146,170,0.572,40.67,0.5689
37,Obi Toppin,BetMGM,player_rebounds,5.5,Under,-130,-114,0.794,40.42,0.791
38,Obi Toppin,Bovada,player_rebounds,5.5,Under,-130,-114,0.794,40.4,0.7909
39,Isaiah Hartenstein,BetMGM,player_points_assists,8.5,Over,105,120,0.684,40.3,0.6814
40,Andrew Nembhard,BetOnline.ag,player_threes,1.5,Over,146,170,0.569,40.02,0.5662
41,Shai Gilgeous-Alexander,Bovada,player_points,33.5,Under,110,113,0.665,39.6,0.6617
42,Obi Toppin,DraftKings,player_rebounds,5.5,Under,-130,-114,0.788,39.48,0.7856
43,Isaiah Hartenstein,DraftKings,player_points_assists,8.5,Over,105,120,0.68,39.3,0.6765
44,Obi Toppin,BetRivers,player_rebounds,5.5,Under,-132,-114,0.786,38.14,0.7831
45,Obi Toppin,DraftKings,player_points_rebounds_assists,17.5,Under,-115,-101,0.738,38.04,0.7353
46,Isaiah Hartenstein,BetRivers,player_points,5.5,Over,-134,-117,0.789,37.79,0.7862
47,Shai Gilgeous-Alexander,BetMGM,player_points_rebounds,40.5,Under,-110,106,0.721,37.6,0.7177
48,T.J. McConnell,BetRivers,player_rebounds,2.5,Over,132,138,0.592,37.45,0.5894
49,Aaron Nesmith,Bovada,player_points,13.5,Over,175,208,0.498,37.04,0.4955
50,Shai Gilgeous-Alexander,Bovada,player_points_rebounds,39.5,Under,105,112,0.668,37.02,0.6652
51,Isaiah Hartenstein,FanDuel,player_points,5.5,Over,-138,-117,0.793,36.71,0.7899
52,Andrew Nembhard,Bovada,player_threes,1.5,Over,140,170,0.57,36.7,0.5665
53,Isaiah Hartenstein,FanDuel,player_points_rebounds,13.5,Over,-106,112,0.702,36.38,0.6986
54,Isaiah Hartenstein,BetRivers,player_points_rebounds,12.5,Over,-129,-111,0.768,36.34,0.765
55,Luguentz Dort,DraftKings,player_blocks,0.5,Over,185,217,0.478,36.34,0.4756
56,Shai Gilgeous-Alexander,Bovada,player_points,35.5,Under,-125,-125,0.757,36.24,0.7538
57,Luguentz Dort,BetMGM,player_blocks,0.5,Over,185,217,0.478,36.12,0.4748
58,Obi Toppin,DraftKings,player_points_rebounds,15.5,Under,-105,108,0.696,35.92,0.693
59,Andrew Nembhard,Bovada,player_threes,1.5,Over,140,170,0.566,35.9,0.5631
60,Andrew Nembhard,Bovada,player_points,12.5,Over,170,199,0.503,35.73,0.4998
61,Aaron Nesmith,DraftKings,player_blocks,0.5,Over,114,125,0.634,35.72,0.631
62,Tyrese Haliburton,Bovada,player_rebounds_assists,13.5,Over,110,112,0.646,35.72,0.6431
63,Alex Caruso,BetRivers,player_rebounds,3.5,Under,104,134,0.665,35.69,0.6619
64,Isaiah Hartenstein,BetRivers,player_points_rebounds_assists,15.5,Over,100,107,0.678,35.55,0.6745
65,Alex Caruso,DraftKings,player_rebounds_assists,6.5,Under,-105,111,0.694,35.53,0.691
66,Shai Gilgeous-Alexander,Bovada,player_points,34.5,Under,-110,-105,0.71,35.46,0.7064
67,Andrew Nembhard,BetMGM,player_threes,1.5,Over,140,170,0.563,35.03,0.5595
68,Obi Toppin,BetOnline.ag,player_points_rebounds_assists,17.5,Under,-119,-101,0.732,34.78,0.7292
69,Shai Gilgeous-Alexander,BetOnline.ag,player_points,34.5,Under,-114,-105,0.716,34.43,0.7129
70,Pascal Siakam,BetMGM,player_rebounds,7.5,Under,-130,-115,0.758,34.13,0.755
71,Andrew Nembhard,BetMGM,player_threes,1.5,Over,140,170,0.559,34.11,0.5556
72,Pascal Siakam,Bovada,player_threes,1.5,Over,180,192,0.478,33.83,0.4751
73,Isaiah Hartenstein,BetRivers,player_points_assists,7.5,Over,-130,-120,0.756,33.69,0.7525
74,Andrew Nembhard,Bovada,player_points,11.5,Over,130,147,0.579,33.23,0.576
75,Shai Gilgeous-Alexander,BetMGM,player_points_rebounds_assists,47.5,Under,-115,-111,0.712,33.2,0.7092
76,Obi Toppin,FanDuel,player_points_rebounds,15.5,Under,-108,108,0.691,33.17,0.6881
77,Obi Toppin,Bovada,player_points_rebounds,15.5,Under,-110,108,0.695,32.68,0.6916
78,Pascal Siakam,Bovada,player_threes,1.5,Over,180,192,0.474,32.64,0.4708
79,Pascal Siakam,Bovada,player_rebounds,6.5,Under,125,135,0.589,32.45,0.5854
80,Pascal Siakam,FanDuel,player_threes,1.5,Over,178,192,0.476,32.36,0.4732
81,Pascal Siakam,FanDuel,player_threes,1.5,Over,178,192,0.476,32.25,0.4728
82,Pascal Siakam,Bovada,player_rebounds,7.5,Under,-135,-115,0.76,32.23,0.7564
83,Shai Gilgeous-Alexander,Bovada,player_points,36.5,Under,-150,-130,0.793,32.21,0.7901
84,Isaiah Hartenstein,DraftKings,player_points_rebounds,13.5,Over,-115,112,0.707,32.13,0.7033
85,Shai Gilgeous-Alexander,BetMGM,player_points_assists,41.5,Under,-118,-102,0.715,32.01,0.7112
86,Aaron Wiggins,DraftKings,player_assists,0.5,Over,-110,106,0.691,31.97,0.6879
87,Cason Wallace,DraftKings,player_blocks,0.5,Over,175,208,0.48,31.91,0.4767
88,Obi Toppin,Bovada,player_rebounds,6.5,Under,-210,-182,0.893,31.87,0.8911
89,Shai Gilgeous-Alexander,FanDuel,player_points_rebounds,39.5,Under,-106,112,0.679,31.87,0.6751
90,Obi Toppin,Bovada,player_points_rebounds_assists,17.5,Under,-125,-101,0.732,31.79,0.7288
91,Pascal Siakam,BetOnline.ag,player_rebounds,7.5,Under,-135,-115,0.757,31.75,0.7536
92,Isaiah Hartenstein,FanDuel,player_points_assists,7.5,Over,-138,-120,0.763,31.61,0.7598
93,Cason Wallace,Bovada,player_rebounds_assists,4.5,Over,110,118,0.625,31.34,0.622
94,T.J. McConnell,BetRivers,player_points_rebounds,9.5,Over,100,113,0.657,31.32,0.6531
95,T.J. McConnell,DraftKings,player_rebounds,2.5,Over,120,138,0.597,31.27,0.5933
96,Cason Wallace,DraftKings,player_assists,1.5,Over,-120,-112,0.716,31.19,0.7122
97,Bennedict Mathurin,Bovada,player_points,11.5,Over,165,190,0.494,30.87,0.4908
98,Aaron Nesmith,Bovada,player_points,12.5,Over,135,153,0.557,30.84,0.5535
99,Ben Sheppard,DraftKings,player_threes,0.5,Over,105,117,0.638,30.84,0.6348
100,Isaiah Hartenstein,BetRivers,player_points_rebounds_assists,14.5,Over,-130,-115,0.738,30.63,0.7349
101,Ben Sheppard,BetOnline.ag,player_threes,0.5,Over,103,117,0.643,30.55,0.6397
102,Aaron Nesmith,BetMGM,player_blocks,0.5,Over,105,125,0.636,30.43,0.6328
103,Ben Sheppard,BetOnline.ag,player_threes,0.5,Over,103,117,0.642,30.37,0.6388
104,Ben Sheppard,DraftKings,player_threes,0.5,Over,105,117,0.636,30.36,0.6324
105,T.J. McConnell,FanDuel,player_points_rebounds_assists,12.5,Over,-118,-108,0.705,30.31,0.7019
106,Shai Gilgeous-Alexander,DraftKings,player_points,34.5,Under,-120,-105,0.711,30.29,0.7072
107,Shai Gilgeous-Alexander,FanDuel,player_points,34.5,Under,-122,-105,0.716,30.24,0.7122
108,Isaiah Hartenstein,BetMGM,player_points_rebounds_assists,15.5,Over,-110,107,0.682,30.23,0.6787
