NAME,LINE,SIDE,PREDICTION,MODEL_PROB,IMPLIED_PROB,EDGE,BET_EDGE,ODDS,DECIMAL_ODDS,EV,EV_PERCENT,KELLY_QUARTER,TEAM,OPPONENT
Jabari Smith Jr.,14.5,over,20.02,0.831,0.49,5.52,0.341,100,2.0,0.6615,66.15,0.1654,HOU,LAC
Maxime Raynaud,11.5,under,5.31,0.83,0.49,6.19,0.34,-101,1.99,0.6516,65.16,0.1645,SAC,DEN
Amen Thompson,16.5,over,22.75,0.866,0.51,6.25,0.356,-111,1.901,0.6465,64.65,0.1794,HOU,LAC
Anfernee Simons,11.5,over,16.62,0.829,0.53,5.12,0.299,-118,1.847,0.5307,53.07,0.1566,BOS,MIL
Shaedon Sharpe,22.5,over,28.95,0.828,0.53,6.45,0.298,-121,1.826,0.5127,51.27,0.1551,POR,NOP
Nique Clifford,8.5,under,2.67,0.829,0.54,5.83,0.289,-123,1.813,0.5029,50.29,0.1546,SAC,DEN
Russell Westbrook,17.5,under,10.85,0.792,0.52,6.65,0.272,-115,1.87,0.48,48.0,0.138,SAC,DEN
Paolo Banchero,21.5,under,15.31,0.773,0.51,6.19,0.263,-110,1.909,0.4749,47.49,0.1306,ORL,NYK
Jamal Murray,24.5,over,29.23,0.754,0.5,4.73,0.254,-105,1.952,0.473,47.3,0.1241,DEN,SAC
Kawhi Leonard,22.5,over,27.68,0.809,0.54,5.18,0.269,-122,1.82,0.4723,47.23,0.1441,LAC,HOU
Payton Pritchard,16.5,over,20.87,0.763,0.51,4.37,0.253,-110,1.909,0.4557,45.57,0.1253,BOS,MIL
Stephen Curry,24.5,over,29.99,0.749,0.5,5.49,0.249,-106,1.943,0.4555,45.55,0.1207,GSW,MIN
Josh Minott,5.5,over,9.19,0.816,0.55,3.69,0.266,-129,1.775,0.4491,44.91,0.1449,BOS,MIL
Jaylen Brown,29.5,over,34.59,0.716,0.49,5.09,0.226,100,2.0,0.4319,43.19,0.108,BOS,MIL
Tobias Harris,13.5,over,16.88,0.726,0.51,3.38,0.216,-108,1.926,0.3987,39.87,0.1076,DET,ATL
De'Anthony Melton,8.5,over,11.79,0.787,0.56,3.29,0.227,-137,1.73,0.3616,36.16,0.1238,GSW,MIN
