NAME,LINE,SIDE,PREDICTION,MODEL_PROB,IMPLIED_PROB,EDGE,BET_EDGE,ODDS,DECIMAL_ODDS,EV,EV_PERCENT,KELLY_QUARTER,TEAM,OPPONENT
Jaime Jaquez Jr.,10.5,over,20.78,0.97,0.49,10.28,0.48,100,2.0,0.9396,93.96,0.2349,MIA,ORL
Isaiah Joe,7.5,over,14.38,0.891,0.5,6.88,0.391,-105,1.952,0.7398,73.98,0.1942,OKC,PHX
Kel'el Ware,8.5,over,12.99,0.85,0.49,4.49,0.36,-102,1.98,0.6835,68.35,0.1743,MIA,ORL
Mark Williams,9.5,over,13.29,0.809,0.54,3.79,0.269,-122,1.82,0.472,47.2,0.1439,PHX,OKC
Anthony Black,15.5,under,10.22,0.756,0.51,5.28,0.246,-110,1.909,0.4429,44.29,0.1218,ORL,MIA
Devin Booker,22.5,over,26.48,0.745,0.52,3.98,0.225,-115,1.87,0.3933,39.33,0.1131,PHX,OKC
Dru Smith,4.5,over,6.64,0.716,0.51,2.14,0.206,-110,1.909,0.3674,36.74,0.101,MIA,ORL
Dillon Brooks,18.5,over,22.74,0.788,0.56,4.24,0.228,-137,1.73,0.3631,36.31,0.1244,PHX,OKC
Jalen Suggs,18.5,under,12.2,0.709,0.51,6.3,0.199,-110,1.909,0.3544,35.44,0.0975,ORL,MIA
Tyler Herro,22.5,over,24.51,0.642,0.49,2.01,0.152,100,2.0,0.2833,28.33,0.0708,MIA,ORL
Jalen Brunson,27.5,over,28.93,0.595,0.48,1.43,0.115,105,2.05,0.2193,21.93,0.0522,NYK,TOR
Paolo Banchero,20.5,under,15.75,0.702,0.56,4.75,0.142,-136,1.735,0.218,21.8,0.0741,ORL,MIA
Grayson Allen,15.5,over,17.27,0.646,0.52,1.77,0.126,-115,1.87,0.2079,20.79,0.0598,PHX,OKC
Luguentz Dort,7.5,over,8.18,0.593,0.49,0.68,0.103,-102,1.98,0.175,17.5,0.0446,OKC,PHX
Davion Mitchell,8.5,over,8.84,0.568,0.48,0.34,0.088,105,2.05,0.1649,16.49,0.0393,MIA,ORL
Royce O'Neale,8.5,over,9.51,0.616,0.52,1.01,0.096,-114,1.877,0.1562,15.62,0.0445,PHX,OKC
Alex Caruso,4.5,over,5.13,0.603,0.52,0.63,0.083,-114,1.877,0.1313,13.13,0.0374,OKC,PHX
Sandro Mamukelashvili,9.5,under,6.67,0.602,0.52,2.83,0.082,-115,1.87,0.1249,12.49,0.0359,TOR,NYK
Mikal Bridges,15.5,over,16.03,0.564,0.49,0.53,0.074,-102,1.98,0.1165,11.65,0.0297,NYK,TOR
Brandon Ingram,23.5,under,20.65,0.587,0.52,2.85,0.067,-116,1.862,0.0933,9.33,0.0271,TOR,NYK
Jalen Williams,18.5,over,18.83,0.556,0.5,0.33,0.056,-105,1.952,0.0865,8.65,0.0227,OKC,PHX
Shai Gilgeous-Alexander,30.5,under,27.64,0.565,0.52,2.86,0.045,-112,1.893,0.0699,6.99,0.0196,OKC,PHX
Norman Powell,20.5,over,21.17,0.569,0.52,0.67,0.049,-115,1.87,0.0641,6.41,0.0184,MIA,ORL
Bam Adebayo,17.5,over,17.71,0.546,0.51,0.21,0.036,-110,1.909,0.0417,4.17,0.0115,MIA,ORL
Immanuel Quickley,17.5,over,17.54,0.53,0.5,0.04,0.03,-104,1.962,0.0388,3.88,0.0101,TOR,NYK
Scottie Barnes,20.5,under,19.25,0.485,0.48,1.25,0.005,102,2.02,-0.0206,-2.06,0.0,TOR,NYK
Oso Ighodaro,4.5,under,2.94,0.508,0.53,1.56,-0.022,-118,1.847,-0.0622,-6.22,0.0,PHX,OKC
Cason Wallace,7.5,under,6.92,0.409,0.5,0.58,-0.091,-104,1.962,-0.1968,-19.68,0.0,OKC,PHX
Karl-Anthony Towns,22.5,under,22.19,0.437,0.53,0.31,-0.093,-120,1.833,-0.1986,-19.86,0.0,NYK,TOR
