NAME 1,NAME 2,LINE 1,LINE 2,SIDE 1,SIDE 2,PREDICTION 1,PREDICTION 2,MODEL_PROB 1,MODEL_PROB 2,IMPLIED_PROB 1,IMPLIED_PROB 2,PARLAY_PROB,PARLAY_IMPLIED_PROB,PARLAY_EDGE,EDGE 1,EDGE 2,ODDS 1,ODDS 2,PARLAY_ODDS,PARLAY_DECIMAL,EV,EV_PERCENT,KELLY_QUARTER
Reed Sheppard,Victor Wembanyama,10.5,18.5,over,over,16.25,24.97,0.86,0.87,0.5,0.49,0.749,0.245,0.504,5.75,6.47,-105,100,290,3.9,1.9194,191.94,0.1655
Amen Thompson,Maxime Raynaud,16.5,11.5,over,under,22.75,5.38,0.866,0.825,0.52,0.49,0.715,0.255,0.46,6.25,6.12,-112,-102,275,3.75,1.6801,168.01,0.1527
Jabari Smith Jr.,Robert Williams III,14.5,9.5,over,under,20.02,3.64,0.831,0.836,0.5,0.52,0.695,0.26,0.435,5.52,5.86,-104,-115,267,3.67,1.5499,154.99,0.1451
Shaedon Sharpe,Russell Westbrook,22.5,17.5,over,under,28.95,10.85,0.828,0.792,0.52,0.52,0.656,0.27,0.385,6.45,6.65,-113,-115,252,3.52,1.3078,130.78,0.1297
Jamal Murray,Paolo Banchero,24.5,21.5,over,under,29.23,15.31,0.754,0.773,0.51,0.51,0.583,0.26,0.323,4.73,6.19,-109,-110,266,3.66,1.1333,113.33,0.1065
Alperen Sengun,Derik Queen,21.5,15.5,over,under,25.59,11.18,0.754,0.724,0.51,0.49,0.546,0.25,0.296,4.09,4.32,-109,-102,280,3.8,1.0751,107.51,0.096
Payton Pritchard,Ivica Zubac,16.5,14.5,over,over,20.87,17.43,0.763,0.73,0.52,0.52,0.557,0.27,0.286,4.37,2.93,-115,-114,251,3.51,0.9536,95.36,0.095
Josh Minott,Anthony Black,5.5,15.5,over,under,9.19,10.59,0.816,0.719,0.56,0.53,0.587,0.297,0.29,3.69,4.91,-137,-117,221,3.21,0.883,88.3,0.0999
Jaylen Brown,Jalen Suggs,29.5,17.5,over,under,34.59,12.4,0.716,0.696,0.5,0.51,0.499,0.255,0.244,5.09,5.1,-106,-110,271,3.71,0.85,85.0,0.0784
Derrick White,Jonas Valančiūnas,18.5,8.5,over,over,23.09,10.9,0.719,0.703,0.54,0.52,0.506,0.281,0.225,4.59,2.4,-124,-115,238,3.38,0.7087,70.87,0.0744
Kyle Kuzma,DeMar DeRozan,12.5,21.5,over,under,15.06,16.96,0.704,0.675,0.53,0.5,0.476,0.265,0.211,2.56,4.54,-118,-106,259,3.59,0.7076,70.76,0.0683
Saddiq Bey,Malik Monk,16.5,14.5,under,under,12.11,10.17,0.688,0.679,0.52,0.51,0.467,0.265,0.202,4.39,4.33,-114,-110,258,3.58,0.6724,67.24,0.0652
Sam Hauser,Cameron Johnson,7.5,14.5,over,under,9.4,9.79,0.661,0.696,0.51,0.54,0.46,0.275,0.185,1.9,4.71,-108,-122,250,3.5,0.6107,61.07,0.0611
Kobe Sanders,De'Aaron Fox,4.5,20.5,over,over,6.93,22.51,0.723,0.65,0.56,0.52,0.47,0.291,0.178,2.43,2.01,-137,-112,227,3.27,0.5353,53.53,0.059
Kawhi Leonard,Toumani Camara,22.5,13.5,over,over,24.3,15.27,0.656,0.625,0.52,0.51,0.41,0.265,0.145,1.8,1.77,-112,-109,263,3.63,0.4877,48.77,0.0464
Kris Dunn,Tim Hardaway Jr.,6.5,12.5,over,over,8.21,13.85,0.673,0.61,0.53,0.5,0.41,0.265,0.145,1.71,1.35,-120,-105,258,3.58,0.4689,46.89,0.0454
Nicolas Batum,Chet Holmgren,3.5,16.5,over,under,4.29,13.36,0.63,0.629,0.51,0.52,0.396,0.265,0.131,0.79,3.14,-110,-112,261,3.61,0.4299,42.99,0.0412
Kevin Porter Jr.,Shai Gilgeous-Alexander,21.5,31.5,under,under,18.05,27.3,0.602,0.632,0.53,0.53,0.381,0.281,0.1,3.45,4.2,-118,-118,241,3.41,0.2981,29.81,0.0309
Deni Avdija,Nikola Jokić,26.5,29.5,under,over,23.47,29.88,0.579,0.547,0.51,0.5,0.317,0.255,0.062,3.03,0.38,-111,-105,271,3.71,0.1757,17.57,0.0162
Jalen Brunson,Luguentz Dort,28.5,7.5,over,over,28.67,7.83,0.533,0.574,0.49,0.54,0.306,0.265,0.041,0.17,0.33,-102,-122,260,3.6,0.1011,10.11,0.0097
Ryan Rollins,Jordan Clarkson,18.5,11.5,under,under,16.17,8.88,0.555,0.583,0.52,0.56,0.324,0.291,0.032,2.33,2.62,-114,-137,225,3.25,0.0518,5.18,0.0058
Myles Turner,Desmond Bane,12.5,20.5,under,under,10.25,18.74,0.554,0.514,0.52,0.5,0.285,0.26,0.025,2.25,1.76,-115,-106,263,3.63,0.0336,3.36,0.0032
Keegan Murray,Jalen Williams,16.5,19.5,over,under,16.69,17.85,0.542,0.51,0.53,0.52,0.277,0.276,0.001,0.19,1.65,-120,-114,244,3.44,-0.0486,-4.86,0.0
