NAME 1,NAME 2,LINE 1,LINE 2,SIDE 1,SIDE 2,PREDICTION 1,PREDICTION 2,MODEL_PROB 1,MODEL_PROB 2,IMPLIED_PROB 1,IMPLIED_PROB 2,PARLAY_PROB,PARLAY_IMPLIED_PROB,PARLAY_EDGE,EDGE 1,EDGE 2,ODDS 1,ODDS 2,PARLAY_ODDS,PARLAY_DECIMAL,EV,EV_PERCENT,KELLY_QUARTER
Jaime Jaquez Jr.,Isaiah Joe,10.5,7.5,over,over,20.78,14.38,0.97,0.891,0.49,0.5,0.864,0.245,0.619,10.28,6.88,100,-105,290,3.9,2.3704,237.04,0.2043
Kel'el Ware,Mark Williams,8.5,9.5,over,over,12.99,13.29,0.85,0.809,0.49,0.54,0.688,0.265,0.423,4.49,3.79,-102,-122,260,3.6,1.4756,147.56,0.1419
Anthony Black,Devin Booker,15.5,22.5,under,over,10.22,26.48,0.756,0.745,0.51,0.52,0.563,0.265,0.298,5.28,3.98,-110,-115,257,3.57,1.0109,101.09,0.0983
Dru Smith,Dillon Brooks,4.5,18.5,over,over,6.64,22.74,0.716,0.788,0.51,0.56,0.564,0.286,0.279,2.14,4.24,-110,-137,230,3.3,0.8624,86.24,0.0937
Jalen Suggs,Jalen Brunson,18.5,27.5,under,over,12.2,28.93,0.709,0.595,0.51,0.48,0.422,0.245,0.177,6.3,1.43,-110,105,291,3.91,0.6499,64.99,0.0558
Tyler Herro,Grayson Allen,22.5,15.5,over,over,24.51,17.27,0.642,0.646,0.49,0.52,0.415,0.255,0.16,2.01,1.77,100,-115,274,3.74,0.5504,55.04,0.0502
Paolo Banchero,Luguentz Dort,20.5,7.5,under,over,15.75,8.18,0.702,0.593,0.56,0.49,0.416,0.274,0.142,4.75,0.68,-136,-102,244,3.44,0.4326,43.26,0.0443
Davion Mitchell,Royce O'Neale,8.5,8.5,over,over,8.84,9.51,0.568,0.616,0.48,0.52,0.35,0.25,0.1,0.34,1.01,105,-114,285,3.85,0.3474,34.74,0.0305
Sandro Mamukelashvili,Alex Caruso,9.5,4.5,under,over,6.67,5.13,0.602,0.603,0.52,0.52,0.363,0.27,0.092,2.83,0.63,-115,-114,251,3.51,0.2727,27.27,0.0272
Mikal Bridges,Jalen Williams,15.5,18.5,over,over,16.03,18.83,0.564,0.556,0.49,0.5,0.314,0.245,0.069,0.53,0.33,-102,-105,287,3.87,0.2142,21.42,0.0187
Brandon Ingram,Shai Gilgeous-Alexander,23.5,30.5,under,under,20.65,27.64,0.587,0.565,0.52,0.52,0.332,0.27,0.061,2.85,2.86,-116,-112,252,3.52,0.1682,16.82,0.0167
Norman Powell,Immanuel Quickley,20.5,17.5,over,over,21.17,17.54,0.569,0.53,0.52,0.5,0.301,0.26,0.041,0.67,0.04,-115,-104,267,3.67,0.1063,10.63,0.0099
Bam Adebayo,Scottie Barnes,17.5,20.5,over,under,17.71,19.25,0.546,0.485,0.51,0.48,0.265,0.245,0.02,0.21,1.25,-110,102,286,3.86,0.0212,2.12,0.0018
Karl-Anthony Towns,Oso Ighodaro,22.5,4.5,under,under,22.19,2.94,0.437,0.508,0.53,0.53,0.222,0.281,-0.059,0.31,1.56,-120,-118,239,3.39,-0.2478,-24.78,0.0
