NAME 1,NAME 2,LINE 1,LINE 2,SIDE 1,SIDE 2,PREDICTION 1,PREDICTION 2,MODEL_PROB 1,MODEL_PROB 2,IMPLIED_PROB 1,IMPLIED_PROB 2,PARLAY_PROB,PARLAY_IMPLIED_PROB,PARLAY_EDGE,EDGE 1,EDGE 2,ODDS 1,ODDS 2,PARLAY_ODDS,PARLAY_DECIMAL,EV,EV_PERCENT,KELLY_QUARTER
Jared McCain,Desmond Bane,13.5,20.5,under,under,1.84,7.22,0.976,0.976,0.5,0.51,0.953,0.255,0.698,11.66,13.28,-105,-110,273,3.73,2.553,255.3,0.2338
Jalen Johnson,Ajay Mitchell,24.5,9.5,under,over,12.23,14.25,0.935,0.908,0.53,0.51,0.849,0.27,0.579,12.27,4.75,-118,-111,251,3.51,1.9802,198.02,0.1972
De'Anthony Melton,Shai Gilgeous-Alexander,8.0,31.5,over,under,15.95,21.12,0.981,0.934,0.56,0.53,0.916,0.297,0.619,7.95,10.38,-137,-121,216,3.16,1.8952,189.52,0.2194
Ja Morant,Michael Porter Jr.,19.5,23.5,over,under,24.39,15.54,0.879,0.816,0.51,0.48,0.717,0.245,0.472,4.89,7.96,-108,105,295,3.95,1.8328,183.28,0.1553
Joel Embiid,Stephon Castle,23.5,15.0,under,over,16.63,21.88,0.866,0.946,0.51,0.56,0.819,0.286,0.534,6.87,6.88,-110,-137,230,3.3,1.704,170.4,0.1852
Isaac Okoro,Kentavious Caldwell-Pope,5.5,7.5,over,over,9.03,10.79,0.871,0.831,0.52,0.5,0.724,0.26,0.464,3.53,3.29,-115,-105,265,3.65,1.6416,164.16,0.1549
Liam McNeeley,Rudy Gobert,6.5,11.5,under,over,1.37,14.82,0.889,0.82,0.54,0.5,0.729,0.27,0.459,5.13,3.32,-125,-105,251,3.51,1.5593,155.93,0.1553
Brandon Miller,Andrew Nembhard,22.0,15.5,under,over,13.66,19.25,0.915,0.828,0.56,0.52,0.758,0.291,0.466,8.34,3.75,-137,-113,226,3.26,1.4696,146.96,0.1626
Caris LeVert,Pascal Siakam,8.5,23.5,under,under,3.78,17.8,0.773,0.794,0.49,0.5,0.614,0.245,0.369,4.72,5.7,100,-105,290,3.9,1.3929,139.29,0.1201
Miles Bridges,Justin Champagnie,22.5,9.5,under,over,16.75,11.68,0.805,0.772,0.52,0.49,0.622,0.255,0.367,5.75,2.18,-112,100,279,3.79,1.3556,135.56,0.1215
Nickeil Alexander-Walker,Dylan Harper,20.5,9.5,under,over,13.64,13.88,0.826,0.881,0.53,0.56,0.728,0.297,0.431,6.86,4.38,-118,-137,220,3.2,1.3296,132.96,0.1511
Drake Powell,Jordan Clarkson,5.5,10.5,over,over,8.12,13.33,0.8,0.775,0.52,0.5,0.62,0.26,0.36,2.62,2.83,-113,-104,270,3.7,1.2948,129.48,0.1199
Naz Reid,Karl-Anthony Towns,15.5,21.5,under,under,10.84,15.12,0.715,0.793,0.46,0.52,0.568,0.239,0.328,4.66,6.38,110,-112,298,3.98,1.2594,125.94,0.1057
CJ McCollum,Harrison Barnes,20.5,10.5,under,under,14.9,5.18,0.768,0.773,0.5,0.5,0.593,0.25,0.343,5.6,5.32,-105,-106,279,3.79,1.249,124.9,0.1119
Kyshawn George,Noah Clowney,15.5,13.5,over,over,18.97,16.76,0.802,0.78,0.52,0.51,0.625,0.265,0.36,3.47,3.26,-115,-109,258,3.58,1.2385,123.85,0.12
Donovan Mitchell,Mikal Bridges,29.5,14.5,under,under,23.97,9.0,0.758,0.776,0.5,0.51,0.588,0.255,0.333,5.53,5.5,-104,-108,278,3.78,1.2226,122.26,0.1099
Lauri Markkanen,Anthony Black,25.5,15.0,under,under,19.95,7.42,0.774,0.862,0.51,0.56,0.667,0.286,0.381,5.55,7.58,-110,-137,230,3.3,1.2002,120.02,0.1305
Bub Carrington,Santi Aldama,9.5,13.5,under,over,5.1,16.99,0.733,0.805,0.49,0.53,0.59,0.26,0.33,4.4,3.49,100,-120,267,3.67,1.165,116.5,0.1091
Tristan Vukcevic,Max Christie,11.5,8.5,over,over,14.97,11.04,0.814,0.773,0.54,0.53,0.629,0.286,0.343,3.47,2.54,-125,-117,234,3.34,1.1024,110.24,0.1178
Onyeka Okongwu,Quentin Grimes,17.0,17.5,under,under,10.1,12.68,0.822,0.69,0.56,0.48,0.568,0.269,0.299,6.9,4.82,-137,105,255,3.55,1.0151,101.51,0.0995
Darius Garland,Klay Thompson,17.5,10.5,under,over,13.51,12.24,0.692,0.716,0.48,0.5,0.495,0.24,0.255,3.99,1.74,102,-105,294,3.94,0.9518,95.18,0.0809
Brandon Williams,Donte DiVincenzo,10.0,14.5,over,under,13.14,10.64,0.801,0.676,0.56,0.48,0.541,0.269,0.272,3.14,3.86,-137,104,253,3.53,0.9103,91.03,0.09
Jusuf Nurkić,Jaden McDaniels,10.0,16.5,over,over,12.77,18.98,0.795,0.701,0.56,0.5,0.557,0.28,0.277,2.77,2.48,-137,-105,238,3.38,0.8828,88.28,0.0927
Paul George,Day'Ron Sharpe,17.0,6.5,under,over,11.83,7.16,0.786,0.658,0.56,0.48,0.517,0.269,0.248,5.17,0.66,-137,105,255,3.55,0.8357,83.57,0.0819
Dominick Barlow,Jalen Suggs,7.5,17.0,over,under,10.19,11.28,0.772,0.778,0.56,0.56,0.6,0.314,0.287,2.69,5.72,-137,-137,199,2.99,0.7947,79.47,0.0998
Ausar Thompson,Stephen Curry,11.5,24.5,over,under,12.94,20.44,0.672,0.667,0.5,0.49,0.448,0.245,0.203,1.44,4.06,-103,100,294,3.94,0.7662,76.62,0.0651
Ziaire Williams,Buddy Hield,8.0,7.5,over,under,10.54,4.31,0.763,0.654,0.56,0.48,0.499,0.269,0.23,2.54,3.19,-137,104,253,3.53,0.7605,76.05,0.0751
Jay Huff,Paolo Banchero,9.5,21.5,under,under,5.57,17.24,0.687,0.689,0.51,0.51,0.474,0.26,0.213,3.93,4.26,-110,-110,264,3.64,0.7238,72.38,0.0685
Luke Kennard,Danny Wolf,7.0,7.5,over,under,9.4,4.46,0.747,0.681,0.56,0.52,0.509,0.291,0.218,2.4,3.04,-137,-112,227,3.27,0.6646,66.46,0.0732
Sion James,Jalen Brunson,6.5,28.5,under,under,3.29,24.3,0.682,0.675,0.52,0.52,0.46,0.27,0.19,3.21,4.2,-115,-114,251,3.51,0.616,61.6,0.0614
Tobias Harris,Josh Hart,13.5,13.5,over,under,14.69,9.3,0.642,0.7,0.5,0.54,0.449,0.27,0.179,1.19,4.2,-105,-124,253,3.53,0.5864,58.64,0.0579
Nic Claxton,OG Anunoby,13.5,14.5,over,under,14.65,11.21,0.635,0.629,0.5,0.49,0.4,0.245,0.155,1.15,3.29,-103,100,294,3.94,0.5747,57.47,0.0489
Zaccharie Risacher,Terrence Shannon Jr.,10.0,7.5,over,over,12.29,8.83,0.722,0.666,0.56,0.52,0.481,0.291,0.189,2.29,1.33,-137,-114,225,3.25,0.562,56.2,0.0624
Ace Bailey,Ryan Nembhard,12.5,9.5,over,under,14.26,6.05,0.664,0.674,0.52,0.53,0.448,0.276,0.172,1.76,3.45,-115,-120,243,3.43,0.5365,53.65,0.0552
Isaiah Stewart,Jaylon Tyson,7.5,13.0,over,under,8.11,8.72,0.609,0.708,0.48,0.56,0.431,0.269,0.162,0.61,4.28,102,-137,249,3.49,0.5032,50.32,0.0505
Ryan Kalkbrenner,Will Richard,8.5,6.0,under,over,5.63,7.74,0.638,0.702,0.51,0.56,0.448,0.286,0.162,2.87,1.74,-110,-137,230,3.3,0.4787,47.87,0.052
Duncan Robinson,Bennedict Mathurin,11.0,20.5,under,over,6.66,21.53,0.702,0.619,0.56,0.5,0.435,0.28,0.155,4.34,1.03,-137,-105,238,3.38,0.4689,46.89,0.0493
Vít Krejčí,Jalen Williams,9.0,19.5,under,over,4.81,20.57,0.698,0.627,0.56,0.51,0.437,0.286,0.152,4.19,1.07,-137,-108,233,3.33,0.4563,45.63,0.049
Josh Giddey,Andre Drummond,20.5,5.5,under,over,16.86,6.4,0.655,0.643,0.53,0.52,0.421,0.276,0.146,3.64,0.9,-119,-115,244,3.44,0.4492,44.92,0.046
Tre Johnson,Jaren Jackson Jr.,10.0,18.5,over,over,11.7,19.77,0.68,0.641,0.56,0.52,0.436,0.291,0.145,1.7,1.27,-137,-115,223,3.23,0.4086,40.86,0.0458
Nikola Vučević,Julian Champagnie,16.0,7.5,under,over,12.05,7.96,0.67,0.589,0.56,0.5,0.395,0.28,0.115,3.95,0.46,-137,-104,239,3.39,0.3389,33.89,0.0355
Evan Mobley,Jarace Walker,20.5,6.5,under,under,17.65,4.41,0.604,0.561,0.52,0.49,0.339,0.255,0.084,2.85,2.09,-114,100,275,3.75,0.2715,27.15,0.0247
Terance Mann,Cason Wallace,7.5,7.5,under,under,5.12,5.02,0.58,0.588,0.51,0.52,0.341,0.265,0.076,2.38,2.48,-109,-112,263,3.63,0.2372,23.72,0.0226
Cade Cunningham,Keyonte George,26.5,21.5,under,over,23.69,21.99,0.582,0.576,0.51,0.51,0.336,0.26,0.075,2.81,0.49,-111,-108,266,3.66,0.228,22.8,0.0214
Kyle Filipowski,Naji Marshall,10.5,11.5,over,under,10.86,9.07,0.582,0.602,0.52,0.53,0.351,0.276,0.075,0.36,2.43,-113,-120,246,3.46,0.213,21.3,0.0216
Marvin Bagley III,Jaylen Clark,11.5,6.5,under,over,9.16,6.51,0.589,0.555,0.53,0.5,0.327,0.265,0.062,2.34,0.01,-120,-106,256,3.56,0.1637,16.37,0.016
