NAME 1,NAME 2,LINE 1,LINE 2,SIDE 1,SIDE 2,PREDICTION 1,PREDICTION 2,MODEL_PROB 1,MODEL_PROB 2,IMPLIED_PROB 1,IMPLIED_PROB 2,PARLAY_PROB,PARLAY_IMPLIED_PROB,PARLAY_EDGE,EDGE 1,EDGE 2,ODDS 1,ODDS 2,PARLAY_ODDS,PARLAY_DECIMAL,EV,EV_PERCENT,KELLY_QUARTER
Jordan Poole,Justin Champagnie,12.5,9.5,over,under,20.83,1.64,0.926,0.954,0.52,0.53,0.883,0.276,0.608,8.33,7.86,-116,-118,244,3.44,2.0391,203.91,0.2089
Anfernee Simons,Amen Thompson,11.5,16.5,over,over,16.62,22.75,0.829,0.866,0.5,0.51,0.718,0.255,0.463,5.12,6.25,-103,-111,275,3.75,1.6912,169.12,0.1537
Reed Sheppard,Maxime Raynaud,10.5,11.5,over,under,16.25,5.31,0.86,0.83,0.52,0.5,0.714,0.26,0.454,5.75,6.19,-115,-106,263,3.63,1.5906,159.06,0.1512
Josh Minott,Nique Clifford,6.5,8.5,over,under,9.19,2.67,0.739,0.829,0.48,0.54,0.612,0.259,0.353,2.69,5.83,104,-123,270,3.7,1.2657,126.57,0.1172
Jabari Smith Jr.,Russell Westbrook,14.0,17.5,over,under,20.02,10.85,0.854,0.792,0.56,0.52,0.676,0.291,0.385,6.02,6.65,-137,-115,223,3.23,1.1835,118.35,0.1327
Shaedon Sharpe,Paolo Banchero,23.5,21.5,over,under,28.95,15.31,0.787,0.773,0.52,0.51,0.608,0.265,0.342,5.45,6.19,-115,-110,257,3.57,1.1693,116.93,0.1137
Jamal Murray,Moses Moody,24.5,8.5,over,over,29.23,11.95,0.754,0.781,0.5,0.52,0.589,0.26,0.329,4.73,3.45,-106,-114,265,3.65,1.1493,114.93,0.1084
Steven Adams,Stephen Curry,5.5,24.5,over,over,7.7,29.99,0.753,0.749,0.5,0.5,0.564,0.25,0.314,2.2,5.49,-106,-106,278,3.78,1.131,113.1,0.1017
Payton Pritchard,Devin Vassell,16.5,11.5,over,over,20.87,16.36,0.763,0.81,0.51,0.55,0.618,0.281,0.337,4.37,4.86,-110,-127,241,3.41,1.1071,110.71,0.1148
James Harden,Brandon Miller,22.5,21.5,over,under,26.5,14.74,0.742,0.786,0.5,0.53,0.583,0.265,0.318,4.0,6.76,-106,-120,256,3.56,1.0762,107.62,0.1051
Jaylen Brown,Duop Reath,29.5,8.5,over,under,34.59,3.91,0.716,0.733,0.49,0.51,0.525,0.25,0.275,5.09,4.59,-102,-108,281,3.81,1.0007,100.07,0.089
Tobias Harris,Donovan Mitchell,13.5,30.5,over,over,16.88,35.14,0.726,0.718,0.51,0.5,0.521,0.255,0.266,3.38,4.64,-108,-104,278,3.78,0.9711,97.11,0.0873
Alperen Sengun,Lonzo Ball,20.5,6.5,over,over,25.59,9.53,0.804,0.744,0.57,0.53,0.598,0.302,0.296,5.09,3.03,-141,-118,216,3.16,0.8906,89.06,0.1031
Jericho Sims,Zaccharie Risacher,3.5,10.5,under,over,1.19,12.56,0.685,0.684,0.49,0.49,0.469,0.24,0.228,2.31,2.06,100,100,300,4.0,0.8742,87.42,0.0728
De'Anthony Melton,Harrison Barnes,8.5,10.5,over,over,11.79,12.99,0.787,0.707,0.56,0.51,0.556,0.286,0.271,3.29,2.49,-137,-108,233,3.33,0.8529,85.29,0.0915
Derrick White,Jonas Valančiūnas,18.5,8.5,over,over,23.09,10.9,0.719,0.703,0.52,0.51,0.506,0.265,0.24,4.59,2.4,-113,-110,260,3.6,0.82,82.0,0.0788
Kevin Durant,Jalen Suggs,25.5,17.5,over,under,27.76,12.4,0.656,0.696,0.49,0.51,0.457,0.25,0.207,2.26,5.1,100,-110,282,3.82,0.7465,74.65,0.0662
Derik Queen,Bennedict Mathurin,16.0,21.5,under,under,11.18,16.68,0.755,0.674,0.56,0.5,0.509,0.28,0.229,4.82,4.82,-137,-106,236,3.36,0.7094,70.94,0.0751
Saddiq Bey,Jimmy Butler III,16.5,18.5,under,under,12.11,14.28,0.688,0.678,0.52,0.51,0.467,0.265,0.201,4.39,4.22,-115,-110,257,3.57,0.6656,66.56,0.0647
Ivica Zubac,Buddy Hield,14.5,8.5,over,under,16.6,4.5,0.683,0.692,0.52,0.53,0.473,0.276,0.197,2.1,4.0,-115,-117,247,3.47,0.6401,64.01,0.0648
Sam Hauser,Dean Wade,7.5,5.5,over,over,9.4,7.38,0.661,0.697,0.51,0.54,0.461,0.275,0.186,1.9,1.88,-110,-122,247,3.47,0.5997,59.97,0.0607
Josh Hart,De'Aaron Fox,13.5,20.5,under,over,8.99,22.51,0.7,0.65,0.55,0.51,0.455,0.281,0.174,4.51,2.01,-127,-108,244,3.44,0.5641,56.41,0.0578
Kawhi Leonard,Jaden McDaniels,22.5,13.5,over,over,24.59,15.08,0.688,0.641,0.54,0.5,0.441,0.27,0.171,2.09,1.58,-124,-107,249,3.49,0.5399,53.99,0.0542
Jalen Duren,CJ McCollum,18.5,20.5,under,under,14.65,16.41,0.653,0.643,0.52,0.51,0.42,0.265,0.155,3.85,4.09,-112,-108,265,3.65,0.532,53.2,0.0502
Jalen Johnson,Tre Johnson,23.5,11.5,under,over,19.46,13.24,0.629,0.641,0.5,0.52,0.403,0.26,0.143,4.04,1.74,-106,-112,268,3.68,0.4838,48.38,0.0451
