NAME,LINE,SIDE,PREDICTION,MODEL_PROB,IMPLIED_PROB,EDGE,BET_EDGE,ODDS,DECIMAL_ODDS,EV,EV_PERCENT,KELLY_QUARTER,TEAM,OPPONENT
Desmond Bane,20.5,under,7.22,0.976,0.51,13.28,0.466,-110,1.909,0.8624,86.24,0.2372,ORL,NYK
Stephon Castle,14.5,over,21.88,0.959,0.53,7.38,0.429,-121,1.826,0.7516,75.16,0.2274,SAS,OKC
Dwight Powell,3.5,over,6.77,0.894,0.5,3.27,0.394,-105,1.952,0.7462,74.62,0.1959,DAL,BKN
Jalen Johnson,24.5,under,12.23,0.935,0.53,12.27,0.405,-118,1.847,0.7271,72.71,0.2145,ATL,DET
Ajay Mitchell,9.5,over,14.25,0.908,0.51,4.75,0.398,-111,1.901,0.7265,72.65,0.2016,OKC,SAS
Shai Gilgeous-Alexander,31.5,under,21.12,0.934,0.53,10.38,0.404,-121,1.826,0.7062,70.62,0.2136,OKC,SAS
Ja Morant,19.5,over,24.39,0.879,0.51,4.89,0.369,-108,1.926,0.6923,69.23,0.1869,MEM,UTA
Kentavious Caldwell-Pope,7.5,over,10.79,0.831,0.5,3.29,0.331,-105,1.952,0.623,62.3,0.1635,MEM,UTA
Onyeka Okongwu,17.5,under,10.1,0.84,0.51,7.4,0.33,-110,1.909,0.6034,60.34,0.1659,ATL,DET
Rudy Gobert,11.5,over,14.82,0.82,0.5,3.32,0.32,-105,1.952,0.6005,60.05,0.1576,MIN,GSW
Mouhamed Gueye,3.5,over,6.4,0.832,0.52,2.9,0.312,-115,1.87,0.5563,55.63,0.1599,ATL,DET
Isaac Okoro,6.5,over,9.03,0.785,0.49,2.53,0.295,-102,1.98,0.5555,55.55,0.1417,CHI,CHA
Justin Champagnie,9.5,over,11.68,0.772,0.49,2.18,0.282,100,2.0,0.5437,54.37,0.1359,WAS,CLE
Miles Bridges,22.5,under,16.75,0.805,0.52,5.75,0.285,-112,1.893,0.5242,52.42,0.1468,CHA,CHI
Jordan Clarkson,10.5,over,13.33,0.775,0.5,2.83,0.275,-104,1.962,0.5211,52.11,0.1355,NYK,ORL
Naz Reid,15.5,under,10.84,0.715,0.46,4.66,0.255,110,2.1,0.5025,50.25,0.1142,MIN,GSW
Harrison Barnes,10.5,under,5.18,0.773,0.5,5.32,0.273,-106,1.943,0.502,50.2,0.133,SAS,OKC
Karl-Anthony Towns,21.5,under,15.12,0.793,0.52,6.38,0.273,-112,1.893,0.5019,50.19,0.1405,NYK,ORL
Jalen Suggs,17.5,under,11.28,0.8,0.52,6.22,0.28,-114,1.877,0.5015,50.15,0.1429,ORL,NYK
CJ McCollum,20.5,under,14.9,0.768,0.5,5.6,0.268,-105,1.952,0.4991,49.91,0.131,WAS,CLE
Kyshawn George,15.5,over,18.97,0.802,0.52,3.47,0.282,-115,1.87,0.4986,49.86,0.1433,WAS,CLE
Mikal Bridges,14.5,under,9.0,0.776,0.51,5.5,0.266,-108,1.926,0.4939,49.39,0.1333,NYK,ORL
Paul George,17.5,under,11.83,0.812,0.53,5.67,0.282,-120,1.833,0.489,48.9,0.1467,PHI,IND
Lauri Markkanen,25.5,under,19.95,0.774,0.51,5.55,0.264,-110,1.909,0.4768,47.68,0.1311,UTA,MEM
Santi Aldama,13.5,over,16.99,0.805,0.53,3.49,0.275,-120,1.833,0.4762,47.62,0.1428,MEM,UTA
Jaden Ivey,7.5,over,10.43,0.785,0.52,2.93,0.265,-114,1.877,0.4739,47.39,0.1351,DET,ATL
Tristan Vukcevic,11.5,over,14.97,0.814,0.54,3.47,0.274,-125,1.8,0.4654,46.54,0.1454,WAS,CLE
Bub Carrington,9.5,under,5.1,0.733,0.49,4.4,0.243,100,2.0,0.4653,46.53,0.1163,WAS,CLE
Zaccharie Risacher,9.5,over,12.29,0.761,0.51,2.79,0.251,-110,1.909,0.4535,45.35,0.1247,ATL,DET
Donte DiVincenzo,14.5,under,10.64,0.676,0.48,3.86,0.196,104,2.04,0.3787,37.87,0.091,MIN,GSW
Jaden McDaniels,16.5,over,18.98,0.701,0.5,2.48,0.201,-105,1.952,0.368,36.8,0.0966,MIN,GSW
Jaylon Tyson,13.5,under,8.72,0.736,0.53,4.78,0.206,-120,1.833,0.3498,34.98,0.1049,CLE,WAS
Dominick Barlow,7.5,over,10.19,0.772,0.56,2.69,0.212,-137,1.73,0.3355,33.55,0.1149,PHI,IND
Stephen Curry,24.5,under,20.44,0.667,0.49,4.06,0.177,100,2.0,0.3337,33.37,0.0834,GSW,MIN
Buddy Hield,7.5,under,4.31,0.654,0.48,3.19,0.174,104,2.04,0.3332,33.32,0.0801,GSW,MIN
Will Richard,6.5,over,7.74,0.654,0.48,1.24,0.174,102,2.02,0.322,32.2,0.0789,GSW,MIN
Danny Wolf,7.5,under,4.46,0.681,0.52,3.04,0.161,-112,1.893,0.2899,28.99,0.0812,BKN,DAL
Jalen Brunson,28.5,under,24.3,0.675,0.52,4.2,0.155,-114,1.877,0.2672,26.72,0.0762,NYK,ORL
OG Anunoby,14.5,under,11.21,0.629,0.49,3.29,0.139,100,2.0,0.259,25.9,0.0647,NYK,ORL
Tobias Harris,13.5,over,14.69,0.642,0.5,1.19,0.142,-105,1.952,0.2531,25.31,0.0664,DET,ATL
Nic Claxton,13.5,over,14.65,0.635,0.5,1.15,0.135,-103,1.971,0.2513,25.13,0.0647,BKN,DAL
Ryan Kalkbrenner,8.5,under,5.63,0.638,0.51,2.87,0.128,-110,1.909,0.2187,21.87,0.0602,CHA,CHI
Bennedict Mathurin,20.5,over,21.53,0.619,0.5,1.03,0.119,-105,1.952,0.2091,20.91,0.0549,IND,PHI
Jalen Williams,19.5,over,20.57,0.627,0.51,1.07,0.117,-108,1.926,0.2069,20.69,0.0559,OKC,SAS
Josh Giddey,20.5,under,16.86,0.655,0.53,3.64,0.125,-119,1.84,0.2055,20.55,0.0611,CHI,CHA
Andre Drummond,5.5,over,6.4,0.643,0.52,0.9,0.123,-115,1.87,0.2023,20.23,0.0582,PHI,IND
Jaren Jackson Jr.,19.5,over,19.77,0.561,0.46,0.27,0.101,110,2.1,0.1781,17.81,0.0405,MEM,UTA
Ethan Thompson,6.5,over,7.87,0.679,0.56,1.37,0.119,-137,1.73,0.175,17.5,0.0599,IND,PHI
Matas Buzelis,13.5,under,11.29,0.562,0.48,2.21,0.082,105,2.05,0.1513,15.13,0.036,CHI,CHA
Jarace Walker,6.5,under,4.41,0.561,0.49,2.09,0.071,100,2.0,0.123,12.3,0.0307,IND,PHI
Cason Wallace,7.5,under,5.02,0.588,0.52,2.48,0.068,-112,1.893,0.1122,11.22,0.0314,OKC,SAS
Terance Mann,7.5,under,5.12,0.58,0.51,2.38,0.07,-109,1.917,0.1122,11.22,0.0306,BKN,DAL
Keyonte George,21.5,over,21.99,0.576,0.51,0.49,0.066,-108,1.926,0.1102,11.02,0.0297,UTA,MEM
Cade Cunningham,26.5,under,23.69,0.582,0.51,2.81,0.072,-111,1.901,0.1064,10.64,0.0295,DET,ATL
Kyle Filipowski,10.5,over,10.86,0.582,0.52,0.36,0.062,-113,1.885,0.0972,9.72,0.0274,UTA,MEM
Marvin Bagley III,11.5,under,9.16,0.589,0.53,2.34,0.059,-120,1.833,0.079,7.9,0.0237,WAS,CLE
Cam Spencer,10.5,over,10.56,0.55,0.5,0.06,0.05,-105,1.952,0.0747,7.47,0.0196,MEM,UTA
Devin Vassell,11.5,under,9.67,0.527,0.49,1.83,0.037,100,2.0,0.0534,5.34,0.0134,SAS,OKC
Kon Knueppel,18.5,under,16.3,0.556,0.52,2.2,0.036,-113,1.885,0.0483,4.83,0.0137,CHA,CHI
De'Andre Hunter,15.5,over,15.54,0.541,0.52,0.04,0.021,-115,1.87,0.0114,1.14,0.0033,CLE,WAS
Julius Randle,24.5,under,22.72,0.52,0.53,1.78,-0.01,-120,1.833,-0.0467,-4.67,0.0,MIN,GSW
T.J. McConnell,8.5,under,7.08,0.493,0.51,1.42,-0.017,-110,1.909,-0.0581,-5.81,0.0,IND,PHI
VJ Edgecombe,14.5,under,13.54,0.458,0.49,0.96,-0.032,100,2.0,-0.0843,-8.43,0.0,PHI,IND
Anthony Davis,22.5,under,21.63,0.461,0.51,0.87,-0.049,-110,1.909,-0.1208,-12.08,0.0,DAL,BKN
P.J. Washington,15.5,under,14.68,0.436,0.5,0.82,-0.064,-106,1.943,-0.1534,-15.34,0.0,DAL,BKN
Jock Landale,11.5,under,10.98,0.417,0.49,0.52,-0.073,101,2.01,-0.1609,-16.09,0.0,MEM,UTA
Moses Moody,8.5,under,7.77,0.424,0.5,0.73,-0.076,-105,1.952,-0.1713,-17.13,0.0,GSW,MIN
De'Aaron Fox,20.5,under,19.92,0.426,0.5,0.58,-0.074,-106,1.943,-0.1713,-17.13,0.0,SAS,OKC
Goga Bitadze,5.5,under,4.76,0.404,0.5,0.74,-0.096,-106,1.943,-0.2158,-21.58,0.0,ORL,NYK
Svi Mykhailiuk,7.5,under,7.14,0.384,0.49,0.36,-0.106,100,2.0,-0.2317,-23.17,0.0,UTA,MEM
Jaylen Wells,12.5,under,11.99,0.396,0.51,0.51,-0.114,-109,1.917,-0.2414,-24.14,0.0,MEM,UTA
Cedric Coward,14.5,under,14.5,0.376,0.49,0.0,-0.114,-102,1.98,-0.2554,-25.54,0.0,MEM,UTA
Keldon Johnson,9.5,under,8.8,0.428,0.56,0.7,-0.132,-137,1.73,-0.2591,-25.91,0.0,SAS,OKC
