,PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ABBREVIATION,TEAM_ID,OPP_ABBREVIATION,HOME_GAME,GAME_ID,GAME_DATE,WL,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PLUS_MINUS,FANTASY_PTS,POINT_PER_SHOT,EFG,START_POSITION,COMMENT,OFF_RATING,E_OFF_RATING,DEF_RATING,E_DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,EFG_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,POSS,PACE_PER40,E_USG_PCT,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,TEAM_PACE,GAME_PACE,OPP_PACE,OPP_DEF_RATING,MIN,SPD,DIST,ORBC,DRBC,RBC,TCHS,SAST,FTAST,PASS,CFGM,CFGA,CFG_PCT,UFGM,UFGA,UFG_PCT,DFGM,DFGA,DFG_PCT,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLKA,PF,PFD,PCT_FGM,PCT_FGA,PCT_FG3M,PCT_FG3A,PCT_FTM,PCT_FTA,PCT_OREB,PCT_DREB,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_BLKA,PCT_PF,PCT_PFD,PCT_PTS
10,Monté Morris,1628420,DEN vs. POR,DEN,1610612743,POR,1,0042000161,2021-05-22,L,10,5,2,5,10,0.5,0,1,0.0,0,0,,0,2,0,0,1,-7,18.9,1.0,0.5,,,118.2,115.9,134.1,134.6,-15.9,0.0,0.091,0.05,0.278,0.5,5.0,0.229,0.5,96.86,96.07,0.067,44,80.06,0.24,240,47,93,0.505,11,36,0.306,4,8,0.5,11,37,48,22,3,7,8,18,109,93.52,94.44,95.36,116.55260906757914,21:59,4.1,1.6,1,3,4,45,0,0,33,3,5,0.6,2,5,0.4,0,0,0.0,2.0,0.0,2.0,6.0,5.0,6.0,2.0,14.0,1.0,4.0,1.0,0.217,0.25,0.0,0.063,0.0,0.0,0.0,0.125,0.118,0.417,0.2,0.0,0.0,1.0,0.308,0.167,0.192
11,Duncan Robinson,1629130,MIA @ MIL,MIA,1610612748,MIL,0,0042000121,2021-05-22,L,24,2,2,7,13,0.538,7,13,0.538,3,3,1.0,0,2,0,0,2,2,27.4,1.676,0.8076923076923077,G,,96.2,93.7,94.8,95.9,1.3,0.0,0.05,0.024,0.118,0.808,1.0,0.178,0.838,103.88,103.11,0.153,78,85.92,0.18,265,36,99,0.364,20,50,0.4,15,19,0.789,12,39,51,22,8,3,17,23,107,112.36,112.44,112.52,95.22961908152368,36:05,4.34,2.78,0,3,3,43,0,0,27,1,3,0.333,6,10,0.6,4,5,0.8,3.0,0.0,0.0,0.0,13.0,12.0,12.0,38.0,0.0,3.0,2.0,0.292,0.194,0.5,0.382,0.231,0.188,0.0,0.071,0.054,0.133,0.133,0.0,0.0,0.0,0.188,0.143,0.32
12,Nikola Jokić,203999,DEN vs. POR,DEN,1610612743,POR,1,0042000161,2021-05-22,L,34,1,16,14,27,0.519,3,7,0.429,3,4,0.75,3,13,0,0,1,-13,53.7,1.182,0.5740740740740741,C,,113.0,115.5,131.9,126.5,-18.8,0.081,0.342,0.213,0.053,0.574,1.0,0.37,0.591,94.66,93.68,0.206,69,78.07,0.387,240,47,93,0.505,11,36,0.306,4,8,0.5,11,37,48,22,3,7,8,18,109,93.52,94.44,95.36,116.55260906757914,35:21,3.78,2.33,8,19,26,99,0,0,62,8,14,0.571,6,13,0.462,4,9,0.444,4.0,2.0,0.0,16.0,8.0,9.0,4.0,32.0,0.0,1.0,6.0,0.424,0.391,0.375,0.259,0.75,0.5,0.3,0.433,0.4,0.071,0.2,0.0,0.0,0.0,0.077,0.545,0.436
13,Jrue Holiday,201950,MIL vs. MIA,MIL,1610612749,MIA,1,0042000121,2021-05-22,W,20,3,11,9,18,0.5,0,5,0.0,2,4,0.5,2,9,3,0,5,10,41.7,1.012,0.5,G,,103.4,102.6,95.3,93.7,8.0,0.043,0.167,0.109,0.115,0.5,0.6,0.24,0.506,100.49,99.29,0.158,89,82.74,0.244,265,42,96,0.438,5,31,0.161,20,33,0.606,15,49,64,19,11,1,17,18,109,112.52,112.44,112.36,96.87166725915392,42:18,4.17,3.15,4,11,13,92,0,1,61,4,9,0.444,5,9,0.556,0,0,0.0,4.0,0.0,6.0,16.0,15.0,8.0,2.0,18.0,0.0,0.0,3.0,0.257,0.237,0.0,0.217,0.111,0.129,0.154,0.243,0.22,0.25,0.385,0.3,0.0,0.0,0.0,0.143,0.217
14,Paul George,202331,LAC vs. DAL,LAC,1610612746,DAL,1,0042000171,2021-05-22,L,23,5,6,8,18,0.444,2,8,0.25,5,5,1.0,3,3,1,0,3,-6,37.7,1.139,0.5,G,,119.7,122.3,124.7,121.3,-4.9,0.077,0.083,0.08,0.208,0.5,1.67,0.277,0.569,86.85,86.56,0.109,71,72.13,0.282,240,37,84,0.44,11,40,0.275,18,24,0.75,13,26,39,22,7,7,5,21,103,86.56,88.0,89.44,118.99260628465804,39:56,3.94,2.78,4,9,12,75,1,1,50,3,5,0.6,5,13,0.385,1,1,1.0,7.0,0.0,0.0,6.0,5.0,17.0,0.0,28.0,0.0,4.0,5.0,0.25,0.257,0.222,0.267,0.417,0.294,0.25,0.13,0.171,0.278,0.75,0.167,0.0,0.0,0.211,0.294,0.271
15,Bam Adebayo,1628389,MIA @ MIL,MIA,1610612748,MIL,0,0042000121,2021-05-22,L,9,5,12,4,15,0.267,0,0,,1,1,1.0,4,8,3,0,1,5,38.9,0.583,0.26666666666666666,C,,96.6,95.3,89.9,91.6,6.7,0.085,0.167,0.126,0.2,0.267,5.0,0.165,0.291,104.32,104.63,0.077,88,87.19,0.168,265,36,99,0.364,20,50,0.4,15,19,0.789,12,39,51,22,8,3,17,23,107,112.36,112.44,112.52,95.22961908152368,40:36,3.98,2.87,8,12,20,56,0,0,38,0,5,0.0,4,10,0.4,2,3,0.667,3.0,0.0,0.0,8.0,13.0,15.0,10.0,40.0,0.0,5.0,3.0,0.138,0.203,0.0,0.0,0.091,0.071,0.667,0.242,0.308,0.278,0.067,0.5,0.0,0.0,0.278,0.214,0.106
16,Kristaps Porziņģis,204001,DAL @ LAC,DAL,1610612742,LAC,0,0042000171,2021-05-22,W,14,1,4,4,13,0.308,1,5,0.2,5,6,0.833,0,4,0,1,1,13,22.3,0.895,0.34615384615384615,F,,135.9,133.1,115.6,114.6,20.3,0.0,0.105,0.061,0.04,0.346,1.0,0.233,0.448,87.16,85.85,0.047,64,71.54,0.238,240,38,76,0.5,17,36,0.472,20,26,0.769,10,32,42,22,2,3,12,21,113,89.44,88.0,86.56,126.3416815742397,35:47,3.55,2.25,2,13,15,43,0,0,25,2,8,0.25,2,5,0.4,7,10,0.7,0.0,4.0,0.0,4.0,14.0,8.0,2.0,30.0,3.0,2.0,5.0,0.138,0.245,0.067,0.179,0.357,0.316,0.0,0.167,0.133,0.056,0.1,0.0,0.5,0.6,0.125,0.333,0.161
17,Rajon Rondo,200765,LAC vs. DAL,LAC,1610612746,DAL,1,0042000171,2021-05-22,L,11,4,4,3,6,0.5,3,4,0.75,2,4,0.5,0,4,1,1,1,-8,26.8,1.418,0.75,,,104.5,104.5,122.7,123.5,-18.2,0.0,0.167,0.077,0.333,0.75,4.0,0.176,0.709,88.53,88.78,0.16,44,73.98,0.18,240,37,84,0.44,11,40,0.275,18,24,0.75,13,26,39,22,7,7,5,21,103,86.56,88.0,89.44,118.99260628465804,23:47,3.66,1.56,2,5,7,57,1,1,47,0,2,0.0,3,4,0.75,1,1,1.0,4.0,0.0,0.0,0.0,3.0,12.0,0.0,14.0,0.0,2.0,2.0,0.2,0.146,0.5,0.16,0.2,0.25,0.0,0.286,0.2,0.444,0.5,0.25,0.5,0.0,0.167,0.167,0.239
18,Robert Williams III,1629057,BOS @ BKN,BOS,1610612738,BKN,0,0042000111,2021-05-22,L,11,1,9,5,8,0.625,0,0,,1,2,0.5,5,4,1,9,0,5,53.3,1.239,0.625,,,102.2,103.4,93.2,91.3,9.0,0.208,0.118,0.155,0.111,0.625,0.0,0.176,0.619,94.66,94.24,0.3,45,78.53,0.182,240,31,84,0.369,11,30,0.367,20,26,0.769,11,29,40,19,6,12,12,18,93,96.44,95.1,93.76,96.43301534632933,22:40,3.77,1.55,7,8,14,27,1,0,18,4,6,0.667,1,2,0.5,1,7,0.143,0.0,4.0,0.0,10.0,5.0,11.0,4.0,16.0,2.0,2.0,2.0,0.357,0.216,0.0,0.0,0.083,0.118,1.0,0.286,0.474,0.091,0.0,0.5,0.818,0.5,0.222,0.167,0.239
19,Kawhi Leonard,202695,LAC vs. DAL,LAC,1610612746,DAL,1,0042000171,2021-05-22,L,26,5,10,9,22,0.409,1,6,0.167,7,9,0.778,2,8,4,0,0,-15,57.5,1.002,0.4318181818181818,F,,115.6,116.7,135.1,132.9,-19.5,0.047,0.25,0.133,0.217,0.432,0.0,0.292,0.501,90.94,90.66,0.157,77,75.55,0.298,240,37,84,0.44,11,40,0.275,18,24,0.75,13,26,39,22,7,7,5,21,103,86.56,88.0,89.44,118.99260628465804,40:46,3.91,2.84,4,9,11,84,1,0,53,4,8,0.5,5,14,0.357,2,2,1.0,2.0,2.0,4.0,10.0,5.0,11.0,0.0,30.0,0.0,2.0,10.0,0.281,0.301,0.111,0.171,0.438,0.429,0.182,0.421,0.333,0.25,0.0,0.667,0.0,0.0,0.125,0.526,0.292
