,PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ABBREVIATION,TEAM_ID,OPP_ABBREVIATION,HOME_GAME,GAME_ID,GAME_DATE,WL,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PLUS_MINUS,FANTASY_PTS,POINT_PER_SHOT,EFG,START_POSITION,COMMENT,OFF_RATING,E_OFF_RATING,DEF_RATING,E_DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,EFG_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,POSS,PACE_PER40,E_USG_PCT,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,TEAM_PACE,GAME_PACE,OPP_PACE,OPP_DEF_RATING,MIN,SPD,DIST,ORBC,DRBC,RBC,TCHS,SAST,FTAST,PASS,CFGM,CFGA,CFG_PCT,UFGM,UFGA,UFG_PCT,DFGM,DFGA,DFG_PCT,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLKA,PF,PFD,PCT_FGM,PCT_FGA,PCT_FG3M,PCT_FG3A,PCT_FTM,PCT_FTA,PCT_OREB,PCT_DREB,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_BLKA,PCT_PF,PCT_PFD,PCT_PTS
432,Nic Claxton,1629651,BKN @ BOS,BKN,1610612751,BOS,0,0042000113,2021-05-28,L,4,0,5,2,5,0.4,0,0,,0,0,,3,2,0,1,2,-21,11.0,0.8,0.4,,,106.5,106.2,174.2,168.3,-67.7,0.188,0.182,0.185,0.0,0.4,0.0,0.2,0.4,92.42,90.72,0.013,31,75.6,0.2,240,38,84,0.452,16,38,0.421,27,31,0.871,10,27,37,16,8,3,9,23,119,96.64,97.88,99.12,123.13741721854305,16:24,4.17,1.22,4,2,6,27,1,0,19,1,4,0.25,1,1,1.0,0,2,0.0,2.0,0.0,0.0,4.0,8.0,5.0,3.0,6.0,0.0,2.0,0.0,0.167,0.179,0.0,0.0,0.0,0.0,0.75,0.333,0.5,0.0,0.5,0.0,0.5,0.0,0.286,0.0,0.121
433,Terance Mann,1629611,LAC @ DAL,LAC,1610612746,DAL,0,0042000173,2021-05-28,W,4,2,6,1,3,0.333,0,0,,2,2,1.0,1,5,0,2,0,18,20.2,1.031,0.3333333333333333,,,128.6,131.1,77.1,81.3,51.4,0.063,0.238,0.162,0.111,0.333,0.0,0.071,0.515,83.52,86.58,0.143,35,72.15,0.074,240,44,76,0.579,13,31,0.419,17,18,0.944,7,32,39,24,4,4,9,21,118,85.92,87.42,88.92,137.33705772811916,19:24,4.17,1.41,1,8,9,19,0,0,15,1,1,1.0,0,2,0.0,1,2,0.5,2.0,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,2.0,1.0,0.053,0.086,0.0,0.0,0.667,0.667,0.167,0.278,0.25,0.333,0.0,0.0,1.0,0.0,0.333,0.125,0.089
434,Marcus Morris Sr.,202694,LAC @ DAL,LAC,1610612746,DAL,0,0042000173,2021-05-28,W,15,1,1,6,9,0.667,3,5,0.6,0,0,,0,1,1,0,1,-3,19.7,1.667,0.8333333333333334,F,,127.0,129.4,131.7,122.6,-4.8,0.0,0.027,0.018,0.042,0.833,1.0,0.154,0.833,92.63,90.09,0.056,63,75.07,0.159,240,44,76,0.579,13,31,0.419,17,18,0.944,7,32,39,24,4,4,9,21,118,85.92,87.42,88.92,137.33705772811916,33:34,3.79,2.25,2,5,7,23,0,0,14,1,1,1.0,5,8,0.625,2,2,1.0,0.0,0.0,2.0,4.0,8.0,17.0,4.0,18.0,0.0,6.0,0.0,0.2,0.18,0.333,0.217,0.0,0.0,0.0,0.048,0.045,0.056,0.125,0.25,0.0,0.0,0.353,0.0,0.188
435,Joe Harris,203925,BKN @ BOS,BKN,1610612751,BOS,0,0042000113,2021-05-28,L,8,0,2,3,9,0.333,2,7,0.286,0,0,,1,1,0,1,1,4,12.4,0.889,0.4444444444444444,F,,131.4,128.6,123.9,121.1,7.5,0.028,0.03,0.029,0.0,0.444,0.0,0.127,0.444,98.16,95.95,0.0,70,79.96,0.126,240,38,84,0.452,16,38,0.421,27,31,0.871,10,27,37,16,8,3,9,23,119,96.64,97.88,99.12,123.13741721854305,35:16,4.2,2.64,2,7,9,33,0,1,23,0,1,0.0,3,8,0.375,0,2,0.0,0.0,0.0,6.0,2.0,8.0,8.0,6.0,26.0,0.0,3.0,0.0,0.107,0.143,0.133,0.212,0.0,0.0,0.125,0.048,0.069,0.0,0.167,0.0,0.5,0.0,0.15,0.0,0.087
436,Nerlens Noel,203457,NYK @ ATL,NYK,1610612752,ATL,0,0042000133,2021-05-28,L,12,1,8,1,2,0.5,0,0,,10,12,0.833,3,5,3,0,2,-3,30.1,1.648,0.5,,,100.0,102.2,108.9,114.6,-8.9,0.12,0.313,0.195,0.1,0.5,0.5,0.173,0.824,97.21,100.8,0.212,46,84.0,0.176,240,29,81,0.358,9,30,0.3,27,30,0.9,13,32,45,14,6,2,11,21,94,92.2,91.86,91.52,101.9522776572668,21:40,4.27,1.68,5,9,14,35,0,0,28,0,1,0.0,1,1,1.0,2,2,1.0,2.0,1.0,0.0,2.0,8.0,2.0,0.0,12.0,1.0,3.0,8.0,0.091,0.061,0.0,0.0,0.455,0.48,0.5,0.417,0.444,0.2,0.286,0.5,0.0,0.333,0.333,0.471,0.261
437,Frank Ntilikina,1628373,NYK @ ATL,NYK,1610612752,ATL,0,0042000133,2021-05-28,L,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,-2,0.0,0.0,,,,0.0,0.0,200.0,227.3,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487.38,553.85,0.0,0,461.54,0.0,240,29,81,0.358,9,30,0.3,27,30,0.9,13,32,45,14,6,2,11,21,94,92.2,91.86,91.52,101.9522776572668,0:03,4.21,0.01,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
438,Trae Young,1629027,ATL vs. NYK,ATL,1610612737,NYK,1,0042000133,2021-05-28,W,21,14,1,8,19,0.421,2,6,0.333,3,4,0.75,0,1,0,0,2,9,41.2,1.012,0.47368421052631576,G,,109.6,111.9,95.9,96.2,13.6,0.0,0.023,0.013,0.583,0.474,7.0,0.286,0.506,94.56,95.65,0.154,73,79.71,0.295,240,42,81,0.519,16,27,0.593,5,8,0.625,4,38,42,28,2,5,11,23,105,91.52,91.86,92.2,114.72902097902097,36:53,3.86,2.55,2,3,5,88,1,0,58,2,9,0.222,6,10,0.6,1,1,1.0,3.0,0.0,2.0,10.0,10.0,10.0,0.0,22.0,0.0,2.0,6.0,0.25,0.297,0.182,0.286,0.6,0.5,0.0,0.033,0.03,0.609,0.286,0.0,0.0,0.0,0.125,0.353,0.263
439,Julius Randle,203944,NYK @ ATL,NYK,1610612752,ATL,0,0042000133,2021-05-28,L,14,2,11,2,15,0.133,2,7,0.286,8,8,1.0,2,9,0,0,3,-9,27.2,0.756,0.2,F,,107.4,108.2,120.6,123.3,-13.2,0.051,0.321,0.164,0.111,0.2,0.67,0.275,0.378,91.73,93.12,0.039,68,77.6,0.28,240,29,81,0.358,9,30,0.3,27,30,0.9,13,32,45,14,6,2,11,21,94,92.2,91.86,91.52,101.9522776572668,35:03,3.78,2.38,4,11,15,76,1,2,49,0,4,0.0,2,11,0.182,4,4,1.0,3.0,0.0,0.0,0.0,8.0,6.0,2.0,38.0,1.0,5.0,5.0,0.1,0.259,0.25,0.318,0.32,0.308,0.182,0.429,0.344,0.222,0.333,0.0,0.0,0.333,0.313,0.278,0.192
440,Yogi Ferrell,1627812,LAC @ DAL,LAC,1610612746,DAL,0,0042000173,2021-05-28,W,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.89,0.0,0,74.07,0.0,240,44,76,0.579,13,31,0.419,17,18,0.944,7,32,39,24,4,4,9,21,118,85.92,87.42,88.92,137.33705772811916,0:16,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
441,Alec Burks,202692,NYK @ ATL,NYK,1610612752,ATL,0,0042000133,2021-05-28,L,8,2,2,2,8,0.25,1,5,0.2,3,3,1.0,0,2,0,0,2,3,11.4,0.858,0.3125,,,96.0,98.6,91.8,96.2,4.2,0.0,0.091,0.042,0.182,0.313,1.0,0.196,0.429,100.46,104.21,0.062,50,86.84,0.201,240,29,81,0.358,9,30,0.3,27,30,0.9,13,32,45,14,6,2,11,21,94,92.2,91.86,91.52,101.9522776572668,22:48,3.91,1.62,1,3,4,42,0,0,28,0,3,0.0,2,5,0.4,1,2,0.5,0.0,0.0,0.0,2.0,8.0,2.0,0.0,10.0,0.0,0.0,1.0,0.154,0.222,0.333,0.385,0.158,0.136,0.0,0.111,0.083,0.286,0.222,0.0,0.0,0.0,0.0,0.071,0.167
442,Reggie Bullock Jr.,203493,NYK @ ATL,NYK,1610612752,ATL,0,0042000133,2021-05-28,L,11,1,5,3,8,0.375,2,6,0.333,3,3,1.0,3,2,1,0,1,-6,20.5,1.18,0.5,F,,106.8,107.5,115.1,115.6,-8.2,0.073,0.067,0.07,0.048,0.5,1.0,0.12,0.59,90.7,91.2,0.054,73,76.0,0.123,240,29,81,0.358,9,30,0.3,27,30,0.9,13,32,45,14,6,2,11,21,94,92.2,91.86,91.52,101.9522776572668,38:25,3.85,2.64,3,3,6,50,0,0,40,1,1,1.0,2,7,0.286,0,1,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,42.0,0.0,3.0,1.0,0.125,0.129,0.222,0.24,0.143,0.125,0.333,0.08,0.147,0.091,0.111,0.333,0.0,0.0,0.176,0.056,0.141
443,Jalen Brunson,1628973,DAL vs. LAC,DAL,1610612742,LAC,1,0042000173,2021-05-28,L,14,1,2,5,8,0.625,4,6,0.667,0,0,,0,2,0,0,0,-19,17.9,1.75,0.875,,,100.0,109.7,150.0,151.4,-50.0,0.0,0.154,0.057,0.125,0.875,0.0,0.186,0.875,78.91,82.97,0.159,38,69.14,0.202,240,38,86,0.442,20,39,0.513,12,18,0.667,13,20,33,17,4,2,8,17,108,88.92,87.42,85.92,121.4574898785425,21:59,4.05,1.57,2,6,8,42,1,0,32,1,2,0.5,4,6,0.667,0,0,0.0,2.0,3.0,0.0,0.0,6.0,6.0,6.0,20.0,0.0,1.0,0.0,0.385,0.242,0.5,0.375,0.0,0.0,0.0,0.25,0.154,0.167,0.0,0.0,0.0,0.0,0.125,0.0,0.368
444,Dwight Powell,203939,DAL vs. LAC,DAL,1610612742,LAC,1,0042000173,2021-05-28,L,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0.0,0.0,,,,60.0,60.0,60.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.64,81.82,0.0,5,68.18,0.0,240,38,86,0.442,20,39,0.513,12,18,0.667,13,20,33,17,4,2,8,17,108,88.92,87.42,85.92,121.4574898785425,2:56,4.44,0.22,0,0,0,1,0,0,1,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
445,Taj Gibson,201959,NYK @ ATL,NYK,1610612752,ATL,0,0042000133,2021-05-28,L,4,0,6,2,6,0.333,0,0,,0,0,,1,5,0,1,0,-8,14.2,0.667,0.3333333333333333,C,,98.0,97.6,109.8,112.5,-11.8,0.033,0.208,0.111,0.0,0.333,0.0,0.105,0.333,90.19,91.14,0.031,49,75.95,0.107,240,29,81,0.358,9,30,0.3,27,30,0.9,13,32,45,14,6,2,11,21,94,92.2,91.86,91.52,101.9522776572668,26:20,3.85,1.81,4,9,13,38,0,0,32,2,4,0.5,0,2,0.0,2,5,0.4,0.0,0.0,0.0,4.0,2.0,4.0,2.0,32.0,0.0,3.0,1.0,0.111,0.125,0.0,0.0,0.0,0.0,0.143,0.25,0.222,0.0,0.0,0.0,0.5,0.0,0.25,0.167,0.083
446,James Harden,201935,BKN @ BOS,BKN,1610612751,BOS,0,0042000113,2021-05-28,L,41,10,7,11,18,0.611,7,12,0.583,12,13,0.923,1,6,1,0,2,13,65.4,1.728,0.8055555555555556,G,,137.2,134.4,120.5,115.5,16.7,0.029,0.15,0.095,0.476,0.806,5.0,0.284,0.864,98.49,95.43,0.303,78,79.52,0.285,240,38,84,0.452,16,38,0.421,27,31,0.871,10,27,37,16,8,3,9,23,119,96.64,97.88,99.12,123.13741721854305,39:14,3.43,2.4,2,10,12,106,0,0,75,2,4,0.5,9,14,0.643,2,4,0.5,3.0,0.0,0.0,8.0,15.0,10.0,6.0,32.0,1.0,1.0,10.0,0.344,0.277,0.438,0.364,0.444,0.419,0.125,0.25,0.219,0.714,0.222,0.2,0.0,0.333,0.053,0.455,0.383
447,Marcus Smart,203935,BOS vs. BKN,BOS,1610612738,BKN,1,0042000113,2021-05-28,W,23,6,3,8,11,0.727,5,8,0.625,2,2,1.0,0,3,1,0,4,1,34.6,1.936,0.9545454545454546,G,,124.4,119.7,124.7,121.4,-0.3,0.0,0.075,0.039,0.214,0.955,1.5,0.158,0.968,103.39,100.05,0.143,82,83.38,0.159,240,45,89,0.506,16,39,0.41,19,23,0.826,13,33,46,21,5,3,13,25,125,99.12,97.88,96.64,126.10976594027441,39:06,3.94,2.77,1,5,6,66,1,0,50,2,2,1.0,6,9,0.667,1,1,1.0,2.0,3.0,0.0,4.0,15.0,5.0,8.0,22.0,0.0,3.0,6.0,0.222,0.153,0.385,0.25,0.118,0.095,0.0,0.107,0.081,0.353,0.308,0.2,0.0,0.0,0.13,0.3,0.225
448,Blake Griffin,201933,BKN @ BOS,BKN,1610612751,BOS,0,0042000113,2021-05-28,L,4,1,5,1,5,0.2,0,1,0.0,2,2,1.0,2,3,1,0,0,16,14.5,0.68,0.2,C,,131.4,126.5,102.0,99.2,29.4,0.08,0.107,0.094,0.043,0.2,0.0,0.103,0.34,100.93,97.68,0.01,51,81.4,0.104,240,38,84,0.452,16,38,0.421,27,31,0.871,10,27,37,16,8,3,9,23,119,96.64,97.88,99.12,123.13741721854305,24:49,3.74,1.63,4,9,12,36,0,0,27,1,4,0.25,0,1,0.0,4,6,0.667,2.0,0.0,0.0,2.0,10.0,8.0,6.0,26.0,0.0,5.0,2.0,0.042,0.102,0.0,0.05,0.25,0.222,0.4,0.176,0.227,0.111,0.0,0.167,0.0,0.0,0.455,0.2,0.06
449,Aaron Nesmith,1630174,BOS vs. BKN,BOS,1610612738,BKN,1,0042000113,2021-05-28,W,0,1,2,0,0,,0,0,,0,0,,1,1,0,1,0,1,6.9,0.0,,,,153.3,150.1,137.5,137.8,15.8,0.143,0.125,0.133,0.111,0.0,0.0,0.0,0.0,87.63,86.85,0.029,15,72.37,0.0,240,45,89,0.506,16,39,0.41,19,23,0.826,13,33,46,21,5,3,13,25,125,99.12,97.88,96.64,126.10976594027441,8:34,4.4,0.69,1,2,3,8,0,0,7,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.25,0.286,0.25,0.0,0.0,1.0,0.0,0.333,0.0,0.0
450,Dorian Finney-Smith,1627827,DAL vs. LAC,DAL,1610612742,LAC,1,0042000173,2021-05-28,L,6,1,7,3,10,0.3,0,3,0.0,0,0,,5,2,0,0,0,5,15.9,0.6,0.3,F,,137.7,129.3,125.0,125.9,12.7,0.139,0.08,0.115,0.033,0.3,0.0,0.122,0.3,92.73,90.2,0.009,69,75.17,0.123,240,38,86,0.442,20,39,0.513,12,18,0.667,13,20,33,17,4,2,8,17,108,88.92,87.42,85.92,121.4574898785425,37:31,4.1,2.74,7,4,11,44,1,0,33,3,6,0.5,0,4,0.0,2,2,1.0,0.0,6.0,0.0,6.0,11.0,4.0,6.0,38.0,0.0,3.0,0.0,0.091,0.152,0.0,0.091,0.0,0.0,0.625,0.118,0.28,0.071,0.0,0.0,0.0,0.0,0.214,0.0,0.063
451,Patrick Beverley,201976,LAC @ DAL,LAC,1610612746,DAL,0,0042000173,2021-05-28,W,2,0,1,1,2,0.5,0,1,0.0,0,0,,0,1,0,0,0,3,3.2,1.0,0.5,,,136.4,126.3,109.1,123.0,27.3,0.0,0.25,0.111,0.0,0.5,0.0,0.167,0.5,92.19,93.73,0.078,11,78.11,0.168,240,44,76,0.579,13,31,0.419,17,18,0.944,7,32,39,24,4,4,9,21,118,85.92,87.42,88.92,137.33705772811916,5:38,4.15,0.43,1,1,1,6,0,0,4,1,1,1.0,0,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.167,0.182,0.0,0.25,0.0,0.0,0.0,0.333,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133
452,Lou Williams,101150,ATL vs. NYK,ATL,1610612737,NYK,1,0042000133,2021-05-28,W,9,2,0,4,6,0.667,1,2,0.5,0,0,,0,0,0,0,3,2,9.0,1.5,0.75,,,119.0,119.0,104.5,112.7,14.5,0.0,0.0,0.0,0.333,0.75,0.67,0.409,0.75,89.38,92.83,0.171,21,77.36,0.409,240,42,81,0.519,16,27,0.593,5,8,0.625,4,38,42,28,2,5,11,23,105,91.52,91.86,92.2,114.72902097902097,11:07,3.72,0.74,0,0,0,22,0,0,12,2,2,1.0,2,4,0.5,0,0,0.0,2.0,0.0,0.0,4.0,2.0,1.0,0.0,8.0,0.0,0.0,1.0,0.4,0.353,0.2,0.333,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.25,0.36
453,Tyler Johnson,204020,BKN @ BOS,BKN,1610612751,BOS,0,0042000113,2021-05-28,L,5,0,0,2,3,0.667,1,2,0.5,0,0,,0,0,0,0,0,-17,5.0,1.667,0.8333333333333334,,,84.2,88.9,194.1,195.5,-109.9,0.0,0.0,0.0,0.0,0.833,0.0,0.15,0.833,84.7,87.42,0.063,19,72.85,0.158,240,38,84,0.452,16,38,0.421,27,31,0.871,10,27,37,16,8,3,9,23,119,96.64,97.88,99.12,123.13741721854305,9:53,4.16,0.71,0,0,0,11,0,0,7,0,0,0.0,2,3,0.667,0,1,0.0,0.0,0.0,0.0,2.0,3.0,7.0,3.0,8.0,0.0,1.0,1.0,0.286,0.176,0.5,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.5,0.313
454,Jayson Tatum,1628369,BOS vs. BKN,BOS,1610612738,BKN,1,0042000113,2021-05-28,W,50,7,6,16,30,0.533,5,11,0.455,13,15,0.867,0,6,2,1,1,1,75.7,1.366,0.6166666666666667,F,,126.5,123.4,126.8,123.5,-0.3,0.0,0.154,0.078,0.333,0.617,7.0,0.378,0.683,100.3,97.74,0.278,83,81.45,0.389,240,45,89,0.506,16,39,0.41,19,23,0.826,13,33,46,21,5,3,13,25,125,99.12,97.88,96.64,126.10976594027441,40:31,3.83,2.78,2,10,11,86,0,1,46,5,14,0.357,11,16,0.688,2,2,1.0,12.0,0.0,7.0,8.0,13.0,5.0,8.0,26.0,2.0,3.0,9.0,0.432,0.405,0.417,0.379,0.684,0.652,0.0,0.222,0.162,0.467,0.091,0.4,0.333,0.667,0.136,0.409,0.476
455,Luka Dončić,1629029,DAL vs. LAC,DAL,1610612742,LAC,1,0042000173,2021-05-28,L,44,9,9,15,28,0.536,7,13,0.538,7,13,0.538,2,7,1,0,5,3,66.3,1.305,0.6607142857142857,G,,133.8,126.8,127.8,127.9,6.0,0.05,0.259,0.134,0.5,0.661,1.8,0.443,0.652,91.3,88.91,0.223,71,74.09,0.449,240,38,86,0.442,20,39,0.513,12,18,0.667,13,20,33,17,4,2,8,17,108,88.92,87.42,85.92,121.4574898785425,38:36,3.67,2.52,2,11,13,105,0,0,63,4,10,0.4,11,18,0.611,4,5,0.8,3.0,5.0,0.0,10.0,11.0,2.0,6.0,36.0,1.0,2.0,10.0,0.455,0.4,0.412,0.406,0.583,0.722,0.167,0.412,0.31,0.643,0.556,0.25,0.0,0.25,0.143,0.588,0.463
456,Paul George,202331,LAC @ DAL,LAC,1610612746,DAL,0,0042000173,2021-05-28,W,29,4,7,11,18,0.611,2,6,0.333,5,5,1.0,0,7,1,0,1,3,45.4,1.436,0.6666666666666666,G,,133.8,136.2,131.6,124.9,2.2,0.0,0.159,0.101,0.143,0.667,4.0,0.256,0.718,90.67,89.13,0.16,77,74.28,0.264,240,44,76,0.579,13,31,0.419,17,18,0.944,7,32,39,24,4,4,9,21,118,85.92,87.42,88.92,137.33705772811916,41:12,4.04,2.92,0,12,12,69,1,1,45,4,4,1.0,7,14,0.5,3,6,0.5,4.0,0.0,5.0,14.0,10.0,17.0,4.0,18.0,0.0,4.0,4.0,0.282,0.281,0.182,0.222,0.357,0.333,0.0,0.241,0.212,0.19,0.111,0.25,0.0,0.0,0.211,0.286,0.282
457,Amir Coffey,1629599,LAC @ DAL,LAC,1610612746,DAL,0,0042000173,2021-05-28,W,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.89,0.0,0,74.07,0.0,240,44,76,0.579,13,31,0.419,17,18,0.944,7,32,39,24,4,4,9,21,118,85.92,87.42,88.92,137.33705772811916,0:16,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
458,Kristaps Porziņģis,204001,DAL vs. LAC,DAL,1610612742,LAC,1,0042000173,2021-05-28,L,9,4,3,3,10,0.3,1,4,0.25,2,2,1.0,2,1,1,0,1,-9,20.6,0.827,0.35,F,,128.6,124.9,142.9,148.5,-14.3,0.054,0.059,0.056,0.16,0.35,4.0,0.147,0.414,88.68,89.07,0.033,63,74.23,0.149,240,38,86,0.442,20,39,0.513,12,18,0.667,13,20,33,17,4,2,8,17,108,88.92,87.42,85.92,121.4574898785425,33:57,3.8,2.26,3,1,4,36,0,0,23,2,4,0.5,1,6,0.167,4,4,1.0,0.0,0.0,1.0,2.0,6.0,4.0,10.0,36.0,0.0,3.0,3.0,0.107,0.159,0.056,0.125,0.286,0.182,0.222,0.077,0.136,0.333,0.167,0.5,0.0,0.0,0.231,0.214,0.111
459,Obi Toppin,1630167,NYK @ ATL,NYK,1610612752,ATL,0,0042000133,2021-05-28,L,4,0,3,2,4,0.5,0,1,0.0,0,0,,1,2,0,0,0,-2,7.6,1.0,0.5,,,77.8,78.5,88.5,88.5,-10.7,0.063,0.167,0.107,0.0,0.5,0.0,0.138,0.5,97.78,98.22,0.099,27,81.85,0.139,240,29,81,0.358,9,30,0.3,27,30,0.9,13,32,45,14,6,2,11,21,94,92.2,91.86,91.52,101.9522776572668,12:57,4.12,0.95,1,2,3,17,0,0,13,1,1,1.0,1,3,0.333,0,1,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,6.0,0.0,1.0,1.0,0.222,0.174,0.0,0.125,0.0,0.0,0.5,0.182,0.231,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.19
460,Kawhi Leonard,202695,LAC @ DAL,LAC,1610612746,DAL,0,0042000173,2021-05-28,W,36,3,8,13,17,0.765,3,5,0.6,7,7,1.0,2,6,1,2,3,6,56.1,1.793,0.8529411764705882,F,,134.6,134.5,128.6,123.9,6.0,0.074,0.128,0.108,0.111,0.853,1.0,0.267,0.896,89.56,87.88,0.222,78,73.23,0.27,240,44,76,0.579,13,31,0.419,17,18,0.944,7,32,39,24,4,4,9,21,118,85.92,87.42,88.92,137.33705772811916,42:20,3.97,2.94,3,9,12,68,1,0,41,6,8,0.75,7,9,0.778,0,1,0.0,2.0,2.0,3.0,12.0,10.0,17.0,4.0,18.0,2.0,2.0,6.0,0.325,0.254,0.3,0.208,0.467,0.438,0.286,0.207,0.222,0.143,0.273,0.333,0.5,1.0,0.1,0.429,0.343
461,Tristan Thompson,202684,BOS vs. BKN,BOS,1610612738,BKN,1,0042000113,2021-05-28,W,19,1,13,8,13,0.615,0,0,,3,4,0.75,9,4,0,0,2,-16,34.1,1.287,0.6153846153846154,C,,113.8,108.7,136.7,137.4,-22.9,0.273,0.16,0.224,0.063,0.615,0.5,0.233,0.644,94.88,92.99,0.171,58,77.49,0.237,240,45,89,0.506,16,39,0.41,19,23,0.826,13,33,46,21,5,3,13,25,125,99.12,97.88,96.64,126.10976594027441,30:27,3.9,2.11,14,8,22,39,0,0,22,7,11,0.636,1,2,0.5,3,6,0.5,2.0,10.0,2.0,16.0,11.0,5.0,8.0,22.0,0.0,2.0,5.0,0.333,0.232,0.0,0.0,0.3,0.308,0.818,0.25,0.481,0.111,0.2,0.0,0.0,0.0,0.111,0.357,0.288
462,Clint Capela,203991,ATL vs. NYK,ATL,1610612737,NYK,1,0042000133,2021-05-28,W,13,2,12,6,8,0.75,0,0,,1,2,0.5,2,10,0,2,1,15,35.4,1.464,0.75,C,,114.1,116.3,90.6,89.3,23.4,0.08,0.238,0.179,0.08,0.75,2.0,0.149,0.732,90.42,90.62,0.176,64,75.51,0.154,240,42,81,0.519,16,27,0.593,5,8,0.625,4,38,42,28,2,5,11,23,105,91.52,91.86,92.2,114.72902097902097,33:54,3.93,2.37,6,17,22,40,0,0,29,3,5,0.6,3,3,1.0,1,6,0.167,2.0,2.0,0.0,12.0,7.0,10.0,0.0,22.0,0.0,2.0,2.0,0.194,0.145,0.0,0.0,0.5,0.5,1.0,0.323,0.364,0.095,0.125,0.0,1.0,0.0,0.2,0.154,0.178
463,Ivica Zubac,1627826,LAC @ DAL,LAC,1610612746,DAL,0,0042000173,2021-05-28,W,2,0,3,1,3,0.333,0,0,,0,0,,3,0,0,0,0,-2,5.6,0.667,0.3333333333333333,C,,115.8,108.3,126.3,121.5,-10.5,0.273,0.0,0.15,0.0,0.333,0.0,0.12,0.333,87.18,82.66,0.016,19,68.88,0.129,240,44,76,0.579,13,31,0.419,17,18,0.944,7,32,39,24,4,4,9,21,118,85.92,87.42,88.92,137.33705772811916,11:02,3.82,0.78,3,2,5,15,0,0,12,0,2,0.0,1,1,1.0,0,2,0.0,2.0,0.0,0.0,2.0,3.0,3.0,0.0,8.0,0.0,1.0,1.0,0.125,0.158,0.0,0.0,0.0,0.0,1.0,0.0,0.429,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.091
