PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ABBREVIATION,TEAM_ID,OPP_ABBREVIATION,HOME_GAME,GAME_ID,GAME_DATE,WL,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PLUS_MINUS,FANTASY_PTS,POINT_PER_SHOT,EFG,START_POSITION,COMMENT,OFF_RATING,E_OFF_RATING,DEF_RATING,E_DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,EFG_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,POSS,PACE_PER40,E_USG_PCT,MIN,SPD,DIST,ORBC,DRBC,RBC,TCHS,SAST,FTAST,PASS,CFGM,CFGA,CFG_PCT,UFGM,UFGA,UFG_PCT,DFGM,DFGA,DFG_PCT,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLKA,PF,PFD,PCT_FGM,PCT_FGA,PCT_FG3M,PCT_FG3A,PCT_FTM,PCT_FTA,PCT_OREB,PCT_DREB,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_BLKA,PCT_PF,PCT_PFD,PCT_PTS,TEAM_GAME_DATE,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_DEF_RATING,OPP_STL,OPP_BLK,OPP_REB,OPP_FG_PCT,OPP_TEAM_ID,TEAM_PACE,GAME_PACE,OPP_PACE
Tyrese Maxey,1630178,PHI vs. BKN,PHI,1610612755,BKN,1,0042200121,2023-04-15,W,13,3,6,3,8,0.375,3,5,0.6,4,4,1.0,1,5,3,0,0,14,33.7,1.332,0.5625,G,,134.4,135.0,109.7,108.2,24.7,0.029,0.192,0.1,0.125,0.563,0.0,0.139,0.666,90.87,90.46,0.119,61,75.38,0.141,32:38,4.4,2.52,2,5,7,66,0,0,55,0,2,0.0,3,6,0.5,1,1,1.0,6.0,0.0,6.0,0.0,8.0,3.0,12.0,28.0,0.0,2.0,2.0,0.111,0.131,0.2,0.179,0.308,0.308,0.1,0.25,0.2,0.15,0.0,0.333,0.0,0.0,0.167,0.182,0.159,"APR 15, 2023",240,42,89,0.472,21,43,0.488,16,16,1.0,14,24,38,32,14,3,8,17,121,134.38471790315413,3.0,5.0,35.0,0.5571428571428572,134.38471790315413,90.04,90.32,90.6
Cameron Johnson,1629661,BKN @ PHI,BKN,1610612751,PHI,0,0042200121,2023-04-15,L,18,2,4,7,11,0.636,4,6,0.667,0,0,,1,3,0,0,2,-7,23.8,1.636,0.8181818181818182,F,,113.5,114.5,134.7,129.8,-21.2,0.045,0.097,0.075,0.125,0.818,1.0,0.228,0.818,89.76,88.57,0.12,52,73.81,0.238,27:22,4.07,1.96,2,6,8,31,0,0,18,3,4,0.75,4,7,0.571,0,1,0.0,3.0,0.0,0.0,6.0,10.0,14.0,7.0,14.0,1.0,3.0,1.0,0.304,0.256,0.571,0.375,0.0,0.0,0.333,0.158,0.182,0.182,0.25,0.0,0.0,0.333,0.3,0.125,0.305,"APR 15, 2023",240,39,70,0.557,13,29,0.448,10,15,0.667,5,30,35,23,3,5,19,15,101,111.47902869757176,14.0,3.0,38.0,0.47191011235955055,111.47902869757176,90.6,90.32,90.04
Yuta Watanabe,1629139,BKN @ PHI,BKN,1610612751,PHI,0,0042200121,2023-04-15,L,3,0,1,1,2,0.5,1,2,0.5,0,2,0.0,0,1,0,0,1,-4,3.2,1.042,0.75,,,77.8,78.8,110.0,123.9,-32.2,0.0,0.333,0.125,0.0,0.75,0.0,0.364,0.521,90.37,96.68,0.0,9,80.57,0.368,4:43,4.01,0.34,0,1,1,10,0,0,6,0,0,0.0,1,2,0.5,0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,6.0,0.0,0.0,1.0,0.333,0.286,1.0,0.667,0.0,1.0,0.0,0.333,0.2,0.0,0.333,0.0,0.0,0.0,0.0,0.333,0.429,"APR 15, 2023",240,39,70,0.557,13,29,0.448,10,15,0.667,5,30,35,23,3,5,19,15,101,111.47902869757176,14.0,3.0,38.0,0.47191011235955055,111.47902869757176,90.6,90.32,90.04
Shake Milton,1629003,PHI vs. BKN,PHI,1610612755,BKN,1,0042200121,2023-04-15,W,2,0,0,1,1,1.0,0,0,,0,0,,0,0,1,0,0,-3,5.0,2.0,1.0,,,66.7,80.0,116.7,119.0,-50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.167,1.0,80.34,88.62,0.429,6,73.85,0.2,3:15,3.59,0.21,0,0,0,5,0,0,3,0,0,0.0,1,1,1.0,1,1,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,"APR 15, 2023",240,42,89,0.472,21,43,0.488,16,16,1.0,14,24,38,32,14,3,8,17,121,134.38471790315413,3.0,5.0,35.0,0.5571428571428572,134.38471790315413,90.04,90.32,90.6
Mikal Bridges,1628969,BKN @ PHI,BKN,1610612751,PHI,0,0042200121,2023-04-15,L,30,1,5,12,18,0.667,2,4,0.5,4,4,1.0,0,5,0,1,3,-14,37.5,1.518,0.7222222222222222,G,,118.5,117.0,142.2,139.7,-23.7,0.0,0.139,0.081,0.059,0.722,0.33,0.314,0.759,91.31,89.91,0.164,65,74.93,0.32,34:26,4.27,2.6,0,6,6,50,0,0,26,5,7,0.714,7,11,0.636,2,5,0.4,5.0,0.0,6.0,10.0,19.0,16.0,10.0,24.0,1.0,0.0,4.0,0.414,0.34,0.2,0.19,0.444,0.364,0.0,0.227,0.2,0.067,0.273,0.0,0.25,0.333,0.0,0.333,0.39,"APR 15, 2023",240,39,70,0.557,13,29,0.448,10,15,0.667,5,30,35,23,3,5,19,15,101,111.47902869757176,14.0,3.0,38.0,0.47191011235955055,111.47902869757176,90.6,90.32,90.04
Edmond Sumner,1628410,BKN @ PHI,BKN,1610612751,PHI,0,0042200121,2023-04-15,L,0,1,0,0,0,,0,0,,0,0,,0,0,0,0,0,-4,1.5,0.0,,,,77.8,78.8,110.0,123.9,-32.2,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,95.78,102.47,0.077,9,85.39,0.0,4:27,4.14,0.33,0,0,0,8,1,0,7,0,0,0.0,0,0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.333,0.0,"APR 15, 2023",240,39,70,0.557,13,29,0.448,10,15,0.667,5,30,35,23,3,5,19,15,101,111.47902869757176,14.0,3.0,38.0,0.47191011235955055,111.47902869757176,90.6,90.32,90.04
Danuel House Jr.,1627863,PHI vs. BKN,PHI,1610612755,BKN,1,0042200121,2023-04-15,W,0,0,1,0,1,0.0,0,1,0.0,0,0,,0,1,0,0,0,-3,1.2,0.0,0.0,,,40.0,50.0,83.3,100.0,-43.3,0.0,0.25,0.167,0.0,0.0,0.0,0.2,0.0,85.21,104.14,0.0,5,86.79,0.25,2:32,3.37,0.16,1,3,3,5,0,0,4,0,0,0.0,0,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.333,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"APR 15, 2023",240,42,89,0.472,21,43,0.488,16,16,1.0,14,24,38,32,14,3,8,17,121,134.38471790315413,3.0,5.0,35.0,0.5571428571428572,134.38471790315413,90.04,90.32,90.6
Dorian Finney-Smith,1627827,BKN @ PHI,BKN,1610612751,PHI,0,0042200121,2023-04-15,L,6,0,1,2,3,0.667,2,2,1.0,0,0,,1,0,0,0,1,-2,6.2,2.0,1.0,F,,120.6,121.9,130.3,130.0,-9.7,0.077,0.0,0.029,0.0,1.0,0.0,0.111,1.0,90.81,91.19,0.045,34,75.99,0.112,17:38,4.05,1.25,3,1,3,11,0,0,7,0,1,0.0,2,2,1.0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,5.0,10.0,1.0,1.0,0.0,0.118,0.107,0.667,0.333,0.0,0.0,0.5,0.0,0.067,0.0,0.2,0.0,0.0,0.5,0.143,0.0,0.146,"APR 15, 2023",240,39,70,0.557,13,29,0.448,10,15,0.667,5,30,35,23,3,5,19,15,101,111.47902869757176,14.0,3.0,38.0,0.47191011235955055,111.47902869757176,90.6,90.32,90.04
Furkan Korkmaz,1627788,PHI vs. BKN,PHI,1610612755,BKN,1,0042200121,2023-04-15,W,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,-3,0.0,0.0,,,,40.0,50.0,100.0,125.0,-60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,100.0,0.0,5,83.33,0.0,2:24,3.48,0.15,0,0,0,1,0,0,1,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"APR 15, 2023",240,42,89,0.472,21,43,0.488,16,16,1.0,14,24,38,32,14,3,8,17,121,134.38471790315413,3.0,5.0,35.0,0.5571428571428572,134.38471790315413,90.04,90.32,90.6
Montrezl Harrell,1626149,PHI vs. BKN,PHI,1610612755,BKN,1,0042200121,2023-04-15,W,0,0,0,0,1,0.0,0,0,,0,0,,0,0,0,0,0,-3,0.0,0.0,0.0,,,50.0,66.7,125.0,125.0,-75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,80.64,92.16,-0.133,4,76.8,0.333,2:05,3.28,0.13,0,1,1,3,0,0,2,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"APR 15, 2023",240,42,89,0.472,21,43,0.488,16,16,1.0,14,24,38,32,14,3,8,17,121,134.38471790315413,3.0,5.0,35.0,0.5571428571428572,134.38471790315413,90.04,90.32,90.6
