PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ABBREVIATION,TEAM_ID,OPP_ABBREVIATION,HOME_GAME,GAME_ID,GAME_DATE,WL,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PLUS_MINUS,FANTASY_PTS,POINT_PER_SHOT,EFG,START_POSITION,COMMENT,OFF_RATING,E_OFF_RATING,DEF_RATING,E_DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,EFG_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,POSS,PACE_PER40,E_USG_PCT,MIN,SPD,DIST,ORBC,DRBC,RBC,TCHS,SAST,FTAST,PASS,CFGM,CFGA,CFG_PCT,UFGM,UFGA,UFG_PCT,DFGM,DFGA,DFG_PCT,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLKA,PF,PFD,PCT_FGM,PCT_FGA,PCT_FG3M,PCT_FG3A,PCT_FTM,PCT_FTA,PCT_OREB,PCT_DREB,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_BLKA,PCT_PF,PCT_PFD,PCT_PTS,TEAM_GAME_DATE,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_DEF_RATING,OPP_STL,OPP_BLK,OPP_REB,OPP_FG_PCT,OPP_TEAM_ID,TEAM_PACE,GAME_PACE,OPP_PACE
Jayson Tatum,1628369,BOS @ ATL,BOS,1610612738,ATL,0,0042200113,2023-04-21,L,29,5,10,9,22,0.409,4,11,0.364,7,9,0.778,2,8,2,0,4,-4,50.5,1.117,0.5,F,,119.5,117.2,124.1,122.8,-4.6,0.045,0.222,0.125,0.172,0.5,1.25,0.319,0.559,105.48,103.88,0.12,87,86.57,0.32,40:12,3.64,2.58,4,12,15,71,2,0,40,2,7,0.286,7,15,0.467,0,2,0.0,6.0,2.0,3.0,8.0,14.0,14.0,14.0,46.0,2.0,1.0,5.0,0.237,0.275,0.211,0.262,0.778,0.692,0.4,0.4,0.4,0.185,0.5,0.222,0.0,0.333,0.083,0.5,0.279,"APR 21, 2023",240,45,92,0.489,21,48,0.438,11,16,0.688,6,23,29,31,11,0,12,17,122,116.14623000761614,5.0,6.0,48.0,0.5604395604395604,116.14623000761614,105.04,105.04,105.04
Trae Young,1629027,ATL vs. BOS,ATL,1610612737,BOS,1,0042200113,2023-04-21,W,32,9,6,12,22,0.545,2,6,0.333,6,6,1.0,1,5,1,2,4,1,57.7,1.299,0.5909090909090909,G,,116.0,116.3,117.7,115.0,-1.7,0.031,0.122,0.082,0.36,0.591,2.25,0.312,0.649,106.26,105.16,0.189,81,87.63,0.33,36:31,4.03,2.61,1,7,8,85,1,2,49,4,10,0.4,8,12,0.667,2,2,1.0,2.0,5.0,4.0,14.0,25.0,7.0,10.0,32.0,0.0,1.0,5.0,0.324,0.328,0.182,0.231,0.667,0.545,0.143,0.172,0.167,0.474,0.25,0.25,0.333,0.0,0.091,0.417,0.34,"APR 21, 2023",240,51,91,0.56,15,34,0.441,13,16,0.813,11,37,48,24,5,6,18,15,130,123.76237623762376,11.0,0.0,29.0,0.4891304347826087,123.76237623762376,105.04,105.04,105.04
Robert Williams III,1629057,BOS @ ATL,BOS,1610612738,ATL,0,0042200113,2023-04-21,L,4,1,5,2,2,1.0,0,0,,0,0,,2,3,1,0,2,-5,12.5,2.0,1.0,,,123.8,122.9,132.6,138.8,-8.7,0.118,0.214,0.161,0.056,1.0,0.5,0.087,1.0,102.73,104.7,0.065,42,87.25,0.088,19:29,4.14,1.41,6,7,12,22,1,0,20,2,2,1.0,0,0,0.0,3,5,0.6,0.0,2.0,0.0,4.0,8.0,11.0,7.0,26.0,0.0,1.0,0.0,0.1,0.056,0.0,0.0,0.0,0.0,0.667,0.333,0.417,0.077,0.25,0.2,0.0,0.0,0.143,0.0,0.077,"APR 21, 2023",240,45,92,0.489,21,48,0.438,11,16,0.688,6,23,29,31,11,0,12,17,122,116.14623000761614,5.0,6.0,48.0,0.5604395604395604,116.14623000761614,105.04,105.04,105.04
Grant Williams,1629684,BOS @ ATL,BOS,1610612738,ATL,0,0042200113,2023-04-21,L,14,2,2,4,4,1.0,4,4,1.0,2,2,1.0,1,1,1,0,0,-3,22.4,2.869,1.5,,,117.9,123.7,122.5,128.7,-4.6,0.067,0.091,0.077,0.154,1.5,0.0,0.114,1.434,102.08,107.13,0.193,39,89.27,0.121,17:42,4.09,1.3,2,3,5,18,0,0,13,0,0,0.0,4,4,1.0,1,2,0.5,2.0,2.0,0.0,0.0,8.0,9.0,4.0,24.0,0.0,2.0,3.0,0.235,0.129,0.444,0.235,0.667,0.4,0.25,0.167,0.2,0.182,0.0,0.2,0.0,0.0,0.333,0.429,0.304,"APR 21, 2023",240,45,92,0.489,21,48,0.438,11,16,0.688,6,23,29,31,11,0,12,17,122,116.14623000761614,5.0,6.0,48.0,0.5604395604395604,116.14623000761614,105.04,105.04,105.04
Onyeka Okongwu,1630168,ATL vs. BOS,ATL,1610612737,BOS,1,0042200113,2023-04-21,W,4,1,5,2,2,1.0,0,0,,0,0,,2,3,0,3,2,4,18.5,2.0,1.0,,,133.3,138.9,125.5,126.7,7.8,0.125,0.12,0.122,0.042,1.0,0.5,0.07,1.0,102.37,104.96,0.027,51,87.47,0.073,23:19,4.02,1.65,3,6,9,17,0,0,12,0,0,0.0,2,2,1.0,1,2,0.5,0.0,0.0,0.0,4.0,16.0,7.0,3.0,16.0,0.0,5.0,0.0,0.077,0.048,0.0,0.0,0.0,0.0,0.333,0.2,0.238,0.077,0.222,0.0,0.6,0.0,0.625,0.0,0.059,"APR 21, 2023",240,51,91,0.56,15,34,0.441,13,16,0.813,11,37,48,24,5,6,18,15,130,123.76237623762376,11.0,0.0,29.0,0.4891304347826087,123.76237623762376,105.04,105.04,105.04
Saddiq Bey,1630180,ATL vs. BOS,ATL,1610612737,BOS,1,0042200113,2023-04-21,W,15,2,8,5,7,0.714,3,3,1.0,2,2,1.0,2,6,0,0,1,4,26.6,1.904,0.9285714285714286,,,135.7,137.2,128.6,126.4,7.1,0.095,0.214,0.163,0.083,0.929,2.0,0.138,0.952,100.93,100.61,0.145,56,83.84,0.144,26:43,3.92,1.86,5,7,11,28,0,0,19,1,3,0.333,4,4,1.0,1,1,1.0,3.0,5.0,3.0,4.0,14.0,7.0,3.0,22.0,0.0,0.0,1.0,0.172,0.143,0.333,0.188,0.222,0.2,0.286,0.333,0.32,0.154,0.111,0.0,0.0,0.0,0.0,0.125,0.197,"APR 21, 2023",240,51,91,0.56,15,34,0.441,13,16,0.813,11,37,48,24,5,6,18,15,130,123.76237623762376,11.0,0.0,29.0,0.4891304347826087,123.76237623762376,105.04,105.04,105.04
Jalen Johnson,1630552,ATL vs. BOS,ATL,1610612737,BOS,1,0042200113,2023-04-21,W,10,4,1,3,5,0.6,2,3,0.667,2,2,1.0,0,1,1,0,3,-1,17.2,1.701,0.8,,,131.0,134.2,139.3,135.6,-8.3,0.0,0.071,0.056,0.333,0.8,1.33,0.31,0.85,103.39,103.25,0.13,29,86.04,0.318,13:15,4.39,1.02,1,1,2,28,0,0,19,0,1,0.0,3,4,0.75,1,1,1.0,2.0,0.0,2.0,2.0,12.0,7.0,3.0,6.0,0.0,1.0,1.0,0.2,0.263,0.4,0.375,0.667,0.667,0.0,0.167,0.167,0.444,0.375,0.333,0.0,0.0,0.2,0.333,0.263,"APR 21, 2023",240,51,91,0.56,15,34,0.441,13,16,0.813,11,37,48,24,5,6,18,15,130,123.76237623762376,11.0,0.0,29.0,0.4891304347826087,123.76237623762376,105.04,105.04,105.04
Immanuel Quickley,1630193,NYK vs. CLE,NYK,1610612752,CLE,1,0042200133,2023-04-21,W,11,2,1,4,6,0.667,2,3,0.667,1,2,0.5,0,1,0,0,1,27,14.2,1.599,0.8333333333333334,,,117.0,119.7,58.3,60.2,58.7,0.0,0.036,0.023,0.111,0.833,2.0,0.154,0.799,95.86,98.47,0.174,47,82.06,0.157,23:09,4.33,1.8,0,3,3,33,0,0,26,2,2,1.0,2,4,0.5,2,2,1.0,2.0,3.0,0.0,4.0,3.0,7.0,2.0,18.0,0.0,0.0,2.0,0.182,0.162,0.4,0.25,0.167,0.222,0.0,0.059,0.045,0.143,0.1,0.0,0.0,0.0,0.0,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obi Toppin,1630167,NYK vs. CLE,NYK,1610612752,CLE,1,0042200133,2023-04-21,W,8,1,3,3,8,0.375,1,4,0.25,1,1,1.0,1,2,4,1,1,1,27.1,0.948,0.4375,,,87.9,90.1,84.8,86.4,3.0,0.067,0.118,0.094,0.111,0.438,1.0,0.243,0.474,102.9,105.13,0.213,33,87.61,0.249,15:04,4.26,1.15,2,4,6,28,0,0,18,1,3,0.333,2,5,0.4,0,2,0.0,5.0,0.0,3.0,4.0,2.0,7.0,4.0,14.0,0.0,2.0,1.0,0.25,0.308,0.5,0.571,0.333,0.2,0.25,0.222,0.231,0.111,0.125,0.571,0.333,0.0,0.222,0.125,0.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Rose,201565,NYK vs. CLE,NYK,1610612752,CLE,1,0042200133,2023-04-21,W,0,1,0,0,4,0.0,0,1,0.0,0,0,,0,0,0,0,0,-7,1.5,0.0,0.0,,,28.6,33.3,128.6,135.5,-100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.571,0.0,121.34,134.4,-0.462,7,112.0,0.667,2:30,4.91,0.22,0,0,0,9,0,0,5,0,3,0.0,0,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.667,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Horford,201143,BOS @ ATL,BOS,1610612738,ATL,0,0042200113,2023-04-21,L,8,3,4,3,7,0.429,2,6,0.333,0,0,,0,4,0,0,0,-3,17.3,1.143,0.5714285714285714,C,,112.9,111.6,114.1,112.4,-1.2,0.0,0.138,0.065,0.136,0.571,0.0,0.106,0.571,107.46,106.04,0.078,62,88.37,0.107,28:31,3.99,2.03,2,12,13,39,0,0,32,0,0,0.0,3,7,0.429,4,5,0.8,0.0,0.0,0.0,2.0,7.0,12.0,7.0,30.0,0.0,1.0,1.0,0.12,0.125,0.182,0.222,0.0,0.0,0.0,0.286,0.235,0.167,0.0,0.0,0.0,0.0,0.1,0.091,0.114,"APR 21, 2023",240,45,92,0.489,21,48,0.438,11,16,0.688,6,23,29,31,11,0,12,17,122,116.14623000761614,5.0,6.0,48.0,0.5604395604395604,116.14623000761614,105.04,105.04,105.04
Marcus Smart,203935,BOS @ ATL,BOS,1610612738,ATL,0,0042200113,2023-04-21,L,24,8,3,9,19,0.474,5,12,0.417,1,2,0.5,0,3,3,0,1,-9,47.6,1.207,0.6052631578947368,G,,113.9,113.3,126.4,124.7,-12.5,0.0,0.103,0.045,0.381,0.605,8.0,0.276,0.604,106.74,105.74,0.153,72,88.12,0.279,32:41,3.69,2.13,1,6,7,56,0,1,35,4,6,0.667,5,13,0.385,0,1,0.0,9.0,3.0,2.0,8.0,7.0,17.0,10.0,38.0,1.0,0.0,1.0,0.3,0.288,0.313,0.343,0.167,0.2,0.0,0.2,0.167,0.364,0.2,0.375,0.0,0.2,0.0,0.125,0.293,"APR 21, 2023",240,45,92,0.489,21,48,0.438,11,16,0.688,6,23,29,31,11,0,12,17,122,116.14623000761614,5.0,6.0,48.0,0.5604395604395604,116.14623000761614,105.04,105.04,105.04
Clint Capela,203991,ATL vs. BOS,ATL,1610612737,BOS,1,0042200113,2023-04-21,W,10,0,11,5,8,0.625,0,0,,0,0,,4,7,1,0,1,4,25.2,1.25,0.625,C,,114.8,108.6,105.5,106.4,9.4,0.148,0.28,0.212,0.0,0.625,0.0,0.141,0.625,108.54,106.01,0.131,54,88.34,0.145,24:41,4.02,1.77,7,10,16,36,0,0,27,4,6,0.667,1,2,0.5,2,2,1.0,0.0,4.0,2.0,10.0,13.0,2.0,7.0,24.0,0.0,2.0,1.0,0.2,0.163,0.0,0.0,0.0,0.0,0.8,0.318,0.407,0.0,0.1,0.5,0.0,0.0,0.286,0.1,0.161,"APR 21, 2023",240,51,91,0.56,15,34,0.441,13,16,0.813,11,37,48,24,5,6,18,15,130,123.76237623762376,11.0,0.0,29.0,0.4891304347826087,123.76237623762376,105.04,105.04,105.04
Dejounte Murray,1627749,ATL vs. BOS,ATL,1610612737,BOS,1,0042200113,2023-04-21,W,25,5,6,11,21,0.524,2,6,0.333,1,1,1.0,2,4,1,0,2,8,40.7,1.166,0.5714285714285714,G,,119.8,115.4,112.7,111.0,7.1,0.051,0.108,0.079,0.192,0.571,2.5,0.237,0.583,106.03,103.32,0.15,81,86.1,0.242,37:10,4.13,2.73,3,7,10,70,0,0,44,4,7,0.571,7,14,0.5,4,5,0.8,4.0,2.0,0.0,10.0,23.0,4.0,7.0,36.0,0.0,0.0,3.0,0.297,0.288,0.2,0.231,0.077,0.063,0.182,0.129,0.143,0.333,0.133,0.333,0.0,0.0,0.0,0.188,0.258,"APR 21, 2023",240,51,91,0.56,15,34,0.441,13,16,0.813,11,37,48,24,5,6,18,15,130,123.76237623762376,11.0,0.0,29.0,0.4891304347826087,123.76237623762376,105.04,105.04,105.04
John Collins,1628381,ATL vs. BOS,ATL,1610612737,BOS,1,0042200113,2023-04-21,W,8,1,5,3,7,0.429,2,6,0.333,0,1,0.0,0,5,0,0,2,3,13.5,1.075,0.5714285714285714,F,,108.5,105.8,102.1,102.0,6.4,0.0,0.227,0.114,0.056,0.571,0.5,0.167,0.538,110.92,109.43,0.056,47,91.19,0.172,20:37,4.05,1.47,2,6,8,20,0,0,12,1,1,1.0,2,6,0.333,0,2,0.0,0.0,5.0,0.0,2.0,13.0,2.0,7.0,18.0,0.0,2.0,1.0,0.143,0.171,0.333,0.333,0.0,0.2,0.0,0.263,0.217,0.091,0.222,0.0,0.0,0.0,0.333,0.125,0.157,"APR 21, 2023",240,51,91,0.56,15,34,0.441,13,16,0.813,11,37,48,24,5,6,18,15,130,123.76237623762376,11.0,0.0,29.0,0.4891304347826087,123.76237623762376,105.04,105.04,105.04
Derrick White,1628401,BOS @ ATL,BOS,1610612738,ATL,0,0042200113,2023-04-21,L,11,4,2,4,7,0.571,3,4,0.75,0,0,,0,2,1,0,0,-14,22.4,1.571,0.7857142857142857,G,,106.2,104.8,125.8,119.8,-19.6,0.0,0.069,0.032,0.182,0.786,0.0,0.101,0.786,107.62,104.34,0.074,65,86.95,0.102,30:08,3.91,2.09,3,4,7,39,0,0,32,0,2,0.0,4,5,0.8,2,4,0.5,0.0,0.0,0.0,0.0,7.0,15.0,7.0,28.0,1.0,5.0,3.0,0.154,0.121,0.333,0.148,0.0,0.0,0.0,0.133,0.111,0.222,0.0,0.143,0.0,0.2,0.385,0.273,0.159,"APR 21, 2023",240,45,92,0.489,21,48,0.438,11,16,0.688,6,23,29,31,11,0,12,17,122,116.14623000761614,5.0,6.0,48.0,0.5604395604395604,116.14623000761614,105.04,105.04,105.04
De'Andre Hunter,1629631,ATL vs. BOS,ATL,1610612737,BOS,1,0042200113,2023-04-21,W,11,1,2,4,11,0.364,1,6,0.167,2,4,0.5,0,2,0,0,2,10,12.9,0.862,0.4090909090909091,F,,123.4,118.5,111.8,110.0,11.5,0.0,0.056,0.027,0.03,0.409,0.5,0.161,0.431,106.69,103.68,0.0,77,86.4,0.165,35:25,4.06,2.55,0,6,6,38,0,0,22,1,2,0.5,3,9,0.333,3,3,1.0,1.0,0.0,0.0,6.0,19.0,2.0,7.0,34.0,0.0,3.0,3.0,0.108,0.151,0.1,0.231,0.182,0.286,0.0,0.065,0.048,0.067,0.167,0.0,0.0,0.0,0.3,0.2,0.116,"APR 21, 2023",240,51,91,0.56,15,34,0.441,13,16,0.813,11,37,48,24,5,6,18,15,130,123.76237623762376,11.0,0.0,29.0,0.4891304347826087,123.76237623762376,105.04,105.04,105.04
Sam Hauser,1630573,BOS @ ATL,BOS,1610612738,ATL,0,0042200113,2023-04-21,L,0,0,1,0,1,0.0,0,1,0.0,0,0,,0,1,0,0,0,3,1.2,0.0,0.0,,,128.6,122.3,109.1,115.6,19.5,0.0,0.091,0.056,0.0,0.0,0.0,0.045,0.0,108.78,109.19,-0.021,21,90.99,0.045,9:27,4.64,0.76,0,3,3,6,0,0,5,0,0,0.0,0,1,0.0,3,4,0.75,0.0,0.0,0.0,0.0,3.0,6.0,4.0,16.0,0.0,1.0,0.0,0.0,0.067,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,"APR 21, 2023",240,45,92,0.489,21,48,0.438,11,16,0.688,6,23,29,31,11,0,12,17,122,116.14623000761614,5.0,6.0,48.0,0.5604395604395604,116.14623000761614,105.04,105.04,105.04
Robin Lopez,201577,CLE @ NYK,CLE,1610612739,NYK,0,0042200133,2023-04-21,L,4,0,1,1,1,1.0,0,0,,2,2,1.0,1,0,0,0,1,6,4.2,2.128,1.0,,,100.0,104.2,33.3,38.1,66.7,0.333,0.0,0.091,0.0,1.0,0.0,0.3,1.064,107.64,117.29,0.375,9,97.74,0.311,3:41,3.69,0.25,1,2,3,4,0,0,2,1,1,1.0,0,0,0.0,0,1,0.0,0.0,2.0,0.0,2.0,3.0,1.0,0.0,2.0,0.0,2.0,1.0,0.5,0.25,0.0,0.0,0.4,0.333,1.0,0.0,0.143,0.0,0.333,0.0,0.0,0.0,1.0,0.25,0.444,"APR 21, 2023",240,31,80,0.388,7,33,0.212,10,17,0.588,13,29,42,16,7,4,20,18,79,,,,,,,,,
Ricky Rubio,201937,CLE @ NYK,CLE,1610612739,NYK,0,0042200133,2023-04-21,L,0,1,2,0,0,,0,0,,0,0,,1,1,0,0,2,0,1.9,0.0,,,,70.0,70.0,63.6,63.6,6.4,0.167,0.143,0.154,0.333,0.0,0.5,0.167,0.0,93.33,93.33,-0.143,10,77.78,0.167,5:24,4.38,0.42,1,2,3,13,0,0,11,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.333,0.5,0.667,0.0,0.0,0.0,0.667,0.0,0.0,"APR 21, 2023",240,31,80,0.388,7,33,0.212,10,17,0.588,13,29,42,16,7,4,20,18,79,,,,,,,,,
Raul Neto,203526,CLE @ NYK,CLE,1610612739,NYK,0,0042200133,2023-04-21,L,1,1,0,0,1,0.0,0,1,0.0,1,2,0.5,0,0,0,0,2,6,0.5,0.532,0.0,,,100.0,104.2,33.3,38.1,66.7,0.0,0.0,0.0,0.5,0.0,0.5,0.4,0.266,107.64,117.29,-0.5,9,97.74,0.415,3:41,4.53,0.3,0,1,1,9,0,0,5,0,0,0.0,0,1,0.0,1,1,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.25,0.0,1.0,0.2,0.333,0.0,0.0,0.0,1.0,0.667,0.0,0.0,0.0,0.0,0.25,0.111,"APR 21, 2023",240,31,80,0.388,7,33,0.212,10,17,0.588,13,29,42,16,7,4,20,18,79,,,,,,,,,
Julius Randle,203944,NYK vs. CLE,NYK,1610612752,CLE,1,0042200133,2023-04-21,W,11,3,8,3,15,0.2,2,10,0.2,3,4,0.75,0,8,1,0,2,19,26.1,0.656,0.26666666666666666,F,,112.9,113.4,82.3,80.8,30.6,0.0,0.229,0.121,0.125,0.267,1.5,0.271,0.328,90.95,90.36,0.059,62,75.3,0.276,32:56,3.68,2.15,2,10,11,53,0,0,32,1,2,0.5,2,13,0.154,3,3,1.0,3.0,3.0,0.0,2.0,6.0,4.0,3.0,34.0,1.0,2.0,2.0,0.111,0.263,0.25,0.385,0.375,0.308,0.0,0.32,0.25,0.25,0.333,0.143,0.0,0.25,0.25,0.2,0.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedi Osman,1626224,CLE @ NYK,CLE,1610612739,NYK,0,0042200133,2023-04-21,L,0,0,2,0,2,0.0,0,2,0.0,0,0,,0,2,1,0,0,-11,5.4,0.0,0.0,,,64.7,66.9,89.2,100.4,-24.5,0.0,0.167,0.065,0.0,0.0,0.0,0.051,0.0,97.59,105.37,0.0,34,87.81,0.053,16:10,4.07,1.17,0,2,2,16,0,0,14,0,0,0.0,0,2,0.0,3,3,1.0,0.0,0.0,0.0,0.0,10.0,0.0,6.0,26.0,0.0,1.0,1.0,0.0,0.071,0.0,0.154,0.0,0.0,0.0,0.222,0.143,0.0,0.0,0.5,0.0,0.0,0.167,0.333,0.0,"APR 21, 2023",240,31,80,0.388,7,33,0.212,10,17,0.588,13,29,42,16,7,4,20,18,79,,,,,,,,,
Jarrett Allen,1628386,CLE @ NYK,CLE,1610612739,NYK,0,0042200133,2023-04-21,L,6,1,5,3,3,1.0,0,0,,0,2,0.0,3,2,0,2,0,-26,19.5,1.546,1.0,C,,88.1,85.6,123.2,121.2,-35.1,0.077,0.061,0.069,0.045,1.0,0.0,0.051,0.773,90.51,88.48,0.078,67,73.74,0.051,36:53,3.75,2.46,5,8,13,25,0,0,19,1,1,1.0,2,2,1.0,7,9,0.778,0.0,2.0,0.0,6.0,21.0,13.0,13.0,44.0,0.0,0.0,2.0,0.12,0.048,0.0,0.0,0.0,0.222,0.333,0.105,0.179,0.083,0.0,0.0,0.5,0.0,0.0,0.2,0.102,"APR 21, 2023",240,31,80,0.388,7,33,0.212,10,17,0.588,13,29,42,16,7,4,20,18,79,,,,,,,,,
DaQuan Jeffries,1629610,NYK vs. CLE,NYK,1610612752,CLE,1,0042200133,2023-04-21,W,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,-6,0.0,0.0,,,,33.3,38.1,100.0,104.2,-66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.64,117.29,-0.5,9,97.74,0.0,3:41,4.14,0.28,0,0,0,2,0,0,2,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ Barrett,1629628,NYK vs. CLE,NYK,1610612752,CLE,1,0042200133,2023-04-21,W,19,3,8,8,12,0.667,3,6,0.5,0,0,,2,6,1,0,2,10,34.1,1.583,0.7916666666666666,F,,104.9,105.2,90.0,88.6,14.9,0.067,0.194,0.131,0.176,0.792,1.5,0.203,0.792,95.07,94.45,0.202,61,78.71,0.206,30:45,4.24,2.31,4,8,11,44,0,0,29,2,3,0.667,6,9,0.667,2,2,1.0,7.0,0.0,6.0,10.0,8.0,6.0,5.0,32.0,0.0,4.0,1.0,0.32,0.222,0.429,0.25,0.0,0.0,0.286,0.273,0.276,0.25,0.222,0.125,0.0,0.0,0.444,0.091,0.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quentin Grimes,1629656,NYK vs. CLE,NYK,1610612752,CLE,1,0042200133,2023-04-21,W,2,0,2,1,5,0.2,0,3,0.0,0,0,,1,1,0,1,0,9,7.4,0.4,0.2,G,,86.2,93.8,55.2,57.4,31.0,0.063,0.056,0.059,0.0,0.2,0.0,0.156,0.2,97.41,103.62,-0.03,29,86.35,0.169,13:26,3.89,0.9,1,1,2,11,0,0,6,0,1,0.0,1,4,0.25,1,1,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,16.0,1.0,1.0,0.0,0.1,0.2,0.0,0.231,0.0,0.0,0.333,0.077,0.125,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dean Wade,1629731,CLE @ NYK,CLE,1610612739,NYK,0,0042200133,2023-04-21,L,0,0,2,0,0,,0,0,,0,0,,0,2,0,0,0,6,2.4,0.0,,,,100.0,104.2,33.3,38.1,66.7,0.0,0.25,0.182,0.0,0.0,0.0,0.0,0.0,107.64,117.29,0.5,9,97.74,0.0,3:41,4.33,0.29,0,3,3,5,1,0,4,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,"APR 21, 2023",240,31,80,0.388,7,33,0.212,10,17,0.588,13,29,42,16,7,4,20,18,79,,,,,,,,,
Isaac Okoro,1630171,CLE @ NYK,CLE,1610612739,NYK,0,0042200133,2023-04-21,L,7,0,2,2,2,1.0,1,1,1.0,2,2,1.0,0,2,0,0,2,-7,7.4,2.431,1.25,,,75.0,77.0,100.0,104.6,-25.0,0.0,0.182,0.091,0.0,1.25,0.0,0.161,1.215,105.69,109.52,0.197,28,91.27,0.165,12:16,3.89,0.87,2,3,5,9,0,0,3,0,0,0.0,2,2,1.0,0,0,0.0,0.0,0.0,4.0,2.0,11.0,1.0,2.0,20.0,0.0,1.0,2.0,0.333,0.133,1.0,0.333,0.25,0.167,0.0,0.222,0.167,0.0,0.2,0.0,0.0,0.0,0.167,0.2,0.333,"APR 21, 2023",240,31,80,0.388,7,33,0.212,10,17,0.588,13,29,42,16,7,4,20,18,79,,,,,,,,,
Lamar Stevens,1630205,CLE @ NYK,CLE,1610612739,NYK,0,0042200133,2023-04-21,L,2,0,3,0,1,0.0,0,0,,2,2,1.0,0,3,0,0,0,6,5.6,1.064,0.0,,,100.0,104.2,33.3,38.1,66.7,0.0,0.375,0.273,0.0,0.0,0.0,0.2,0.532,107.64,117.29,1.0,9,97.74,0.207,3:41,4.0,0.27,1,6,6,8,0,0,5,0,0,0.0,0,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.4,0.333,0.0,0.5,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.222,"APR 21, 2023",240,31,80,0.388,7,33,0.212,10,17,0.588,13,29,42,16,7,4,20,18,79,,,,,,,,,
Miles McBride,1630540,NYK vs. CLE,NYK,1610612752,CLE,1,0042200133,2023-04-21,W,0,0,1,0,0,,0,0,,0,0,,0,1,0,0,0,-6,1.2,0.0,,,,27.3,38.1,90.0,93.4,-62.7,0.0,0.25,0.083,0.0,0.0,0.0,0.0,0.0,107.49,128.85,0.25,11,107.37,0.0,3:55,3.97,0.28,1,1,1,2,1,0,2,0,0,0.0,0,0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
