PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ABBREVIATION,TEAM_ID,OPP_ABBREVIATION,HOME_GAME,GAME_ID,GAME_DATE,WL,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PLUS_MINUS,FANTASY_PTS,POINT_PER_SHOT,EFG,START_POSITION,COMMENT,OFF_RATING,E_OFF_RATING,DEF_RATING,E_DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,EFG_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,POSS,PACE_PER40,E_USG_PCT,MIN,SPD,DIST,ORBC,DRBC,RBC,TCHS,SAST,FTAST,PASS,CFGM,CFGA,CFG_PCT,UFGM,UFGA,UFG_PCT,DFGM,DFGA,DFG_PCT,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLKA,PF,PFD
D'Angelo Russell,1626156,LAL @ DEN,LAL,1610612747,DEN,0,0042300151,2024-04-20,L,13,3,3,6,20,0.3,1,9,0.111,0,0,,0,3,2,0,1,2,26.1,0.65,0.325,G,,115.0,118.1,113.9,111.4,1.1,0.0,0.06,0.036,0.107,0.325,3.0,0.244,0.325,92.7,92.88,0.017,80,77.4,0.25,41:05,3.88,2.82,0,5,5,71,1,0,47,2,9,0.222,4,11,0.364,2,3,0.667,0.0,0.0,4.0,8.0,10.0,14.0,17.0,54.0,1.0,3.0,1.0
Michael Porter Jr.,1629008,DEN vs. LAL,DEN,1610612743,LAL,1,0042300151,2024-04-20,W,19,0,8,8,15,0.533,3,7,0.429,0,0,,1,7,1,2,0,10,37.6,1.267,0.6333333333333333,F,,127.4,126.1,113.7,114.3,13.7,0.023,0.226,0.108,0.0,0.633,0.0,0.172,0.633,93.42,93.19,0.119,73,77.66,0.175,37:36,3.85,2.57,2,9,11,45,0,0,30,4,5,0.8,4,10,0.4,3,5,0.6,0.0,2.0,2.0,10.0,4.0,8.0,8.0,44.0,0.0,1.0,0.0
Rui Hachimura,1629060,LAL @ DEN,LAL,1610612747,DEN,0,0042300151,2024-04-20,L,7,1,3,2,4,0.5,1,2,0.5,2,2,1.0,0,3,0,0,1,-10,11.1,1.434,0.625,F,,104.8,106.2,121.0,119.5,-16.1,0.0,0.091,0.049,0.04,0.625,1.0,0.09,0.717,95.71,95.74,0.049,62,79.79,0.092,31:05,4.14,2.27,0,8,8,30,1,0,23,0,1,0.0,2,3,0.667,6,6,1.0,0.0,0.0,0.0,0.0,10.0,11.0,11.0,48.0,0.0,1.0,2.0
Jaxson Hayes,1629637,LAL @ DEN,LAL,1610612747,DEN,0,0042300151,2024-04-20,L,0,0,3,0,0,,0,0,,0,0,,0,3,0,0,0,2,3.6,0.0,,,,133.3,137.0,125.0,126.9,8.3,0.0,0.6,0.375,0.0,0.0,0.0,0.0,0.0,91.11,93.08,0.056,9,77.57,0.0,4:23,4.28,0.34,0,3,3,4,0,0,4,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,2.0,0.0
Austin Reaves,1630559,LAL @ DEN,LAL,1610612747,DEN,0,0042300151,2024-04-20,L,13,3,4,5,9,0.556,2,6,0.333,1,1,1.0,0,4,0,1,0,-12,25.3,1.377,0.6666666666666666,G,,112.7,111.4,127.8,126.4,-15.1,0.0,0.098,0.056,0.111,0.667,0.0,0.117,0.689,93.88,92.84,0.092,71,77.37,0.117,36:58,3.96,2.59,0,6,6,62,1,1,50,1,1,1.0,4,8,0.5,4,6,0.667,0.0,0.0,0.0,4.0,10.0,18.0,15.0,56.0,0.0,1.0,3.0
Nicolas Batum,201587,PHI @ NYK,PHI,1610612755,NYK,0,0042300111,2024-04-20,L,3,1,2,1,4,0.25,1,4,0.25,0,0,,0,2,0,1,1,-20,8.9,0.75,0.375,,,76.5,74.1,118.0,117.2,-41.5,0.0,0.069,0.033,0.071,0.375,1.0,0.086,0.375,95.51,93.65,0.034,51,78.04,0.087,25:53,4.27,1.96,1,5,6,28,0,0,23,0,0,0.0,1,4,0.25,0,1,0.0,3.0,0.0,0.0,0.0,11.0,11.0,22.0,22.0,0.0,0.0,0.0
Tobias Harris,202699,PHI @ NYK,PHI,1610612755,NYK,0,0042300111,2024-04-20,L,7,2,9,3,7,0.429,1,4,0.25,0,0,,0,9,0,0,2,0,18.8,1.0,0.5,F,,131.6,125.2,133.9,123.8,-2.3,0.0,0.22,0.13,0.091,0.5,1.0,0.132,0.5,92.05,86.31,0.066,57,71.92,0.134,31:25,3.97,2.25,2,14,16,33,0,0,24,2,3,0.667,1,4,0.25,1,2,0.5,0.0,0.0,0.0,4.0,9.0,21.0,16.0,20.0,0.0,4.0,0.0
Bojan Bogdanovic,202711,NYK vs. PHI,NYK,1610612752,PHI,1,0042300111,2024-04-20,W,13,1,7,4,12,0.333,3,6,0.5,2,4,0.5,1,6,0,0,0,27,22.9,0.945,0.4583333333333333,,,127.1,123.6,70.8,68.5,56.2,0.034,0.188,0.115,0.067,0.458,0.0,0.23,0.472,95.81,92.9,0.122,48,77.42,0.236,24:48,4.06,1.79,2,8,10,30,1,0,14,0,2,0.0,4,10,0.4,1,1,1.0,3.0,0.0,6.0,2.0,3.0,6.0,2.0,20.0,2.0,2.0,3.0
Buddy Hield,1627741,PHI @ NYK,PHI,1610612755,NYK,0,0042300111,2024-04-20,L,0,1,0,0,2,0.0,0,1,0.0,0,0,,0,0,0,0,0,-16,1.5,0.0,0.0,,,75.0,68.9,155.0,141.2,-80.0,0.0,0.0,0.0,0.2,0.0,0.0,0.08,0.0,95.68,87.54,-0.056,20,72.95,0.081,10:58,4.46,0.86,0,1,1,14,0,0,12,0,0,0.0,0,2,0.0,2,2,1.0,0.0,0.0,0.0,0.0,7.0,6.0,9.0,6.0,0.0,1.0,0.0
Josh Hart,1628404,NYK vs. PHI,NYK,1610612752,PHI,1,0042300111,2024-04-20,W,22,2,13,5,12,0.417,4,8,0.5,8,10,0.8,4,9,1,0,2,-5,41.6,1.341,0.5833333333333334,F,,122.4,116.7,127.3,121.3,-4.9,0.082,0.237,0.149,0.08,0.583,1.0,0.186,0.671,91.98,87.69,0.133,76,73.08,0.189,41:52,3.94,2.97,8,16,23,76,1,0,55,2,5,0.4,3,7,0.429,4,4,1.0,2.0,7.0,2.0,2.0,21.0,8.0,11.0,44.0,1.0,4.0,6.0
