,Unnamed: 0,PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ABBREVIATION,TEAM_ID,OPP_ABBREVIATION,HOME_GAME,GAME_ID,GAME_DATE,WL,MIN_x,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PF,PLUS_MINUS,FANTASY_PTS,PointsPerShot,eFG,START_POSITION,COMMENT,OFF_RATING,E_OFF_RATING,DEF_RATING,E_DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,EFG_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,POSS,PACE_PER40,E_USG_PCT,TEAM_GAME_DATE,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_DEF_RATING,OPP_STL,OPP_BLK,OPP_REB,OPP_FG_PCT,OPP_TEAM_ID,TEAM_OFF_RATING,TEAM_PACE,GAME_PACE,OPP_PACE,MIN_y,SPD,DIST,ORBC,DRBC,RBC,TCHS,SAST,FTAST,PASS,CFGM,CFGA,CFG_PCT,UFGM,UFGA,UFG_PCT,DFGM,DFGA,DFG_PCT
10,10,Malcolm Brogdon,1627763,BOS vs. PHI,BOS,1610612738,PHI,1,0022200001,2022-10-18,W,24,16,4,2,7,11,0.636,0,2,0.0,2,2,1.0,1,1,2,0,1,2,9,29.4,1.347,0.6363636363636364,,,135.4,133.4,114.3,110.0,21.1,0.056,0.05,0.053,0.222,0.636,4.0,0.236,0.673,100.2,97.54,0.176,48.0,81.28,0.242,"OCT 18, 2022",240,46,82,0.561,12,35,0.343,22,28,0.786,6,30,36,24,8,3,10,24,126,128.15296989422296,8.0,3.0,31.0,0.5,1610612755,128.15296989422296,98.32,100.32,102.32,23:52,4.09,1.74,2.0,5.0,7.0,41.0,0.0,0.0,26.0,5.0,7.0,0.714,2.0,4.0,0.5,2.0,2.0,1.0
11,11,Derrick White,1628401,BOS vs. PHI,BOS,1610612738,PHI,1,0022200001,2022-10-18,W,24,2,4,3,1,3,0.333,0,1,0.0,0,1,0.0,1,2,1,0,1,2,9,13.6,0.581,0.3333333333333333,G,,124.5,123.0,107.5,104.6,17.0,0.043,0.08,0.063,0.182,0.333,4.0,0.069,0.291,107.98,105.82,0.038,53.0,88.19,0.071,"OCT 18, 2022",240,46,82,0.561,12,35,0.343,22,28,0.786,6,30,36,24,8,3,10,24,126,128.15296989422296,8.0,3.0,31.0,0.5,1610612755,128.15296989422296,98.32,100.32,102.32,24:02,4.21,1.8,2.0,3.0,5.0,28.0,0.0,1.0,23.0,0.0,1.0,0.0,1.0,2.0,0.5,2.0,3.0,0.667
12,12,Grant Williams,1629684,BOS vs. PHI,BOS,1610612738,PHI,1,0022200001,2022-10-18,W,24,15,1,1,5,5,1.0,3,3,1.0,2,3,0.667,0,1,0,0,0,3,-3,17.7,2.373,1.3,,,114.6,110.1,118.4,113.6,-3.8,0.0,0.048,0.024,0.063,1.3,0.0,0.111,1.187,101.21,97.2,0.144,48.0,81.0,0.111,"OCT 18, 2022",240,46,82,0.561,12,35,0.343,22,28,0.786,6,30,36,24,8,3,10,24,126,128.15296989422296,8.0,3.0,31.0,0.5,1610612755,128.15296989422296,98.32,100.32,102.32,23:57,3.71,1.6,1.0,3.0,4.0,22.0,0.0,0.0,17.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0
13,13,Sam Hauser,1630573,BOS vs. PHI,BOS,1610612738,PHI,1,0022200001,2022-10-18,W,3,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,1,3,0.0,0.0,,,,185.7,177.6,142.9,126.9,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.99,101.31,-0.056,7.0,84.42,0.0,"OCT 18, 2022",240,46,82,0.561,12,35,0.343,22,28,0.786,6,30,36,24,8,3,10,24,126,128.15296989422296,8.0,3.0,31.0,0.5,1610612755,128.15296989422296,98.32,100.32,102.32,3:19,4.89,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,Joel Embiid,203954,PHI @ BOS,PHI,1610612755,BOS,0,0022200001,2022-10-18,L,37,26,5,15,9,18,0.5,1,6,0.167,7,9,0.778,1,14,0,1,6,4,-13,48.5,1.184,0.5277777777777778,C,,118.4,114.9,139.2,135.7,-20.8,0.032,0.5,0.254,0.217,0.528,0.83,0.329,0.592,99.36,96.6,0.146,76.0,80.5,0.328,"OCT 18, 2022",240,40,80,0.5,13,34,0.382,24,28,0.857,4,27,31,16,8,3,14,25,117,114.347146207975,8.0,3.0,36.0,0.5609756097560976,1610612738,114.347146207975,102.32,100.32,98.32,37:16,3.58,2.37,5.0,14.0,18.0,73.0,1.0,0.0,41.0,2.0,6.0,0.333,7.0,12.0,0.583,5.0,7.0,0.714
15,15,Georges Niang,1627777,PHI @ BOS,PHI,1610612755,BOS,0,0022200001,2022-10-18,L,12,3,1,0,1,4,0.25,1,3,0.333,0,0,,0,0,0,0,0,1,-5,4.5,0.75,0.375,,,128.0,121.2,142.3,137.2,-14.3,0.0,0.0,0.0,0.111,0.375,0.0,0.154,0.375,105.61,100.93,0.0,25.0,84.11,0.152,"OCT 18, 2022",240,40,80,0.5,13,34,0.382,24,28,0.857,4,27,31,16,8,3,14,25,117,114.347146207975,8.0,3.0,36.0,0.5609756097560976,1610612738,114.347146207975,102.32,100.32,98.32,12:08,4.28,0.92,0.0,0.0,0.0,10.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,4.0,0.25,1.0,1.0,1.0
16,16,Danuel House Jr.,1627863,PHI @ BOS,PHI,1610612755,BOS,0,0022200001,2022-10-18,L,16,1,1,1,0,2,0.0,0,1,0.0,1,2,0.5,0,1,2,0,1,2,-5,8.7,0.347,0.0,,,118.8,112.3,126.5,123.4,-7.7,0.0,0.077,0.037,0.083,0.0,1.0,0.118,0.174,101.75,97.78,-0.017,32.0,81.48,0.118,"OCT 18, 2022",240,40,80,0.5,13,34,0.382,24,28,0.857,4,27,31,16,8,3,14,25,117,114.347146207975,8.0,3.0,36.0,0.5609756097560976,1610612738,114.347146207975,102.32,100.32,98.32,16:12,4.33,1.25,1.0,3.0,3.0,14.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
17,17,De'Anthony Melton,1629001,PHI @ BOS,PHI,1610612755,BOS,0,0022200001,2022-10-18,L,21,5,0,0,2,4,0.5,1,2,0.5,0,0,,0,0,1,0,0,2,-13,8.0,1.25,0.625,,,122.0,117.4,150.0,143.1,-28.0,0.0,0.0,0.0,0.0,0.625,0.0,0.093,0.625,101.19,96.93,0.022,41.0,80.78,0.094,"OCT 18, 2022",240,40,80,0.5,13,34,0.382,24,28,0.857,4,27,31,16,8,3,14,25,117,114.347146207975,8.0,3.0,36.0,0.5609756097560976,1610612738,114.347146207975,102.32,100.32,98.32,20:33,4.23,1.55,1.0,3.0,4.0,27.0,0.0,0.0,23.0,1.0,1.0,1.0,1.0,3.0,0.333,2.0,2.0,1.0
18,18,Tyrese Maxey,1630178,PHI @ BOS,PHI,1610612755,BOS,0,0022200001,2022-10-18,L,38,21,2,1,8,16,0.5,2,5,0.4,3,3,1.0,0,1,2,0,1,5,-6,30.2,1.212,0.5625,G,,117.5,114.7,128.2,126.9,-10.7,0.0,0.032,0.015,0.077,0.563,2.0,0.207,0.606,100.98,99.27,0.071,80.0,82.73,0.209,"OCT 18, 2022",240,40,80,0.5,13,34,0.382,24,28,0.857,4,27,31,16,8,3,14,25,117,114.347146207975,8.0,3.0,36.0,0.5609756097560976,1610612738,114.347146207975,102.32,100.32,98.32,38:12,4.44,3.02,2.0,1.0,3.0,73.0,2.0,0.0,51.0,5.0,7.0,0.714,3.0,9.0,0.333,1.0,2.0,0.5
19,19,Russell Westbrook,201566,LAL @ GSW,LAL,1610612747,GSW,0,0022200002,2022-10-18,L,31,19,3,11,7,12,0.583,1,3,0.333,4,5,0.8,1,10,1,0,4,1,-6,35.7,1.338,0.625,G,,102.7,99.9,107.8,106.1,-5.1,0.028,0.263,0.149,0.143,0.625,0.75,0.214,0.669,121.46,118.89,0.161,75.0,99.08,0.217,"OCT 18, 2022",240,40,94,0.426,10,40,0.25,19,25,0.76,9,39,48,23,12,4,21,18,109,93.16239316239316,11.0,4.0,48.0,0.4545454545454545,1610612744,93.16239316239316,117.0,116.56,116.12,30:41,4.03,2.22,6.0,13.0,18.0,68.0,1.0,1.0,45.0,3.0,6.0,0.5,4.0,6.0,0.667,1.0,1.0,1.0
